證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 本期所得稅費用（利益）,　　 遞延所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　　 採用權益法認列之關聯企業及合資損失之份額,　　 當期所得稅費用（利益）,　　 備供出售金融資產未實現評價損益,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額－備供出售金融商品未實現損益
2008,2014年01月01日至2014年03月31日,,                350061,,                373208,                -23147,                -23147,,,                 15921,,                 15626,                 31547,                -54694,,,                    846,,                 -1478,,                  1970,,                  2779,                    177,                -54517,,,                              0,                              0,                -54517,                -54517,,,,,,,,                 -6604,                -61121,,                             -0.20,,                             -0.20,,,,,,,,,,,,,                              0,                 -5698,,                   -906,,                   -906
2008,2013年第3季,,                344736,,                379198,                -34462,                -34462,,,                 15319,,                 13699,                 29018,                -63480,,,                  8731,,                 -1254,,                  3750,,                    558,                  4285,                -59195,,,                              0,                              0,                -59195,                -59195,,,,,,,,                 24730,                -34465,,                             -0.14,,                             -0.14,,,,,,,,,,,,,                              0,                   -169,,                 24899,                              0,
2008,2013年第2季,,                314840,,                381226,                -66386,                -66386,,,                 13436,,                 20861,                 34297,               -100683,,,                 14045,,              5122863,,                 22817,,                     64,              5114155,              5013472,,,                -97138,                 66442,              4947030,              4947030,,,,,,,,                 29888,              4976918,,                             11.67,,                             11.67,,,,,,,,,,,,,                163580,                    134,,                 29754,                              0,
2008,2013年度,,              1296528,,              1552419,               -255891,               -255891,,,                 51021,,                 66074,                117095,               -372986,,,                 30151,,              5780207,,                 79160,,                -44810,              5686388,              5313402,,,               -111928,                 73175,              5240227,              5240227,,,,,,,,                136094,              5376321,,                             13.04,,                             13.04,,,,,,,,,,,,                 44810,                185103,                  5484,,                130610,                              0,
2008,2013年07月01日至2013年09月30日,,                344736,,                379198,                -34462,                -34462,,,                 15319,,                 13699,                 29018,                -63480,,,                  8731,,                 -1254,,                  3750,,                    558,                  4285,                -59195,,,,                              0,                -59195,                -59195,,,,,,,,                 24730,                -34465,,                             -0.14,,                             -0.14,,,,,,,,,,,,,                              0,                 24730,,,,
2008,2013年04月01日至2013年06月30日,,                314840,,                381226,                -66386,                -66386,,,                 13436,,                 20861,                 34297,               -100683,,,                  3495,,              5133413,,                 22817,,                     64,              5114155,              5013472,,,                -97138,                 66442,              4947030,              4947030,,,,,,,,                 29888,              4976918,,                             11.67,,                             11.67,,,,,,,,,,,,,                163580,                 29888,,,                              0,
2008,2013年01月01日至2013年12月31日,,              1296528,,              1552419,               -255891,               -255891,,,                 51021,,                 66074,                117095,               -372986,,,                 30151,,              5780207,,                 79160,,                -44810,              5686388,              5313402,,,               -111928,                 73175,              5240227,              5240227,,,,,,,,                136094,              5376321,,                             13.04,,                             13.04,,,,,,,,,,,,,                185103,                  5484,,                130610,,                130610
2008,2013年01月01日至2013年09月30日,,                929860,,              1122860,               -193000,               -193000,,,                 38174,,                 50960,                 89134,               -282134,,,                 22912,,              5909636,,                 76537,,                    708,              5856719,              5574585,,,               -111928,                 73175,              5501410,              5501410,,,,,,,,                 61664,              5563074,,                             12.98,,                             12.98,,,,,,,,,,,,,                185103,                    373,,                 61291,                              0,
2008,2013年01月01日至2013年06月30日,,                585124,,                743662,               -158538,               -158538,,,                 22855,,                 37261,                 60116,               -218654,,,                 14181,,              5910890,,                 72787,,                    150,              5852434,              5633780,,,               -111928,                 73175,              5560605,              5560605,,,,,,,,                 36934,              5597539,,                             13.12,,                             13.12,,,,,,,,,,,,,                185103,                    542,,                 36392,                              0,
2008,2013年01月01日至2013年03月31日,,                270284,,                362437,                -92153,                -92153,,,                  9419,,                 16399,                 25818,               -117971,,,                    136,,                788027,,                 49969,,                     86,                738280,                620309,,,                -14790,                  6733,                613576,                613576,,,,,,,,                  7046,                620622,,                              1.45,,                              1.45,,,,,,,,,,,,,                 21523,                    408,,                  6638,,                  6638
2008,2012年07月01日至2012年09月30日,,                237948,,                343760,               -105812,               -105812,,,                 10382,,                 17144,                 27526,               -133338,,,                  2455,,                 53861,,                 55190,,                    717,                  1843,               -131495,,,,                 13111,               -144606,               -144606,,,,,,,,                 35766,               -108840,,                             -0.34,,                             -0.34,,,,,,,,,,,,,                 13111,                 35766,,,,
2008,2012年04月01日至2012年06月30日,,                539851,,                624594,                -84743,                -84743,,,                 24664,,                 14917,                 39581,               -124324,,,                  1168,,                 -8549,,                 54358,,                    232,                -61507,               -185831,,,                 19686,                 19686,               -205517,               -205517,,,,,,,,                  3940,               -201577,,                             -0.48,,                             -0.48,,,,,,,,,,,,,                              0,                  3940,,,                              0,
2008,2012年01月01日至2012年12月31日,,              2212158,,              2554715,               -342557,               -342557,,,                 99968,,                 62608,                162576,               -505133,,,                  6533,,                -79547,,                225444,,                    612,               -297846,               -802979,,,                 92415,                 84309,               -887288,               -887288,,,,,,,,                 43304,               -843984,,                             -2.09,,                             -2.09,,,,,,,,,,,,,                 -8106,                  6844,,                 36460,,                 36460
2008,2012年01月01日至2012年09月30日,,              1861470,,              2121922,               -260452,               -260452,,,                 82508,,                 48910,                131418,               -391870,,,                  4863,,                 35954,,                168572,,                    885,               -126870,               -518740,,,,                 54135,               -572875,               -572875,,,,,,,,                 54427,               -518448,,                             -1.35,,                             -1.35,,,,,,,,,,,,,                 54135,                 54427,,,,
2008,2012年01月01日至2012年06月30日,,              1623522,,              1778162,               -154640,               -154640,,,                 72126,,                 31766,                103892,               -258532,,,                  2408,,                -17907,,                113381,,                    168,               -128712,               -387244,,,                 41024,                 41024,               -428268,               -428268,,,,,,,,                 18661,               -409607,,                             -1.01,,                             -1.01,,,,,,,,,,,,,                              0,                 18661,,,                              0,
