證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 未實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
9942,2015年第3季,,                675101,,                452115,                222986,                   -526,                223512,,,                 38947,,                 47381,,                  9993,                 96321,                127191,,,                  3851,,                 31115,,                    899,,                  1160,                 35227,                162418,,                 33184,                129234,                129234,,,                 64756,                 -1914,,                    -14,                 10939,                 51889,                 51889,                181123,,                130056,                   -822,,                181550,                   -427,,                              1.56,                              1.56,,                              1.56,                              1.56,,,,,,
9942,2015年第2季,,                724162,,                472407,                251755,                    244,                251511,,,                 42993,,                 52832,,                  9782,                105607,                145904,,,                  5504,,                 -3582,,                    650,,                  4119,                  5391,                151295,,                 48872,                102423,                102423,,,                -24979,                    846,,                 -4491,                 -4997,                -23627,                -23627,                 78796,,                102542,                   -119,,                 78988,                   -192,,                              1.23,                              1.23,,                              1.23,                              1.23,,,,,,
9942,2015年01月01日至2015年09月30日,,              2096544,,              1372233,                724311,                 -1152,                725463,,,                118141,,                157475,,                 28590,                304206,                421257,,,                 15849,,                 -2371,,                  2218,,                 11356,                 22616,                443873,,                112286,                331587,                331587,,,                 31749,                   -165,,                   -343,                  4817,                 26424,                 26424,                358011,,                333648,                 -2061,,                357000,                  1011,,                              4.01,                              4.01,,                              4.00,                              4.00,,,,,,
9942,2015年01月01日至2015年06月30日,,              1421443,,                920118,                501325,                   -626,                501951,,,                 79194,,                110094,,                 18597,                207885,                294066,,,                 11998,,                -33486,,                  1319,,                 10196,                -12611,                281455,,                 79102,                202353,                202353,,,                -33007,                  1749,,                   -329,                 -6122,                -25465,                -25465,                176888,,                203592,                 -1239,,                175450,                  1438,,                              2.45,                              2.45,,                              2.44,                              2.44,,,,,,
9942,2015年01月01日至2015年03月31日,,                697281,,                447711,                249570,                   -870,                250440,,,                 36201,,                 57262,,                  8815,                102278,                148162,,,                  6494,,                -29904,,                    669,,                  6077,                -18002,                130160,,                 30230,                 99930,                 99930,,,                 -8028,                    903,,                  4162,                 -1125,                 -1838,                 -1838,                 98092,,                101050,                 -1120,,                 96462,                  1630,,                              1.22,                              1.22,,                              1.21,                              1.21,,,,,,
9942,2014年第3季,,                715471,,                451839,                263632,                              0,                263632,,,                 41986,,                 45244,,                  9571,                 96801,                166831,,,                  4691,,                  3914,,                    235,,                  2499,                 10869,                177700,,                 42185,                135515,                135515,,,                 41299,                 -1092,,                 -2624,                  6539,                 31044,                 31044,                166559,,                135625,                   -110,,                166461,                     98,,                              1.63,                              1.63,,                              1.63,                              1.63,,,,,,
9942,2014年第2季,,                764382,,                471527,                292855,                    744,                292111,,,                 39046,,                 47887,,                  8737,                 95670,                196441,,,                  5592,,                -16777,,                    289,,                  5358,                 -6116,                190325,,                 52693,                137632,                137632,,,                -27525,                  1796,,                   -475,                 -4755,                -21449,                -21449,                116183,,                137539,                     93,,                116119,                     64,,                              1.65,                              1.65,,                              1.65,                              1.65,,,,,,
9942,2014年度,,              2903866,,              1828592,              1075274,                  1558,              1073716,,,                158943,,                222511,,                 36589,                418043,                655673,,,                 29656,,                 12984,,                  1238,,                 12077,                 53479,                709152,,                184190,                524962,                524962,,,,,,,,,                 27905,                552867,,                525253,                   -291,,                552999,                   -132,,                              6.32,                              6.32,,                              6.28,                              6.28,                 54697,                  1291,                -19751,,                 -2915,                  5417
9942,2014年01月01日至2014年09月30日,,              2190129,,              1373305,                816824,                  1016,                815808,,,                116043,,                142157,,                 26473,                284673,                531135,,,                 15047,,                   -713,,                    850,,                 12286,                 25770,                556905,,                139435,                417470,                417470,,,                 10808,                  1097,,                 -3048,                  1314,                  7543,                  7543,                425013,,                417439,                     31,,                424952,                     61,,                              5.02,                              5.02,,                              5.01,                              5.01,,,,,,
9942,2014年01月01日至2014年06月30日,,              1474658,,                921466,                553192,                  1016,                552176,,,                 74057,,                 96913,,                 16902,                187872,                364304,,,                 10356,,                 -4627,,                    615,,                  9787,                 14901,                379205,,                 97250,                281955,                281955,,,                -30491,                  2189,,                   -424,                 -5225,                -23501,                -23501,                258454,,                281814,                    141,,                258491,                    -37,,                              3.39,                              3.39,,                              3.38,                              3.38,,,,,,
9942,2014年01月01日至2014年03月31日,,                710276,,                449939,                260337,                    272,                260065,,,                 35011,,                 49026,,                  8165,                 92202,                167863,,,                  4764,,                 12150,,                    326,,                  4429,                 21017,                188880,,                 44557,                144323,                144323,,,                 -2966,                    393,,                     51,                   -470,                 -2052,                 -2052,                142271,,                144275,                     48,,                142372,                   -101,,                              1.73,                              1.73,,                              1.73,                              1.73,,,,,,
9942,2013年第3季,,                645770,,                407890,                237880,                    307,                237573,,,                 35609,,                 42396,,                  8922,                 86927,                150646,,,                  6239,,                    478,,                    278,,                  5693,                 12132,                162778,,                 35490,                127288,                127288,,,,,,,,,                 -9123,                118165,,                127322,                    -34,,                118167,                     -2,,                              1.53,                              1.53,,                              1.53,                              1.53,                -15783,                    785,                              0,,                  3839,                 -2036
9942,2013年第2季,,                669987,,                417743,                252244,                    163,                252081,,,                 34371,,                 45458,,                  8527,                 88356,                163725,,,                  5916,,                  3418,,                    304,,                  1164,                 10194,                173919,,                 45043,                128876,                128876,,,,,,,,,                 15027,                143903,,                129111,                   -235,,                144004,                   -101,,                              1.55,                              1.55,,                              1.55,                              1.55,                 17030,                    869,,,                      1,                  2873
9942,2013年度,,              2536119,,              1601483,                934636,                   -929,                935565,,,                131742,,                190366,,                 35472,                357580,                577985,,,                 62538,,                 18208,,                  1164,,                 16035,                 95617,                673602,,                170047,                503555,                503555,,,,,,,,,                 54412,                557967,,                504276,                   -721,,                558517,                   -550,,                              6.06,                              6.06,,                              6.04,                              6.04,                 59639,                  1691,                    -15,,                  3861,                 10764
9942,2013年07月01日至2013年09月30日,,                645770,,                407890,                237880,                    307,                237573,,,                 35609,,                 42396,,                  8922,                 86927,                150646,,,                  6239,,                    478,,                    278,,                  5693,                 12132,                162778,,                 35490,                127288,                127288,,,,,,,,,                 -9123,                118165,,                127322,                    -34,,                118167,                     -2,,                              1.53,                              1.53,,                              1.53,                              1.53,                -15783,                    785,,,                  3839,                 -2036
9942,2013年04月01日至2013年06月30日,,                669987,,                417743,                252244,                    163,                252081,,,                 34371,,                 45458,,                  8527,                 88356,                163725,,,                  5916,,                  3418,,                    304,,                  1164,                 10194,                173919,,                 45043,                128876,                128876,,,,,,,,,                 15027,                143903,,                129111,                   -235,,                144004,                   -101,,                              1.55,                              1.55,,                              1.55,                              1.55,                 17030,                    869,,,                      1,                  2873
9942,2013年01月01日至2013年12月31日,,              2536119,,              1601483,                934636,                   -929,                935565,,,                131742,,                190366,,                 35472,                357580,                577985,,,                 62538,,                 18208,,                  1164,,                 16035,                 95617,                673602,,                170047,                503555,                503555,,,,,,,,,                 54412,                557967,,                504276,                   -721,,                558517,                   -550,,                              6.06,                              6.06,,                              6.04,                              6.04,                 59639,                  1691,                    -15,,                  3861,                 10764
