證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 停業單位損益,　　 停業單位損益合計,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 停業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋停業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　　 其他收入－其他
3622,2015年第3季,,                401114,,                466848,                -65734,                -65734,,,                 20732,,                116247,,                 30580,                167559,               -233293,,,                 20488,,                 15783,,                              0,,                 10147,                 46418,               -186875,,                 13505,               -200380,,                   -163,               -200543,,,                              0,                              0,                              0,,                125914,                   -662,,                  4350,                129602,                129602,                -70941,,               -200157,                   -386,,                -70555,                   -386,,                             -1.32,                              0.00,                             -1.32,,,,,,,,,
3622,2015年第2季,,                561893,,                719506,               -157613,               -157613,,,                 22531,,                 56904,,                 31916,                111351,               -268964,,,                 18756,,                -70765,,                    122,,                 -4098,                -56229,               -325193,,                 10937,               -336130,,                  1683,               -334447,,,                              0,                              0,                              0,,                -35140,                 -1483,,                   -929,                -37552,                -37552,               -371999,,               -327031,                 -7416,,               -364583,                 -7416,,                             -2.17,                              0.01,                             -2.16,,,,,,,,,
3622,2015年01月01日至2015年09月30日,,              1816962,,              2099113,               -282151,               -282151,,,                 64286,,                236114,,                 94370,                394770,               -676921,,,                 54561,,               -119477,,                    213,,                  2761,                -62368,               -739289,,                 30462,               -769751,,                  2379,               -767372,,,                    338,                     57,                    281,,                 64008,                 -3802,,                  2146,                 62352,                 62633,               -704739,,               -760424,                 -6948,,               -697791,                 -6948,,                             -5.04,                              0.02,                             -5.02,,,,,,,,,
3622,2015年01月01日至2015年06月30日,,              1415848,,              1632265,               -216417,               -216417,,,                 43554,,                119867,,                 63790,                227211,               -443628,,,                 34073,,               -135260,,                    213,,                 -7386,               -108786,               -552414,,                 16957,               -569371,,                  2542,               -566829,,,                    338,                     57,                    281,,                -61906,                 -3140,,                 -2204,                -67250,                -66969,               -633798,,               -560267,                 -6562,,               -627236,                 -6562,,                             -3.72,                              0.02,                             -3.70,,,,,,,,,
3622,2015年01月01日至2015年03月31日,,                853955,,                912759,                -58804,                -58804,,,                 21023,,                 62963,,                 31874,                115860,               -174664,,,                 15317,,                -64495,,                     91,,                 -3288,                -52557,               -227221,,                  6020,               -233241,,                    859,               -232382,,,                    338,                     57,                    281,,                -26766,                 -1657,,                 -1275,                -29698,                -29417,               -261799,,               -233236,                    854,,               -262653,                    854,,                             -1.55,                              0.01,                             -1.54,,                              0.00,                              0.00,                              0.00,,,,,
3622,2014年第3季,,              1072187,,              1301279,               -229092,               -229092,,,                 28830,,                194780,,                 48767,                272377,               -501469,,,                 59755,,                -23080,,                    161,,                  3599,                 40113,               -461356,,                 12452,               -473808,,                 -3215,               -477023,,,                              0,                              0,                              0,,                 71718,                 -4387,,                  3086,                 70417,                 70417,               -406606,,               -475570,                 -1453,,               -405153,                 -1453,,                             -3.12,                             -0.02,                             -3.14,,,,,,,,,
3622,2014年第2季,,              1672341,,              1581538,                 90803,                 90803,,,                 43536,,                117829,,                 55613,                216978,               -126175,,,                 33979,,               -117819,,                    329,,                 -3384,                -87553,               -213728,,                 14616,               -228344,,                  8434,               -219910,,,                              0,                              0,                              0,,                -77579,                   -780,,                 -1962,                -80321,                -80321,               -300231,,               -217244,                 -2666,,               -297565,                 -2666,,                             -1.49,                              0.05,                             -1.44,,,,,,,,,
3622,2014年度,,              5193816,,              5363956,               -170140,               -170140,,,                137280,,                524726,,                197925,                859931,             -1030071,,,                139431,,               -752877,,                    614,,                -88021,               -702081,             -1732152,,                 84125,             -1816277,,                  3538,             -1812739,,,,,,,,,,,,                155928,             -1656811,,             -1803900,                 -8839,,             -1647972,                 -8839,,                            -11.94,                              0.02,                            -11.92,,,,,                159640,                 -7215,,                  3503,
3622,2014年01月01日至2014年09月30日,,              4144469,,              4258345,               -113876,               -113876,,,                111036,,                437991,,                160344,                709371,               -823247,,,                106813,,               -156945,,                    556,,                -17556,                -68244,               -891491,,                 25515,               -917006,,                  5991,               -911015,,,                              0,                              0,                              0,,                 44084,                 -7117,,                  1124,                 38091,                 38091,               -872924,,               -904798,                 -6217,,               -866707,                 -6217,,                             -6.02,                              0.04,                             -5.98,,,,,,,,,
3622,2014年01月01日至2014年06月30日,,              3072282,,              2957066,                115216,                115216,,,                 82206,,                243211,,                111577,                436994,               -321778,,,                 47058,,               -133865,,                    395,,                -21155,               -108357,               -430135,,                 13063,               -443198,,                  9206,               -433992,,,                              0,                              0,                              0,,                -27634,                 -2730,,                 -1962,                -32326,                -32326,               -466318,,               -429228,                 -4764,,               -461554,                 -4764,,                             -2.90,                              0.06,                             -2.84,,,,,,,,,
