證券代號,年季,　 淨收益,　　 利息淨收益 ,　　　 利息收入,　　　 利息費用,　　　 利息淨收益,　　 利息以外淨收益,　　　 手續費及佣金淨收益,　　　　 手續費及佣金淨收益,　　　 保險業務淨收益,　　　　 保險業務淨收益,　　　 透過損益按公允價值衡量之金融資產及負債損益,　　　　 透過損益按公允價值衡量之金融資產及負債損益,　　　 備供出售金融資產之已實現損益,　　　　 備供出售金融資產之已實現損益,　　　 兌換損益,　　　　 兌換損益,　　　 資產減損（損失）迴轉利益,　　　　 資產減損（損失）迴轉利益,　　　 採用權益法認列關聯企業及合資損益之份額,　　　　 採用權益法認列關聯企業及合資損益之份額合計,　　　 其他利息以外淨損益,　　　　 以成本衡量之金融資產淨利益（損失）,　　　　　 以成本衡量之金融資產淨利益（損失）,　　　　 財產交易利益淨利益（損失）,　　　　　 財產交易利益淨利益（損失）,　　　　 其他什項淨利益（損失）,　　　　　 其他什項淨利益（損失）,　　　　 其他利息以外淨損益,　　　 利息以外淨收益,　　 淨收益,　 呆帳費用及保證責任準備提存,　　 呆帳費用及保證責任準備提存合計,　 保險負債準備淨變動,　　 保險負債準備淨變動合計,　 營業費用,　　 員工福利費用,　　 折舊及攤銷費用,　　 其他業務及管理費用,　　 營業費用合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅（費用）利益 ,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益,　　 不重分類至損益之項目（稅後）,　　　 指定為透過損益按公允價值衡量之金融負債其變動金額來自信用風險,　　　 不重分類至損益之項目總額（稅後）,　　 後續可能重分類至損益之項目（稅後）,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列之關聯企業及合資其他綜合損益之份額－可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額（稅後）,　　 本期其他綜合損益,　 本期綜合損益總額,　 淨利（淨損）歸屬,　　 母公司業主,　　 非控制權益,　 綜合損益總額歸屬於,　　 母公司業主-綜合損益,　　 非控制股權,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 其他不重分類至損益之項目,　　　 與不重分類之項目相關之所得稅,　　　　 出售承受擔保品淨利益（損失）,　　　　　 出售承受擔保品淨利益（損失）,　 繼續營業單位稅前損益,　　 國外營運機構財務報表換算之兌換差額 ,　　 備供出售金融資產未實現評價利益（損失） ,　　 確定福利計畫精算利益（損失） ,　　 採用權益法認列之關聯企業及合資其他綜合損益之份額 ,　　 與其他綜合損益組成部分相關之所得稅 ,　　 本期其他綜合損益（稅後淨額）,　　　　 資產減損損失（迴轉利益）
5880,2015年第3季,,,             13538139,              5318653,              8219486,,,              1646861,,             -1789724,,                875683,,                341383,,                180966,,                 -2763,,                  5610,,,                 52828,,                              0,,                 16063,                 68891,              1326907,              9546393,,                914330,,             -1937802,,              3872930,                328302,              1862888,              6064120,              4505745,               -665013,              3840732,              3840732,,,                -38437,                -38437,,                595863,                379406,                              0,               -108374,                866895,                828458,              4669190,,              3778321,                 62411,,              4682993,                -13803,,                              0.34,,                              0.34,,,,,,,,,,,,
5880,2015年第2季,,,             13197793,              5375372,              7822421,,,              1543563,,               -222347,,                 74923,,                303707,,                257638,,                  2148,,                  4332,,,                188158,,                              0,,                254037,                442195,              2406159,             10228580,,                453403,,               -429718,,              4156946,                328408,              1771127,              6256481,              3948414,               -519780,              3428634,              3428634,,,                 50809,                 50809,,                -31030,               -362821,                    -17,                 32595,               -361273,               -310464,              3118170,,              3287324,                141310,,              3073645,                 44525,,                              0.30,,                              0.30,,,,,,,,,,,,
5880,2015年01月01日至2015年09月30日,,,             39986918,             16171809,             23815109,,,              4647743,,             -2479486,,                -56444,,                977183,,              1790965,,                 -2507,,                 12955,,,                240986,,                              0,,                332904,                573890,              5464299,             29279408,,              2091926,,             -2967291,,             12018952,                984140,              5370355,             18373447,             11781326,             -1660937,             10120389,             10120389,,,                 12372,                 12372,,                135366,                682431,                    -17,                -11399,                806381,                818753,             10939142,,              9797955,                322434,,             10631925,                307217,,                              0.92,,                              0.92,,,,,,,,,,,,
5880,2015年01月01日至2015年06月30日,,,             26448779,             10853156,             15595623,,,              3000882,,               -689762,,               -932127,,                635800,,              1609999,,                    256,,                  7345,,,                188158,,                              0,,                316841,                504999,              4137392,             19733015,,              1177596,,             -1029489,,              8146022,                655838,              3507467,             12309327,              7275581,               -995924,              6279657,              6279657,,,                 50809,                 50809,,               -460497,                303025,                    -17,                 96975,                -60514,                 -9705,              6269952,,              6019634,                260023,,              5948932,                321020,,                              0.58,,                              0.58,,,,,,,,,,,,
5880,2015年01月01日至2015年03月31日,,,             13250986,              5477784,              7773202,,,              1457319,,               -467415,,             -1007050,,                332093,,              1352361,,                 -1892,,                  3013,,,,,                              0,,                 62804,                 62804,              1731233,              9504435,,                724193,,               -599771,,              3989076,                327430,              1736340,              6052846,              3327167,               -476144,              2851023,              2851023,,,,                              0,,               -429467,                665846,,                 64380,                300759,                300759,              3151782,,              2732310,                118713,,              2875287,                276495,,                              0.30,,                              0.30,                              0,                              0,,,,,,,,,,
5880,2014年第3季,,,             13516262,              5826933,              7689329,,,              1510703,,             -2004777,,               -439269,,                193597,,              1046813,,                     45,,                  5001,,,                 44241,,              2021393,,                 77133,              2142767,              2454880,             10144209,,              2650580,,             -2078507,,              4028352,                330445,              1921225,              6280022,              3292114,               -367323,              2924791,              2924791,,,                              0,                              0,,                 37366,             -1168218,                              0,                 19930,             -1110922,             -1110922,              1813869,,              2898228,                 26563,,              1931223,               -117354,,                              0.31,,                              0.31,,,,,,,,,,,,
5880,2014年第2季,,,             13266817,              5911493,              7355324,,,              1309348,,             -1506398,,                576332,,                369771,,               -281905,,                    -50,,                  3269,,,                208809,,                              0,,                102099,                310908,                781275,              8136599,,                759632,,             -1611814,,              3849049,                324250,              1394910,              5568209,              3420572,               -568265,              2852307,              2852307,,,                              0,                              0,,               -176129,               -117670,                   -223,                 26011,               -268011,               -268011,              2584296,,              2822971,                 29336,,              2542136,                 42160,,                              0.30,,                              0.30,,,,,,,,,,,,
5880,2014年度,,,             52927408,             23156579,             29770829,,,              5436442,,             -6096977,,              1621802,,                944787,,                955021,,                -21236,,                 15018,,,                252973,,              2680984,,                -73170,              2860787,              5715644,             35486473,,              6426454,,             -6319674,,             15430175,              1310640,              6574542,             23315357,,             -1651340,             10412996,             10412996,,,,,,,,,,,,             10681554,,             10236352,                176644,,             10371470,                310084,,                              1.13,,                              1.13,,,,                              0,             12064336,                252775,                 36359,                -34287,                   -591,                 14302,                268558,
5880,2014年01月01日至2014年09月30日,,,             39600089,             17515140,             22084949,,,              4117482,,             -4929633,,                784006,,                871068,,                926714,,                -23696,,                  9844,,,                252964,,              2680608,,                270600,              3204172,              4959957,             27044906,,              5411441,,             -5023443,,             11517473,                982360,              4564126,             17063959,              9592949,             -1322526,              8270423,              8270423,,,                              0,                              0,,                -23428,             -1161751,                   -223,                 32467,             -1152935,             -1152935,              7117488,,              8153879,                116544,,              7162655,                -45167,,                              0.86,,                              0.86,,,,,,,,,,,,
5880,2014年01月01日至2014年06月30日,,,             26083827,             11688207,             14395620,,,              2606779,,             -2924856,,              1223275,,                677471,,               -120099,,                -23741,,                  4843,,,                208723,,                659215,,                193467,              1061405,              2505077,             16900697,,              2760861,,             -2944936,,              7489121,                651915,              2642901,             10783937,              6300835,               -955203,              5345632,              5345632,,,                              0,                              0,,                -60794,                  6467,                   -223,                 12537,                -42013,                -42013,              5303619,,              5255651,                 89981,,              5231432,                 72187,,                              0.55,,                              0.55,,,,,,,,,,,,
5880,2014年01月01日至2014年03月31日,,,             12817010,              5776714,              7040296,,,              1297431,,             -1418458,,                646943,,                307700,,                161806,,                -23691,,                  1574,,,,,                659215,,                 91282,                750497,              1723802,              8764098,,              2001229,,             -1333122,,              3640072,                327665,              1247991,              5215728,              2880263,               -386938,              2493325,              2493325,,,,                              0,,                115335,                124137,,                -13474,                225998,                225998,              2719323,,              2432680,                 60645,,              2689296,                 30027,,                              0.27,,                              0.27,                              0,                              0,,,,,,,,,,
5880,2013年第3季,,,             12271956,              5413476,              6858480,,,              1020902,,                210279,,                585842,,                 96166,,               -213048,,                  9774,,                  2736,,,                 55536,,                 19207,,                 88879,                175659,              1888310,              8746790,,                464609,,                215949,,              3695794,                318837,              1419471,              5434102,,               -418283,              2213847,              2213847,,,,,,,,,,,,              1130660,,              2225381,                -11534,,              1324068,               -193408,,                              0.25,,                              0.25,,,,                 12037,              2632130,                -29511,             -1110344,,                              0,                 56668,             -1083187,
5880,2013年第2季,,,             12090856,              5391457,              6699399,,,              1107966,,                 31970,,               -547832,,                273146,,                902268,,                 24948,,                  2206,,,                205107,,                   -169,,                186537,                395538,              2190210,              8889609,,                630703,,                 82903,,              3853791,                322932,              1333307,              5510030,,               -393646,              2272327,              2272327,,,,,,,,,,,,              1471304,,              2249051,                 23276,,              1663222,               -191918,,                              0.26,,                              0.26,,,,                  4063,              2665973,                 43322,               -845995,,                              0,                  1650,               -801023,
5880,2013年度,,,             49143883,             21725000,             27418883,,,              4526423,,               -788591,,               -427438,,                818301,,              2293412,,                 48834,,                 11402,,,                260673,,                241649,,                397531,                953458,              7435801,             34854684,,              3476057,,               -585998,,             15049929,              1281563,              5618303,             21949795,,             -1432169,              8582661,              8582661,,,,,,,,,,,,              7335830,,              8496667,                 85994,,              7547519,               -211689,,                              0.96,,                              0.96,,,,                 53605,             10014830,                219179,             -1811209,                330047,                              0,                 15152,             -1246831,
5880,2013年07月01日至2013年09月30日,,,             12271956,              5413476,              6858480,,,              1020902,,                210279,,                585842,,                 96166,,               -213048,,,,                  2736,,,                 55536,,                 19207,,                 88879,                175659,              1888310,              8746790,,                464609,,                215949,,              3695794,                318837,              1419471,              5434102,,               -418283,              2213847,              2213847,,,,,,,,,,,,              1130660,,              2225381,                -11534,,              1324068,               -193408,,                              0.26,,                              0.26,,,,                 12037,              2632130,                -29511,             -1110344,,                              0,                 56668,             -1083187,                  9774
5880,2013年04月01日至2013年06月30日,,,             12090856,              5391457,              6699399,,,              1107966,,                 31970,,               -547832,,                273146,,                902268,,,,                  2206,,,                205107,,                   -169,,                186537,                395538,              2190210,              8889609,,                630703,,                 82903,,              3853791,                322932,              1333307,              5510030,,               -393646,              2272327,              2272327,,,,,,,,,,,,              1471304,,              2249051,                 23276,,              1663222,               -191918,,                              0.27,,                              0.27,,,,                  4063,              2665973,                 43322,               -845995,,                              0,                  1650,               -801023,                 24948
5880,2013年01月01日至2013年12月31日,,,             49143883,             21725000,             27418883,,,              4526423,,               -788591,,               -427438,,                818301,,              2293412,,,,                 11402,,,                260673,,                241649,,                397531,                953458,              7435801,             34854684,,              3476057,,               -585998,,             15049929,              1281563,              5618303,             21949795,,             -1432169,              8582661,              8582661,,,,,,,,,,,,              7335830,,              8496667,                 85994,,              7547519,               -211689,,                              1.00,,                              1.00,,,,                 53605,             10014830,                219179,             -1811209,                330047,                              0,                 15152,             -1246831,                 48834
5880,2013年01月01日至2013年09月30日,,,             36558792,             16154103,             20404689,,,              3129597,,                812891,,               -927463,,                722599,,              2241613,,                 55553,,                  6728,,,                259664,,                241635,,                398631,                944985,              6986503,             27391192,,              2060124,,                978577,,             11197236,                953800,              4046815,             16197851,,             -1259637,              6895003,              6895003,,,,,,,,,,,,              4607058,,              6851319,                 43684,,              5012682,               -405624,,                              0.78,,                              0.78,,,,                 45055,              8154640,                112716,             -2431327,,                              0,                 30666,             -2287945,
5880,2013年01月01日至2013年06月30日,,,             24286836,             10740627,             13546209,,,              2108695,,                602612,,             -1513305,,                626433,,              2454661,,                 45779,,                  3992,,,                204128,,                222428,,                309752,                769326,              5098193,             18644402,,              1595515,,                762628,,              7501442,                634963,              2627344,             10763749,,               -841354,              4681156,              4681156,,,,,,,,,,,,              3476398,,              4625938,                 55218,,              3688614,               -212216,,                              0.53,,                              0.53,,,,                 33018,              5522510,                142227,             -1320983,,                              0,                -26002,             -1204758,
5880,2013年01月01日至2013年03月31日,,,             12195980,              5349170,              6846810,,,              1000729,,                570642,,               -965473,,                353287,,              1552393,,                 20831,,                  1786,,,,,                222597,,                151191,                373788,              2907983,              9754793,,                964812,,                679725,,              3647651,                312031,              1294037,              5253719,,               -447708,              2408829,              2408829,,,,,,,,,,,,              2005094,,              2376887,                 31942,,              2025392,                -20298,,                              0.28,,                              0.28,,,,,              2856537,                 98905,               -474988,,,                -27652,               -403735,
5880,2012年07月01日至2012年09月30日,,,             12504739,              5462012,              7042727,,,                857267,,               -414050,,              1604662,,                320534,,             -1182605,,,,                  2676,,,                 53421,,                 44178,,                132727,                230326,              1448523,              8491250,,                748014,,               -410295,,              3979520,                310735,              1490668,              5780923,,               -376522,              1996086,              1996086,,,,,,,,,,,,              3050269,,              2043722,                -47636,,              2680203,                370066,,                              0.28,,                              0.28,,,,                              0,              2372608,                -37350,              1220679,,                              0,               -129146,              1054183,                 29713
5880,2012年04月01日至2012年06月30日,,,             12367269,              5342603,              7024666,,,                918971,,                718469,,               -768710,,                272223,,              1178118,,,,                  1801,,,                232297,,                    618,,                104009,                483523,              2887353,              9912019,,                993104,,                687451,,              4087707,                310630,              1276856,              5675193,,               -413539,              2142732,              2142732,,,,,,,,,,,,              1423061,,              2137621,                  5111,,              1615449,               -192388,,                              0.30,,                              0.30,,,,                146599,              2556271,                -60765,               -672069,,                              0,                 13163,               -719671,                 82958
5880,2012年01月01日至2012年12月31日,,,             49410679,             21540499,             27870180,,,              3572966,,                989998,,              3769197,,                921898,,             -2206944,,,,                -76205,,,                286723,,                 52515,,                333257,                819094,              7930509,             35800689,,              3500637,,              1003607,,             15770617,              1227295,              5504556,             22502468,,             -1400969,              7393008,              7393008,,,,,,,,,,,,              8079311,,              7417442,                -24434,,              7830879,                248432,,                              0.99,,                              0.99,,,,                146599,              8793977,               -156473,                864784,               -252229,                407325,               -177104,                686303,                140505
5880,2012年01月01日至2012年09月30日,,,             37021991,             16174432,             20847559,,,              2693171,,                304419,,              2672204,,                704379,,             -1445994,,,,                -79176,,,                285718,,                 44796,,                486155,                963268,              5924942,             26772501,,              2283543,,                277156,,             11773039,                920595,              3948796,             16642430,,             -1226565,              6342807,              6342807,,,,,,,,,,,,              7260973,,              6382891,                -40084,,              7079874,                181099,,                              0.89,,                              0.89,,,,                146599,              7569372,               -146526,                810285,,                407325,               -152918,                918166,                112671
5880,2012年01月01日至2012年06月30日,,,             24517252,             10712420,             13804832,,,              1835904,,                718469,,              1067542,,                383845,,               -263389,,,,                -81852,,,                232297,,                    618,,                353428,                732942,              4476419,             18281251,,              1535529,,                687451,,              7793519,                609860,              2458128,             10861507,,               -850043,              4346721,              4346721,,,,,,,,,,,,              4210704,,              4339169,                  7552,,              4399671,               -188967,,                              0.61,,                              0.61,,,,                146599,              5196764,               -109176,               -410394,,                407325,                -23772,               -136017,                 82958
5880,2012年01月01日至2012年03月31日,,,             12149983,              5369817,              6780166,,,                916933,,                              0,,              1836252,,                111622,,             -1441507,,,,                -83653,,,,,                              0,,                249419,                249419,              1589066,              8369232,,                542425,,                              0,,              3705812,                299230,              1181272,              5186314,,               -436504,              2203989,              2203989,,,,,,,,,,,,              2787643,,              2201548,                  2441,,              2784222,                  3421,,                              0.33,,                              0.33,,,,,              2640493,                -48411,                261675,,                407325,                -36935,                583654,                              0
