證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額－國外營運機構財務報表換算之兌換差額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額－備供出售金融商品未實現損益,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額－確定福利計畫精算利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　　 利息收入,　　　　 銀行存款利息,　　　　 其他利息收入,　　　　 利息收入合計,　　　 租金收入,　　　 股利收入,　　 除列按攤銷後成本衡量金融資產淨損益,　　　 除列按攤銷後成本衡量金融資產淨損益,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益,　　 當期所得稅費用（利益）,　　 遞延所得稅費用（利益）
1609,2015年第3季,,              4142977,,              3999965,                143012,                143012,,,                 54638,,                149920,,                  8660,                213218,                -70206,,,                119264,,               -271355,,                 46953,,                 14798,               -184246,               -254452,,                 12573,               -267025,               -267025,,,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                 86313,,                -95471,                  6808,                -15966,                -15966,               -282991,,               -253601,                -13424,,               -282121,                   -870,,                             -0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1609,2015年第2季,,              3791483,,              3700735,                 90748,                 90748,,,                 53298,,                145401,,                  9543,                208242,               -117494,,,                 26528,,                -17438,,                 42428,,                  5377,                -27961,               -145455,,                -14334,               -131121,               -131121,,,,,,,,,,,,,                -37117,,                -48117,                 -6758,                -78476,                -78476,               -209597,,               -136944,                  5823,,               -210213,                    616,,                             -0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1609,2015年01月01日至2015年09月30日,,             11646471,,             11345519,                300952,                300952,,,                160593,,                457211,,                 28858,                646662,               -345710,,,                157802,,               -236686,,                127004,,                 15659,               -190229,               -535939,,                -32771,               -503168,               -503168,,,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                 25215,,                -44932,                 -1207,                -18510,                -18510,               -521678,,               -475412,                -27756,,               -500525,                -21153,,                             -0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1609,2015年01月01日至2015年06月30日,,              7503494,,              7345554,                157940,                157940,,,                105955,,                307291,,                 20198,                433444,               -275504,,,                 38538,,                 34669,,                 80051,,                    861,                 -5983,               -281487,,                -45344,               -236143,               -236143,,,,,,,,,,,,,                -61098,,                 50539,                 -8015,                 -2544,                 -2544,               -238687,,               -221811,                -14332,,               -218404,                -20283,,                             -0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1609,2015年01月01日至2015年03月31日,,              3712011,,              3644819,                 67192,                 67192,,,                 52657,,                161890,,                 10655,                225202,               -158010,,,                 12010,,                 52107,,                 37623,,                 -4516,                 21978,               -136032,,                -31010,               -105022,               -105022,,,,,,,,,,,,,                -23981,,                 98656,                 -1257,                 75932,                 75932,                -29090,,                -84867,                -20155,,                 -8191,                -20899,,                             -0.15,,                             -0.15,,,,,,,,,,,,,,,,,,,,,,,,,,
1609,2014年第3季,,              4138166,,              3987755,                150411,                150411,,,                 55950,,                150108,,                  9878,                215936,                -65525,,,                 83528,,                 28064,,                 33839,,                  4392,                 82145,                 16620,,                 21188,                 -4568,                 -4568,,,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                 12261,,                -65463,                 -4319,                -48883,                -48883,                -53451,,                -24083,                 19515,,                -79802,                 26351,,                             -0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1609,2014年第2季,,              4181136,,              4062871,                118265,                118265,,,                 57351,,                120051,,                 11774,                189176,                -70911,,,                 14651,,                144844,,                 35537,,                  2701,                126659,                 55748,,                 -3709,                 59457,                 59457,,,,,,,,,,,,,                -51340,,                -54533,                -10096,                -95777,                -95777,                -36320,,                 54903,                  4554,,                -34926,                 -1394,,                              0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1609,2014年度,,             16014756,,             15376566,                638190,                638190,,,                274096,,                556818,,                 43766,                874680,               -236490,,,                143122,,                289775,,                140864,,                 11815,                303848,                 67358,,                  9480,                 57878,                 57878,,,,,,,,,,,,,,,,,,                103424,                161302,,                 20454,                 37424,,                 97083,                 64219,,                              0.04,,                              0.04,                 55702,                              0,                -35410,,                 72234,                 11995,                 -1134,                 83095,                    -37,,,,,,,,,,,,,,,,,
1609,2014年01月01日至2014年09月30日,,             12060639,,             11630061,                430578,                430578,,,                168267,,                430572,,                 31318,                630157,               -199579,,,                120101,,                186547,,                103099,,                 15506,                219055,                 19476,,                 15975,                  3501,                  3501,,,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                 23972,,                -22689,                 -1536,                  2819,                  2819,                  6320,,                -18300,                 21801,,                -22611,                 28931,,                             -0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1609,2014年01月01日至2014年06月30日,,              7922473,,              7642306,                280167,                280167,,,                112317,,                280464,,                 21440,                414221,               -134054,,,                 36573,,                158483,,                 69260,,                 11114,                136910,                  2856,,                 -5213,                  8069,                  8069,,,,,,,,,,,,,                 11711,,                 42774,                  2783,                 51702,                 51702,                 59771,,                  5783,                  2286,,                 57191,                  2580,,                              0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
