證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計
9931,2013年07月01日至2013年09月30日,,                297879,,                273754,                 24125,                 24125,,,                  6364,,                 10544,                 16908,                  7217,,,                  7428,,                 14734,,                    182,,                 -1872,                 20108,                 27325,,                  4394,                 22931,                 22931,,,,,,                 14970,                 37901,,                 22470,                    461,,                 37025,                    876,,                              0.24,,                              0.24,                 14970,,,,                              0
9931,2013年04月01日至2013年06月30日,,                373127,,                324104,                 49023,                 49023,,,                  4659,,                 10511,                 15170,                 33853,,,                  3771,,                 84180,,                    359,,                 -2431,                 85161,                119014,,                 32019,                 86995,                 86995,,,,,,                -20873,                 66122,,                 85205,                  1790,,                 64905,                  1217,,                              0.90,,                              0.90,                -20873,,,,                              0
9931,2013年01月01日至2013年12月31日,,              1434719,,              1298994,                135725,                135725,,,                 19956,,                 40967,                 60923,                 74802,,,                 23436,,                189559,,                  1056,,                  1733,                213672,                288474,,                 58595,                229879,                229879,,,,,,                 40567,                270446,,                223658,                  6221,,                263845,                  6601,,                              2.36,,                              2.36,                 33221,                  8851,                  1505,,                              0
9931,2013年01月01日至2013年09月30日,,              1068553,,                951572,                116981,                116981,,,                 17237,,                 31744,                 48981,                 68000,,,                 13520,,                196312,,                  1038,,                 -9215,                199579,                267579,,                 56525,                211054,                211054,,,,,,                 17476,                228530,,                205225,                  5829,,                222534,                  5996,,                              2.01,,                              2.01,                 17476,,,,
9931,2013年01月01日至2013年06月30日,,                770674,,                677818,                 92856,                 92856,,,                 10873,,                 21200,                 32073,                 60783,,,                  6092,,                181578,,                    856,,                 -7343,                179471,                240254,,                 52131,                188123,                188123,,,,,,                  2506,                190629,,                182755,                  5368,,                185509,                  5120,,                              1.93,,                              1.93,                  2506,,,,
9931,2013年01月01日至2013年03月31日,,                397547,,                353714,                 43833,                 43833,,,                  6214,,                 10689,                 16903,                 26930,,,                  2321,,                 97398,,                    497,,                 -4912,                 94310,                121240,,                 20112,                101128,                101128,,,,,,                 23379,                124507,,                 97550,                  3578,,                120604,                  3903,,                              1.03,,                              1.03,                 23379,,,,
9931,2012年07月01日至2012年09月30日,,                297800,,                260214,                 37586,                 37586,,,                  6121,,                 10467,                 16588,                 20998,,,                 10654,,                   -432,,                    836,,                 -5568,                  3818,                 24816,,                  4386,                 20430,                 20430,,,,,,                 24053,                 44483,,                 20680,                   -250,,                 44299,                    184,,                              0.22,,                              0.22,                 23053,,,,                  1000
9931,2012年04月01日至2012年06月30日,,                338709,,                243716,                 94993,                 94993,,,                  5170,,                 12401,                 17571,                 77422,,,                  2599,,                   -276,,                    896,,                 -6295,                 -4868,                 72554,,                 13598,                 58956,                 58956,,,,,,                -36377,                 22579,,                 59232,                   -276,,                 23447,                   -868,,                              0.63,,                              0.63,                -36496,,,,                    119
9931,2012年01月01日至2012年12月31日,,              1364932,,              1157876,                207056,                207056,,,                 23481,,                 42499,                 65980,                141076,,,                 31894,,                 57720,,                  3420,,                  2574,                 88768,                229844,,                 37742,                192102,                192102,,,,,,                 60314,                252416,,                189624,                  2478,,                248769,                  3647,,                              2.00,,                              2.00,                 62218,                 -3934,                   -669,,                  1361
9931,2012年01月01日至2012年09月30日,,              1020393,,                828692,                191701,                191701,,,                 17421,,                 33737,                 51158,                140543,,,                 16220,,                 -2221,,                  2689,,                -15934,                 -4624,                135919,,                 25299,                110620,                110620,,,,,,                 69672,                180292,,                111297,                   -677,,                179903,                    389,,                              1.18,,                              1.18,                 68508,,,,                  1164
9931,2012年01月01日至2012年06月30日,,                722593,,                568478,                154115,                154115,,,                 11300,,                 23270,                 34570,                119545,,,                  5566,,                 -1789,,                  1853,,                -10366,                 -8442,                111103,,                 20913,                 90190,                 90190,,,,,,                 45619,                135809,,                 90617,                   -427,,                135604,                    205,,                              0.96,,                              0.96,                 45455,,,,                    164
9931,2012年01月01日至2012年03月31日,,                383884,,                324762,                 59122,                 59122,,,                  6130,,                 10869,                 16999,                 42123,,,                  2969,,                 -1515,,                    957,,                 -4071,                 -3574,                 38549,,                  7315,                 31234,                 31234,,,,,,                 81996,                113230,,                 31385,                   -151,,                112157,                  1073,,                              0.33,,                              0.33,                 66085,,,,                 15911
