證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 共同控制下前手權益（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 共同控制下前手權益（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計
1715,2015年第3季,,              3030835,,              2667196,                363639,                363639,,,                131600,,                124839,,                 10283,                266722,                 96917,,,                 17566,,                 91429,,                 36322,,                 -6537,                 66136,                163053,,                 39821,                123232,                123232,,,                242636,                 -7533,,                 29097,                264200,                264200,                387432,,                126560,                              0,                 -3328,,                369610,                              0,                 17822,,                              0.31,                              0.31,,                              0.30,                              0.30,,,,,
1715,2015年第2季,,              2683550,,              2356156,                327394,                327394,,,                122289,,                 99852,,                 10789,                232930,                 94464,,,                 18796,,                -30189,,                 22653,,                  7841,                -26205,                 68259,,                 26655,                 41604,                 41604,,,                -76324,                    962,,                -15885,                -91247,                -91247,                -49643,,                 32012,,                  9592,,                -53382,,                  3739,,                              0.08,                              0.08,,                              0.07,                              0.07,,,,,
1715,2015年01月01日至2015年09月30日,,              8941610,,              7921799,              1019811,              1019811,,,                382071,,                344194,,                 31368,                757633,                262178,,,                 56365,,                 54843,,                106565,,                 14764,                 19407,                281585,,                 87282,                194303,                194303,,,                117623,                 -7901,,                  6207,                115929,                115929,                310232,,                224872,                -45070,                 14501,,                328576,                -44529,                 26185,,                              0.56,                              0.56,,                              0.53,                              0.53,,,,,
1715,2015年01月01日至2015年06月30日,,              5147172,,              4452927,                694245,                694245,,,                239938,,                199153,,                 21086,                460177,                234068,,,                 31153,,                -34893,,                 39554,,                -27172,                -70466,                163602,,                 47461,                116141,                116141,,,               -122102,                   -368,,                -26716,               -149186,               -149186,                -33045,,                 98312,,                 17829,,                -41034,,                  7989,,                              0.25,                              0.25,,                              0.21,                              0.21,,,,,
1715,2015年01月01日至2015年03月31日,,              2463622,,              2096771,                366851,                366851,,,                117649,,                 99301,,                 10297,                227247,                139604,,,                 12357,,                 -4704,,                 16901,,                -35013,                -44261,                 95343,,                 20806,                 74537,                 74537,,,                -45778,                 -1330,,                -10831,                -57939,                -57939,                 16598,,                 66300,,                  8237,,                 12348,,                  4250,,                              0.17,                              0.17,,                              0.17,                              0.17,,,,,
1715,2014年第3季,,              3448516,,              3127594,                320922,                320922,,,                117597,,                151113,,                 10301,                279011,                 41911,,,                131534,,                217809,,                 36647,,                 21270,                333966,                375877,,                 63216,                312661,                312661,,,                133176,                 -1964,,                 26793,                158005,                158005,                470666,,                344466,                -41666,                  9861,,                465378,                -14145,                 19433,,                              0.86,                              0.86,,                              0.82,                              0.82,,,,,
1715,2014年第2季,,              2875255,,              2508759,                366496,                366496,,,                115755,,                124998,,                 10222,                250975,                115521,,,                 23832,,                 92089,,                 18082,,                 25672,                123511,                239032,,                 61477,                177555,                177555,,,                -79359,                   -567,,                -16042,                -95968,                -95968,                 81587,,                166396,,                 11159,,                 76975,,                  4612,,                              0.42,                              0.42,,                              0.40,                              0.40,,,,,
1715,2014年度,,             10970682,,              9613252,              1357430,              1357430,,,                479809,,                501691,,                 43548,              1025048,                332382,,,                204259,,                366781,,                 66900,,                 63695,                567835,                900217,,                166383,                733834,                733834,,,,,,,,                221046,                954880,,                695983,,                 37851,,                903584,,                 51296,,                              1.77,                              1.77,,                              1.66,                              1.66,                189773,                -14691,                  9325,,                 36639
1715,2014年01月01日至2014年09月30日,,             10383046,,              9392727,                990319,                990319,,,                350223,,                402491,,                 30098,                782812,                207507,,,                186280,,                339085,,                 99854,,                 51965,                477476,                684983,,                151343,                533640,                533640,,,                 38836,                 -9116,,                  6779,                 36499,                 36499,                570139,,                625782,               -122714,                 30572,,                657356,               -119260,                 32043,,                              1.59,                              1.59,,                              1.48,                              1.48,,,,,
1715,2014年01月01日至2014年06月30日,,              5579190,,              4877812,                701378,                701378,,,                226188,,                234232,,                 19797,                480217,                221161,,,                 49968,,                124396,,                 36066,,                 30695,                168993,                390154,,                 88127,                302027,                302027,,,                -70273,                 -7152,,                -20014,                -97439,                -97439,                204588,,                281316,,                 20711,,                191978,,                 12610,,                              0.72,                              0.72,,                              0.67,                              0.67,,,,,
1715,2014年01月01日至2014年03月31日,,              2703935,,              2369053,                334882,                334882,,,                110433,,                109234,,                  9575,                229242,                105640,,,                 26136,,                 32307,,                 17984,,                  5023,                 45482,                151122,,                 26650,                124472,                124472,,,                  9086,                 -6585,,                 -3972,                 -1471,                 -1471,                123001,,                114920,,                  9552,,                115003,,                  7998,,                              0.30,                              0.30,,                              0.26,                              0.26,,,,,
1715,2013年第3季,,              2683605,,              2324836,                358769,                358769,,,                106497,,                119910,,                  6643,                233050,                125719,,,                 25313,,                -10935,,                 15612,,                 15128,                 13894,                139613,,                 26648,                112965,                112965,,,,,,,,                -56382,                 56583,,                103066,,                  9899,,                 49833,,                  6750,,                              0.31,                              0.31,,                              0.29,                              0.29,                -44184,                 -3116,                              0,,                 -9082
1715,2013年第2季,,              2747740,,              2339353,                408387,                408387,,,                115450,,                105474,,                  4664,                225588,                182799,,,                 15547,,                 48894,,                 15389,,                 25383,                 74435,                257234,,                 86670,                170564,                170564,,,,,,,,                 54532,                225096,,                158628,,                 11936,,                208007,,                 17089,,                              0.51,                              0.51,,                              0.45,                              0.45,                 42555,                 -3064,                              0,,                 15041
1715,2013年度,,             10571692,,              9114016,              1457676,              1457676,,,                448228,,                425743,,                 33692,                907663,                550013,,,                 63656,,                 28582,,                 66644,,                 70691,                 96285,                646298,,                162835,                483463,                483463,,,,,,,,                215899,                699362,,                443629,,                 39834,,                641362,,                 58000,,                              1.38,                              1.38,,                              1.13,                              1.13,                189460,                 -5592,                 19459,,                 12572
1715,2013年07月01日至2013年09月30日,,              2698097,,              2324836,                373261,                373261,,,                106497,,                119910,,                  6643,                233050,                140211,,,                 25133,,                -30720,,                 15612,,                 20601,                   -598,                139613,,                 26648,                112965,                112965,,,,,,,,                -37034,                 75931,,                103066,                              0,                  9899,,                 49833,                              0,                 26098,,                              0.31,                              0.31,,                              0.29,                              0.29,                -24836,                 -3116,,,                 -9082
1715,2013年04月01日至2013年06月30日,,              2751043,,              2339353,                411690,                411690,,,                115450,,                105474,,                  4664,                225588,                186102,,,                 15547,,                 -7085,,                 15389,,                 25419,                 18492,                204594,,                 34030,                170564,                170564,,,,,,,,                 35184,                205748,,                158628,                              0,                 11936,,                208007,                              0,                 -2259,,                              0.51,                              0.51,,                              0.45,                              0.45,                 23207,                 -3064,,,                 15041
1715,2013年01月01日至2013年12月31日,,             10571692,,              9114016,              1457676,              1457676,,,                448228,,                425743,,                 33692,                907663,                550013,,,                 63656,,                -24058,,                 66644,,                 70691,                 43645,                593658,,                110195,                483463,                483463,,,,,,,,                215899,                699362,,                443629,                              0,                 39834,,                641362,                              0,                 58000,,                              1.38,                              1.38,,                              1.13,                              1.13,                189460,                 -5592,                 19459,,                 12572
1715,2013年01月01日至2013年09月30日,,              7840658,,              6745376,              1095282,              1095282,,,                325445,,                330589,,                 17539,                673573,                421709,,,                 56946,,                 37171,,                 49677,,                 56290,                100730,                522439,,                130911,                391528,                391528,,,,,,,,                125579,                517107,,                360483,,                 31045,,                473900,,                 43207,,                              1.15,                              1.15,,                              1.02,                              1.02,                102181,                 -8434,                              0,,                 31832
1715,2013年01月01日至2013年06月30日,,              5157053,,              4420540,                736513,                736513,,,                218948,,                210679,,                 10896,                440523,                295990,,,                 31633,,                 48106,,                 34065,,                 41162,                 86836,                382826,,                104263,                278563,                278563,,,,,,,,                181961,                460524,,                257417,,                 21146,,                424067,,                 36457,,                              0.84,                              0.84,,                              0.74,                              0.74,                146365,                 -5318,                              0,,                 40914
1715,2013年01月01日至2013年03月31日,,              2409313,,              2081187,                328126,                328126,,,                103498,,                105205,,                  6232,                214935,                113191,,,                 16086,,                   -788,,                 18676,,                 15779,                 12401,                125592,,                 17593,                107999,                107999,,,,,,,,                127429,                235428,,                 98789,,                  9210,,                216060,,                 19368,,                              0.33,                              0.33,,                              0.29,                              0.29,                103810,                 -2254,,,                 25873
1715,2012年07月01日至2012年09月30日,,              2494820,,              2171358,                323462,                323462,,,                112936,,                108647,,                  9953,                231536,                 91926,,,                 33558,,                -14147,,                 16184,,                 13290,                 16517,                108443,,                 34326,                 74117,                 74117,,,,,,,,                -43366,                 30751,,                 66464,                 -1471,                  9124,,                 16747,                 -2334,                 16338,,                              0.22,                              0.22,,                              0.19,                              0.19,                -36279,                 -1822,,,                 -5265
1715,2012年04月01日至2012年06月30日,,              2651563,,              2312207,                339356,                339356,,,                114866,,                105451,,                 10522,                230839,                108517,,,                 13607,,                  2223,,                 21277,,                 12646,                  7199,                115716,,                 22135,                 93581,                 93581,,,,,,,,                 12875,                106456,,                 81695,                    262,                 11624,,                104038,                    537,                  1881,,                              0.28,                              0.28,,                              0.24,                              0.24,                 16193,                 -5596,,,                  2278
1715,2012年01月01日至2012年12月31日,,             10085271,,              8781777,              1303494,              1303494,,,                426258,,                399427,,                 39865,                865550,                437944,,,                 81225,,                -50776,,                 90781,,                 64368,                  4036,                441980,,                105004,                336976,                336976,,,,,,,,               -149733,                187243,,                301184,                 -2385,                 38177,,                160219,                 -2385,                 29409,,                              1.01,                              1.01,,                              0.85,                              0.85,               -126653,                    783,                 -8562,,                -15301
1715,2012年01月01日至2012年09月30日,,              7595911,,              6583465,              1012446,              1012446,,,                323825,,                312979,,                 32901,                669705,                342741,,,                 65031,,                -20259,,                 63095,,                 36866,                 18543,                361284,,                 78054,                283230,                283230,,,,,,,,               -124871,                158359,,                254352,                 -2396,                 31274,,                140126,                 -3259,                 21492,,                              0.87,                              0.87,,                              0.72,                              0.72,               -109613,                  3124,,,                -18382
1715,2012年01月01日至2012年06月30日,,              5101091,,              4412107,                688984,                688984,,,                210889,,                204332,,                 22948,                438169,                250815,,,                 31473,,                 -6112,,                 46911,,                 23576,                  2026,                252841,,                 43728,                209113,                209113,,,,,,,,                -81505,                127608,,                187888,                   -925,                 22150,,                123587,                 -1133,                  5154,,                              0.65,                              0.65,,                              0.53,                              0.53,                -73334,                  4946,,,                -13117
1715,2012年01月01日至2012年03月31日,,              2449528,,              2099900,                349628,                349628,,,                 96023,,                 98881,,                 12426,                207330,                142298,,,                 17866,,                 -8335,,                 25634,,                 10930,                 -5173,                137125,,                 21593,                115532,                115532,,,,,,,,                -94380,                 21152,,                106193,,                  9339,,                 19066,,                  2086,,                              0.37,                              0.37,,                              0.29,                              0.29,                -89527,                 10542,,,                -15395
