證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 其他綜合損益,　　　 銷貨成本
3669,2015年第3季,,,,                480298,                480298,                480298,                480298,,,                271280,                271280,                209018,                209018,,,                123757,,                 19224,,                 55406,                198387,                 10631,,,                  2991,,                 10061,,                              0,                 13052,                 23683,,                  4627,                 19056,                 19056,,,                 16010,                 16010,                 16010,                 35066,,                 19056,,                 35066,,                              0.21,                              0.21,,                              0.21,                              0.21,,,
3669,2015年第2季,,,,                399865,                399865,                399865,                399865,,,                213080,                213080,                186785,                186785,,,                118383,,                 19143,,                 55033,                192559,                 -5774,,,                  3307,,                  2323,,                              0,                  5630,                   -144,,                 -1182,                  1038,                  1038,,,                 -4981,                 -4981,                 -4981,                 -3943,,                  1038,,                 -3943,,                              0.01,                              0.01,,                              0.01,                              0.01,,,
3669,2015年01月01日至2015年09月30日,,,,              1238642,              1238642,              1238642,              1238642,,,                666827,                666827,                571815,                571815,,,                368882,,                 61280,,                168156,                598318,                -26503,,,                  9250,,                  2836,,                              0,                 12086,                -14417,,                  3947,                -18364,                -18364,,,                 11107,                 11107,                 11107,                 -7257,,                -18364,,                 -7257,,                             -0.19,                             -0.19,,                             -0.19,                             -0.19,,,
3669,2015年01月01日至2015年06月30日,,,,                758344,                758344,                758344,                758344,,,                395547,                395547,                362797,                362797,,,                245125,,                 42056,,                112750,                399931,                -37134,,,                  6259,,                 -7225,,                              0,                   -966,                -38100,,                   -680,                -37420,                -37420,,,                 -4903,                 -4903,                 -4903,                -42323,,                -37420,,                -42323,,                             -0.39,                             -0.39,,                             -0.39,                             -0.39,,,
3669,2015年01月01日至2015年03月31日,,,,                358479,                358479,                358479,                358479,,,                182467,                182467,                176012,                176012,,,                126742,,                 22913,,                 57717,                207372,                -31360,,,                  2952,,                 -9548,,                              0,                 -6596,                -37956,,                    502,                -38458,                -38458,,,                     78,                     78,                     78,                -38380,,                -38458,,                -38380,,                             -0.39,                             -0.39,,                             -0.39,                             -0.39,,,
3669,2014年第3季,,,,                528671,                528671,                528671,                528671,,,                283181,                283181,                245490,                245490,,,                142993,,                 22457,,                 59876,                225326,                 20164,,,                  2644,,                 -2737,,                      2,                    -95,                 20069,,                  7288,                 12781,                 12781,,,                  5509,                  5509,                  5509,                 18290,,                 12781,,                 18290,,                              0.13,                              0.13,,                              0.13,                              0.13,,,
3669,2014年第2季,,,,                482238,                482238,                482238,                482238,,,                224466,                224466,                257772,                257772,,,                135873,,                 20567,,                 61017,                217457,                 40315,,,                  2814,,                 -1428,,                      5,                  1381,                 41696,,                  6336,                 35360,                 35360,,,                 -6077,                 -6077,                 -6077,                 29283,,                 35360,,                 29283,,                              0.36,                              0.36,,                              0.36,                              0.36,,,
3669,2014年度,,,,              1825611,              1825611,              1825611,              1825611,,,                924586,                924586,                901025,                901025,,,                555302,,                 80978,,                237701,                873981,                 27044,,,                 11554,,                 -1431,,                     16,                 10107,                 37151,,                 16141,                 21010,                 21010,,,,,                 19215,                 40225,,                 21010,,                 40225,,                              0.20,                              0.20,,                              0.20,                              0.20,                 19215,                              0,
3669,2014年01月01日至2014年09月30日,,,,              1425367,              1425367,              1425367,              1425367,,,                709978,                709978,                715389,                715389,,,                410913,,                 61516,,                180173,                652602,                 62787,,,                  7780,,                 -3854,,                     16,                  3910,                 66697,,                 14892,                 51805,                 51805,,,                  6477,                  6477,                  6477,                 58282,,                 51805,,                 58282,,                              0.53,                              0.53,,                              0.53,                              0.53,,,
3669,2014年01月01日至2014年06月30日,,,,                896696,                896696,                896696,                896696,,,                426797,                426797,                469899,                469899,,,                267920,,                 39059,,                120297,                427276,                 42623,,,                  5136,,                 -1117,,                     14,                  4005,                 46628,,                  7604,                 39024,                 39024,,,                    968,                    968,                    968,                 39992,,                 39024,,                 39992,,                              0.40,                              0.40,,                              0.40,                              0.40,,,
3669,2014年01月01日至2014年03月31日,,,,                414458,                414458,                414458,                414458,,,                202331,                202331,                212127,                212127,,,                132047,,                 18492,,                 59280,                209819,                  2308,,,                  2322,,                    311,,                      9,                  2624,                  4932,,                  1268,                  3664,                  3664,,,                  7045,                  7045,                  7045,                 10709,,                  3664,,                 10709,,                              0.04,                              0.04,,                              0.04,                              0.04,,,
3669,2013年第3季,,,,                428897,                428897,                428897,                428897,,,                204613,                204613,                224284,                224284,,,                119881,,                 19812,,                 76958,                216651,                  7633,,,                  2915,,                  1348,,                    835,                  3428,                 11061,,                 19426,                 -8365,                 -8365,,,,,                 -4270,                -12635,,                 -8365,,                -12635,,                             -0.09,                             -0.09,,                             -0.09,                             -0.09,                 -4328,                     58,
3669,2013年第2季,,,,                403738,                403738,                403738,                403738,,,                186700,                186700,                217038,                217038,,,                120810,,                 22395,,                 75260,                218465,                 -1427,,,                  3823,,                  1207,,                    598,                  4432,                  3005,,                  8325,                 -5320,                 -5320,,,,,                  1310,                 -4010,,                 -5320,,                 -4010,,                             -0.05,                             -0.05,,                             -0.05,                             -0.05,                  1200,                    110,                186700
3669,2013年度,,,,              1648644,              1648644,              1648644,              1648644,,,                779339,                779339,                869305,                869305,,,                484602,,                 84746,,                306142,                875490,                 -6185,,,                 13819,,                  5117,,                  1692,                 17244,                 11059,,                 58713,                -47654,                -47654,,,,,                  4734,                -42920,,                -47654,,                -42920,,                             -0.50,                             -0.50,,                             -0.50,                             -0.50,                  4763,                    -29,
3669,2013年07月01日至2013年09月30日,,,,,,                428897,                428897,,,                204613,                204613,                224284,                224284,,,                119881,,                 19812,,                 76958,                216651,                  7633,,,                  2915,,                  1348,,                    835,                  3428,                 11061,,                 19426,                 -8365,                 -8365,,,,,                 -4270,                -12635,,                 -8365,,                -12635,,                             -0.09,                             -0.09,,                             -0.09,                             -0.09,                 -4328,                     58,
3669,2013年04月01日至2013年06月30日,,,,,,                403738,                403738,,,                186700,                186700,                217038,                217038,,,                120810,,                 22395,,                 75260,                218465,                 -1427,,,                  3823,,                  1207,,                    598,                  4432,                  3005,,                  8325,                 -5320,                 -5320,,,,,                  1310,                 -4010,,                 -5320,,                 -4010,,                             -0.05,                             -0.05,,                             -0.05,                             -0.05,                  1200,                    110,
3669,2013年01月01日至2013年12月31日,,,,,,              1648644,              1648644,,,                779339,                779339,                869305,                869305,,,                484602,,                 84746,,                306142,                875490,                 -6185,,,                 13819,,                  5117,,                  1692,                 17244,                 11059,,                 58713,                -47654,                -47654,,,,,                  4734,                -42920,,                -47654,,                -42920,,                             -0.50,                             -0.50,,                             -0.50,                             -0.50,                  4763,                    -29,
3669,2013年01月01日至2013年09月30日,,,,              1259625,              1259625,              1259625,              1259625,,,                591505,                591505,                668120,                668120,,,                354316,,                 64091,,                236189,                654596,                 13524,,,                  9421,,                  2548,,                  1456,                 10513,                 24037,,                 36182,                -12145,                -12145,,,,,                  4595,                 -7550,,                -12145,,                 -7550,,                             -0.13,                             -0.13,,                             -0.12,                             -0.12,                  4582,                     13,
3669,2013年01月01日至2013年06月30日,,,,                830728,                830728,                830728,                830728,,,                386892,                386892,                443836,                443836,,,                234435,,                 44279,,                159231,                437945,                  5891,,,                  6506,,                  1200,,                    621,                  7085,                 12976,,                 16756,                 -3780,                 -3780,,,,,                  8865,                  5085,,                 -3780,,                  5085,,                             -0.40,                             -0.40,,                             -0.40,                             -0.40,                  8910,                    -45,                386892
3669,2013年01月01日至2013年03月31日,,,,,,                426990,                426990,,,                200192,                200192,                226798,                226798,,,                113625,,                 21884,,                 83971,                219480,                  7318,,,                  2683,,                     -7,,                     23,                  2653,                  9971,,                  8431,                  1540,                  1540,,,,,                  7555,                  9095,,                  1540,,                  9095,,                              0.02,                              0.02,,,                              0.02,                  7710,                   -155,
3669,2012年07月01日至2012年09月30日,,,,,,                537953,                537953,,,                239943,                239943,                298010,                298010,,,                122487,,                 27721,,                 90152,                240360,                 57650,,,                  3332,,                   -704,,                    655,                  1973,                 59623,,                 15209,                 44414,                 44414,,,,,                 -5160,                 39254,,                 44414,,                 39254,,                              0.45,                              0.45,,                              0.45,                              0.45,                 -5135,                    -25,
3669,2012年04月01日至2012年06月30日,,,,,,                479925,                479925,,,                221791,                221791,                258134,                258134,,,                129879,,                 25084,,                 90154,                245117,                 13017,,,                  4324,,                  1022,,                    939,                  4407,                 17424,,                  9527,                  7897,                  7897,,,,,                  3005,                 10902,,                  7897,,                 10902,,                              0.08,                              0.08,,                              0.08,                              0.08,                  2952,                     53,
3669,2012年01月01日至2012年12月31日,,,,,,              1829110,              1829110,,,                840703,                840703,                988407,                988407,,,                487987,,                 94717,,                344487,                927191,                 61216,,,                 17600,,                 -2871,,                  2816,                 11913,                 73129,,                 35240,                 37889,                 37889,,,,,                -16519,                 21370,,                 37889,,                 21370,,                              0.40,                              0.40,,                              0.40,                              0.40,                -16548,                     29,
3669,2012年01月01日至2012年09月30日,,,,,,              1467292,              1467292,,,                659970,                659970,                807322,                807322,,,                381068,,                 75726,,                273008,                729802,                 77520,,,                 11610,,                 -2126,,                  2660,                  6824,                 84344,,                 31004,                 53340,                 53340,,,,,                -11679,                 41661,,                 53340,,                 41661,,                              0.54,                              0.54,,                              0.54,                              0.54,                -11708,                     29,
3669,2012年01月01日至2012年06月30日,,,,,,                929339,                929339,,,                420027,                420027,                509312,                509312,,,                258581,,                 48005,,                182856,                489442,                 19870,,,                  8278,,                 -1422,,                  2005,                  4851,                 24721,,                 15795,                  8926,                  8926,,,,,                 -6519,                  2407,,                  8926,,                  2407,,                              0.09,                              0.09,,                              0.09,                              0.09,                 -6573,                     54,
3669,2012年01月01日至2012年03月31日,,,,,,                449414,                449414,,,                198236,                198236,                251178,                251178,,,                128702,,                 22921,,                 92702,                244325,                  6853,,,                  3954,,                 -2444,,                  1066,                    444,                  7297,,                  6268,                  1029,                  1029,,,,,                 -9524,                 -8495,,                  1029,,                 -8495,,                              0.01,                              0.01,,,,                 -9525,                      1,
