證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　 其他綜合損益(淨額),　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 其他綜合損益（淨額）,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）
6112,2015年第3季,,              2154486,,              1981502,                172984,                172984,,,                 85092,,                 34004,,                  3627,                122723,                 50261,,,                  4536,,                 22345,,                  4238,,                    -36,                 22607,                 72868,,                 13488,                 59380,                 59380,                 59380,,                 57144,                  2236,,                 57144,                  2236,,                              0.62,,                              0.62,,,,,,,
6112,2015年第2季,,              2177072,,              1984145,                192927,                192927,,,                 76823,,                 34813,,                  5124,                116760,                 76167,,,                  6425,,                  4264,,                  4130,,                     76,                  6635,                 82802,,                 16846,                 65956,                 65956,                 65956,,                 63891,                  2065,,                 63891,                  2065,,                              0.70,,                              0.69,,,,,,,
6112,2015年01月01日至2015年09月30日,,              6437186,,              5887200,                549986,                549986,,,                241271,,                 99392,,                 11622,                352285,                197701,,,                 13099,,                 26954,,                 12484,,                     33,                 27602,                225303,,                 43409,                181894,                181894,                181894,,                176187,                  5707,,                176187,                  5707,,                              1.92,,                              1.90,,,,,,,
6112,2015年01月01日至2015年06月30日,,              4282700,,              3905698,                377002,                377002,,,                156179,,                 65388,,                  7995,                229562,                147440,,,                  8563,,                  4609,,                  8246,,                     69,                  4995,                152435,,                 29921,                122514,                122514,                122514,,                119043,                  3471,,                119043,                  3471,,                              1.30,,                              1.29,,,,,,,
6112,2015年01月01日至2015年03月31日,,              2105628,,              1921553,                184075,                184075,,,                 79356,,                 30575,,                  2871,                112802,                 71273,,,                  2138,,                    345,,                  4116,,                     -7,                 -1640,                 69633,,                 13075,                 56558,                 56558,                 56558,,                 55152,                  1406,,                 55152,                  1406,,                              0.60,,                              0.60,,,,,,,
6112,2014年第3季,,              2084966,,              1907495,                177471,                177471,,,                 77987,,                 31874,,                  3446,                113307,                 64164,,,                  3776,,                  9139,,                  4346,,                      5,                  8574,                 72738,,                 14823,                 57915,                 57915,                 57915,,                 56676,                  1239,,                 56676,                  1239,,                              0.62,,                              0.62,,,,,,,
6112,2014年第2季,,              2316922,,              2132260,                184662,                184662,,,                 74085,,                 34755,,                  2848,                111688,                 72974,,,                  3011,,                  6172,,                  4168,,                    209,                  5224,                 78198,,                 13492,                 64706,                 64706,                 64706,,                 63078,                  1628,,                 63078,                  1628,,                              0.69,,                              0.69,,,,,,,
6112,2014年度,,              8415139,,              7720323,                694816,                694816,,,                303761,,                124225,,                 11586,                439572,                255244,,,                 10871,,                 33500,,                 16670,,                    468,                 28169,                283413,,                 49649,                233764,                233764,                233764,,                229663,                  4101,,                229663,                  4101,,                              2.50,,                              2.49,,,                              0,                              0,                              0,,
6112,2014年01月01日至2014年09月30日,,              6392045,,              5865167,                526878,                526878,,,                222564,,                 97470,,                  8803,                328837,                198041,,,                  8567,,                 22651,,                 12550,,                    282,                 18950,                216991,,                 39453,                177538,                177538,                177538,,                174038,                  3500,,                174038,                  3500,,                              1.90,,                              1.89,,,,,,,
6112,2014年01月01日至2014年06月30日,,              4307079,,              3957672,                349407,                349407,,,                144577,,                 65596,,                  5357,                215530,                133877,,,                  4791,,                 13512,,                  8204,,                    277,                 10376,                144253,,                 24630,                119623,                119623,                119623,,                117362,                  2261,,                117362,                  2261,,                              1.28,,                              1.27,,,,,,,
