證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 租金收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 減損迴轉利益,　　　　 減損迴轉利益合計,　　　 什項支出,　　　 減損損失,　　　　 減損損失合計,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　　　 外幣兌換損失,　　　 處分不動產、廠房及設備損失,　　　 廉價購買利益,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　　 處分投資損失,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　 其他收益及費損淨額,　　 其他收益及費損淨額,　　 除列按攤銷後成本衡量金融資產淨損益,　　　 除列按攤銷後成本衡量金融資產淨損益,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益,　　 權益工具投資之利益（損失）,　　 備供出售金融資產未實現評價損益,　　 現金流量避險,　　 國外營運機構淨投資避險,　　 重估價之利益（損失）,　　 與待出售非流動資產直接相關之權益,　　 其他綜合損益,　　 與其他綜合損益組成部分相關之所得稅
3536,2015年第3季,,,                322046,                322046,,,                287459,                287459,                 34587,                 34587,,,                 15570,,                 32865,,                  3035,                 51470,                -16883,,,,                     57,                              0,                  1037,                  1094,,                  3725,                  9342,                  8390,,                              0,                     71,,                              0,                 21386,,                  3384,                  3384,                 19096,                  2213,,                  2999,                   -786,                   -786,,,                 18288,                 18288,                 18288,                 17502,,                 -3882,                  3096,,                 10827,                  6675,,                             -0.04,                             -0.04,,,,,,,,,,,,,,,,,,,,,,,,,,
3536,2015年第2季,,,                312245,                312245,,,                283988,                283988,                 28257,                 28257,,,                 12327,,                 29484,,                  3178,                 44989,                -16732,,,,                     67,                    411,                  3371,                  3849,,                    218,                  1169,,,,                  1191,,                              0,                    196,,                  3456,                  3456,                    589,                -16143,,                  1695,                -17838,                -17838,,,                 -5328,                 -5328,                 -5328,                -23166,,                -19641,                  1803,,                -23972,                    806,,                             -0.20,                             -0.20,                              0,,,,,,,,,,,,,,,,,,,,,,,,,
3536,2015年01月01日至2015年09月30日,,,                911080,                911080,,,                829110,                829110,                 81970,                 81970,,,                 45705,,                 97371,,                  9843,                152919,                -70949,,,,                    172,                    411,                  4820,                  5403,,                  3940,                 13348,                  8390,,                              0,                  1320,,                              0,                 24358,,                 10499,                 10499,                 19262,                -51687,,                  4874,                -56561,                -56561,,,                  1495,                  1495,                  1495,                -55066,,                -61890,                  5329,,                -60803,                  5737,,                             -0.65,                             -0.65,,,,,,,,,,,,,,,,,,,,,,,,,,
3536,2015年01月01日至2015年06月30日,,,                589034,                589034,,,                541651,                541651,                 47383,                 47383,,,                 30135,,                 64506,,                  6808,                101449,                -54066,,,,                    115,                    411,                  3783,                  4309,,                    215,                  4006,,,,                  1249,,                              0,                  2972,,                  7115,                  7115,                    166,                -53900,,                  1875,                -55775,                -55775,,,                -16793,                -16793,                -16793,                -72568,,                -58008,                  2233,,                -71630,                   -938,,                             -0.61,                             -0.61,                              0,,,,,,,,,,,,,,,,,,,,,,,,,
3536,2015年01月01日至2015年03月31日,,,                276789,                276789,,,                257663,                257663,                 19126,                 19126,,,                 17808,,                 35022,,                  3630,                 56460,                -37334,,,,                     48,,                    412,                    460,,                              0,                  2837,,,,                     58,,,                  2776,,                  3659,                  3659,                   -423,                -37757,,                    180,                -37937,                -37937,,,                -11465,                -11465,                -11465,                -49402,,                -38367,                    430,,                -47658,                 -1744,,                             -0.41,                             -0.41,,                      3,,,,,,,,,,,,,,,,,,,,,,,,
3536,2014年第3季,,,                425558,                425558,,,                369002,                369002,                 56556,                 56556,,,                 13684,,                 38427,,                  3153,                 55264,                  1292,,,,                    224,                              0,                    351,                    575,,                     18,                  1113,                              0,,                    968,                  1012,,                              0,                  1087,,                  4525,                  4525,                 -2863,                 -1571,,                  2619,                 -4190,                 -4190,,,                 12224,                 12224,                 12224,                  8034,,                 -7021,                  2831,,                  2606,                  5428,,                             -0.08,                             -0.08,,,,,,,,,,,,,,,,,,,,,,,,,,
3536,2014年第2季,,,                358933,                358933,,,                330402,                330402,                 28531,                 28531,,,                 19868,,                 30100,,                  3340,                 53308,                -24777,,,,                    247,                              0,                    151,                    398,,                              0,                              0,,,,                    163,,                395324,               -396061,,                  5344,                  5344,               -401007,               -425784,,                  2063,               -427847,               -427847,,,                -17254,                -17254,                -17254,               -445101,,               -430323,                  2476,,               -444927,                   -174,,                             -4.95,                             -4.95,                    574,,,,,,,,,,,,,,,,,,,,,,,,,
3536,2014年度,,,              1383276,              1383276,,,              1255871,              1255871,                127405,                127405,,,                 64523,,                129284,,                 12610,                206417,                -79012,,,,                    881,,                  3587,                  4468,,                  3192,                  2871,,,,                  1299,,                397016,               -392252,,                 18035,                 18035,               -405819,               -484831,,                  6333,               -491164,               -491164,,,,,                 43759,               -447405,,               -497307,                  6143,,               -461317,                 13912,,                             -5.73,                             -5.73,,                              0,                              0,                 43759,                              0,,,,,,,,,,,,,,,,,,,,,
3536,2014年01月01日至2014年09月30日,,,              1036357,              1036357,,,                949410,                949410,                 86947,                 86947,,,                 48313,,                 98845,,                  9676,                156834,                -69887,,,,                    703,                              0,                  2892,                  3595,,                     56,                  3126,                              0,,                              0,                  1235,,                394356,               -392409,,                 14392,                 14392,               -403206,               -473093,,                  4340,               -477433,               -477433,,,                  9122,                  9122,                  9122,               -468311,,               -482085,                  4652,,               -474693,                  6382,,                             -5.55,                             -5.55,,,,,,,,,,,,,,,,,,,,,,,,,,
3536,2014年01月01日至2014年06月30日,,,                610799,                610799,,,                580408,                580408,                 30391,                 30391,,,                 34629,,                 60418,,                  6523,                101570,                -71179,,,,                    479,                              0,                  2541,                  3020,,                     38,                  2013,,,,                    223,,                395324,               -393496,,                  9867,                  9867,               -400343,               -471522,,                  1721,               -473243,               -473243,,,                 -3102,                 -3102,                 -3102,               -476345,,               -475064,                  1821,,               -477299,                    954,,                             -5.47,                             -5.47,                              0,,,,,,,,,,,,,,,,,,,,,,,,,
