證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
2347,2015年第3季,,             84507068,,             81495716,              3011352,              3011352,,,                947710,,                753594,              1701304,              1310048,,,                408630,,             -1604790,,                218928,,                343345,             -1071743,                238305,,               -108998,                347303,                347303,,,              2162701,               -228216,,                -65063,              1869422,              1869422,              2216725,,                301759,                 45544,,              2198068,                 18657,,                              0.19,                              0.19,,                              0.19,                              0.19,,,,,,
2347,2015年第2季,,             73178379,,             70579639,              2598740,              2598740,,,                977126,,                706307,              1683433,                915307,,,                592784,,                 60154,,                205402,,                312809,                760345,              1675652,,                306475,              1369177,              1369177,,,               -776681,                 -1019,,                -25814,               -803514,               -803514,                565663,,              1300182,                 68995,,                528667,                 36996,,                              0.82,                              0.82,,                              0.82,                              0.82,,,,,,
2347,2015年01月01日至2015年09月30日,,            227922273,,            219601112,              8321161,              8321161,,,              2975377,,              2134233,              5109610,              3211551,,,              1457876,,             -1803208,,                607259,,                998690,                 46099,              3257650,,                330770,              2926880,              2926880,,,               -198078,               -231325,,               -145006,               -574409,               -574409,              2352471,,              2758738,                168142,,              2299530,                 52941,,                              1.74,                              1.74,,                              1.74,                              1.74,,,,,,
2347,2015年01月01日至2015年06月30日,,            143415205,,            138105396,              5309809,              5309809,,,              2027667,,              1380639,              3408306,              1901503,,,              1049246,,               -198418,,                388331,,                655345,              1117842,              3019345,,                439768,              2579577,              2579577,,,             -2360779,                 -3109,,                -79943,             -2443831,             -2443831,                135746,,              2456979,                122598,,                101462,                 34284,,                              1.55,                              1.55,,                              1.55,                              1.55,,,,,,
2347,2015年01月01日至2015年03月31日,,             70236826,,             67525757,              2711069,              2711069,,,              1050541,,                674332,              1724873,                986196,,,                456462,,               -258572,,                182929,,                342536,                357497,              1343693,,                133293,              1210400,              1210400,,,             -1584098,                 -2090,,                -54129,             -1640317,             -1640317,               -429917,,              1156797,                 53603,,               -427205,                 -2712,,                              0.73,                              0.73,,                              0.73,                              0.73,,,,,,
2347,2014年第3季,,             90713904,,             87532557,              3181347,              3181347,,,                992408,,                698836,              1691244,              1490103,,,                347464,,                 29336,,                192450,,                241071,                425421,              1915524,,                366015,              1549509,              1549509,,,                125936,               -120863,,                -17478,                -12405,                -12405,              1537104,,              1495465,                 54044,,              1492899,                 44205,,                              0.94,                              0.94,,                              0.94,                              0.94,,,,,,
2347,2014年第2季,,             77931683,,             75151950,              2779733,              2779733,,,                907749,,                771187,              1678936,              1100797,,,                328481,,                -79618,,                179225,,                262714,                332352,              1433149,,                218860,              1214289,              1214289,,,               -889280,                -10723,,                 33269,               -866734,               -866734,                347555,,              1149730,                 64559,,                359471,                -11916,,                              0.72,                              0.72,,                              0.72,                              0.72,,,,,,
2347,2014年度,,            331532594,,            320007409,             11525185,             11525185,,,              4138854,,              2936652,              7075506,              4449679,,,              1642441,,               -297149,,                706562,,              1128824,              1767554,              6217233,,                962037,              5255196,              5255196,,,,,,,,              1985706,              7240902,,              5024099,                231097,,              7123598,                117304,,                              3.16,                              3.16,,                              3.16,                              3.16,              2295038,               -197766,                 11849,,               -123216,                    199
2347,2014年01月01日至2014年09月30日,,            246796159,,            238229309,              8566850,              8566850,,,              3100990,,              1986679,              5087669,              3479181,,,              1189217,,               -378460,,                532944,,                772900,              1050713,              4529894,,                720721,              3809173,              3809173,,,                586752,               -177374,,                 44331,                453709,                453709,              4262882,,              3639387,                169786,,              4226349,                 36533,,                              2.29,                              2.29,,                              2.29,                              2.29,,,,,,
2347,2014年01月01日至2014年06月30日,,            156082255,,            150696752,              5385503,              5385503,,,              2108582,,              1287843,              3396425,              1989078,,,                841753,,               -407796,,                340494,,                531829,                625292,              2614370,,                354706,              2259664,              2259664,,,                460816,                -56511,,                 61809,                466114,                466114,              2725778,,              2143922,                115742,,              2733450,                 -7672,,                              1.35,                              1.35,,                              1.35,                              1.35,,,,,,
