證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 本期所得稅費用（利益）,　　 共同控制下前手權益（綜合損益）,　　 非控制權益（綜合損益）,　　 國外營運機構財務報表換算之兌換差額,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 銷貨成本,　　　 銷貨成本合計,　　　 利息收入,　　　　 利息收入合計,　　　 租金收入,　　　 處分不動產、廠房及設備利益,　　　 外幣兌換利益,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 外幣兌換損失,　　 當期所得稅費用（利益）,　　 非控制權益（淨利／損）,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨成本,　　 其他綜合損益
3661,2015年第3季,,              1313152,,              1050177,                262975,                262975,,,                 25468,,                 35339,,                103590,                164397,                 98578,,,                 13966,                 13966,,                -12857,,                  2111,                 -1002,                 97576,,                  4891,                 92685,                 92685,,,                169936,                169936,,                    770,                -41752,                -40982,                128954,                221639,,                 92685,,                221639,,                              1.51,                              1.51,,                              1.50,                              1.50,,,,,,,,,,,,,,,,,,,,,,,,,
3661,2015年第2季,,                874550,,                686224,                188326,                188326,,,                 22623,,                 38140,,                 97621,                158384,                 29942,,,,                 13787,,                  3775,,                  1358,                 16204,                 46146,,                 30209,                 15937,                 15937,,,                -39340,                -39340,,                   -599,                -17711,                -18310,                -57650,                -41713,,                 15937,,                -41713,,                              0.25,                              0.25,,                              0.25,                              0.25,                 30209,,,,,,,,,,,,,,,,,,,,,,,,
3661,2015年01月01日至2015年09月30日,,              2890852,,              2347088,                543764,                543764,,,                 70335,,                105857,,                297387,                473579,                 70185,,,                 32233,                 32233,,                 -7741,,                  3652,                 20840,                 91025,,                 38356,                 52669,                 52669,,,                 99998,                 99998,,                    -38,                -60755,                -60793,                 39205,                 91874,,                 52669,,                 91874,,                              0.84,                              0.84,,                              0.84,                              0.84,,,,,,,,,,,,,,,,,,,,,,,,,
3661,2015年01月01日至2015年06月30日,,              1577700,,              1296911,                280789,                280789,,,                 44867,,                 70518,,                193797,                309182,                -28393,,,,                 18267,,                  5116,,                  1541,                 21842,                 -6551,,                 33465,                -40016,                -40016,,,                -69938,                -69938,,                   -808,                -19003,                -19811,                -89749,               -129765,,                -40016,,               -129765,,                             -0.63,                             -0.63,,                             -0.63,                             -0.63,                 33465,,,,,,,,,,,,,,,,,,,,,,,,
3661,2015年01月01日至2015年03月31日,,                703150,,                610687,                 92463,                 92463,,,                 22244,,                 32378,,                 96176,                150798,                -58335,,,,                  4480,,                  1341,,                    183,                  5638,                -52697,,                  3256,                -55953,                -55953,,,                -30598,                -30598,,                   -209,                 -1292,                 -1501,                -32099,                -88052,,                -55953,,                -88052,,                             -0.88,                             -0.88,,                              0.00,                              0.00,,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,
3661,2014年第3季,,              1299417,,              1057951,                241466,                241466,,,                 23996,,                 37690,,                 91877,                153563,                 87903,,,                  3971,                  3971,,                    768,,                    520,                  4219,                 92122,,                  3493,                 88629,                 88629,,,                 34714,                 34714,,                 -5565,                              0,                 -5565,                 29149,                117778,,                 88629,,                117778,,                              1.62,                              1.62,,                              1.58,                              1.58,,,,,,,,,,,,,,,,,,,,,,,,,
3661,2014年第2季,,              1327221,,              1107438,                219783,                219783,,,                 22075,,                 40461,,                 86317,                148853,                 70930,,,,                  3109,,                 -1210,,                     64,                  1835,                 72765,,                 13201,                 59564,                 59564,,,                -35406,                -35406,,                  1040,                              0,                  1040,                -34366,                 25198,,                 59564,,                 25198,,                              1.10,                              1.10,,                              1.08,                              1.08,                 13201,,,,,,,,,,,,,,,,,,,,,,,,
3661,2014年度,,              4691741,,              3738434,                953307,                953307,,,                 93463,,                149625,,                368021,                611109,                342198,,,,                 10490,,                -52474,,                    706,                -42690,                299508,,                 88322,                211186,                211186,,,,,,,,,                139282,                350468,,                211186,,                350468,,,                              3.77,,,                              3.65,,,,                139282,,,,,,,,,,,,,,,,,,,,,
3661,2014年01月01日至2014年09月30日,,              3466587,,              2800365,                666222,                666222,,,                 67969,,                110618,,                265222,                443809,                222413,,,                  8280,                  8280,,                 -2895,,                    702,                  4683,                227096,,                 25805,                201291,                201291,,,                 36608,                 36608,,                 -3217,                              0,                 -3217,                 33391,                234682,,                201291,,                234682,,                              3.71,                              3.71,,                              3.61,                              3.61,,,,,,,,,,,,,,,,,,,,,,,,,
3661,2014年01月01日至2014年06月30日,,              2167170,,              1742414,                424756,                424756,,,                 43973,,                 72928,,                173345,                290246,                134510,,,,                  4309,,                 -3663,,                    182,                    464,                134974,,                 22312,                112662,                112662,,,                  1894,                  1894,,                  2348,                              0,                  2348,                  4242,                116904,,                112662,,                116904,,                              2.08,                              2.08,,                              2.04,                              2.04,                 22312,,,,,,,,,,,,,,,,,,,,,,,,
