證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 銷貨成本,　　　 銷貨成本合計,　　 其他綜合損益
1539,2015年第3季,,                748956,,                638252,                110704,                110704,,,                 12573,,                 14490,,                  5897,                 32960,                 77744,,,                  2694,,                 75598,,                  6739,                 71553,                149297,,                 26700,                122597,                122597,,,                   -803,                   -136,                   -667,                   -667,                121930,,                122597,,                121930,,                              1.88,,                              1.87,,,,,,
1539,2015年第2季,,                716242,,                618807,                 97435,                 97435,,,                 11155,,                 14149,,                  7023,                 32327,                 65108,,,                  2340,,                -13774,,                  6198,                -17632,                 47476,,                 14536,                 32940,                 32940,,,                    275,                     46,                    229,                    229,                 33169,,                 32940,,                 33169,,                              0.50,,                              0.50,,,,,,
1539,2015年01月01日至2015年09月30日,,              2142881,,              1834504,                308377,                308377,,,                 35900,,                 42793,,                 17435,                 96128,                212249,,,                  7580,,                 52027,,                 17439,                 42168,                254417,,                 51735,                202682,                202682,,,                   -111,                    -19,                    -92,                    -92,                202590,,                202682,,                202590,,                              3.10,,                              3.09,,,,,,
1539,2015年01月01日至2015年06月30日,,              1393925,,              1196252,                197673,                197673,,,                 23327,,                 28303,,                 11538,                 63168,                134505,,,                  4886,,                -23571,,                 10700,                -29385,                105120,,                 25035,                 80085,                 80085,,,                    692,                    117,                    575,                    575,                 80660,,                 80085,,                 80660,,                              1.23,,                              1.22,,,,,,
1539,2015年01月01日至2015年03月31日,,                677683,,                577445,                100238,                100238,,,                 12172,,                 14154,,                  4515,                 30841,                 69397,,,                  2546,,                 -9797,,                  4502,                -11753,                 57644,,                 10499,                 47145,                 47145,,,                    417,                     71,                    346,                    346,                 47491,,                 47145,,                 47491,,                              0.72,,                              0.72,,,,,,
1539,2014年第3季,,                668731,,                597727,                 71004,                 71004,,,                 11159,,                 15289,,                  5379,                 31827,                 39177,,,                  4078,,                 16114,,                  5696,                 14496,                 53673,,                 11852,                 41821,                 41821,,,                   -317,                    -53,                   -264,                   -264,                 41557,,                 41821,,                 41557,,                              0.64,,                              0.64,,,,,,
1539,2014年第2季,,                769498,,                678276,                 91222,                 91222,,,                 12338,,                 11866,,                  5048,                 29252,                 61970,,,                  2178,,                -13939,,                  4572,                -16333,                 45637,,                 11892,                 33745,                 33745,,,                    230,                     39,                    191,                    191,                 33936,,                 33745,,                 33936,,                              0.52,,                              0.52,,,,,,
1539,2014年度,,              2503519,,              2243659,                259860,                259860,,,                 48983,,                 57724,,                 22105,                128812,                131048,,,                 11595,,                 45072,,                 18126,                 38541,                169589,,                 38231,                131358,                131358,,,,,,                 -1953,                129405,,                131358,,                129405,,                              2.01,,,                 -1251,                 -1102,                   -400,,,
1539,2014年01月01日至2014年09月30日,,              1963263,,              1752109,                211154,                211154,,,                 33068,,                 40601,,                 15358,                 89027,                122127,,,                  8210,,                 16111,,                 14350,                  9971,                132098,,                 30606,                101492,                101492,,,                   -167,                    -28,                   -139,                   -139,                101353,,                101492,,                101353,,                              1.55,,                              1.55,,,,,,
1539,2014年01月01日至2014年06月30日,,              1294532,,              1154382,                140150,                140150,,,                 21909,,                 25312,,                  9979,                 57200,                 82950,,,                  4132,,                     -3,,                  8654,                 -4525,                 78425,,                 18754,                 59671,                 59671,,,                    150,                     25,                    125,                    125,                 59796,,                 59671,,                 59796,,                              0.91,,                              0.91,,,,,,
