證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 其他費用,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 其他綜合損益,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入－其他,　　　 處分投資利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 股利收入,　　　 處分投資損失,　　　 減損損失,　　　　 金融資產減損損失,　　　　 減損損失合計,　　 現金流量避險,　　 銷貨成本,　　　 銷貨成本合計
3607,2015年第3季,,,,              2593357,                 56610,                 36048,              2500699,              2500699,,              2081189,                419510,                419510,,,                 62404,,                163678,,                  7402,                              0,                233484,,                 33153,                 33153,                219179,,,                  4155,,                106192,,                 11780,,                -69935,                 28632,                247811,,                 77458,                170353,                170353,,,                              0,                              0,                              0,                              0,                              0,                              0,,                260247,                 -1805,                 42560,                215882,                215882,                386235,,                172231,                 -1878,,                378219,                  8016,,                              1.39,                              1.39,,                              1.28,                              1.28,,,,,,,,,,,,,,,,,,,,,
3607,2015年第2季,,,,              2393182,                 20677,                  6398,              2366107,              2366107,,              1918814,                447293,                447293,,,                 52982,,                132876,,                  6099,,                191957,,                  2870,                  2870,                258206,,,                  1751,,                  4356,,                  7321,,                 14989,                 13775,                271981,,                120016,                151965,                151965,,,,,,,,,,                -85375,                 -2996,                -13820,                -74551,                -74551,                 77414,,                138764,                 13201,,                 68296,                  9118,,                              1.13,                              1.13,,                              1.03,                              1.03,,,,,,,,,,,,,,,,,,,,,
3607,2015年01月01日至2015年09月30日,,,,              7594068,                127596,                 57358,              7409114,              7409114,,              6035293,              1373821,              1373821,,,                178226,,                417193,,                 22317,                              0,                617736,,                 42102,                 42102,                798187,,,                  7047,,                130239,,                 28825,,                -73366,                 35095,                833282,,                277115,                556167,                556167,,,                              0,                              0,                              0,                              0,                              0,                              0,,                 67783,                 -4982,                 11665,                 51136,                 51136,                607303,,                533008,                 23159,,                584981,                 22322,,                              4.37,                              4.37,,                              3.98,                              3.98,,,,,,,,,,,,,,,,,,,,,
3607,2015年01月01日至2015年06月30日,,,,              5000711,                 70986,                 21310,              4908415,              4908415,,              3954104,                954311,                954311,,,                115822,,                253515,,                 14915,,                384252,,                  8949,                  8949,                579008,,,                  2892,,                 24047,,                 17045,,                 -3431,                  6463,                585471,,                199657,                385814,                385814,,,,,,,,,,               -192464,                 -3177,                -30895,               -164746,               -164746,                221068,,                360777,                 25037,,                206762,                 14306,,                              2.98,                              2.98,,                              2.71,                              2.71,,,,,,,,,,,,,,,,,,,,,
3607,2015年01月01日至2015年03月31日,,,,              2607529,                 50309,                 14912,              2542308,              2542308,,              2035290,                507018,                507018,,,                 62840,,                120639,,                  8816,,                192295,,,                  6079,                320802,,,                  1141,,                 19691,,                  9724,,                -18420,                 -7312,                313490,,                 79641,                233849,                233849,,,,,,,,,,               -107089,                   -181,                -17075,                -90195,                -90195,                143654,,                222013,                 11836,,                138466,                  5188,,                              1.86,                              1.86,,                              1.77,                              1.77,,,,,,,,,,,,,,,,,,,,,
3607,2014年第3季,,,,              2519792,                 57590,                 17432,              2444770,              2444770,,              2038076,                406694,                406694,,,                 60126,,                117437,,                  8319,                              0,                185882,,                  7010,                  7010,                227822,,,                  1355,,                 15299,,                 10251,,                  3578,                  9981,                237803,,                 77294,                160509,                160509,,,                              0,                              0,                              0,                              0,                              0,                              0,,                132028,                 -3025,                 21170,                107833,                107833,                268342,,                151529,                  8980,,                251868,                 16474,,                              1.27,                              1.27,,                              1.22,                              1.22,,,,,,,,,,,,,,,,,,,,,
3607,2014年第2季,,,,              2173232,                 32897,                 12038,              2128297,              2128297,,              1771072,                357225,                357225,,,                 49053,,                130851,,                  7189,,                187093,,                    646,                    646,                170778,,,                  3345,,                -11328,,                  8367,,                 21810,                  5460,                176238,,                 63677,                112561,                112561,,,,,,,,,,               -149734,                   -961,                -23030,               -127665,               -127665,                -15104,,                114063,                 -1502,,                    654,                -15758,,                              0.96,                              0.96,,                              0.92,                              0.92,,,,,,,,,,,,,,,,,,,,,
3607,2014年度,,,,              9837806,                221611,                 72109,              9544086,              9544086,,              7770893,              1773193,              1773193,,,                213017,,                530814,,                 34443,,                778274,,,                 11705,              1006624,,,                 12248,,                 93355,,                 37978,,                 12719,                 80344,              1086968,,                348125,                738843,                738843,,,,,,,,,,,,,,                352372,              1091215,,                718804,                 20039,,              1048924,                 42291,,                              6.05,                              6.05,,                              5.77,                              5.77,                429537,                -10163,                  2694,                 69696,,,,,,,,,,,,,,,,,
3607,2014年01月01日至2014年09月30日,,,,              6352477,                123295,                 53636,              6175546,              6175546,,              5285985,                889561,                889561,,,                158712,,                360350,,                 24302,                              0,                543364,,                 17523,                 17523,                363720,,,                  7387,,                 41604,,                 27321,,                 37589,                 59259,                422979,,                147123,                275856,                275856,,,                              0,                              0,                              0,                              0,                              0,                              0,,                103394,                 -7600,                 17063,                 78731,                 78731,                354587,,                267685,                  8171,,                343394,                 11193,,                              2.25,                              2.25,,                              2.17,                              2.17,,,,,,,,,,,,,,,,,,,,,
3607,2014年01月01日至2014年06月30日,,,,              3823571,                 65705,                 36204,              3721662,              3721662,,              3250284,                471378,                471378,,,                 98586,,                242913,,                 15983,,                357482,,                 10513,                 10513,                124409,,,                  6032,,                 37794,,                 17070,,                 34011,                 60767,                185176,,                 69829,                115347,                115347,,,,,,,,,,                -28634,                 -4575,                 -4107,                -29102,                -29102,                 86245,,                116156,                   -809,,                 91526,                 -5281,,                              0.98,                              0.98,,                              0.95,                              0.95,,,,,,,,,,,,,,,,,,,,,
