證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 本期綜合損益總額,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之權益工具投資利益(損失),　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之國外營運機構財務報表換算之兌換差額,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 合併前非屬共同控制股權綜合損益淨額,　　 停業單位淨利（淨損）,　　 確定福利計畫精算利益（損失）,　　 其他綜合損益
2441,2015年第3季,,,              2299247,              2299247,,,              1680062,              1680062,                619185,                619185,,,                 12664,,                 44882,,                 45587,                103133,                516052,,,                 12579,,                 39921,                 52500,                568552,,                 69590,                498962,                498962,                498962,,                              0.88,                              0.88,,                              0.86,                              0.86,,,,,,,,,,,,,,,,,,,,,,,,,
2441,2015年第2季,,,              2393203,              2393203,,,              1721949,              1721949,                671254,                671254,,,                 13756,,                 45758,,                 43692,                103206,                568048,,,                 10888,,                 -7190,                  3698,                571746,,                 70788,                500958,                500958,                500958,,                              0.88,                              0.88,,                              0.87,                              0.87,,,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,                              0.00,,
2441,2015年01月01日至2015年09月30日,,,              7023977,              7023977,,,              5079449,              5079449,              1944528,              1944528,,,                 36733,,                135130,,                132034,                303897,              1640631,,,                 33159,,                 26338,                 59497,              1700128,,                202935,              1497193,              1497193,              1497193,,                              2.63,                              2.63,,                              2.57,                              2.57,,,,,,,,,,,,,,,,,,,,,,,,,
2441,2015年01月01日至2015年06月30日,,,              4724730,              4724730,,,              3399387,              3399387,              1325343,              1325343,,,                 24069,,                 90248,,                 86447,                200764,              1124579,,,                 20580,,                -13583,                  6997,              1131576,,                133345,                998231,                998231,                998231,,                              1.75,                              1.75,,                              1.72,                              1.72,,,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,                              0.00,,
2441,2015年01月01日至2015年03月31日,,,              2331527,              2331527,,,              1677438,              1677438,                654089,                654089,,,                 10313,,                 44490,,                 42755,                 97558,                556531,,,                  9692,,                 -6393,                  3299,                559830,,                 62557,                497273,                497273,                497273,,                              0.87,                              0.87,,                              0.86,                              0.86,,,,,,,,,,,,,,,,,,,,,,,,,
2441,2014年第3季,,,              2751740,              2751740,,,              1979252,              1979252,                772488,                772488,,,                 15159,,                 47182,,                 43177,                105518,                666970,,,                 12621,,                 16046,                 28667,                695637,,                 83907,                611730,                611730,                611730,,                              1.08,                              1.08,,                              1.07,                              1.07,,,,,,,,,,,,,,,,,,,,,,,,,
2441,2014年第2季,,,              2721249,              2721249,,,              1923306,              1923306,                797943,                797943,,,                 15465,,                 46184,,                 39785,                101434,                696509,,,                 12470,,                -10911,                  1559,                698068,,                 81693,                616375,                616375,                616375,,                              1.08,                              1.08,,                              1.07,                              1.07,,,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,                              0.00,,
2441,2014年度,,,             10332739,             10332739,,,              7461237,              7461237,              2871502,              2871502,,,                 56786,,                186101,,                161476,                404363,              2467139,,,                 47268,,                 52712,                 99980,              2567119,,                305845,              2261274,              2261274,              2255391,,                              3.98,                              3.98,,                              3.90,                              3.90,,,,,,,,,,,,,,,,,,,,,                 -5883,,,                 -5883,
2441,2014年01月01日至2014年09月30日,,,              7907234,              7907234,,,              5685381,              5685381,              2221853,              2221853,,,                 40115,,                134136,,                119889,                294140,              1927713,,,                 35832,,                 17266,                 53098,              1980811,,                235096,              1745715,              1745715,              1745715,,                              3.07,                              3.07,,                              3.02,                              3.02,,,,,,,,,,,,,,,,,,,,,,,,,
2441,2014年01月01日至2014年06月30日,,,              5155494,              5155494,,,              3706129,              3706129,              1449365,              1449365,,,                 24956,,                 86954,,                 76712,                188622,              1260743,,,                 23211,,                  1220,                 24431,              1285174,,                151189,              1133985,              1133985,              1133985,,                              1.99,                              1.99,,                              1.96,                              1.96,,,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,                              0.00,,
