證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 非控制權益（淨利／損）,　　 非控制權益（綜合損益）,　　 其他費用,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 停業單位損益,　　 停業單位損益合計,　　 共同控制下前手權益（淨利／損）,　　 共同控制下前手權益（綜合損益）,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 其他綜合損益,　　 與其他綜合損益組成部分相關之所得稅,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨成本
4934,2015年第3季,,,              2126572,              2126572,,,              1961841,              1961841,                164731,                164731,,,                 19081,,                 47603,,                 19575,                 86259,                 78472,,,                  7666,,                 54201,,                  5717,                 56150,                134622,,                  5006,                129616,                129616,,,,,,,                 44564,                     -6,                  7576,                 36982,                 36982,                166598,,                129616,,                166598,,                              0.41,                              0.41,,                              0.41,                              0.41,,,,,,,,,,,,,,,,,,,,
4934,2015年第2季,,,              1576386,              1576386,,,              1511975,              1511975,                 64411,                 64411,,,                 17452,,                 33984,,                 18573,                 70009,                 -5598,,,                  7138,,                -18682,,                 14686,                -26230,                -31828,,                  1004,                -32832,                -32832,,,,,,,                -21549,                     98,                 -3663,                -17788,                -17788,                -50620,,                -32832,,                -50620,,                             -0.11,                             -0.11,,                             -0.11,                             -0.11,                              0,                              0,,,,,,,,,,,,,,,,,,
4934,2015年度,,,              7825338,              7825338,,,              7197135,              7197135,                628203,                628203,,,                 77405,,                183772,,                 81332,                342509,                285694,,,                 51926,,                 39032,,                 43418,                 47540,                333234,,                    -26,                333260,                333260,,,                 -1035,                   -176,                   -859,,                -36190,                    -96,                 -6152,                -30134,                -30993,                302267,,                333260,,                302267,,                              1.10,                              1.10,,                              1.09,                              1.09,,,,,,,,,,,,,,,,,,,,
4934,2015年01月01日至2015年09月30日,,,              5219010,              5219010,,,              4921357,              4921357,                297653,                297653,,,                 55229,,                128166,,                 55558,                238953,                 58700,,,                 39238,,                 54814,,                 33290,                 60762,                119462,,                 -4064,                123526,                123526,,,,,,,                  4423,                     11,                    752,                  3682,                  3682,                127208,,                123526,,                127208,,                              0.41,                              0.41,,                              0.41,                              0.41,,,,,,,,,,,,,,,,,,,,
4934,2015年01月01日至2015年06月30日,,,              3092438,              3092438,,,              2959516,              2959516,                132922,                132922,,,                 36148,,                 80563,,                 35983,                152694,                -19772,,,                 31572,,                    613,,                 27573,                  4612,                -15160,,                 -9070,                 -6090,                 -6090,,,,,,,                -40141,                     17,                 -6824,                -33300,                -33300,                -39390,,                 -6090,,                -39390,,                             -0.02,                             -0.02,,                             -0.02,                             -0.02,                              0,                              0,,,,,,,,,,,,,,,,,,
4934,2015年01月01日至2015年03月31日,,,              1516052,              1516052,,,              1447541,              1447541,                 68511,                 68511,,,                 18696,,                 46579,,                 17410,                 82685,                -14174,,,                 24434,,                 19295,,                 12887,                 30842,                 16668,,                -10074,                 26742,                 26742,,,,,,,                -18592,                    -81,                 -3161,                -15512,                -15512,                 11230,,                 26742,,                 11230,,                              0.10,                              0.10,,                              0.10,                              0.10,                              0,                              0,                              0,,                              0,,                              0,                              0,                              0,,,,,,,,,,,
4934,2014年第3季,,,              1289644,              1289644,,,              1280652,              1280652,                  8992,                  8992,,,                 18526,,                 28904,,                 18622,                 66052,                -57060,,,                 40897,,                 15167,,                 13348,                 42716,                -14344,,                 -2797,                -11547,                -11547,,,,,,,                 10340,                    162,                  1758,                  8744,                  8744,                 -2803,,                -11547,,                 -2803,,                             -0.04,                             -0.04,,                             -0.04,                             -0.04,,,,,,,,,,,,,,,,,,,,
4934,2014年第2季,,,              1834466,              1834466,,,              1653201,              1653201,                181265,                181265,,,                 33599,,                 38762,,                 18609,                 90970,                 90295,,,                  4721,,                -10305,,                 18043,                -23627,                 66668,,                   -938,                 67606,                 67606,,,,,,,                 -6136,                    274,                 -1043,                 -4819,                 -4819,                 62787,,                 67606,,                 62787,,                              0.24,                              0.24,,                              0.24,                              0.24,                              0,                              0,,,,,,,,,,,,,,,,,,
4934,2014年度,,,              6553928,              6553928,,,              6105085,              6105085,                448843,                448843,,,                110481,,                153249,,                 71520,                335250,                113593,,,                 61964,,                 54757,,                 62364,                 54357,                167950,,                 -7234,                175184,                175184,,,                   -142,                    -24,                   -118,,                 20860,                     96,                  3546,                 17410,                 17292,                192476,,                175184,,                192476,,                              0.66,                              0.66,,                              0.66,                              0.66,,,,,,,,,,,,,,,,,,,,
4934,2014年01月01日至2014年09月30日,,,              4646095,              4646095,,,              4244869,              4244869,                401226,                401226,,,                 83026,,                108889,,                 53555,                245470,                155756,,,                 48639,,                 12791,,                 50736,                 10694,                166450,,                 -4496,                170946,                170946,,,,,,,                  2899,                    436,                    493,                  2842,                  2842,                173788,,                170946,,                173788,,                              0.65,                              0.65,,                              0.65,                              0.65,,,,,,,,,,,,,,,,,,,,
4934,2014年01月01日至2014年06月30日,,,              3356451,              3356451,,,              2964217,              2964217,                392234,                392234,,,                 64500,,                 79985,,                 34933,                179418,                212816,,,                  7742,,                 -2376,,                 37388,                -32022,                180794,,                 -1699,                182493,                182493,,,,,,,                 -7441,                    274,                 -1265,                 -5902,                 -5902,                176591,,                182493,,                176591,,                              0.72,                              0.72,,                              0.72,                              0.72,                              0,                              0,,,,,,,,,,,,,,,,,,
4934,2014年01月01日至2014年03月31日,,,              1521985,              1521985,,,              1311016,              1311016,                210969,                210969,,,                 30901,,                 41223,,                 16324,                 88448,                122521,,,                  4186,,                  6764,,                 19345,                 -8395,                114126,,                   -761,                114887,                114887,,,,,,,                 -1305,                              0,                   -222,                 -1083,                 -1083,                113804,,                114887,,                113804,,                              0.50,                              0.50,,                              0.49,                              0.49,                              0,                              0,                              0,,                              0,,                              0,                              0,                              0,,,,,,,,,,,
4934,2013年第3季,,,              1231910,              1231910,,,              1092869,              1092869,                139041,                139041,,,                 26468,,                 28267,,                 18060,                 72795,                 66246,,,                  4388,,                  2831,,                 20167,                -12948,                 53298,,                 -7247,                 60545,                 60545,,,,,,,,,,,                 -2983,                 57562,,                 60545,,                 57562,,                              0.29,                              0.29,,                              0.29,                              0.29,                              0,                              0,,,,,,,,                 -3594,                              0,,,,,                   -611,,              1231910,              1231910,              1092869
4934,2013年第2季,,,              1460658,              1460658,,,              1269080,              1269080,                191578,                191578,,,                 26358,,                 -3364,,                 14804,                 37798,                153780,,,                  3328,,                 12446,,                 20784,                 -5010,                148770,,                   -759,                149529,                149529,,,,,,,,,,,                  4449,                153978,,                149529,,                153978,,                              0.72,                              0.72,,                              0.72,                              0.72,                              0,                              0,,,,,,,,                  5361,                              0,,,,,                    912,,,,
4934,2013年度,,,              5147861,              5147861,,,              4716670,              4716670,                431191,                431191,,,                 89851,,                 34394,,                 63042,                187287,                243904,,,                 15182,,                 28947,,                 78174,                -34045,                209859,,                 -8675,                218534,                218534,,,,,,,,,,,                 17043,                235577,,                218534,,                235577,,                              1.04,                              1.04,,                              1.04,                              1.04,                              0,                              0,                              0,,                              0,,                              0,,,                 20535,                              0,                              0,,                              0,                              0,                  3492,,,,
4934,2013年07月01日至2013年09月30日,,,,              1231910,,,,              1092869,                139041,                139041,,,                 26468,,                 28267,,                 18060,                 72795,                 66246,,,                  4388,,                  2831,,                 20167,                -12948,                 53298,,                 -7247,                 60545,                 60545,,,,,,,,,,,                 -2983,                 57562,,                 60545,,                 57562,,                              0.29,                              0.29,,                              0.29,                              0.29,,                              0,,,,,,,,                 -3594,,,,,,                   -611,,,,
