證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 現金流量避險,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
2311,2015年第3季,,             72870404,,             59882751,             12987653,             12987653,,,                923927,,              2837288,,              2844445,              6605660,              6381993,,,                127357,,              1845931,,                574414,,                 29322,              1428196,              7810189,,              1127308,              6682881,              6682881,,,              4553560,                 18411,                              0,,               -145624,              4426347,              4426347,             11109228,,              6368622,                314259,,             10528507,                580721,,                              0.83,,                              0.69,,,,,,,
2311,2015年第2季,,             70221812,,             58656524,             11565288,             11565288,,,                871735,,              2551872,,              2732334,              6155941,              5409347,,,                119583,,                466670,,                541395,,                -54394,                 -9536,              5399811,,              1596176,              3803635,              3803635,,,             -1468409,                 13886,                              0,,                -10186,             -1464709,             -1464709,              2338926,,              3651434,                152201,,              2244300,                 94626,,                              0.48,,                              0.43,,,,,,,
2311,2015年第1季,,             64662158,,             52348743,             12313415,             12313415,,,                879419,,              2594411,,              2547317,              6021147,              6292268,,,                178708,,               -385776,,                582388,,                  3804,               -785652,              5506616,,                856180,              4650436,              4650436,,,             -1715519,                -54710,                              0,,                 92987,             -1677242,             -1677242,              2973194,,              4469201,                181235,,              2889947,                 83247,,                              0.58,,                              0.56,,,,,,,
2311,2015年01月01日至2015年09月30日,,            207754374,,            170888018,             36866356,             36866356,,,              2675081,,              7983571,,              8124096,             18782748,             18083608,,,                425648,,              1926825,,              1698197,,                -21268,                633008,             18716616,,              3579664,             15136952,             15136952,,,              1369632,                -22413,                              0,,                -62823,              1284396,              1284396,             16421348,,             14489257,                647695,,             15662754,                758594,,                              1.89,,                              1.76,,,,,,,
2311,2015年01月01日至2015年06月30日,,            134883970,,            111005267,             23878703,             23878703,,,              1751154,,              5146283,,              5279651,             12177088,             11701615,,,                298291,,                 80894,,              1123783,,                -50590,               -795188,             10906427,,              2452356,              8454071,              8454071,,,             -3183928,                -40824,                              0,,                 82801,             -3141951,             -3141951,              5312120,,              8120635,                333436,,              5134247,                177873,,                              1.06,,                              1.02,,,,,,,
2311,2014年第3季,,             66631897,,             52423933,             14207964,             14207964,,,                823595,,              2734852,,              2550364,              6108811,              8099153,,,                209129,,                852981,,                569663,,                 13436,                505883,              8605036,,              1240325,              7364711,              7364711,,,              1437910,                -58068,                              0,,                -77286,              1302556,              1302556,              8667267,,              7216709,                148002,,              8457047,                210220,,                              0.94,,                              0.82,,,,,,,
2311,2014年第2季,,             58615249,,             46004873,             12610376,             12610376,,,                844698,,              2471508,,              2678675,              5994881,              6615495,,,                139807,,                -80301,,                578000,,                -30601,               -549095,              6066400,,                821406,              5244994,              5244994,,,             -1717793,                -54762,                    410,,                113198,             -1658947,             -1658947,              3586047,,              5106404,                138590,,              3513892,                 72155,,                              0.66,,                              0.65,,,,,,,
2311,2014年第1季,,             54699586,,             44340340,             10359246,             10359246,,,                793186,,              2189342,,              2292045,              5274573,              5084673,,,                116713,,               -240489,,                598359,,                -64226,               -786361,              4298312,,                730013,              3568299,              3568299,,,              1589232,                 58173,                  2869,,                138250,              1788524,              1788524,              5356823,,              3449675,                118624,,              5188647,                168176,,                              0.45,,                              0.44,,,,,,,
2311,2014年度,,            256591447,,            203051691,             53539756,             53539756,,,              3439258,,             10233878,,             10295363,             23968499,             29571257,,,                588875,,                776290,,              2354097,,               -108726,             -1097658,             28473599,,              4251513,             24222086,             24222086,,,,,,,,,              5475203,             29697289,,             23592667,                629419,,             28730614,                966675,,                              3.07,,                              2.95,              5404358,               -133714,                  3279,                -45884,,                234125,                -13039
2311,2014年01月01日至2014年09月30日,,            179946732,,            142769146,             37177586,             37177586,,,              2461479,,              7395702,,              7521084,             17378265,             19799321,,,                465649,,                532191,,              1746022,,                -81391,               -829573,             18969748,,              2791744,             16178004,             16178004,,,              1309349,                -54657,                  3279,,                174162,              1432133,              1432133,             17610137,,             15772788,                405216,,             17159586,                450551,,                              2.05,,                              1.98,,,,,,,
