證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　　　 其他收入－其他,　　 非控制權益（綜合損益）,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　　 利息收入,　　　　 利息收入合計,　　　 外幣兌換利益,　　　 什項支出,　　　 外幣兌換損失
1541,2015年第3季,,                973860,,                768543,                205317,                205317,,,                 51522,,                 33532,,                 11935,                 96989,                108328,,,                  3059,,                 72020,,                  1529,                 73550,                181878,,                 31713,                150165,                150165,,,                  8215,                  1397,                  6818,                  6818,                156983,,                150165,,                156983,,                              1.91,,,,,,,,,,
1541,2015年第2季,,                642516,,                515019,                127497,                127497,,,                 35347,,                 25943,,                 10999,                 72289,                 55208,,,                  9659,,                -13814,,                  1773,                 -5928,                 49280,,                  9255,                 40025,                 40025,,,                 -1659,                   -282,                 -1377,                 -1377,                 38648,,                 40025,,                 38648,,                              0.51,,,,,,,,,,
1541,2015年01月01日至2015年09月30日,,              2284271,,              1826081,                458190,                458190,,,                123026,,                 84981,,                 33229,                241236,                216954,,,                 13017,,                 47551,,                  5191,                 55377,                272331,,                 48367,                223964,                223964,,,                  5456,                    928,                  4528,                  4528,                228492,,                223964,,                228492,,                              2.84,,,,,,,,,,
1541,2015年01月01日至2015年06月30日,,              1310411,,              1057538,                252873,                252873,,,                 71504,,                 51449,,                 21294,                144247,                108626,,,                  9958,,                -24469,,                  3662,                -18173,                 90453,,                 16654,                 73799,                 73799,,,                 -2759,                   -469,                 -2290,                 -2290,                 71509,,                 73799,,                 71509,,                              0.94,,,,,,,,,,
1541,2015年01月01日至2015年03月31日,,                667895,,                542519,                125376,                125376,,,                 36157,,                 25506,,                 10295,                 71958,                 53418,,,                    299,,                -10655,,                  1889,                -12245,                 41173,,                  7399,                 33774,                 33774,,,                 -1100,                   -187,                   -913,                   -913,                 32861,,                 33774,,                 32861,,                              0.43,                    299,                              0,,,,,,,,
1541,2014年第3季,,                724160,,                620485,                103675,                103675,,,                 30236,,                 25954,,                 10865,                 67055,                 36620,,,                  4906,,                 19759,,                  2275,                 22390,                 59010,,                 10397,                 48613,                 48613,,,                  1987,                    339,                  1648,                  1648,                 50261,,                 48613,,                 50261,,                              0.63,,,,,,,,,,
1541,2014年第2季,,                661052,,                569063,                 91989,                 91989,,,                 29664,,                 22569,,                 10795,                 63028,                 28961,,,                     83,,                -17028,,                  2228,                -19173,                  9788,,                    254,                  9534,                  9534,,,                 -2460,                   -418,                 -2042,                 -2042,                  7492,,                  9534,,                  7492,,                              0.12,,,,,,,,,,
1541,2014年度,,              2688034,,              2277654,                410380,                410380,,,                119919,,                105377,,                 45496,                270792,                139588,,,                  8566,,                 55895,,                  8599,                 55862,                195450,,                 33126,                162324,                162324,,,,,,                  1741,                164065,,                162324,,                164065,,                              2.06,,,                  5127,                 -3028,                    358,,,,,
1541,2014年01月01日至2014年09月30日,,              2035651,,              1737765,                297886,                297886,,,                 87446,,                 75822,,                 34047,                197315,                100571,,,                  5516,,                 16369,,                  6364,                 15521,                116092,,                 18613,                 97479,                 97479,,,                    770,                    132,                    638,                    638,                 98117,,                 97479,,                 98117,,                              1.25,,,,,,,,,,
1541,2014年01月01日至2014年06月30日,,              1311491,,              1117280,                194211,                194211,,,                 57210,,                 49868,,                 23182,                130260,                 63951,,,                    610,,                 -3390,,                  4089,                 -6869,                 57082,,                  8216,                 48866,                 48866,,,                 -1217,                   -207,                 -1010,                 -1010,                 47856,,                 48866,,                 47856,,                              0.62,,,,,,,,,,
1541,2014年01月01日至2014年03月31日,,                650439,,                548217,                102222,                102222,,,                 27546,,                 27299,,                 12387,                 67232,                 34990,,,                    527,,                 13638,,                  1861,                 12304,                 47294,,                  7962,                 39332,                 39332,,,                  1243,                    211,                  1032,                  1032,                 40364,,                 39332,,                 40364,,                              0.50,                    527,                              0,,,,,,,,
1541,2013年第3季,,                510491,,                453716,                 56775,                 56775,,,                 29409,,                 24053,,                 13396,                 66858,                -10083,,,                     93,,                 -9866,,                  1846,                -11619,                -21702,,                 -6600,                -15102,                -15102,,,,,,                   -240,                -15342,,                -15102,,                -15342,,                             -0.19,,,                   -290,,                    -50,,,,,
1541,2013年第2季,,                504496,,                416120,                 88376,                 88376,,,                 31905,,                 21574,,                 11377,                 64856,                 23520,,,                    624,,                  4047,,                  1691,                  2980,                 26500,,                  4985,                 21515,                 21515,,,,,,                    281,                 21796,,                 21515,,                 21796,,                              0.27,,,                    339,,                     58,,,,,
1541,2013年度,,              1838154,,              1610219,                227935,                227935,,,                126578,,                 92869,,                 48957,                268404,                -40469,,,                  2906,,                  8234,,                  6937,                  4203,                -36266,,                -13507,                -22759,                -22759,,,,,,                  1238,                -21521,,                -22759,,                -21521,,                             -0.29,,,                  1150,                    341,                    253,,,,,
1541,2013年07月01日至2013年09月30日,,                510491,,                453716,                 56775,                 56775,,,                 29409,,                 24053,,                 13396,                 66858,                -10083,,,                     93,,                 -9866,,                  1846,                -11619,                -21702,,                 -6600,                -15102,                -15102,,,,,,                   -240,                -15342,,                -15102,,                -15342,,                             -0.19,,,                   -290,,                    -50,,,,,
1541,2013年04月01日至2013年06月30日,,                504496,,                416120,                 88376,                 88376,,,                 31905,,                 21574,,                 11377,                 64856,                 23520,,,                    624,,                  4047,,                  1691,                  2980,                 26500,,                  4985,                 21515,                 21515,,,,,,                    281,                 21796,,                 21515,,                 21796,,                              0.27,,,                    339,,                     58,,,,,
1541,2013年01月01日至2013年12月31日,,              1838154,,              1610219,                227935,                227935,,,                126578,,                 92869,,                 48957,                268404,                -40469,,,                  2906,,                  8234,,                  6937,                  4203,                -36266,,                -13507,                -22759,                -22759,,,,,,                  1238,                -21521,,                -22759,,                -21521,,                             -0.29,,,                  1150,                    341,                    253,,,,,
1541,2013年01月01日至2013年09月30日,,              1390015,,              1189062,                200953,                200953,,,                 97772,,                 67054,,                 35965,                200791,                    162,,,                  2507,,                  4171,,                  5032,                  1646,                  1808,,                  1761,                     47,                     47,,,,,,                  1125,                  1172,,                     47,,                  1172,,                              0.00,,,                  1355,,                    230,,,,,
1541,2013年01月01日至2013年06月30日,,                879524,,                735346,                144178,                144178,,,                 68363,,                 43001,,                 22569,                133933,                 10245,,,                  2414,,                 14037,,                  3186,                 13265,                 23510,,                  8361,                 15149,                 15149,,,,,,                  1365,                 16514,,                 15149,,                 16514,,                              0.19,,,                  1645,,                    280,,,,,
1541,2013年01月01日至2013年03月31日,,                375028,,                319226,                 55802,                 55802,,,                 36458,,                 21427,,                 11192,                 69077,                -13275,,,                  1791,,                  9989,,                  1495,                 10285,                 -2990,,                  3376,                 -6366,                 -6366,,,,,,                  1084,                 -5282,,                 -6366,,                 -5282,,                             -0.08,                  1791,                              0,                  1306,,                    222,,,,,
1541,2012年07月01日至2012年09月30日,,                403287,,                346187,                 57100,                 57100,,,                 38652,,                 19989,,                  9393,                 68034,                -10934,,,                    221,,                -10290,,                  1258,                -11327,                -22261,,                 -2769,                -19492,                -19492,,,,,,                 -1257,                -20749,,                -19492,,                -20749,,                             -0.25,,,                 -1514,,                   -257,,,,,
1541,2012年04月01日至2012年06月30日,,                388481,,                330252,                 58229,                 58229,,,                 44861,,                 18200,,                 11192,                 74253,                -16024,,,                    187,,                  4335,,                  1058,                  3464,                -12560,,                    211,                -12771,                -12771,,,,,,                  1122,                -11649,,                -12771,,                -11649,,                             -0.16,,,                  1352,,                    230,,,,,
