證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　 停業單位損益,　　 停業單位損益合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
6153,2015年第3季,,              4123662,,              3329108,                794554,                794554,,,                 76256,,                163131,,                178420,                417807,                376747,,,                 16767,,                202763,,                  8576,                210954,                587701,,                125273,                462428,                462428,,,                209572,                209572,                209572,                672000,,                462428,                              0,,                672000,                              0,,                              1.43,,                              1.31,,,,,
6153,2015年第2季,,              3707084,,              3409325,                297759,                297759,,,                 72296,,                137371,,                163229,                372896,                -75137,,,                  5268,,                 18767,,                  8338,                 15697,                -59440,,                 -7207,                -52233,                -52233,,,                -70348,                -70348,                -70348,               -122581,,                -52233,                              0,,               -122581,                              0,,                             -0.16,,                             -0.16,,,,,
6153,2015年01月01日至2015年09月30日,,             11407465,,             10086529,              1320936,              1320936,,,                235861,,                443251,,                493618,              1172730,                148206,,,                 44932,,                268032,,                 25008,                287956,                436162,,                109026,                327136,                327136,,,                 94953,                 94953,                 94953,                422089,,                327136,                              0,,                422089,                              0,,                              1.01,,                              0.95,,,,,
6153,2015年01月01日至2015年06月30日,,              7283803,,              6757421,                526382,                526382,,,                159605,,                280120,,                315198,                754923,               -228541,,,                 28165,,                 65269,,                 16432,                 77002,               -151539,,                -16247,               -135292,               -135292,,,               -114619,               -114619,               -114619,               -249911,,               -135292,                              0,,               -249911,                              0,,                             -0.42,,                             -0.42,,,,,
6153,2015年01月01日至2015年03月31日,,              3576719,,              3348096,                228623,                228623,,,                 87309,,                142749,,                151969,                382027,               -153404,,,                 22897,,                 46502,,                  8094,                 61305,                -92099,,                 -9040,                -83059,                -83059,,,                -44271,                -44271,                -44271,               -127330,,                -83059,                              0,,               -127330,                              0,,                             -0.26,,                             -0.26,,                              0,,,
6153,2014年第3季,,              4298568,,              3440102,                858466,                858466,,,                396946,,                131815,,                263817,                792578,                 65888,,,                  9756,,                 41743,,                  2413,                 49086,                114974,,                 21736,                 93238,                 93238,,,                119032,                119032,                119032,                212270,,                 93238,                              0,,                212270,                              0,,                              0.29,,                              0.29,,,,,
6153,2014年第2季,,              3291756,,              2725886,                565870,                565870,,,                102064,,                139953,,                284088,                526105,                 39765,,,                 17456,,                 15917,,                  2795,                 30578,                 70343,,                 40154,                 30189,                 30189,,,                -84513,                -84513,                -84513,                -54324,,                 30189,                              0,,                -54324,                              0,,                              0.09,,                              0.09,,,,,
6153,2014年度,,             16119025,,             13483536,              2635489,              2635489,,,                723659,,                584582,,                995075,              2303316,                332173,,,                 61641,,                162679,,                 15300,                209020,                541193,,                133997,                407196,                407196,,,,,                172516,                579712,,                407196,                              0,,                579712,                              0,,                              1.25,,                              1.24,,,                171029,                  1793,                    306
6153,2014年01月01日至2014年09月30日,,             10494652,,              8606380,              1888272,              1888272,,,                597904,,                397497,,                760278,              1755679,                132593,,,                 39716,,                105475,,                  7901,                137290,                269883,,                 78660,                191223,                191223,,,                 15816,                 15816,                 15816,                207039,,                191223,                              0,,                207039,                              0,,                              0.59,,                              0.59,,,,,
6153,2014年01月01日至2014年06月30日,,              6196084,,              5166278,              1029806,              1029806,,,                200958,,                265682,,                496461,                963101,                 66705,,,                 29960,,                 63732,,                  5488,                 88204,                154909,,                 56924,                 97985,                 97985,,,               -103216,               -103216,               -103216,                 -5231,,                 97985,                              0,,                 -5231,                              0,,                              0.30,,                              0.30,,,,,
6153,2014年01月01日至2014年03月31日,,              2904328,,              2440392,                463936,                463936,,,                 98894,,                125729,,                212373,                436996,                 26940,,,                 12504,,                 47815,,                  2693,                 57626,                 84566,,                 16770,                 67796,                 67796,,,                -18703,                -18703,                -18703,                 49093,,                 67796,                              0,,                 49093,                              0,,                              0.21,,                              0.21,,                              0,,,
6153,2013年第2季,,              2435065,,              2068415,                366650,                366650,,,                 55035,,                119693,,                183565,                358293,                  8357,,,                 19357,,                -28331,,                  6428,                -15402,                 -7045,,                 48492,                -55537,                -55537,,,,,                 69636,                 14099,,                -55537,                              0,,                 14099,                              0,,                             -0.17,,                             -0.17,,,                 69636,,
6153,2013年度,,             13509274,,             10991492,              2517782,              2517782,,,                384109,,                566561,,                719800,              1670470,                847312,,,                 58570,,                 19541,,                 19456,                 58655,                905967,,                250712,                655255,                655255,,,,,                247135,                902390,,                655255,                              0,,                902390,                              0,,                              2.02,,                              2.00,,,                230524,                 20012,                  3401
6153,2013年07月01日至2013年09月30日,,              3466539,,              2753121,                713418,                713418,,,                145410,,                140850,,                187205,                473465,                239953,,,                 31869,,                -23481,,                  3689,                  4699,                244652,,                 51409,                193243,                193243,,,,,                -47734,                145509,,                193243,                              0,,                145509,                              0,,                              0.59,,                              0.58,,,                -47734,,
6153,2013年04月01日至2013年06月30日,,              2435065,,              2068415,                366650,                366650,,,                 55035,,                119693,,                183565,                358293,                  8357,,,                 19357,,                -28331,,                  6428,                -15402,                 -7045,,                 48492,                -55537,                -55537,,,,,                 69636,                 14099,,                -55537,                              0,,                 14099,                              0,,                             -0.17,,                             -0.17,,,                 69636,,
6153,2013年01月01日至2013年12月31日,,             13509274,,             11046965,              2462309,              2462309,,,                384109,,                566561,,                719800,              1670470,                791839,,,                114043,,                 19541,,                 19456,                114128,                905967,,                250712,                655255,                655255,,,,,                247135,                902390,,                655255,                              0,,                902390,                              0,,                              2.02,,                              2.00,,,                230524,                 20012,                  3401
