證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 薪資支出-推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 薪資支出-管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 薪資支出-研發費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 非控制權益（淨利／損）,　　 非控制權益（綜合損益）,　　　 利息收入,　　　　 銀行存款利息,　　　　 利息收入合計,　　　 廉價購買利益,　　　 其他收入－其他,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 其他綜合損益,　　 與其他綜合損益組成部分相關之所得稅,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額
2437,2014年01月01日至2014年03月31日,,,,,                691297,                 11583,                679714,                679714,,,,                533472,                533472,                146242,                146242,,,,                 28181,,,                 36614,,,                 10263,                 75058,                 71184,,,                 16198,,                  9532,,                  1516,                 24214,                 95398,,                 20850,                 74548,                 74548,,,                -17768,                    415,                 -3020,                -14333,                -14333,                 60215,,                 74548,,                 60215,,                              1.27,,                              1.26,                              0,                              0,,,,,,,,,,,,
2437,2013年第3季,,,,                810804,                810804,                  1817,                808987,                808987,,,                618011,                618011,                618011,                190976,                190976,,,                 30371,                 30371,,                 39977,                 39977,,                  6287,                  6287,                 76635,                114341,,,                 12566,,                 -2606,,                  1606,                  8354,                122695,,                 42174,                 80521,                 80521,,,,,,,                -25105,                 55416,,                 80521,,                 55416,,                              1.37,,                              1.36,,,,,,,,                -30321,                     62,,,                 -5154,,
2437,2013年第2季,,,,                742383,                742383,                  5814,                736569,                736569,,,                563485,                563485,                563485,                173084,                173084,,,                 27640,                 27640,,                 39032,                 39032,,                  5402,                  5402,                 72074,                101010,,,                 10446,,                   -693,,                  1350,                  8403,                109413,,                 38454,                 70959,                 70959,,,,,,,                 33141,                104100,,                 70959,,                104100,,                              1.21,,                              1.20,,,,,,,,                 41681,                 -1455,,                 -7085,,,
2437,2013年度,,,,              2941649,              2941649,                 15293,              2926356,              2926356,,,,              2271822,              2271822,                654534,                654534,,,,                112898,,,                152766,,,                 24305,                289969,                364565,,,                 45289,,                   -453,,                  6811,                 38025,                402590,,                126274,                276316,                276316,,,,,,,                132770,                409086,,                276316,,                409086,,                              4.70,,                              4.67,,,,                 43506,                 43506,                              0,                  1783,                162792,                 -2130,                   -263,                -27629,,,
2437,2013年07月01日至2013年09月30日,,,,,                810804,                  1817,                808987,                808987,,,,                618011,                618011,                190976,                190976,,,,                 30371,,,                 39977,,,                  6287,                 76635,                114341,,,                 12566,,                 -2606,,                  1606,                  8354,                122695,,                 42174,                 80521,                 80521,,,,,,,                -25105,                 55416,,                 80521,,                 55416,,                              1.37,,                              1.36,,,,,,,,                -30321,                     62,,                  5154,,,                              0
2437,2013年04月01日至2013年06月30日,,,,,                742383,                  5814,                736569,                736569,,,,                563485,                563485,                173084,                173084,,,,                 27640,,,                 39032,,,                  5402,                 72074,                101010,,,                 10446,,                   -693,,                  1350,                  8403,                109413,,                 38454,                 70959,                 70959,,,,,,,                 33141,                104100,,                 70959,,                104100,,                              1.21,,                              1.20,,,,,,,,                 41681,                 -1455,,                 -7085,,,
2437,2013年01月01日至2013年12月31日,,,,              2941649,              2941649,                 15293,              2926356,              2926356,,,,              2271822,              2271822,                654534,                654534,,,,                112898,,,                152766,,,                 24305,                289969,                364565,,,                 45289,,                   -453,,                  6811,                 38025,                402590,,                126274,                276316,                276316,,,,,,,                132770,                409086,,                276316,,                409086,,                              4.70,,                              4.67,,,,,,,,                162792,                 -2130,                   -263,                -27629,,,
2437,2013年01月01日至2013年09月30日,,,,              2148094,              2148094,                 12204,              2135890,              2135890,,,              1654156,              1654156,              1654156,                481734,                481734,,,                 81986,                 81986,,                111078,                111078,,                 15906,                 15906,                208970,                272764,,,                 33270,,                 -1340,,                  5119,                 26811,                299575,,                100861,                198714,                198714,,,,,,,                 87290,                286004,,                198714,,                286004,,                              3.38,,                              3.35,,,,,,,,                103085,                  1730,,,                 17525,,
2437,2013年01月01日至2013年06月30日,,,,              1337290,              1337290,                 10387,              1326903,              1326903,,,              1036145,              1036145,              1036145,                290758,                290758,,,                 51615,                 51615,,                 71101,                 71101,,                  9619,                  9619,                132335,                158423,,,                 20704,,                  1266,,                  3513,                 18457,                176880,,                 58687,                118193,                118193,,,,,,,                112395,                230588,,                118193,,                230588,,                              2.01,,                              1.99,,,,,,,,                133406,                  1668,,                -22679,,,
2437,2013年01月01日至2013年03月31日,,,,,                594907,                  4573,                590334,                590334,,,,                472660,                472660,                117674,                117674,,,,                 23975,,,                 32069,,,                  4217,                 60261,                 57413,,,                 10258,,                  1959,,                  2163,                 10054,                 67467,,                 20233,                 47234,                 47234,,,,,,,                 79254,                126488,,                 47234,,                126488,,                              0.80,,                              0.80,                              0,                              0,,,,,,                 91725,                  3123,,                -15594,,,
2437,2012年07月01日至2012年09月30日,,,,,                702206,                  3514,                698692,                698692,,,,                546395,                546395,                152297,                152297,,,,                 27148,,,                 36895,,,                  4569,                 68612,                 83685,,,                 11104,,                 -4718,,                  1947,                  4439,                 88124,,                 24289,                 63835,                 63835,,,,,,,                -15873,                 47962,,                 63835,,                 47962,,                              1.06,,                              1.05,,,,,,,,                -21424,                  1909,,                  3642,,,                              0
2437,2012年04月01日至2012年06月30日,,,,,                701388,                  3843,                697545,                697545,,,,                562524,                562524,                135021,                135021,,,,                 30073,,,                 32740,,,                  5021,                 67834,                 67187,,,                  9427,,                   -858,,                  2140,                  6429,                 73616,,                 29747,                 43869,                 43869,,,,,,,                  3907,                 47776,,                 43869,,                 47776,,                              0.72,,                              0.72,,,,,,,,                  6046,                 -1111,,                 -1028,,,
2437,2012年01月01日至2012年12月31日,,,,              2517976,              2517976,                 11166,              2506810,              2506810,,,,              2035171,              2035171,                471639,                471639,,,,                106019,,,                135084,,,                 19889,                260992,                210647,,,                 46605,,                -11089,,                  7898,                 27618,                238265,,                 70944,                167321,                167321,,,,,,,                -55060,                112261,,                167321,,                112261,,                              2.79,,                              2.76,,,,,,,,                -74629,                 12675,                 -6979,                 13873,,,
2437,2012年01月01日至2012年09月30日,,,,,              1882445,                  9060,              1873385,              1873385,,,,              1536580,              1536580,                336805,                336805,,,,                 81343,,,                 98860,,,                 15398,                195601,                141204,,,                 27564,,                 -2111,,                  5895,                 19558,                160762,,                 49026,                111736,                111736,,,,,,,                -53718,                 58018,,                111736,,                 58018,,                              1.85,,                              1.83,,,,,,,,                -71856,                  5923,,                 12215,,,                              0
2437,2012年01月01日至2012年06月30日,,,,,              1180239,                  5546,              1174693,              1174693,,,,                990185,                990185,                184508,                184508,,,,                 54195,,,                 61965,,,                 10829,                126989,                 57519,,,                 16460,,                  2607,,                  3948,                 15119,                 72638,,                 24737,                 47901,                 47901,,,,,,,                -37845,                 10056,,                 47901,,                 10056,,                              0.79,,                              0.78,,,,,,,,                -50432,                  4014,,                  8573,,,
2437,2012年01月01日至2012年03月31日,,,,,                478851,                  1703,                477148,                477148,,,,                427661,                427661,                 49487,                 49487,,,,                 24122,,,                 29225,,,                  5808,                 59155,                 -9668,,,                  7033,,                  3465,,                  1808,                  8690,                   -978,,                 -5010,                  4032,                  4032,,,,,,,                -41752,                -37720,,                  4032,,                -37720,,                              0.07,,                              0.07,                              0,                              0,,,,,,                -56478,                  5125,,                  9601,,,
