證券代號,年季,　 營業收入,　　 租賃收入,　　　 租賃收入合計,　　 旅遊服務收入,　　　 餐旅服務收入,　　　　 客房收入,　　　　 餐飲收入,　　　　 電話及電報收入,　　　　 其他餐旅服務收入,　　　　 餐旅服務收入淨額,　　　 育樂收入,　　　　 育樂收入淨額,　　　 旅遊服務收入合計,　　 營業收入合計,　 營業成本,　　 租賃成本,　　　 租賃成本合計,　　 旅遊服務成本（觀光飯店業適用）,　　　 餐旅服務成本,　　　　 客房成本,　　　　 餐飲成本,　　　　 電話及電報成本,　　　　 餐旅服務成本合計,　　　 旅遊服務成本（觀光飯店業適用）合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 銀行存款利息,　　　　 利息收入合計,　　　 股利收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　　　 租賃收入,　　　 租賃成本,　 其他收益及費損淨額,　　 其他收益及費損淨額,　　 除列按攤銷後成本衡量金融資產淨損益,　　　 除列按攤銷後成本衡量金融資產淨損益,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益,　 合併前非屬共同控制股權損益,　　　 處分投資利益,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 其他綜合損益,　　　 採用權益法認列之關聯企業及合資利益之份額,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　 未實現銷貨（損）益,　 已實現銷貨（損）益
2706,2013年第2季,,,                 48706,,,                 25418,                 15564,                     28,                    636,                 41646,,,                 41646,                 90352,,,                  4375,,,                 13555,                 13438,                     88,                 27081,                 27081,                 31456,                 58896,                 58896,,                  7384,                 51512,,,,,                  4884,                 11600,                     16,                 16500,,                    486,                              0,                   -486,,                    408,                    408,,                 38127,                 53733,                105245,,                 16207,                 89038,                 89038,,,,,,,                  2606,                 91644,,                              0.24,                              0.24,                 48706,                  4375,,,,,,,,,                 15643,                -10378,,                 -2659,                 38127,,                              0.24,                              0.24,,
2706,2013年度,,,                195039,,,                100777,                 62175,                     93,                  2549,                165594,,,                165594,                360633,,,                 16856,,,                 53704,                 54186,                    363,                108253,                108253,                125109,                235524,                235524,,                 30185,                205339,,,,,                 19625,                 20828,                    627,                 41080,,                  1996,,                 -1996,,                  1634,                  1634,,                118839,                156289,                361628,,                 58255,                303373,                303373,,,,,,,                143778,                447151,,                              0.77,                              0.77,,,,,,,,,,                              0,                 66972,                 87980,                    211,                -11385,,,,,,
2706,2013年07月01日至2013年09月30日,,,                 48841,,,                 24161,                 15863,                     27,                    483,                 40534,,                              0,                 40534,                 89375,,,                  4005,,,                 13351,                 14058,                    102,                 27511,                 27511,                 31516,                 57859,                 57859,,                  7480,                 50379,,,,                  4963,                  4963,                  9228,                    201,                 14392,,                    467,                              0,                   -467,,                    409,                    409,,                 61505,                 75021,                125400,,                 19795,                105605,                105605,,,,,,,                 39995,                145600,,                              0.29,                              0.29,,,,,,,,,,,                -38315,                 71796,,                  6514,,,,,,
2706,2013年04月01日至2013年06月30日,,,                 48706,,,                 25418,                 15564,                     28,                    636,                 41646,,,                 41646,                 90352,,,                  4375,,,                 13555,                 13438,                     88,                 27081,                 27081,                 31456,                 58896,                 58896,,                  7384,                 51512,,,,,                  4884,                 11600,                     16,                 16500,,                    486,                              0,                   -486,,                    408,                    408,,                 38127,                 53733,                105245,,                 16207,                 89038,                 89038,,,,,,,                  2606,                 91644,,                              0.25,                              0.25,                 48706,                  4375,,,,,,,,,                 15643,                -10378,,                 -2659,                 38127,,                              0.25,                              0.25,,
2706,2013年01月01日至2013年12月31日,,,                195039,,,                100777,                 62175,                     93,                  2549,                165594,,,                165594,                360633,,,                 16856,,,                 53704,                 54186,                    363,                108253,                108253,                125109,                235524,                235524,,                 30185,                205339,,,,,                 19625,                 20828,                    627,                 41080,,                  1996,                              0,                 -1996,,                  1634,                  1634,,                118839,                156289,                361628,,                 58255,                303373,                303373,,,,,,,                143778,                447151,,                              0.82,                              0.82,,,,,,                              0,,                              0,,,                 66972,                 87980,                    211,                -11385,,,,,                              0,                              0
2706,2013年01月01日至2013年09月30日,,,                146177,,,                 73790,                 46379,                     72,                  1748,                121989,,                              0,                121989,                268166,,,                 12318,,,                 39867,                 39693,                    277,                 79837,                 79837,                 92155,                176011,                176011,,                 22120,                153891,,,,                 14683,                 14683,                 20828,                    245,                 35756,,                  1419,                              0,                 -1419,,                  1225,                  1225,,                 96889,                130001,                283892,,                 45101,                238791,                238791,,,,,,,                 78319,                317110,,                              0.61,                              0.61,,,,,,,,,,,                 45544,                 40517,,                 -7742,,,,,,
2706,2013年01月01日至2013年06月30日,,,                 97336,,,                 49629,                 30516,                     45,                  1265,                 81455,,,                 81455,                178791,,,                  8313,,,                 26516,                 25635,                    175,                 52326,                 52326,                 60639,                118152,                118152,,                 14640,                103512,,,,,                  9720,                 11600,                     44,                 21364,,                    952,                              0,                   -952,,                    816,                    816,,                 35384,                 54980,                158492,,                 25306,                133186,                133186,,,,,,,                 38324,                171510,,                              0.36,                              0.36,                 97336,                  8313,,,,,,,,,                 83859,                -31279,,                -14256,                 35384,,                              0.36,                              0.36,,
2706,2013年01月01日至2013年03月31日,,,                 48630,,,                 24211,                 14952,                     17,                    629,                 39809,,,                 39809,                 88439,,,                  3938,,,                 12961,                 12197,                     87,                 25245,                 25245,                 29183,                 59256,                 59256,,                  7256,                 52000,,,,,                  4836,,                     28,                  4864,,                    466,,                   -466,,                    408,                    408,,                 -2743,                  1247,                 53247,,                  9099,                 44148,                 44148,,,,,,,                 35718,                 79866,,                              0.12,                              0.12,                 48630,                  3938,,                              0,,                              0,,                              0,                              0,,                 68216,                -20901,,                -11597,,,,,,
2706,2012年07月01日至2012年09月30日,,,                 48642,,,                 25099,                 17128,                     23,                    531,                 42781,,                              0,                 42781,                 91423,,,                  3927,,,                 14466,                 15219,                     91,                 29776,                 29776,                 33703,                 57720,                 57720,,                  7330,                 50390,,,,                  4641,                  4641,                  6879,                     25,                 11545,,                    472,                  2561,                 -3033,,                    408,                    408,,                 51994,                 60098,                110488,,                 18107,                 92381,                 92381,,,,,,,                125914,                218295,,                              0.25,                              0.25,,,,,,,,,,,                -50497,                167826,,                  8585,,,,,,
2706,2012年04月01日至2012年06月30日,,,                 48498,,,                 26026,                 16267,                     28,                    644,                 42965,,,                 42965,                 91463,,,                  3869,,,                 14256,                 13840,                    121,                 28217,                 28217,                 32086,                 59377,                 59377,,                  7491,                 51886,,,,,                  4556,                 13211,                    519,                 18286,,                    501,                              0,                   -501,,                    408,                    408,,                 34555,                 51932,                103818,,                 15615,                 88203,                 88203,,,,,,,                -11127,                 77076,,                              0.25,                              0.25,                 48498,                  3869,,,,,,,,,                 31260,                -37072,,                 -5315,                 34555,,                              0.25,                              0.25,,
2706,2012年01月01日至2012年12月31日,,,                194271,,,                100714,                 63300,                    105,                  2514,                166633,,,                166633,                360904,,,                 15686,,,                 55687,                 55475,                    374,                111536,                111536,                127222,                233682,                233682,,                 30286,                203396,,,,,                 18601,                 20090,                  1430,                 40121,,                  2117,                  8219,                -10336,,                  1632,                  1632,,                101523,                129676,                333072,,                 53935,                279137,                279137,,,,,,,                 48378,                327515,,                              0.75,                              0.75,,,,,,                              0,,                              0,,,               -104958,                135945,                   -451,                 17842,,,,,                              0,                              0
2706,2012年01月01日至2012年09月30日,,,                145627,,,                 74926,                 48509,                     79,                  1786,                125300,,                              0,                125300,                270927,,,                 11773,,,                 42123,                 41829,                    272,                 84224,                 84224,                 95997,                174930,                174930,,                 21550,                153380,,,,                 13898,                 13898,                 20090,                  1013,                 35001,,                  1550,                  8220,                 -9770,,                  1224,                  1224,,                 94447,                118454,                271834,,                 43561,                228273,                228273,,,,,,,                115880,                344153,,                              0.62,                              0.62,,,,,,,,,,,                -83168,                184910,,                 14138,,,,,,
2706,2012年01月01日至2012年06月30日,,,                 96985,,,                 49827,                 31381,                     56,                  1255,                 82519,,,                 82519,                179504,,,                  7846,,,                 27657,                 26610,                    181,                 54448,                 54448,                 62294,                117210,                117210,,                 14220,                102990,,,,,                  9257,                 13211,                    988,                 23456,,                  1078,                  5659,                 -6737,,                    816,                    816,,                 42453,                 58356,                161346,,                 25454,                135892,                135892,,,,,,,                -10034,                125858,,                              0.39,                              0.39,                 96985,                  7846,,,,,,,,,                -32671,                 17084,,                  5553,                 42453,,                              0.39,                              0.39,,
2706,2012年01月01日至2012年03月31日,,,                 48487,,,                 23801,                 15114,                     28,                    611,                 39554,,,                 39554,                 88041,,,                  3977,,,                 13401,                 12770,                     60,                 26231,                 26231,                 30208,                 57833,                 57833,,                  6729,                 51104,,,,,                  4701,,                    469,                  5170,,                    577,                  5659,                 -6236,,                    408,                    408,,                  7898,                  6424,                 57528,,                  9839,                 47689,                 47689,,,,,,,                  1093,                 48782,,                              0.14,                              0.14,,,,,,,,,,,                -63931,                 54156,,                 10868,,,,,,
