證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 其他營業收入,　　　 其他營業收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 其他營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 基本每股盈餘,　　 基本每股盈餘合計,　　　 銷貨收入,　　　　 銷貨收入合計,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
1423,2015年第3季,,,                119825,,                 12538,                132363,,,                133829,                  6236,                140065,                 -7702,                 -7702,,,                  2378,,                  6092,                  8470,                -16172,,,                 13534,,                  1094,,                      7,,                -15323,                   -702,                -16874,,                    -83,                -16791,                -16791,,,                  7102,,                  8438,                 15540,                 15540,                 -1251,,                             -0.10,,,,,,,
1423,2015年第2季,,,                189201,,                 11583,                200784,,,                150114,                  5942,                156056,                 44728,                 44728,,,                  2763,,                  6202,                  8965,                 35763,,,                  6358,,                 -2731,,                      9,,                -19982,                -16364,                 19399,,                  3321,                 16078,                 16078,,,                 -1981,,                 -3309,                 -5290,                 -5290,                 10788,,                              0.10,,                189201,,,,,
1423,2015年01月01日至2015年09月30日,,,                456342,,                 32872,                489214,,,                444880,                 14993,                459873,                 29341,                 29341,,,                  7244,,                 19335,                 26579,                  2762,,,                 26407,,                 -3672,,                     25,,                -42486,                -19776,                -17014,,                  2111,                -19125,                -19125,,,                  5187,,                   -177,                  5010,                  5010,                -14115,,                             -0.11,,,,,,,
1423,2015年01月01日至2015年06月30日,,,                336517,,                 20334,                356851,,,                311051,                  8757,                319808,                 37043,                 37043,,,                  4866,,                 13243,                 18109,                 18934,,,                 12873,,                 -4766,,                     17,,                -27164,                -19074,                   -140,,                  2194,                 -2334,                 -2334,,,                 -1915,,                 -8615,                -10530,                -10530,                -12864,,                             -0.01,,                336517,,,,,
1423,2015年01月01日至2015年03月31日,,,                147316,,                  8751,                156067,,,                160937,                  2815,                163752,                 -7685,                 -7685,,,                  2103,,                  7041,                  9144,                -16829,,,                  6515,,                 -2035,,                      8,,                 -7182,                 -2710,                -19539,,                 -1127,                -18412,                -18412,,,                     66,,                 -5306,                 -5240,                 -5240,                -23652,,                             -0.11,,                147316,,,,,
1423,2014年第3季,,,                181428,,                 11086,                192514,,,                194943,                  5265,                200208,                 -7694,                 -7694,,,                  3896,,                  6572,                 10468,                -18162,,,                 11858,,                   -466,,                      8,,                 -4381,                  7003,                -11159,,                  9322,                -20481,                -20481,,,                  7293,,                  6938,                 14231,                 14231,                 -6250,,                             -0.12,,,,,,,
1423,2014年第2季,,,                174327,,                  7304,                181631,,,                169360,                  3294,                172654,                  8977,                  8977,,,                  3367,,                  6867,                 10234,                 -1257,,,                  5477,,                 -2769,,                      8,,                 -5132,                 -2432,                 -3689,,                   -510,                 -3179,                 -3179,,,                 11471,,                 -7576,                  3895,                  3895,                    716,,                             -0.02,,                174327,,,,,
1423,2014年度,,,                663260,,                 26608,                689868,,,                690314,                 12410,                702724,                -12856,                -12856,,,                 12638,,                 25222,                 37860,                -50716,,,                 28823,,                   -372,,                     32,,                -28731,                   -312,                -51028,,                 23621,                -74649,                -74649,,,,,,,                 31926,                -42723,,                             -0.43,,,                 18899,                 -7688,,                 20715,                              0
1423,2014年01月01日至2014年09月30日,,,                504627,,                 22599,                527226,,,                537070,                 10514,                547584,                -20358,                -20358,,,                  9228,,                 19769,                 28997,                -49355,,,                 22935,,                 -3135,,                     24,,                -16374,                  3402,                -45953,,                 19173,                -65126,                -65126,,,                 18369,,                  3615,                 21984,                 21984,                -43142,,                             -0.37,,,,,,,
1423,2014年01月01日至2014年06月30日,,,                323199,,                 11513,                334712,,,                342127,                  5249,                347376,                -12664,                -12664,,,                  5332,,                 13197,                 18529,                -31193,,,                 11077,,                 -2669,,                     16,,                -11993,                 -3601,                -34794,,                  9851,                -44645,                -44645,,,                 11076,,                 -3323,                  7753,                  7753,                -36892,,                             -0.26,,                323199,,,,,
