證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 管理費用,　　　 管理費用合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 現金流量避險,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 其他費用
2618,2015年第3季,,             36014470,,             30107572,              5906898,              5906898,,              2798111,              3108787,,,                347941,,               -452354,,                431751,,                 34933,               -501231,              2607556,,                132378,              2475178,              2475178,,,                 55654,               -165712,             -1568049,,                              0,               -257327,             -1420780,             -1420780,              1054398,,              2321809,                153369,,                898375,                156023,,                              0.60,,                              0.60,,,,,,,,,,
2618,2015年第2季,,             32686440,,             27778711,              4907729,              4907729,,              2590795,              2316934,,,                261038,,               -210834,,                454288,,                 20317,               -383767,              1933167,,                174898,              1758269,              1758269,,,                -14982,                -89754,              1062989,,                              0,                179722,                778531,                778531,              2536800,,              1641890,                116379,,              2423396,                113404,,                              0.42,,,,              2590795,,,,,,,,
2618,2015年01月01日至2015年09月30日,,            102075401,,             85964660,             16110741,             16110741,,              8024724,              8086017,,,                690246,,               -777506,,              1275888,,                 88769,             -1274379,              6811638,,                436758,              6374880,              6374880,,,                 28053,               -189294,               -171147,,                              0,                -21538,               -310850,               -310850,              6064030,,              5976060,                398820,,              5667260,                396770,,                              1.58,,                              1.58,,,,,,,,,,
2618,2015年01月01日至2015年06月30日,,             66060931,,             55857088,             10203843,             10203843,,              5226613,              4977230,,,                342305,,               -325152,,                844137,,                 53836,               -773148,              4204082,,                304380,              3899702,              3899702,,,                -27601,                -23582,              1396902,,                              0,                235789,              1109930,              1109930,              5009632,,              3654251,                245451,,              4768885,                240747,,                              0.97,,,,              5226613,,,,,,,,
2618,2015年01月01日至2015年03月31日,,             33374491,,             28078377,              5296114,              5296114,,              2635818,              2660296,,,                 81267,,               -114318,,                389849,,                 33519,               -389381,              2270915,,                129482,              2141433,              2141433,,,                -12619,                 66172,                333913,,                              0,                 56067,                331399,                331399,              2472832,,              2012361,                129072,,              2345489,                127343,,                              0.55,,                              0.55,,              2635818,,,,,,,,
2618,2014年第3季,,             35820040,,             31319024,              4501016,              4501016,,              2346643,              2154373,,,                139748,,             -1379131,,                408575,,                 47951,             -1600007,                554366,,                215720,                338646,                338646,,,                 17251,              1298156,               -469457,,                    100,                -78803,                924853,                924853,              1263499,,                198131,                140515,,              1121492,                142007,,                              0.06,,                              0.06,,,,,,,,,,
2618,2014年第2季,,             31938491,,             28450888,              3487603,              3487603,,              2382833,              1104770,,,                172635,,               -376534,,                424485,,                 20032,               -608352,                496418,,                258899,                237519,                237519,,,                -29363,                154911,                116207,,                   -111,                 19478,                222166,                222166,                459685,,                120480,                117039,,                344515,                115170,,                              0.04,,,,              2382833,,,,,,,,
2618,2014年度,,            133090008,,            120841008,             12249000,             12249000,,              9614111,              2634889,,,                496127,,             -1626462,,              1565898,,                110289,             -2585944,                 48945,,                838863,               -789918,               -789918,,,,,,,,,,               -667708,             -1457626,,             -1306724,                516806,,             -1956716,                499090,,                             -0.40,,                             -0.40,,              9614111,                 72379,              1483038,             -2358473,               -315138,,                 -1228,               -451714,
2618,2014年01月01日至2014年09月30日,,             98150629,,             88066758,             10083871,             10083871,,              6996377,              3087494,,,                405106,,             -1964989,,              1193817,,                 88052,             -2665648,                421846,,                626802,               -204956,               -204956,,,                 47012,              1468969,               -365076,,                              0,                -60557,              1211462,              1211462,              1006506,,               -591220,                386264,,                608439,                398067,,                             -0.18,,                             -0.18,,,,,,,,,,
2618,2014年01月01日至2014年06月30日,,             62330589,,             56747734,              5582855,              5582855,,              4649734,                933121,,,                265358,,               -585858,,                785242,,                 40101,             -1065641,               -132520,,                411082,               -543602,               -543602,,,                 29761,                170813,                104381,,                   -100,                 18246,                286609,                286609,               -256993,,               -789351,                245749,,               -513053,                256060,,                             -0.24,,,,              4649734,,,,,,,,
2618,2014年01月01日至2014年03月31日,,             30392098,,             28296846,              2095252,              2095252,,              2266901,               -171649,,,                 92723,,               -209324,,                360757,,                 20069,               -457289,               -628938,,                152183,               -781121,               -781121,,,                 59124,                 15902,                -11826,,                     11,                 -1232,                 64443,                 64443,               -716678,,               -909831,                128710,,               -857568,                140890,,                             -0.28,,                             -0.28,,              2266901,,,,,,,,
2618,2013年第3季,,             33244731,,             28560530,              4684201,              4684201,,              2422895,              2261306,,,                 64558,,                 96591,,                403969,,                 23921,               -218899,              2042407,,                110330,              1932077,              1932077,,,,,,,,,,                190572,              2122649,,              1770802,                161275,,              1969730,                152919,,                              0.54,,                              0.54,,              2422895,                -42820,                158743,                 90540,,,                              0,                 15891,
2618,2013年第2季,,             30295700,,             27140777,              3154923,              3154923,,              2396262,                758661,,,                173801,,               -385436,,                444912,,                 24596,               -631951,                126710,,                192383,                -65673,                -65673,,,,,,,,,,               -296246,               -361919,,               -178700,                113027,,               -495001,                133082,,                             -0.06,,                             -0.06,,              2396262,                  6277,               -233698,                -82715,,,                              0,                -13890,
2618,2013年度,,            124164451,,            111196719,             12967732,             12967732,,              9497413,              3470319,,,                392009,,               -504219,,              1602331,,                 84560,             -1629981,              1840338,,                560613,              1279725,              1279725,,,,,,,,,,               -279340,              1000385,,                747450,                532275,,                470111,                530274,,                              0.23,,                              0.23,,              9497413,                 33420,                 40838,                 12737,               -440282,,                  1485,                -72462,
2618,2013年07月01日至2013年09月30日,,             33244731,,             28560530,              4684201,              4684201,,              2422895,              2261306,,,                 64558,,                 96591,,                403969,,                 23921,               -218899,              2042407,,                110330,              1932077,              1932077,,,,,,,,,,                190572,              2122649,,              1770802,                161275,,              1969730,                152919,,                              0.54,,,,,                -42820,                158743,                 90540,,,,                 15891,
