證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨收入淨額,　　 租賃收入,　　　 租賃收入合計,　　 其他營業收入,　　　 其他營業收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 租賃成本,　　　 租賃成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 租賃收入,　　　 銷貨成本,　　　 租賃成本,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　　 本期所得稅費用（利益）,　 停業單位損益,　　 停業單位損益合計,　　　　 銷貨收入,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 除列按攤銷後成本衡量金融資產淨損益,　　　 除列按攤銷後成本衡量金融資產淨損益,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益,　　　 其他營業收入,　　 其他綜合損益
1419,2015年第3季,,,,                204494,                204494,,                 61481,,                              0,                265975,,,                180350,,                 31088,                211438,                 54537,                 54537,,                 79668,                -25131,,,                191834,                191834,,                 19757,,                  7827,,                  2469,                206233,                181102,,                  2723,                178379,                178379,,,                    175,               -223958,,                  6166,                     30,               -217647,               -217647,                -39268,,                178508,                   -129,,                -39139,                   -129,,                              0.60,                              0.60,,                              0.60,                              0.60,,,,,,,,,,,,,,,,,,,,,
1419,2015年第2季,,,,                186684,                186684,,                 56649,,                    511,                243844,,,                158048,,                 33289,                191337,                 52507,                 52507,,                 76155,                -23648,,,                 15814,                 15814,,                 -5073,,                  8315,,                   -592,                  1834,                -21814,,                    -51,                -21763,                -21763,,,                    -73,               -154914,,                 -6718,                    -12,               -161693,               -161693,               -183456,,                -17684,                 -4079,,               -179377,                 -4079,,                             -0.05,                             -0.05,,                             -0.05,                             -0.05,,,,,,,,,,,,,,,,,,,,,
1419,2015年01月01日至2015年09月30日,,,,                605354,                605354,,                169745,,                    550,                775649,,,                525286,,                 93689,                618975,                156674,                156674,,                228271,                -71597,,,                221909,                221909,,                  5287,,                 24286,,                  1582,                204492,                132895,,                  1762,                131133,                131133,,,                    -14,               -356590,,                -13059,                     -2,               -369661,               -369661,               -238528,,                135362,                 -4229,,               -234299,                 -4229,,                              0.45,                              0.45,,                              0.45,                              0.45,,,,,,,,,,,,,,,,,,,,,
1419,2015年01月01日至2015年06月30日,,,,                400860,                400860,,                108264,,                    550,                509674,,,                344936,,                 62601,                407537,                102137,                102137,,                148603,                -46466,,,                 30075,                 30075,,                -14470,,                 16459,,                   -887,                 -1741,                -48207,,                   -961,                -47246,                -47246,,,                   -189,               -132632,,                -19225,                    -32,               -152014,               -152014,               -199260,,                -43146,                 -4100,,               -195160,                 -4100,,                             -0.14,                             -0.14,,                             -0.14,                             -0.14,,,,,,,,,,,,,,,,,,,,,
1419,2015年01月01日至2015年03月31日,,,,                214176,                214176,,                 51615,,                     39,                265830,,,                186888,,                 29312,                216200,                 49630,                 49630,,                 72448,                -22818,,,                 14261,                 14261,,                 -9397,,                  8144,,                   -295,                 -3575,                -26393,,                   -910,                -25483,                -25483,,,                   -116,                 22282,,                -12507,                    -20,                  9679,                  9679,                -15804,,                -25462,                    -21,,                -15783,                    -21,,                             -0.09,                             -0.09,,                             -0.09,                             -0.09,                 51615,                186888,                 29312,                              0,                              0,                   -910,,                              0,,,,,,,,,,,,,
1419,2014年第3季,,,,                214552,                214552,,                 55543,,                     36,                270131,,,                184404,,                 29677,                214081,                 56050,                 56050,,                 74924,                -18874,,,                101442,                101442,,                  1372,,                  6533,,                  3710,                 99991,                 81117,,                    675,                 80442,                 80442,,,                    138,                -43319,,                 -1442,                     23,                -44646,                -44646,                 35796,,                 80442,                              0,,                 35796,                              0,,                              0.27,                              0.27,,                              0.27,                              0.27,,,,,,,,,,,,,,,,,,,,,
1419,2014年第2季,,,,                216617,                216617,,                 58003,,                    492,                275112,,,                169185,,                 30613,                199798,                 75314,                 75314,,                 79787,                 -4473,,,                 86183,                 86183,,                    292,,                  6260,,                   -330,                 79885,                 75412,,                  1145,                 74267,                 74267,,,                   -159,                145636,,                 -2284,                    -26,                143219,                143219,                217486,,                 74267,                              0,,                217486,                              0,,                              0.25,                              0.25,,                              0.25,                              0.25,,,,,,,,,,,,,,,,,,,,,
1419,2014年度,,,,                926502,                926502,,                211629,,                 38051,              1176182,,,                766471,,                121047,                887518,                288664,                288664,,                311701,                -23037,,,                197983,                197983,,                -42904,,                 26771,,                  2715,                131023,                107986,,                  3704,                104282,                104282,,,,,,,,,                 57760,                162042,,                104282,,,                162042,,,                              0.35,                              0.35,,                              0.35,                              0.35,                211629,                766471,                121047,                              0,                              0,,,                              0,                926502,                    445,                 55313,                 -1425,,                  3503,                     76,,,,,,
1419,2014年01月01日至2014年09月30日,,,,                646809,                646809,,                171149,,                    654,                818612,,,                528546,,                 90207,                618753,                199859,                199859,,                232117,                -32258,,,                188169,                188169,,                  4821,,                 18987,,                  3095,                177098,                144840,,                  1882,                142958,                142958,,,                     89,                107652,,                 -9163,                     15,                 98563,                 98563,                241521,,                142958,                              0,,                241521,                              0,,                              0.48,                              0.48,,                              0.48,                              0.48,,,,,,,,,,,,,,,,,,,,,
1419,2014年01月01日至2014年06月30日,,,,                432257,                432257,,                115606,,                    618,                548481,,,                344142,,                 60530,                404672,                143809,                143809,,                157193,                -13384,,,                 86727,                 86727,,                  3449,,                 12454,,                   -615,                 77107,                 63723,,                  1207,                 62516,                 62516,,,                    -49,                150971,,                 -7721,                     -8,                143209,                143209,                205725,,                 62516,                              0,,                205725,                              0,,                              0.21,                              0.21,,                              0.21,                              0.21,,,,,,,,,,,,,,,,,,,,,
