證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 與其他綜合損益組成部分相關之所得稅
8046,2015年第3季,,              7091176,,              7102398,                -11222,                -11222,,,                142862,,                311338,                454200,               -465422,,,                 58655,,                897609,,                  3077,,                 11253,                964440,                499018,,                 65914,                433104,                433104,,,                307741,               -386863,                    121,                -79243,                -79243,                353861,,                433104,,                353861,,                              0.67,,                              0.67,,,,,,,,,
8046,2015年第2季,,              7686102,,              7291767,                394335,                394335,,,                167788,,                298892,                466680,                -72345,,,                 29963,,                 57598,,                  3063,,                 30992,                115490,                 43145,,                 74886,                -31741,                -31741,,,                -73132,             -1036660,                    -17,             -1109775,             -1109775,             -1141516,,                -31741,,             -1141516,,                             -0.05,,                             -0.05,,,,,,,,,
8046,2015年01月01日至2015年09月30日,,             22812936,,             21702733,              1110203,              1110203,,,                475843,,                911925,              1387768,               -277565,,,                120148,,              1314615,,                  9657,,                 43656,              1468762,              1191197,,                226403,                964794,                964794,,,                 63672,             -2225374,                     84,             -2161786,             -2161786,             -1196992,,                964794,,             -1196992,,                              1.49,,                              1.49,,,,,,,,,
8046,2015年01月01日至2015年06月30日,,             15721760,,             14600335,              1121425,              1121425,,,                332981,,                600587,                933568,                187857,,,                 61493,,                417006,,                  6580,,                 32403,                504322,                692179,,                160489,                531690,                531690,,,               -244069,             -1838511,                    -37,             -2082543,             -2082543,             -1550853,,                531690,,             -1550853,,                              0.82,,                              0.82,,,,,,,,,
8046,2015年01月01日至2015年03月31日,,              8035658,,              7308568,                727090,                727090,,,                165193,,                301695,                466888,                260202,,,                 31530,,                359408,,                  3517,,                  1411,                388832,                649034,,                 85603,                563431,                563431,,,               -170937,               -801851,                    -20,               -972768,               -972768,               -409337,,                563431,,               -409337,,                              0.87,,                              0.87,,,,,,,,,
8046,2014年第3季,,              9250677,,              8655605,                595072,                595072,,,                195164,,                314373,                509537,                 85535,,,                 82943,,                378664,,                  5097,,                  8550,                465060,                550595,,                 67536,                483059,                483059,,,                203032,             -1035403,                 34516,               -866887,               -866887,               -383828,,                483059,,               -383828,,                              0.75,,                              0.75,,,,,,,,,
8046,2014年第2季,,              9524340,,              8725304,                799036,                799036,,,                186969,,                288187,                475156,                323880,,,                 29522,,                730736,,                  9314,,                  8162,                759106,              1082986,,                247458,                835528,                835528,,,               -229294,              2869851,                -38980,              2679537,              2679537,              3515065,,                835528,,              3515065,,                              1.29,,                              1.29,,,,,,,,,
8046,2014年度,,             34967522,,             33108171,              1859351,              1859351,,,                716852,,              1215127,              1931979,                -72628,,,                187474,,              1898635,,                 27425,,                 11381,              2070065,              1997437,,                382666,              1614771,              1614771,,,,,,,              2511890,              4126661,,              1614771,,              4126661,,                              2.50,,                              2.50,,,             35430256,                265063,                197671,             34967522,                648002,              1974048,                110160
8046,2014年01月01日至2014年09月30日,,             26619455,,             25017715,              1601740,              1601740,,,                540847,,                888100,              1428947,                172793,,,                141289,,              1343979,,                 20982,,                 27704,              1491990,              1664783,,                336024,              1328759,              1328759,,,                 83939,              1850306,                 14270,              1919975,              1919975,              3248734,,              1328759,,              3248734,,                              2.06,,                              2.06,,,,,,,,,
8046,2014年01月01日至2014年06月30日,,             17368778,,             16362110,              1006668,              1006668,,,                345683,,                573727,                919410,                 87258,,,                 58346,,                965315,,                 15885,,                 19154,              1026930,              1114188,,                268488,                845700,                845700,,,               -119093,              2885709,                -20246,              2786862,              2786862,              3632562,,                845700,,              3632562,,                              1.31,,                              1.31,,,,,,,,,
8046,2014年01月01日至2014年03月31日,,              7844438,,              7636806,                207632,                207632,,,                158714,,                285540,                444254,               -236622,,,                 28824,,                234579,,                  6571,,                 10992,                267824,                 31202,,                 21030,                 10172,                 10172,,,                110201,                 15858,                 18734,                107325,                107325,                117497,,                 10172,,                117497,,                              0.02,,                              0.02,,,,,,,,,
8046,2013年第3季,,              9265882,,              8838845,                427037,                427037,,,                201914,,                310212,                512126,                -85089,,,                 35247,,                 32752,,                  4615,,                 12551,                 75935,                 -9154,,                 55916,                -65070,                -65070,,,,,,,                169544,                104474,,                -65070,,                104474,,                             -0.10,,                             -0.10,,,              9358517,                 66066,                 26569,              9265882,               -110924,                261610,                -18858
8046,2013年第2季,,              7769926,,              7690756,                 79170,                 79170,,,                183155,,                302955,                486110,               -406940,,,                 18511,,                190025,,                  8530,,                    885,                200891,               -206049,,                 -3034,               -203015,               -203015,,,,,,,              1094901,                891886,,               -203015,,                891886,,                             -0.32,,,,,              7861654,                 49566,                 42162,              7769926,                248797,                888400,                 42296
8046,2013年度,,             32351577,,             31942366,                409211,                409211,,,                739535,,              1191355,              1930890,             -1521679,,,                101507,,                657220,,                 22660,,                 33715,                769782,               -751897,,                 84318,               -836215,               -836215,,,,,,,              2867062,              2030847,,               -836215,,              2030847,,                             -1.29,,                             -1.29,,,             32768085,                224178,                192330,             32351577,                546709,              2413293,                 92940
8046,2013年07月01日至2013年09月30日,,              9265882,,              8838845,                427037,                427037,,,                201914,,                310212,                512126,                -85089,,,                 35247,,                 32752,,                  4615,,                 12551,                 75935,                 -9154,,                 55916,                -65070,                -65070,,,,,,,                169544,                104474,,                -65070,,                104474,,                             -0.10,,,,,              9358517,                 66066,                 26569,              9265882,               -110924,                261610,                -18858
8046,2013年04月01日至2013年06月30日,,              7769926,,              7690756,                 79170,                 79170,,,                189605,,                302955,                492560,               -413390,,,                 47930,,                167056,,                  8530,,                    885,                207341,               -206049,,                 -3034,               -203015,               -203015,,,,,,,              1094901,                891886,,               -203015,,                891886,,                             -0.32,,,,,              7861654,                 49566,                 42162,              7769926,                248797,                888400,                 42296
8046,2013年01月01日至2013年12月31日,,             32351577,,             31942366,                409211,                409211,,,                739535,,              1191355,              1930890,             -1521679,,,                101507,,                657220,,                 22660,,                 33715,                769782,               -751897,,                 84318,               -836215,               -836215,,,,,,,              2867062,              2030847,,               -836215,,              2030847,,                             -1.29,,,,,             32768085,                224178,                192330,             32351577,                546709,              2413293,                 92940
8046,2013年01月01日至2013年09月30日,,             23578259,,             23333337,                244922,                244922,,,                556347,,                904216,              1460563,             -1215641,,,                 94181,,                452088,,                 19588,,                 25040,                551721,               -663920,,                -11375,               -652545,               -652545,,,,,,,              1925726,              1273181,,               -652545,,              1273181,,                             -1.01,,                             -1.01,,,             23897705,                181839,                137607,             23578259,                346115,              1638450,                 58839
8046,2013年01月01日至2013年06月30日,,             14312377,,             14494492,               -182115,               -182115,,,                354433,,                594004,                948437,             -1130552,,,                 58934,,                419336,,                 14973,,                 12489,                475786,               -654766,,                -67291,               -587475,               -587475,,,,,,,              1756182,              1168707,,               -587475,,              1168707,,                             -0.91,,,,,             14539188,                115773,                111038,             14312377,                457039,              1376840,                 77697
8046,2013年01月01日至2013年03月31日,,              6542451,,              6803736,               -261285,               -261285,,,                171278,,                291049,                462327,               -723612,,,                 40423,,                229311,,                  6443,,                 11604,                274895,               -448717,,                -64257,               -384460,               -384460,,,,,,,                661281,                276821,,               -384460,,                276821,,                             -0.59,,,,,              6677534,                 66207,                 68876,              6542451,                208242,                488440,                 35401
8046,2012年07月01日至2012年09月30日,,              7610474,,              7635863,                -25389,                -25389,,,                186738,,                300873,                487611,               -513000,,,                117618,,                -13238,,                 10203,,                 12097,                106274,               -406726,,                  3508,               -410234,               -410234,,,,,,,               -254422,               -664656,,               -410234,,               -664656,,                             -0.63,,,,,              7946226,                109769,                225983,              7610474,                -83275,               -185304,                -14157
8046,2012年04月01日至2012年06月30日,,              7303332,,              7434196,               -130864,               -130864,,,                183198,,                254294,                437492,               -568356,,,                 39144,,                132092,,                  9319,,                -16496,                145421,               -422935,,                -54552,               -368383,               -368383,,,,,,,               -348429,               -716812,,               -368383,,               -716812,,                             -0.57,,,,,              7717743,                131141,                283270,              7303332,                 50437,               -390292,                  8574
8046,2012年01月01日至2012年12月31日,,             29726100,,             30813795,             -1087695,             -1087695,,,                647380,,              1097668,              1745048,             -2832743,,,                309253,,                235880,,                 37512,,                  3740,                511361,             -2321382,,               -235695,             -2085687,             -2085687,,,,,,,               -463277,             -2548964,,             -2085687,,             -2548964,,                             -3.23,,,,,             30744122,                442940,                575082,             29726100,               -302761,               -211985,                -51469
8046,2012年01月01日至2012年09月30日,,             22440731,,             22196872,                243859,                243859,,,                489039,,                822761,              1311800,             -1067941,,,                197465,,                122525,,                 30591,,                    987,                290386,               -777555,,                 18532,               -796087,               -796087,,,,,,,               -242895,             -1038982,,               -796087,,             -1038982,,                             -1.23,,,,,             23326703,                335365,                550607,             22440731,               -315135,                 18667,                -53573
8046,2012年01月01日至2012年06月30日,,             14830257,,             14561009,                269248,                269248,,,                302301,,                521888,                824189,               -554941,,,                 79847,,                135763,,                 20388,,                -11110,                184112,               -370829,,                 15024,               -385853,               -385853,,,,,,,                 11527,               -374326,,               -385853,,               -374326,,                             -0.60,,,,,             15380477,                225596,                324624,             14830257,               -231860,                203971,                -39416
8046,2012年01月01日至2012年03月31日,,              7526925,,              7126813,                400112,                400112,,,                119103,,                267594,                386697,                 13415,,,                 20965,,                 23409,,                 11069,,                  5386,                 38691,                 52106,,                 69576,                -17470,                -17470,,,,,,,                359956,                342486,,                -17470,,                342486,,                             -0.03,,,,,              7662734,                 94455,                 41354,              7526925,               -282297,                594263,                -47990
