證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
1714,2014年01月01日至2014年03月31日,,             13936750,,             13204534,                732216,                732216,,,                268217,,                240371,,                 30520,                539108,                193108,,,                 37948,,                -20940,,                134605,,                 66901,                -50696,                142412,,                 60008,                 82404,                 82404,,,,,,                 -2675,                              0,,                 -2878,,                 -5553,                 -5553,                 76851,,                116639,                -34235,,                104764,                -27913,,                              0.12,                              0.12,,                              0.12,                              0.12,,,,,,
1714,2013年第3季,,             12947630,,             12173782,                773848,                773848,,,                264638,,                194336,,                              0,                458974,                314874,,,                 58546,,                -20138,,                 88521,,                  1730,                -48383,                266491,,                 90849,                175642,                175642,,,,,,,,,,,,               -144086,                 31556,,                146987,                 28655,,                 59945,                -28389,,                              0.16,                              0.16,,                              0.16,                              0.16,               -146972,                  2804,,,                     82,
1714,2013年第2季,,             12863281,,             12273656,                589625,                589625,,,                216970,,                195676,,,                412646,                176979,,,                 39090,,                  2319,,                 89791,,                  6603,                -41779,                135200,,                 33328,                101872,                101872,,,,,,,,,,,,                202082,                303954,,                121904,                -20032,,                238260,                 65694,,                              0.14,                              0.14,,                              0.14,                              0.14,                203233,                 -2908,,,                  1757,
1714,2013年度,,             54570374,,             51902027,              2668347,              2668347,,,                843495,,              1005114,,                              0,              1848609,                819738,,,                200831,,               -151530,,                349324,,                 78451,               -221572,                598166,,                255861,                342305,                342305,,,,,,,,,,,,                656902,                999207,,                477340,               -135035,,                858502,                140705,,                              0.51,                              0.51,,                              0.50,                              0.50,                644771,                 -6832,                 12319,,                  7686,                  1042
1714,2013年07月01日至2013年09月30日,,             12947630,,             12173782,                773848,                773848,,,                264638,,                194336,,,                458974,                314874,,,                 58546,,                -20138,,                 88521,,                  1730,                -48383,                266491,,                 90849,                175642,                175642,,,,,,,,,,,,               -144086,                 31556,,                146987,                 28655,,                 59945,                -28389,,                              0.16,                              0.16,,                              0.16,                              0.16,               -146972,                  2804,,,                     82,
1714,2013年04月01日至2013年06月30日,,             12863281,,             12273656,                589625,                589625,,,                216970,,                195676,,,                412646,                176979,,,                 39090,,                  2319,,                 89791,,                  6603,                -41779,                135200,,                 33328,                101872,                101872,,,,,,,,,,,,                202082,                303954,,                121904,                -20032,,                238260,                 65694,,                              0.14,                              0.14,,                              0.14,                              0.14,                203233,                 -2908,,,                  1757,
1714,2013年01月01日至2013年12月31日,,             54570374,,             51902027,              2668347,              2668347,,,                843495,,              1005114,,,              1848609,                819738,,,                200831,,               -151530,,                349324,,                 78451,               -221572,                598166,,                255861,                342305,                342305,,,,,,,,,,,,                656902,                999207,,                477340,               -135035,,                858502,                140705,,                              0.53,                              0.53,,                              0.53,                              0.53,                644771,                 -6832,                 12319,,                  7686,                  1042
1714,2013年01月01日至2013年09月30日,,             37556291,,             35578822,              1977469,              1977469,,,                728194,,                601342,,                              0,              1329536,                647933,,,                122966,,                 -9051,,                245132,,                 18242,               -112975,                534958,,                164629,                370329,                370329,,,,,,,,,,,,                405720,                776049,,                383843,                -13514,,                621497,                154552,,                              0.41,                              0.41,,                              0.41,                              0.41,                403979,                 -1506,,,                  3247,
1714,2013年01月01日至2013年06月30日,,             24608661,,             23405040,              1203621,              1203621,,,                463556,,                407006,,,                870562,                333059,,,                 64420,,                 11087,,                156611,,                 16512,                -64592,                268467,,                 73780,                194687,                194687,,,,,,,,,,,,                549806,                744493,,                236856,                -42169,,                561552,                182941,,                              0.26,                              0.26,,                              0.26,                              0.26,                550951,                 -4310,,,                  3165,
1714,2013年01月01日至2013年03月31日,,             11745380,,             11131384,                613996,                613996,,,                246586,,                211330,,,                457916,                156080,,,                 25330,,                  8768,,                 66820,,                  9909,                -22813,                133267,,                 40452,                 92815,                 92815,,,,,,,,,,,,                347724,                440539,,                114952,                -22137,,                323292,                117247,,                              0.13,                              0.13,,                              0.13,                              0.13,                347718,                 -1402,,,                  1408,
1714,2012年07月01日至2012年09月30日,,             10369533,,              9741109,                628424,                628424,,,                168544,,                253978,,,                422522,                205902,,,                 72577,,                -23110,,                 58738,,                 11381,                  2110,                208012,,                 65626,                142386,                142386,,,,,,,,,,,,                -42584,                 99802,,                134917,                  7469,,                 77109,                 22693,,                              0.15,                              0.15,,                              0.15,                              0.15,                -42432,                   -841,,,                    689,
1714,2012年04月01日至2012年06月30日,,             14195190,,             13323449,                871741,                871741,,,                221823,,                130718,,,                352541,                519200,,,                 52628,,                  4251,,                 77445,,                 16395,                 -4171,                515029,,                204093,                310936,                310936,,,,,,,,,,,,                 85834,                396770,,                196181,                114755,,                251681,                145089,,                              0.23,                              0.23,,                              0.23,                              0.23,                 86583,                   -526,,,                   -223,
1714,2012年01月01日至2012年12月31日,,             46078354,,             42995504,              3082850,              3082850,,,                760471,,                865156,,,              1625627,              1457223,,,                283574,,               -211719,,                307574,,                 42683,               -193036,              1264187,,                450399,                813788,                813788,,,,,,,,,,,,               -491158,                322630,,                584873,                228915,,                376048,                -53418,,                              0.65,                              0.65,,                              0.65,                              0.65,               -471529,                 -1882,                -12768,,                 -4979,                              0
1714,2012年01月01日至2012年09月30日,,             35038841,,             32578973,              2459868,              2459868,,,                570959,,                585615,,,              1156574,              1303294,,,                159264,,                -47049,,                213444,,                 43390,                -57839,              1245455,,                406675,                838780,                838780,,,,,,,,,,,,               -216551,                622229,,                593295,                245485,,                420456,                201773,,                              0.66,                              0.66,,                              0.66,                              0.66,               -222342,                  5392,,,                    399,
1714,2012年01月01日至2012年06月30日,,             24669308,,             22837864,              1831444,              1831444,,,                402415,,                331637,,,                734052,              1097392,,,                 86687,,                -23939,,                154706,,                 32009,                -59949,              1037443,,                341049,                696394,                696394,,,,,,,,,,,,               -173967,                522427,,                458378,                238016,,                343347,                179080,,                              0.54,                              0.54,,                              0.53,                              0.53,               -179910,                  6233,,,                   -290,
1714,2012年01月01日至2012年03月31日,,             10474118,,              9514415,                959703,                959703,,,                180592,,                200919,,,                381511,                578192,,,                 34059,,                -28190,,                 77261,,                 15614,                -55778,                522414,,                136956,                385458,                385458,,,,,,,,,,,,               -259801,                125657,,                262197,                123261,,                 91666,                 33991,,                              0.31,                              0.31,,                              0.31,                              0.31,               -266493,                  6759,,,                    -67,
