證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 與可能重分類之項目相關之所得稅,　　 非控制權益（淨利／損）,　　 非控制權益（綜合損益）,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
8341,2015年第3季,,                407725,,                181387,                226338,                226338,,,                 11504,,                 63024,                 74528,                151810,,,                  2137,,                  8821,,                  1382,                  9576,                161386,,                 27785,                133601,                133601,,,,,,                 14741,                 14741,                 14741,                148342,,                133601,,                148342,,                              1.20,                              1.20,,                              1.20,                              1.20,                              0,                              0,                              0,,,
8341,2015年第2季,,                389895,,                154989,                234906,                234906,,,                  9612,,                 64221,                 73833,                161073,,,                  2200,,                 -3686,,                  1597,                 -3083,                157990,,                 27032,                130958,                130958,,,,,,                 -4898,                 -4898,                 -4898,                126060,,                130958,,                126060,,                              1.17,                              1.17,,                              1.17,                              1.17,                              0,                              0,                              0,,,
8341,2015年度,,              1624504,,                708392,                916112,                916112,,,                 45936,,                244607,                290543,                625569,,,                 10727,,                 -3207,,                  9223,                 -1703,                623866,,                110322,                513544,                513544,,,                 13730,                 13730,,                 -6870,                 -6870,                  6860,                520404,,                513544,,                520404,,                              4.71,                              4.71,,                              4.69,                              4.69,,,,,,
8341,2015年01月01日至2015年09月30日,,              1166939,,                518929,                648010,                648010,,,                 31545,,                184046,                215591,                432419,,,                  6986,,                  4011,,                  8021,                  2976,                435395,,                 78912,                356483,                356483,,,,,,                  6653,                  6653,                  6653,                363136,,                356483,,                363136,,                              3.29,                              3.29,,                              3.28,                              3.28,                              0,                              0,                              0,,,
8341,2015年01月01日至2015年06月30日,,                759214,,                337542,                421672,                421672,,,                 20041,,                121022,                141063,                280609,,,                  4849,,                 -4810,,                  6639,                 -6600,                274009,,                 51127,                222882,                222882,,,,,,                 -8088,                 -8088,                 -8088,                214794,,                222882,,                214794,,                              2.09,                              2.09,,                              2.09,                              2.09,                              0,                              0,                              0,,,
8341,2015年01月01日至2015年03月31日,,                369319,,                182553,                186766,                186766,,,                 10429,,                 56801,                 67230,                119536,,,                  2649,,                 -1124,,                  5042,                 -3517,                116019,,                 24095,                 91924,                 91924,,,,,,                 -3190,                 -3190,                 -3190,                 88734,,                 91924,,                 88734,,                              0.91,                              0.91,,                              0.90,                              0.90,,                              0,                              0,,,
8341,2014年第3季,,                297819,,                133559,                164260,                164260,,,                 10484,,                 50519,                 61003,                103257,,,                  2269,,                  5146,,                  7856,                   -441,                102816,,                 15800,                 87016,                 87016,,,,,,                  8062,                  6692,                  6692,                 93708,,                 87016,,                 93708,,                              0.87,                              0.87,,                              0.86,                              0.86,                  1370,                              0,                              0,,,
8341,2014年第2季,,                277996,,                138053,                139943,                139943,,,                  9077,,                 55441,                 64518,                 75425,,,                  3047,,                    780,,                  5590,                 -1763,                 73662,,                 19357,                 54305,                 54305,,,,,,                 -5710,                 -4483,                 -4483,                 49822,,                 54305,,                 49822,,                              0.54,                              0.54,,                              0.54,                              0.54,                 -1227,                              0,                              0,,,
8341,2014年度,,              1246237,,                620959,                625278,                625278,,,                 39939,,                209655,                249594,                375684,,,                 10159,,                 10967,,                 22627,                 -1501,                374183,,                 69979,                304204,                304204,,,                 -7875,                 -7875,,                 11158,                 11158,                  3283,                307487,,                304204,,                307487,,                              3.04,                              3.04,,                              2.97,                              2.97,,,,,,
8341,2014年01月01日至2014年09月30日,,                890528,,                436844,                453684,                453684,,,                 28974,,                152741,                181715,                271969,,,                  7037,,                  5071,,                 19091,                 -6983,                264986,,                 48199,                216787,                216787,,,,,,                    844,                    701,                    701,                217488,,                216787,,                217488,,                              2.17,                              2.17,,                              2.13,                              2.13,                    143,                              0,                              0,,,
8341,2014年01月01日至2014年06月30日,,                592709,,                303285,                289424,                289424,,,                 18490,,                102222,                120712,                168712,,,                  4768,,                    -75,,                 11235,                 -6542,                162170,,                 32399,                129771,                129771,,,,,,                 -7218,                 -5991,                 -5991,                123780,,                129771,,                123780,,                              1.30,                              1.30,,                              1.26,                              1.26,                 -1227,                              0,                              0,,,
8341,2014年01月01日至2014年03月31日,,                314713,,                165232,                149481,                149481,,,                  9413,,                 46781,                 56194,                 93287,,,                  1721,,                   -855,,                  5645,                 -4779,                 88508,,                 13042,                 75466,                 75466,,,,,,                 -1508,                 -1508,                 -1508,                 73958,,                 75466,,                 73958,,                              0.75,                              0.75,,                              0.75,                              0.75,,                              0,                              0,,,
8341,2013年第3季,,                266790,,                164580,                102210,                102210,,,                  8027,,                 40323,                 48350,                 53860,,,                  1519,,                  3984,,                  5801,                   -298,                 53562,,                 10344,                 43218,                 43218,,,,,,,,                   -271,                 42947,,                 43218,,                 42947,,                              0.43,                              0.43,,                              0.43,                              0.43,,                              0,                              0,                   -271,,                              0
8341,2013年第2季,,                              0,,                              0,                              0,                              0,,,                              0,,                              0,                              0,                              0,,,                              0,,                              0,,                              0,                              0,                              0,,                              0,                              0,                              0,,,,,,,,                              0,                              0,,                              0,,                              0,,                              0.00,                              0.00,,                              0.00,                              0.00,,                              0,                              0,                              0,,                              0
8341,2013年度,,              1095634,,                623436,                472198,                472198,,,                 38160,,                164578,                202738,                269460,,,                  6854,,                 50877,,                 23628,                 34103,                303563,,                 36931,                266632,                266632,,,,,,,,                 13962,                280594,,                266422,,                280384,,                              2.66,                              2.66,,                              2.62,                              2.62,,                    210,                    210,                 15962,                 -2410,                   -410
8341,2013年01月01日至2013年09月30日,,                749833,,                455283,                294550,                294550,,,                 26328,,                115099,                141427,                153123,,,                  3500,,                 48234,,                 17035,                 34699,                187822,,                 25852,                161970,                161970,,,,,,,,                 14439,                176409,,                161760,,                176199,,                              1.62,                              1.62,,                              1.60,                              1.60,,                    210,                    210,                 14439,,                              0
