證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 停業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋停業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 勞務收入,　　　 維修收入,　　　　 維修收入,　　　　 維修收入淨額,　　　 勞務收入合計,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 勞務成本,　　　 維修成本,　　　 勞務成本合計,　　　 利息收入,　　　　 銀行存款利息,　　　　 其他利息收入,　　　　 利息收入合計,　　　 租金收入,　　　 其他收入－其他,　　　 處分不動產、廠房及設備利益,　　　 處分投資利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 處分投資損失,　　　 外幣兌換損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 利息費用,　　 當期所得稅費用（利益）,　　 遞延所得稅費用（利益）,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　　 按攤銷後成本衡量之金融資產利息收入,　　　 股利收入,　　　 處分投資性不動產利益,　　 其他綜合損益,　　　　 無活絡市場債券投資利息收入
4526,2015年第3季,,              2512834,,              1827097,                685737,                685737,,,                165339,,                403898,,                 69465,                638702,                 47035,,,                 34599,,                205927,,                 16726,,                   -446,                223354,                270389,,                 35917,                234472,                234472,,,                 69662,                    789,                 11633,                 58818,                 58818,                293290,,                203655,                 30817,,                259961,                 33329,,                              0.80,                              0.00,                              0.80,,                              0.80,                              0.00,                              0.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4526,2015年第2季,,              2334838,,              1787905,                546933,                546933,,,                168378,,                178755,,                 70776,                417909,                129024,,,                 11960,,                -50176,,                 15830,,                   -365,                -54411,                 74613,,                 19530,                 55083,                 55083,,,                -14737,                -44954,                 -2391,                -57300,                -57300,                 -2217,,                 44649,                 10434,,                -11979,                  9762,,                              0.17,                              0.00,                              0.17,,                              0.17,                              0.00,                              0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4526,2015年01月01日至2015年09月30日,,              6665336,,              5004705,              1660631,              1660631,,,                498746,,                703795,,                202250,              1404791,                255840,,,                 76950,,                 75656,,                 44652,,                 -1219,                106735,                362575,,                 67372,                295203,                295203,,,                 35586,                -38705,                  6049,                 -9168,                 -9168,                286035,,                263469,                 31734,,                253018,                 33017,,                              1.03,                              0.00,                              1.03,,                              1.03,                              0.00,                              1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4526,2015年01月01日至2015年06月30日,,              4152502,,              3177608,                974894,                974894,,,                333407,,                299897,,                132785,                766089,                208805,,,                 42351,,               -130271,,                 27926,,                   -773,               -116619,                 92186,,                 31455,                 60731,                 60731,,,                -34076,                -39494,                 -5584,                -67986,                -67986,                 -7255,,                 59814,                    917,,                 -6943,                   -312,,                              0.23,                              0.00,                              0.23,,                              0.23,                              0.00,                              0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4526,2015年01月01日至2015年03月31日,,              1817664,,              1389703,                427961,                427961,,,                165029,,                121142,,                 62009,                348180,                 79781,,,                 30391,,                -80095,,                 12096,,                   -408,                -62208,                 17573,,                 11925,                  5648,                  5648,,,                -19339,                  5460,                 -3193,                -10686,                -10686,                 -5038,,                 15165,                 -9517,,                  5036,                -10074,,                              0.06,,                              0.06,,                              0.06,,                              0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4526,2014年第3季,,              2468311,,              1843593,                624718,                624718,,,                185083,,                163758,,                 76663,                425504,                199214,,,                 29566,,                 68801,,                  9535,,                              0,                 88832,                288046,,                 36934,                251112,                251112,,,                 28093,                -14104,                  4775,                  9214,                  9214,                260326,,                224543,                 26569,,                233071,                 27255,,                              0.96,                              0.00,                              0.96,,                              0.95,                              0.00,                              0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4526,2014年第2季,,              2489289,,              1843448,                645841,                645841,,,                180662,,                196330,,                 55214,                432206,                213635,,,                 27499,,                -53720,,                 15147,,                              0,                -41368,                172267,,                 40483,                131784,                131784,,,                -20096,                 22814,                 -3416,                  6134,                  6134,                137918,,                117214,                 14570,,                123758,                 14160,,                              0.50,                              0.00,                              0.50,,                              0.50,                              0.00,                              0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4526,2014年度,,              9074478,,              6916358,              2158120,              2158120,,,                695401,,                664646,,                265633,              1625680,                532440,,,                147420,,                227544,,                 57263,,                   -121,                317580,                850020,,                169297,                680723,                680723,,,,,,,                 66536,                747259,,                578540,                102183,,                642768,                104491,,                              2.51,,                              2.51,,                              2.49,,                              2.49,                 52199,                 31214,                -12108,                  4769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4526,2014年01月01日至2014年09月30日,,              6791023,,              5065800,              1725223,              1725223,,,                497869,,                515286,,                179136,              1192291,                532932,,,                103286,,                 80417,,                 38146,,                              0,                145557,                678489,,                128908,                549581,                549581,,,                 12014,                 10745,                  2042,                 20717,                 20717,                570298,,                482501,                 67080,,                502671,                 67627,,                              2.05,                              0.00,                              2.05,,                              2.04,                              0.00,                              2.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4526,2014年01月01日至2014年06月30日,,              4322712,,              3222207,              1100505,              1100505,,,                312786,,                351528,,                102473,                766787,                333718,,,                 73720,,                 11616,,                 28611,,                              0,                 56725,                390443,,                 91974,                298469,                298469,,,                -16079,                 24849,                 -2733,                 11503,                 11503,                309972,,                257958,                 40511,,                269600,                 40372,,                              1.10,                              0.00,                              1.10,,                              1.09,                              0.00,                              1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
