證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
2380,2015年第3季,,                625148,,                434411,                190737,                190737,,,                 39274,,                 74358,,                126712,                240344,                -49607,,,                  8347,,                 33174,,                    816,,                    823,                 41528,                 -8079,,                  9168,                -17247,                -17247,,,                 67267,                -19206,,                  1976,                  8849,                 41188,                 41188,                 23941,,                -17125,                   -122,,                 24003,                    -62,,                             -0.08,                             -0.08,,                             -0.08,                             -0.08,,,,,,
2380,2015年第2季,,                639470,,                455980,                183490,                183490,,,                 44363,,                 67878,,                124515,                236756,                -53266,,,                  1789,,                  2652,,                    828,,                     87,                  3700,                -49566,,                  4040,                -53606,                -53606,,,                -25108,                -33234,,                              0,                -10159,                -48183,                -48183,               -101789,,                -53675,                     69,,               -101844,                     55,,                             -0.25,                             -0.25,,                             -0.25,                             -0.25,,,,,,
2380,2015年01月01日至2015年09月30日,,              1884920,,              1309030,                575890,                575890,,,                125212,,                215494,,                370791,                711497,               -135607,,,                 12035,,                 15598,,                  2648,,                    592,                 25577,               -110030,,                 16300,               -126330,               -126330,,,                 24905,                -50656,,                  2387,                 -4311,                -19053,                -19053,               -145383,,               -126140,                   -190,,               -145226,                   -157,,                             -0.58,                             -0.58,,                             -0.58,                             -0.58,,,,,,
2380,2015年01月01日至2015年06月30日,,              1259772,,                874619,                385153,                385153,,,                 85938,,                141136,,                244079,                471153,                -86000,,,                  3688,,                -17576,,                  1832,,                   -231,                -15951,               -101951,,                  7132,               -109083,               -109083,,,                -42362,                -31450,,                    411,                -13160,                -60241,                -60241,               -169324,,               -109015,                    -68,,               -169229,                    -95,,                             -0.50,                             -0.50,,                             -0.50,                             -0.50,,,,,,
2380,2015年01月01日至2015年03月31日,,                620302,,                418639,                201663,                201663,,,                 41575,,                 73258,,                119564,                234397,                -32734,,,                  1899,,                -20228,,                  1004,,                   -318,                -19651,                -52385,,                  3092,                -55477,                -55477,,,                -17254,                  1784,,                    411,                 -3001,                -12058,                -12058,                -67535,,                -55340,                   -137,,                -67385,                   -150,,                             -0.26,                             -0.26,,                             -0.26,                             -0.26,,,,,,
2380,2014年第3季,,                676212,,                471560,                204652,                204652,,,                 41942,,                 81607,,                123214,                246763,                -42111,,,                 11193,,                 12486,,                  1929,,                   -656,                 21094,                -21017,,                  4846,                -25863,                -25863,,,                 45838,                -18358,,                     -1,                  5669,                 21810,                 21810,                 -4053,,                -25943,                     80,,                 -4133,                     80,,                             -0.12,                             -0.12,,                             -0.12,                             -0.12,,,,,,
2380,2014年第2季,,                796789,,                597760,                199029,                199029,,,                 52509,,                 71397,,                123215,                247121,                -48092,,,                  2408,,                 -8230,,                  1686,,                   -355,                 -7863,                -55955,,                  9103,                -65058,                -65058,,,                -28540,                 22281,,                              0,                 -1064,                 -5195,                 -5195,                -70253,,                -65058,                              0,,                -70253,                              0,,                             -0.30,                             -0.30,,                             -0.30,                             -0.30,,,,,,
2380,2014年度,,              2792406,,              2032793,                759613,                759613,,,                181909,,                226920,,                482552,                891381,               -131768,,,                 22872,,                 54456,,                  6276,,                 -1504,                 69548,                -62220,,                 22689,                -84909,                -84909,,,,,,,,,                 40051,                -44858,,                -84962,                     53,,                -44911,                     53,,                             -0.39,                             -0.39,,                             -0.39,                             -0.39,                 61464,                -12368,                 -1629,,                  1603,                  9019
2380,2014年01月01日至2014年09月30日,,              2144048,,              1556649,                587399,                587399,,,                130786,,                220994,,                363028,                714808,               -127409,,,                 16938,,                 28388,,                  4463,,                 -2098,                 38765,                -88644,,                 15142,               -103786,               -103786,,,                 10548,                  5613,,                    917,                  3901,                 13177,                 13177,                -90609,,               -103866,                     80,,                -90689,                     80,,                             -0.48,                             -0.48,,                             -0.48,                             -0.48,,,,,,
2380,2014年01月01日至2014年06月30日,,              1467836,,              1085089,                382747,                382747,,,                 88844,,                139387,,                239814,                468045,                -85298,,,                  5745,,                 15902,,                  2534,,                 -1442,                 17671,                -67627,,                 10296,                -77923,                -77923,,,                -35290,                 23971,,                    918,                 -1768,                 -8633,                 -8633,                -86556,,                -77923,                              0,,                -86556,                              0,,                             -0.36,                             -0.36,,                             -0.36,                             -0.36,,,,,,
2380,2014年01月01日至2014年03月31日,,                671047,,                487329,                183718,                183718,,,                 36335,,                 67990,,                116599,                220924,                -37206,,,                  3337,,                 24132,,                    848,,                 -1087,                 25534,                -11672,,                  1193,                -12865,                -12865,,,                 -6750,                  1690,,                    918,                   -704,                 -3438,                 -3438,                -16303,,                -12865,                              0,,                -16303,                              0,,                             -0.06,                             -0.06,,                             -0.06,                             -0.06,,,,,,
2380,2013年第3季,,                786808,,                598489,                188319,                188319,,,                 29086,,                 88805,,                122563,                240454,                -52135,,,                 18871,,                  2060,,                  1635,,                   -713,                 18583,                -33552,,                  6292,                -39844,                -39844,,,,,,,,,                -14503,                -54347,,                -39844,                              0,,                -54347,                              0,,                             -0.18,                             -0.18,,                             -0.18,                             -0.18,                -17786,                    313,,,                              0,                 -2970
2380,2013年第2季,,                666961,,                513270,                153691,                153691,,,                 48875,,                 87187,,                120700,                256762,               -103071,,,                  3763,,                 10807,,                  2151,,                  1239,                 13658,                -89413,,                  1641,                -91054,                -91054,,,,,,,,,                 33879,                -57175,,                -91054,                              0,,                -57175,                              0,,                             -0.42,                             -0.42,,                             -0.42,                             -0.42,                 24297,                 16521,                              0,,                              0,                  6939
2380,2013年度,,              2818145,,              2176162,                641983,                641983,,,                157738,,                292873,,                492584,                943195,               -301212,,,                 33007,,                 25786,,                  6439,,                   -689,                 51665,               -249547,,                 -3522,               -246025,               -246025,,,,,,,,,                130179,               -115846,,               -246025,                              0,,               -115846,                              0,,                             -1.14,                             -1.14,,                             -1.14,                             -1.14,                 85735,                 60278,                 11613,,                   -784,                 26663
2380,2013年07月01日至2013年09月30日,,                786808,,                598489,                188319,                188319,,,                 29086,,                 88805,,                122563,                240454,                -52135,,,                 18871,,                  2060,,                  1635,,                   -713,                 18583,                -33552,,                  6292,                -39844,                -39844,,,,,,,,,                -14503,                -54347,,                -39844,                              0,,                -54347,                              0,,                             -0.18,                             -0.18,,                             -0.18,                             -0.18,                -17786,                    313,,,                              0,                 -2970
2380,2013年04月01日至2013年06月30日,,                666961,,                513270,                153691,                153691,,,                 48875,,                 87187,,                120700,                256762,               -103071,,,                  3763,,                 10807,,                  2151,,                  1239,                 13658,                -89413,,                  1641,                -91054,                -91054,,,,,,,,,                 33879,                -57175,,                -91054,                              0,,                -57175,                              0,,                             -0.42,                             -0.42,,                             -0.42,                             -0.42,                 24297,                 16521,,,                              0,                  6939
2380,2013年01月01日至2013年12月31日,,              2818145,,              2176162,                641983,                641983,,,                157738,,                292873,,                492584,                943195,               -301212,,,                 33007,,                 25786,,                  6439,,                   -689,                 51665,               -249547,,                 -3522,               -246025,               -246025,,,,,,,,,                130179,               -115846,,               -246025,                              0,,               -115846,                              0,,                             -1.14,                             -1.14,,                             -1.14,                             -1.14,                 85735,                 60278,                 11613,,                   -784,                 26663
2380,2013年01月01日至2013年09月30日,,              2059733,,              1586653,                473080,                473080,,,                129177,,                253425,,                366537,                749139,               -276059,,,                 25648,,                 22195,,                  5769,,                   -489,                 41585,               -234474,,                 -9819,               -224655,               -224655,,,,,,,,,                 62724,               -161931,,               -224655,                              0,,               -161931,                              0,,                             -1.04,                             -1.04,,                             -1.04,                             -1.04,                 54990,                 14159,,,                   -369,                  6056
2380,2013年01月01日至2013年06月30日,,              1272925,,                988164,                284761,                284761,,,                100091,,                164620,,                243974,                508685,               -223924,,,                  6777,,                 20135,,                  4134,,                    224,                 23002,               -200922,,                -16111,               -184811,               -184811,,,,,,,,,                 77227,               -107584,,               -184811,                              0,,               -107584,                              0,,                             -0.85,                             -0.85,,                             -0.85,                             -0.85,                 72776,                 13846,                              0,,                   -369,                  9026
2380,2013年01月01日至2013年03月31日,,                605964,,                474894,                131070,                131070,,,                 51216,,                 77433,,                123274,                251923,               -120853,,,                  3014,,                  9328,,                  1983,,                 -1015,                  9344,               -111509,,                -17752,                -93757,                -93757,,,,,,,,,                 43348,                -50409,,                -93757,                              0,,                -50409,                              0,,                             -0.43,                             -0.43,,                             -0.43,                             -0.43,                 48479,                 -2675,,,                   -369,                  2087
2380,2012年07月01日至2012年09月30日,,              1150284,,                819587,                330697,                330697,,,                108571,,                 64079,,                118291,                290941,                 39756,,,                 11039,,                -13195,,                  1477,,                    944,                 -2689,                 37067,,                 28619,                  8448,                  8448,,,,,,,,,                -26052,                -17604,,                  8801,                   -353,,                -17251,                   -353,,                              0.04,                              0.04,,                              0.04,                              0.04,                -35622,                  3677,,,                              0,                 -5893
2380,2012年04月01日至2012年06月30日,,                878929,,                627769,                251160,                251160,,,                 69265,,                165329,,                122070,                356664,               -105504,,,                  1369,,                 10840,,                  1353,,                  1458,                 12314,                -93190,,                  3726,                -96916,                -96916,,,,,,,,,                -24553,               -121469,,                -96144,                   -772,,               -120697,                   -772,,                             -0.44,                             -0.44,,                             -0.44,                             -0.44,                 11716,                -35072,,,                              0,                  1197
2380,2012年01月01日至2012年12月31日,,              3678716,,              2742684,                936032,                936032,,,                310773,,                378446,,                470360,              1159579,               -223547,,,                 31756,,                -72207,,                  6379,,                  6567,                -40263,               -263810,,                 53937,               -317747,               -317747,,,,,,,,,                -74010,               -391757,,               -317747,                              0,,               -391757,                              0,,                             -1.45,                             -1.45,,                             -1.45,                             -1.45,                -44813,                -30982,                -10957,,                   -172,                -12914
2380,2012年01月01日至2012年09月30日,,              2725547,,              1975071,                750476,                750476,,,                233330,,                310423,,                357751,                901504,               -151028,,,                 17266,,                -30552,,                  4232,,                  1754,                -15764,               -166792,,                 44083,               -210875,               -210875,,,,,,,,,                -60936,               -271811,,               -209666,                 -1209,,               -270602,                 -1209,,                             -0.96,                             -0.96,,                             -0.96,                             -0.96,                -62391,                 -8716,,,                    327,                 -9844
2380,2012年01月01日至2012年06月30日,,              1575263,,              1155484,                419779,                419779,,,                124759,,                246344,,                239460,                610563,               -190784,,,                  6227,,                -17357,,                  2755,,                    810,                -13075,               -203859,,                 15464,               -219323,               -219323,,,,,,,,,                -34884,               -254207,,               -218467,                   -856,,               -253351,                   -856,,                             -0.99,                             -0.99,,                             -0.99,                             -0.99,                -26769,                -12393,,,                    327,                 -3951
2380,2012年01月01日至2012年03月31日,,                696334,,                527715,                168619,                168619,,,                 55494,,                 81015,,                117390,                253899,                -85280,,,                  4858,,                -28197,,                  1402,,                   -648,                -25389,               -110669,,                 11738,               -122407,               -122407,,,,,,,,,                -10331,               -132738,,               -122323,                    -84,,               -132654,                    -84,,                             -0.56,                             -0.56,,                             -0.56,                             -0.56,                -38485,                 22679,,,                    327,                 -5148
