證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 本期綜合損益總額,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　 其他綜合損益(淨額),　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 其他綜合損益（淨額）,　　 當期所得稅費用（利益）
2537,2015年第3季,,                     97,,                     11,                     86,                     86,,,                     58,,                  8779,                  8837,                 -8751,,,                     50,,                    205,,                  3354,                 -3099,                -11850,,                              0,                -11850,                -11850,                -11850,,                             -0.05,                             -0.05,,                             -0.05,                             -0.05,,,,,
2537,2015年第2季,,                137088,,                 81162,                 55926,                 55926,,,                  5361,,                 10192,                 15553,                 40373,,,                    472,,                 -5387,,                 14263,                -19178,                 21195,,                    704,                 20491,                 20491,                 20491,,                              0.08,                              0.08,,                              0.08,                              0.08,,,,,
2537,2015年01月01日至2015年09月30日,,                279421,,                170317,                109104,                109104,,,                  8237,,                 33165,                 41402,                 67702,,,                    532,,                 -7740,,                 21336,                -28544,                 39158,,                    704,                 38454,                 38454,                 38454,,                              0.16,                              0.16,,                              0.15,                              0.15,,,,,
2537,2015年01月01日至2015年06月30日,,                279324,,                170306,                109018,                109018,,,                  8179,,                 24386,                 32565,                 76453,,,                    482,,                 -7945,,                 17982,                -25445,                 51008,,                    704,                 50304,                 50304,                 50304,,                              0.20,                              0.20,,                              0.20,                              0.20,,,,,
2537,2015年01月01日至2015年03月31日,,                142236,,                 89144,                 53092,                 53092,,,                  2818,,                 14194,                 17012,                 36080,,,                     10,,                 -2558,,                  3719,                 -6267,                 29813,,,                 29813,                 29813,                 29813,,                              0.12,                              0.12,,                              0.12,                              0.12,,,,,
2537,2014年第3季,,                342019,,                214431,                127588,                127588,,,                  5545,,                 13457,                 19002,                108586,,,                    211,,                 -3212,,                  3476,                 -6477,                102109,,                              0,                102109,                102109,                102109,,                              0.41,                              0.41,,                              0.38,                              0.38,,,,,
2537,2014年第2季,,                191667,,                120196,                 71471,                 71471,,,                  3239,,                 11217,                 14456,                 57015,,,                  1337,,                 -6630,,                  3750,                 -9043,                 47972,,                  2524,                 45448,                 45448,                 45448,,                              0.18,                              0.18,,                              0.18,                              0.18,,,,,
2537,2014年度,,              1083905,,                671694,                412211,                412211,,,                 34290,,                 59922,                 94212,                317999,,,                  1901,,                 -8978,,                 20721,                -27798,                290201,,                  7079,                283122,                283122,                283118,,                              1.15,                              1.15,,                              1.07,                              1.07,,                     -4,                              0,                     -4,
2537,2014年01月01日至2014年09月30日,,                891113,,                550848,                340265,                340265,,,                 23882,,                 41779,                 65661,                274604,,,                  1630,,                -10771,,                 17535,                -26676,                247928,,                  2524,                245404,                245404,                245404,,                              1.00,                              1.00,,                              0.93,                              0.93,,,,,
2537,2014年01月01日至2014年06月30日,,                549094,,                336417,                212677,                212677,,,                 18337,,                 28322,                 46659,                166018,,,                  1419,,                 -7559,,                 14059,                -20199,                145819,,                  2524,                143295,                143295,                143295,,                              0.59,                              0.59,,                              0.55,                              0.55,,,,,
2537,2014年01月01日至2014年03月31日,,                357427,,                216221,                141206,                141206,,,                 15098,,                 17105,                 32203,                109003,,,                     82,,                   -929,,                 10309,                -11156,                 97847,,,                 97847,                 97847,                 97847,,                              0.44,                              0.44,,                              0.41,                              0.41,,,,,
2537,2013年第3季,,                229648,,                146433,                 83215,                 83215,,,                  6714,,                 10527,                 17241,                 65974,,,                     28,,                   -120,,                  9019,                 -9111,                 56863,,                    603,                 56260,                 56260,                 56260,,                              0.34,                              0.34,,                              0.31,                              0.31,,,,,
2537,2013年第2季,,                703969,,                462763,                241206,                241206,,,                 99150,,                 12751,                111901,                129305,,,                    879,,                  1967,,                  7297,                 -4451,                124854,,                  4217,                120637,                120637,                120637,,                              0.77,                              0.77,,                              0.68,                              0.68,,,,,
2537,2013年度,,              2283342,,              1476047,                807295,                807295,,,                147085,,                 60036,                207121,                600174,,,                  1990,,                    224,,                 33809,                -31595,                568579,,                 17267,                551312,                551312,                551317,,                              3.50,                              3.50,,                              3.13,                              3.13,,                      5,                              0,                      5,
2537,2013年07月01日至2013年09月30日,,                229648,,                146433,                 83215,                 83215,,,                  6714,,                 10527,                 17241,                 65974,,,                     28,,                   -120,,                  9019,                 -9111,                 56863,,                    603,                 56260,                 56260,                 56260,,                              0.34,                              0.34,,                              0.31,                              0.31,,,,,
2537,2013年04月01日至2013年06月30日,,                703969,,                462763,                241206,                241206,,,                 99150,,                 12751,                111901,                129305,,,                    879,,                  1967,,                  7297,                 -4451,                124854,,                  4217,                120637,                120637,                120637,,                              0.77,                              0.77,,                              0.68,                              0.68,,,,,                  4217
2537,2013年01月01日至2013年12月31日,,              2283342,,              1476047,                807295,                807295,,,                147085,,                 60036,                207121,                600174,,,                  1990,,                    224,,                 33809,                -31595,                568579,,                 17267,                551312,                551312,                551317,,                              3.50,                              3.50,,                              3.13,                              3.13,,                      5,,                      5,
