證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 共同控制下前手權益（淨利／損）,　　 非控制權益（淨利／損）,　　 共同控制下前手權益（綜合損益）,　　 非控制權益（綜合損益）,　　 銷貨成本,　　　 銷貨成本合計
8105,2015年第3季,,,,              2770558,              2770558,                  5471,                 17134,              2747953,              2747953,,              2365998,                381955,                381955,,,                114702,,                 93912,,                 70263,                278877,                103078,,,                 27174,,                223955,,                  6915,,                              0,                244214,                347292,,                    506,                346786,                346786,,,                 66669,                 66669,                 66669,                413455,,                346786,,                413455,,                              0.79,,                              0.79,,,,,,,,,
8105,2015年第2季,,,,              2862834,              2862834,                 15355,                 14473,              2833006,              2833006,,              2538435,                294571,                294571,,,                 91324,,                 88981,,                 69581,                249886,                 44685,,,                 50918,,                -41298,,                  7084,,                              0,                  2536,                 47221,,                    669,                 46552,                 46552,,,                -27331,                -27331,                -27331,                 19221,,                 46552,,                 19221,,                              0.11,,                              0.11,,,,,,,,,
8105,2015年01月01日至2015年09月30日,,,,              8198034,              8198034,                 18221,                 46211,              8133602,              8133602,,              7273418,                860184,                860184,,,                279361,,                277444,,                201063,                757868,                102316,,,                113655,,                156242,,                 20731,,                              0,                249166,                351482,,                  3007,                348475,                348475,,,                 -4226,                 -4226,                 -4226,                344249,,                348475,,                344249,,                              0.79,,                              0.79,,,,,,,,,
8105,2015年01月01日至2015年06月30日,,,,              5427476,              5427476,                 23810,                 29077,              5374589,              5374589,,              4896360,                478229,                478229,,,                164659,,                183532,,                130800,                478991,                   -762,,,                 86481,,                -67713,,                 13816,,                              0,                  4952,                  4190,,                  2501,                  1689,                  1689,,,                -70895,                -70895,                -70895,                -69206,,                  1689,,                -69206,,                              0.00,,                              0.00,,,,,,,,,
8105,2015年01月01日至2015年03月31日,,,,,              2564642,                  8455,                 14604,              2541583,              2541583,,              2357925,                183658,                183658,,,                 73335,,                 94551,,                 61219,                229105,                -45447,,,                 35563,,                -26415,,                  6732,,                              0,                  2416,                -43031,,                  1832,                -44863,                -44863,,,                -43564,                -43564,                -43564,                -88427,,                -44863,,                -88427,,                             -0.10,,                             -0.10,,,,,,,,,
8105,2014年第3季,,,,              3353065,              3353065,                 19541,                 13136,              3320388,              3320388,,              3066374,                254014,                254014,,,                 98033,,                 96718,,                 58614,                253365,                    649,,,                 36715,,                 46093,,                  9572,,                              0,                 73236,                 73885,,                  1161,                 72724,                 72724,,,                 52845,                 52845,                 52845,                125569,,                 72724,,                125569,,                              0.16,,                              0.16,,,,,,,,,
8105,2014年第2季,,,,              3345528,              3345528,                  9941,                 39639,              3295948,              3295948,,              3033224,                262724,                262724,,,                 95711,,                 93169,,                 65912,                254792,                  7932,,,                 38833,,                -56792,,                 15626,,                   -700,                -34285,                -26353,,                  1346,                -27699,                -27699,,,                -58467,                -58467,                -58467,                -86166,,                -27699,,                -86166,,                             -0.06,,                             -0.06,,,,,,,,,
8105,2014年度,,,,,             13424492,                 82901,                 86718,             13254873,             13254873,,             12398987,                855886,                855886,,,                381208,,                372126,,                261207,              1014541,               -158655,,,                129599,,                170912,,                 44354,,                 -2000,                254157,                 95502,,                  8589,                 86913,                 86913,,,,,                160874,                247787,,                 86913,,                247787,,                              0.20,,                              0.20,                163578,                              0,                 -2704,,,,,,
8105,2014年01月01日至2014年09月30日,,,,             10969201,             10969201,                 45520,                 66939,             10856742,             10856742,,             10073186,                783556,                783556,,,                293333,,                281174,,                191715,                766222,                 17334,,,                100361,,                 46930,,                 37143,,                 -2000,                108148,                125482,,                 12664,                112818,                112818,,,                 32528,                 32528,                 32528,                145346,,                112818,,                145346,,                              0.26,,                              0.26,,,,,,,,,
8105,2014年01月01日至2014年06月30日,,,,              7616136,              7616136,                 25979,                 53803,              7536354,              7536354,,              7006812,                529542,                529542,,,                195300,,                184456,,                133101,                512857,                 16685,,,                 63646,,                    837,,                 27571,,                 -2000,                 34912,                 51597,,                 11503,                 40094,                 40094,,,                -20317,                -20317,                -20317,                 19777,,                 40094,,                 19777,,                              0.09,,                              0.09,,,,,,,,,
8105,2014年01月01日至2014年03月31日,,,,,              4270608,                 16038,                 14164,              4240406,              4240406,,              3973588,                266818,                266818,,,                 99589,,                 91287,,                 67189,                258065,                  8753,,,                 24813,,                 57629,,                 11945,,                 -1300,                 69197,                 77950,,                 10157,                 67793,                 67793,,,                 38150,                 38150,                 38150,                105943,,                 67793,,                105943,,                              0.15,,                              0.15,,,,,,,,,
8105,2013年第3季,,,,,              3078563,                 22593,                  5190,              3050780,              3050780,,              2964594,                 86186,                 86186,,,                 78235,,                 83929,,                 70321,                232485,               -146299,,,                 55887,,                -28398,,                  9817,,                 -2819,                 14853,               -131446,,                  5511,               -136957,               -136957,,,,,                -26218,               -163175,,               -136957,,               -163175,,                             -0.31,,,                -26218,                              0,,,,,,,
8105,2013年第2季,,,,,              2197541,                 15627,                  6393,              2175521,              2175521,,              2182311,                 -6790,                 -6790,,,                 69136,,                 85113,,                 71078,                225327,               -232117,,,                 39475,,                 10080,,                 17842,,                              0,                 31713,               -200404,,                  2827,               -203231,               -203231,,,,,                 30990,               -172241,,               -203231,,               -172241,,                             -0.46,,                             -0.46,                 30990,                              0,,,,,,,
8105,2013年度,,,,,             11533183,                 54898,                 33469,             11444816,             11444816,,             11240959,                203857,                203857,,,                317174,,                340343,,                279032,                936549,               -732692,,,                132978,,                 94913,,                 46352,,                 -6825,                174714,               -557978,,                 43535,               -601513,               -601513,,,,,                138857,               -462656,,               -601513,,               -462656,,                             -1.36,,                             -1.36,                139766,                 -9688,                  8779,,,,,,
8105,2013年07月01日至2013年09月30日,,,,,              3078563,                 22593,                  5190,              3050780,              3050780,,              2964594,                 86186,                 86186,,,                 78235,,                 83929,,                 70321,                232485,               -146299,,,                 55887,,                -28398,,                  9817,,                 -2819,                 14853,               -131446,,                  5511,               -136957,               -136957,,,,,                -26218,               -163175,,               -136957,,               -163175,,                             -0.31,,,                -26218,                              0,,                              0,                              0,                              0,                              0,,
8105,2013年04月01日至2013年06月30日,,,,,              2197541,                 15627,                  6393,              2175521,              2175521,,              2182311,                 -6790,                 -6790,,,                 69136,,                 85113,,                 71078,                225327,               -232117,,,                 39475,,                 10080,,                 17842,,                              0,                 31713,               -200404,,                  2827,               -203231,               -203231,,,,,                 30990,               -172241,,               -203231,,               -172241,,                             -0.46,,                             -0.46,                 30990,                              0,,                              0,                              0,                              0,                              0,,
8105,2013年01月01日至2013年12月31日,,,,,             11533183,                 54898,                 33469,             11444816,             11444816,,             11240959,                203857,                203857,,,                317174,,                340343,,                279032,                936549,               -732692,,,                132978,,                 94913,,                 46352,,                 -6825,                174714,               -557978,,                 43535,               -601513,               -601513,,,,,                138857,               -462656,,               -601513,,               -462656,,                             -1.36,,,                139766,                 -9688,                  8779,                              0,                              0,                              0,                              0,,
8105,2013年01月01日至2013年09月30日,,,,,              7628936,                 60327,                 28091,              7540518,              7540518,,              7484824,                 55694,                 55694,,,                217955,,                258220,,                211942,                688117,               -632423,,,                114036,,                 40966,,                 39924,,                 -4404,                110674,               -521749,,                 48007,               -569756,               -569756,,,,,                 82872,               -486884,,               -569756,,               -486884,,                             -1.29,,,                 92560,                 -9688,,,,,,,
8105,2013年01月01日至2013年06月30日,,,,,              4550373,                 37734,                 22901,              4489738,              4489738,,              4520230,                -30492,                -30492,,,                139720,,                174291,,                141621,                455632,               -486124,,,                 58149,,                 69364,,                 30107,,                 -1585,                 95821,               -390303,,                 42496,               -432799,               -432799,,,,,                109090,               -323709,,               -432799,,               -323709,,                             -0.98,,                             -0.98,                118778,                 -9688,,,,,,,
8105,2013年01月01日至2013年03月31日,,,,,              2352832,                 29621,                  8994,              2314217,              2314217,,              2337919,                -23702,                -23702,,,                 70584,,                 89178,,                 70543,                230305,               -254007,,,                 18674,,                 59284,,                 12265,,                 -1585,                 64108,               -189899,,                 39669,               -229568,               -229568,,,,,                 78100,               -151468,,               -229568,,               -151468,,                             -0.52,,                             -0.52,                 87788,                 -9688,,                              0,                              0,                              0,                              0,,
8105,2012年07月01日至2012年09月30日,,,,,              3739143,                  3439,                 27041,              3708663,              3708663,,              3535494,                173169,                173169,,,                 94693,,                 87295,,                 53005,                234993,                -61824,,,                 19336,,                -42215,,                 21550,,                              0,                -44429,               -106253,,                  5053,               -111306,               -111306,,,,,                -27850,               -139156,,               -111306,,               -139156,,                             -0.25,,,                -30296,                  2446,,                              0,                              0,                              0,                              0,,
8105,2012年04月01日至2012年06月30日,,,,,              3600366,                 23723,                  8493,              3568150,              3568150,,              3287136,                281014,                281014,,,                 85930,,                 82819,,                 57646,                226395,                 54619,,,                 23858,,                 13605,,                 26536,,                              0,                 10927,                 65546,,                 15680,                 49866,                 49866,,,,,                 12009,                 61875,,                 49866,,                 61875,,                              0.11,,                              0.10,                  9727,                  2282,,                              0,                              0,                              0,                              0,,
8105,2012年01月01日至2012年12月31日,,,,,             13539843,                 92848,                 69483,             13377512,             13377512,,             12802254,                575258,                575258,,,                350060,,                358073,,                243938,                952071,               -376813,,,                127931,,               -263749,,                102050,,                -17654,               -255522,               -632335,,                 25196,               -657531,               -657531,,,,,               -112082,               -769613,,               -657531,,               -769613,,                             -1.49,,,               -114438,                  5606,                 -3250,                              0,                              0,                              0,                              0,,
8105,2012年01月01日至2012年09月30日,,,,,             10807442,                 36112,                 54051,             10717279,             10717279,,              9990519,                726760,                726760,,,                268547,,                261733,,                166990,                697270,                 29490,,,                 63889,,                -41431,,                 75933,,                              0,                -53475,                -23985,,                 24111,                -48096,                -48096,,,,,                -92422,               -140518,,                -48096,,               -140518,,                             -0.11,,,                -99606,                  7184,,                              0,                              0,                              0,                              0,,
8105,2012年01月01日至2012年06月30日,,,,,              7068299,                 32673,                 27010,              7008616,              7008616,,              6455025,                553591,                553591,,,                173854,,                174438,,                113985,                462277,                 91314,,,                 44553,,                    784,,                 54383,,                              0,                 -9046,                 82268,,                 19058,                 63210,                 63210,,,,,                -64572,                 -1362,,                 63210,,                 -1362,,                              0.14,,                              0.13,                -69310,                  4738,,                              0,                              0,                              0,                              0,,
8105,2012年01月01日至2012年03月31日,,,,,,,,              3440466,              3440466,,              3167889,                272577,                272577,,,                 87924,,                 91619,,                 56339,                235882,                 36695,,,                 20049,,                -12175,,                 27847,,,                -19973,                 16722,,                  3378,                 13344,                 13344,,,,,                -76581,                -63237,,                 13344,,                -63237,,                              0.03,,                              0.03,                -79037,                  2456,,,                              0,,                              0,,              3167889
