證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 其他收入－其他,　　 國外營運機構財務報表換算之兌換差額
8427,2015年第3季,,,                191369,                191369,,,                148513,                148513,                 42856,                 42856,,,                 75541,,                 99834,,                 14935,                190310,               -147454,,,                186581,,                -96910,,                    844,                 88827,                -58627,,                -16405,                -42222,                -42222,,,                175565,                175565,,                 25648,                 25648,                201213,                158991,,                -42222,,                158991,,                             -0.40,                             -0.40,,                             -0.40,                             -0.40,,
8427,2015年第2季,,,                374598,                374598,,,                318086,                318086,                 56512,                 56512,,,                 99940,,                 90708,,                 21006,                211654,               -155142,,,                  4825,,                 82549,,                    317,                 87057,                -68085,,                 -4628,                -63457,                -63457,,,                -65410,                -65410,,                 -4937,                 -4937,                -70347,               -133804,,                -63457,,               -133804,,                             -0.60,                             -0.60,,                             -0.60,                             -0.60,,
8427,2015年01月01日至2015年09月30日,,,              3786479,              3786479,,,              2782001,              2782001,              1004478,              1004478,,,                423460,,                290521,,                 53424,                767405,                237073,,,                199399,,                 24683,,                  2683,                221399,                458472,,                151409,                307063,                307063,,,                 68996,                 68996,,                 23780,                 23780,                 92776,                399839,,                307063,,                399839,,                              2.88,                              2.88,,                              2.88,                              2.88,,
8427,2015年01月01日至2015年06月30日,,,              3595110,              3595110,,,              2633488,              2633488,                961622,                961622,,,                347919,,                190687,,                 38489,                577095,                384527,,,                 12818,,                121593,,                  1839,                132572,                517099,,                167814,                349285,                349285,,,               -106569,               -106569,,                 -1868,                 -1868,               -108437,                240848,,                349285,,                240848,,                              3.29,                              3.29,,                              3.29,                              3.29,,
8427,2015年01月01日至2015年03月31日,,,              3220512,              3220512,,,              2315402,              2315402,                905110,                905110,,,                247979,,                 99979,,                 17483,                365441,                539669,,,                  7993,,                 39044,,                  1522,                 45515,                585184,,                172442,                412742,                412742,,,                -41159,                -41159,,                  3069,                  3069,                -38090,                374652,,                412742,,                374652,,                              3.88,                              3.88,,                              3.88,                              3.88,,
8427,2014年第3季,,,                275077,                275077,,,                224492,                224492,                 50585,                 50585,,,                 86149,,                 93881,,                 21127,                201157,               -150572,,,                 14463,,                 38433,,                  1041,                 51855,                -98717,,                -26537,                -72180,                -72180,,,                100874,                100874,,                     40,                     40,                100914,                 28734,,                -72180,,                 28734,,                             -0.67,                             -0.67,,                             -0.67,                             -0.67,,
8427,2014年第2季,,,                933586,                933586,,,                847568,                847568,                 86018,                 86018,,,                121204,,                100955,,                 20230,                242389,               -156371,,,                 20499,,                -45052,,                  1232,                -25785,               -182156,,                -50107,               -132049,               -132049,,,                -77473,                -77473,,                   -105,                   -105,                -77578,               -209627,,               -132049,,               -209627,,                             -1.22,                             -1.22,,                             -1.22,                             -1.22,,
8427,2014年度,,,              6426357,              6426357,,,              5121248,              5121248,              1305109,              1305109,,,                610066,,                436471,,                 82241,              1128778,                176331,,,                 88325,,               -260245,,                  9484,               -181404,                 -5073,,                 14342,                -19415,                -19415,,,,,,,,                142458,                123043,,                -19415,,                123043,,                             -0.18,                             -0.18,,                             -0.18,                             -0.18,                 88325,                142458
8427,2014年01月01日至2014年09月30日,,,              4289318,              4289318,,,              3606294,              3606294,                683024,                683024,,,                432804,,                327452,,                 60354,                820610,               -137586,,,                 53201,,               -234977,,                  7224,               -189000,               -326586,,                -87235,               -239351,               -239351,,,                  6642,                  6642,,                  6502,                  6502,                 13144,               -226207,,               -239351,,               -226207,,                             -2.22,                             -2.22,,                             -2.22,                             -2.22,,
8427,2014年01月01日至2014年06月30日,,,              4014241,              4014241,,,              3381802,              3381802,                632439,                632439,,,                346655,,                233571,,                 39227,                619453,                 12986,,,                 38738,,               -273410,,                  6183,               -240855,               -227869,,                -60698,               -167171,               -167171,,,                -94232,                -94232,,                  6462,                  6462,                -87770,               -254941,,               -167171,,               -254941,,                             -1.55,                             -1.55,,                             -1.55,                             -1.55,,
8427,2014年01月01日至2014年03月31日,,,              3080655,              3080655,,,              2534234,              2534234,                546421,                546421,,,                225451,,                132616,,                 18997,                377064,                169357,,,                 18239,,               -228358,,                  4951,               -215070,                -45713,,                -10591,                -35122,                -35122,,,                -16759,                -16759,,                  6567,                  6567,                -10192,                -45314,,                -35122,,                -45314,,                             -0.33,                             -0.33,,                             -0.33,                             -0.33,,
8427,2013年第3季,,,                256612,                256612,,,                249984,                249984,                  6628,                  6628,,,                 83881,,                 88569,,                 19093,                191543,               -184915,,,                  3733,,                 46787,,                              0,                 50520,               -134395,,                -36045,                -98350,                -98350,,,,,,,,                -53482,               -151832,,                -98350,,               -151832,,                             -0.91,                             -0.91,,                             -0.91,                             -0.91,,                -53482
8427,2013年第2季,,,                724009,                724009,,,                675912,                675912,                 48097,                 48097,,,                112306,,                 73628,,                 21956,                207890,               -159793,,,                  6649,,                  6177,,                      2,                 12824,               -146969,,                -42000,               -104969,               -104969,,,,,,,,                 64039,                -40930,,               -104969,,                -40930,,                             -0.97,                             -0.97,,                             -0.97,                             -0.97,,                 64039
8427,2013年度,,,              5800974,              5800974,,,              4656567,              4656567,              1144407,              1144407,,,                513041,,                377135,,                 81916,                972092,                172315,,,                 18414,,                163553,,                  4080,                177887,                350202,,                118943,                231259,                231259,,,,,,,,                260493,                491752,,                231259,,                491752,,                              2.14,                              2.14,,                              2.14,                              2.14,                 18414,                260493
8427,2013年07月01日至2013年09月30日,,,                256612,                256612,,,                249984,                249984,                  6628,                  6628,,,                 83881,,                 88569,,                 19093,                191543,               -184915,,,                  3733,,                 46787,,                              0,                 50520,               -134395,,                -36045,                -98350,                -98350,,,,,,,,                -53482,               -151832,,                -98350,,               -151832,,                             -0.91,                             -0.91,,                             -0.91,                             -0.91,                  3733,                -53482
8427,2013年04月01日至2013年06月30日,,,                724009,                724009,,,                675912,                675912,                 48097,                 48097,,,                112306,,                 73628,,                 21956,                207890,               -159793,,,                  6649,,                  6177,,                      2,                 12824,               -146969,,                -42000,               -104969,               -104969,,,,,,,,                 64039,                -40930,,               -104969,,                -40930,,                             -0.97,                             -0.97,,                             -0.97,                             -0.97,                  6649,                 64039
8427,2013年01月01日至2013年12月31日,,,              5800974,              5800974,,,              4656567,              4656567,              1144407,              1144407,,,                513041,,                377135,,                 81916,                972092,                172315,,,                 18414,,                163553,,                  4080,                177887,                350202,,                118943,                231259,                231259,,,,,,,,                260493,                491752,,                231259,,                491752,,                              2.14,                              2.14,,                              2.14,                              2.14,                 18414,                260493
8427,2013年01月01日至2013年09月30日,,,              4065183,              4065183,,,              3278476,              3278476,                786707,                786707,,,                410132,,                261917,,                 62506,                734555,                 52152,,,                 12902,,                 63633,,                    733,                 75802,                127954,,                 41652,                 86302,                 86302,,,,,,,,                190058,                276360,,                 86302,,                276360,,                              0.80,                              0.80,,                              0.80,                              0.80,,                190058
