證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
2702,2015年第3季,,                218305,,                 41521,                176784,                176784,,,                131449,                131449,                 45335,,,                  1503,,                 -7486,,                  7265,                -13248,                 32087,,                 13073,                 19014,                 19014,,,                 77976,                  1021,                 13256,                 65741,                 65741,                 84755,,                 19014,,                 84755,,                              0.20,                              0.20,,,,
2702,2015年第2季,,                178961,,                 38946,                140015,                140015,,,                109004,                109004,                 31011,,,                  1182,,                    158,,                  5199,                 -3859,                 27152,,                 12716,                 14436,                 14436,,,                -14302,                 -3737,                 -2432,                -15607,                -15607,                 -1171,,                 14436,,                 -1171,,                              0.16,                              0.16,,,,
2702,2015年01月01日至2015年09月30日,,                566723,,                123147,                443576,                443576,,,                343474,                343474,                100102,,,                  4311,,                 -5294,,                 17796,                -18779,                 81323,,                 29960,                 51363,                 51363,,,                 52395,                 -1477,                  8907,                 42011,                 42011,                 93374,,                 51363,,                 93374,,                              0.54,                              0.54,,,,
2702,2015年01月01日至2015年06月30日,,                348418,,                 81626,                266792,                266792,,,                212025,                212025,                 54767,,,                  2808,,                  2192,,                 10531,                 -5531,                 49236,,                 16887,                 32349,                 32349,,,                -25581,                 -2498,                 -4349,                -23730,                -23730,                  8619,,                 32349,,                  8619,,                              0.36,                              0.36,,,,
2702,2015年01月01日至2015年03月31日,,                169457,,                 42680,                126777,                126777,,,                103021,                103021,                 23756,,,                  1626,,                  2034,,                  5332,                 -1672,                 22084,,                  4171,                 17913,                 17913,,,                -11279,                  1239,                 -1917,                 -8123,                 -8123,                  9790,,                 17913,,                  9790,,                              0.20,                              0.20,,,,
2702,2014年第3季,,                173809,,                 40205,                133604,                133604,,,                112165,                112165,                 21439,,,                  1768,,                  3438,,                  5327,                   -121,                 21318,,                  7691,                 13627,                 13627,,,                 17152,                 -4235,                  2915,                 10002,                 10002,                 23629,,                 13627,,                 23629,,                              0.14,                              0.14,,,,
2702,2014年第2季,,                187451,,                 40251,                147200,                147200,,,                110804,                110804,                 36396,,,                  1468,,                      4,,                  5236,                 -3764,                 32632,,                 14344,                 18288,                 18288,,,                -18104,                  1678,                 -3078,                -13348,                -13348,                  4940,,                 18288,,                  4940,,                              0.20,                              0.20,,,,
2702,2014年度,,                704273,,                161828,                542445,                542445,,,                435516,                435516,                106929,,,                  7790,,                  3563,,                 21409,                -10056,                 96873,,                 34027,                 62846,                 62846,,,,,,,                 45787,                108633,,                 62846,,                108633,,                              0.70,                              0.70,                 57391,                 -1847,                              0,                  9757
2702,2014年01月01日至2014年09月30日,,                533870,,                120822,                413048,                413048,,,                329745,                329745,                 83303,,,                  4871,,                  3614,,                 16026,                 -7541,                 75762,,                 30863,                 44899,                 44899,,,                 18499,                 -1613,                  3144,                 13742,                 13742,                 58641,,                 44899,,                 58641,,                              0.47,                              0.47,,,,
2702,2014年01月01日至2014年06月30日,,                360061,,                 80617,                279444,                279444,,,                217580,                217580,                 61864,,,                  3103,,                    176,,                 10699,                 -7420,                 54444,,                 23172,                 31272,                 31272,,,                  1347,                  2622,                    229,                  3740,                  3740,                 35012,,                 31272,,                 35012,,                              0.35,                              0.35,,,,
2702,2014年01月01日至2014年03月31日,,                172610,,                 40366,                132244,                132244,,,                106776,                106776,                 25468,,,                  1635,,                    172,,                  5463,                 -3656,                 21812,,                  8828,                 12984,                 12984,,,                 19451,                    944,                  3307,                 17088,                 17088,                 30072,,                 12984,,                 30072,,                              0.14,                              0.14,,,,
2702,2013年第3季,,                168779,,                 37237,                131542,                131542,,,                108774,                108774,                 22768,,,                    806,,                 -1311,,                  5104,                 -5609,                 17159,,                  3752,                 13407,                 13407,,,,,,,                 -9339,                  4068,,                 13407,,                  4068,,                              0.15,                              0.15,                -12508,                  1043,,                 -2126
2702,2013年第2季,,                164036,,                 36776,                127260,                127260,,,                 97259,                 97259,                 30001,,,                    727,,                 -9691,,                  5054,                -14018,                 15983,,                  9686,                  6297,                  6297,,,,,,,                -10909,                 -4612,,                  6297,,                 -4612,,                              0.07,                              0.07,                  5081,                -15126,,                    864
2702,2013年度,,                646667,,                149925,                496742,                496742,,,                407113,                407113,                 89629,,,                  4108,,                 -9387,,                 20414,                -25693,                 63936,,                 25868,                 38068,                 38068,,,,,,,                  5017,                 43085,,                 38068,,                 43085,,                              0.42,                              0.42,                 21173,                -12672,                    138,                  3622
2702,2013年07月01日至2013年09月30日,,                168779,,                 37237,                131542,                131542,,,                108774,                108774,                 22768,,,                    806,,                 -1311,,                  5104,                 -5609,                 17159,,                  3752,                 13407,                 13407,,,,,,,                 -9339,                  4068,,                 13407,,                  4068,,                              0.15,                              0.15,                -12508,                  1043,,                 -2126
2702,2013年04月01日至2013年06月30日,,                164036,,                 36776,                127260,                127260,,,                 97259,                 97259,                 30001,,,                    727,,                 -9691,,                  5054,                -14018,                 15983,,                  9686,                  6297,                  6297,,,,,,,                -10909,                 -4612,,                  6297,,                 -4612,,                              0.08,                              0.08,                  5081,                -15126,,                    864
