證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　　 其他收入－其他,　　　 採用權益法認列之關聯企業及合資利益之份額,　　 非控制權益（淨利／損）,　　 繼續營業單位淨利（淨損）
1446,2015年第3季,,,,                240567,                240567,                240567,,,                209214,                209214,                 31353,                 31353,,,                  7081,,                 40997,                 48078,                -16725,,,                  5040,,                  9132,,                    759,,                  3998,                 17411,                    686,,                  2102,                 -1416,                 -1416,,,                 21094,                 -7862,                  3585,                  9647,                  9647,                  8231,,                 -1416,,                  8231,,                             -0.01,,                             -0.01,,,,,,,,
1446,2015年第2季,,,,,                218531,                218531,,,,                185383,                 33148,                 33148,,,                  7488,,                 32049,                 39537,                 -6389,,,                  2328,,                 -1353,,                    482,,                  2928,                  3421,                 -2968,,                  1244,                 -4212,                 -4212,,,                 -4632,                 -2008,                   -787,                 -5853,                 -5853,                -10065,,                 -4212,,                -10065,,                             -0.03,,                             -0.03,,,,,,,,
1446,2015年01月01日至2015年09月30日,,,,                658695,                658695,                658695,,,                545874,                545874,                112821,                112821,,,                 21322,,                111281,                132603,                -19782,,,                  9247,,                  6874,,                  1661,,                  9980,                 24440,                  4658,,                  5179,                   -521,                   -521,,,                 12761,                -20361,                  2169,                 -9769,                 -9769,                -10290,,                   -521,,                -10290,,                              0.00,,                              0.00,,,,,,,,
1446,2015年01月01日至2015年06月30日,,,,,                418128,                418128,,,,                336660,                 81468,                 81468,,,                 14241,,                 70284,                 84525,                 -3057,,,                  4207,,                 -2258,,                    902,,                  5982,                  7029,                  3972,,                  3077,                    895,                    895,,,                 -8333,                -12499,                 -1416,                -19416,                -19416,                -18521,,                    895,,                -18521,,                              0.01,,                              0.01,,,,,,,,
1446,2015年01月01日至2015年03月31日,,,,,,                199597,,,,                151277,                 48320,                 48320,,,                  6753,,                 38235,                 44988,                  3332,,,                  1879,,                   -905,,                    420,,                  3054,                  3608,                  6940,,                  1833,                  5107,                  5107,,,                 -3701,                -10491,                   -629,                -13563,                -13563,                 -8456,,                  5107,,                 -8456,,                              0.04,,                              0.04,,,,,,,,
1446,2014年第3季,,,,                216707,                216707,                216707,,,                177145,                177145,                 39562,                 39562,,,                  7840,,                 36039,                 43879,                 -4317,,,                  2534,,                  1725,,                    388,,                   -841,                  3030,                 -1287,,                    621,                 -1908,                 -1908,,,                  5844,                 -3721,                    994,                  1129,                  1129,                   -779,,                 -1908,,                   -779,,                             -0.01,,                             -0.01,,,,,,,,
1446,2014年第2季,,,,,                182250,                182250,,,,                135437,                 46813,                 46813,,,                  7575,,                 36136,                 43711,                  3102,,,                  2099,,                   -221,,                    361,,                  1534,                  3051,                  6153,,                  1792,                  4361,                  4361,,,                 -6401,                -15385,                 -1088,                -20698,                -20698,                -16337,,                  4361,,                -16337,,                              0.03,,                              0.03,,,,,,,,
1446,2014年度,,,,,,                840025,,,,                675407,                164618,                164618,,,                 31935,,                129250,                161185,                  3433,,,                  6516,,                 10569,,                  1461,,                  2550,                 18174,                 21607,,                  8337,                 13270,                 13270,,,,,,,                  7739,                 21009,,                 13270,,                 21009,,                              0.10,,                              0.10,                 19203,                 -8200,                              0,                  3264,,,,
1446,2014年01月01日至2014年09月30日,,,,                605147,                605147,                605147,,,                465064,                465064,                140083,                140083,,,                 23098,,                103520,                126618,                 13465,,,                  6575,,                  2982,,                  1080,,                  2200,                 10677,                 24142,,                  6309,                 17833,                 17833,,,                  6486,                -10655,                  1103,                 -5272,                 -5272,                 12561,,                 17833,,                 12561,,                              0.13,,                              0.13,,,,,,,,
1446,2014年01月01日至2014年06月30日,,,,,                388440,                388440,,,,                287919,                100521,                100521,,,                 15258,,                 67481,                 82739,                 17782,,,                  4041,,                  1257,,                    692,,                  3041,                  7647,                 25429,,                  5688,                 19741,                 19741,,,                    642,                 -6934,                    109,                 -6401,                 -6401,                 13340,,                 19741,,                 13340,,                              0.14,,                              0.14,,,,,,,,
1446,2014年01月01日至2014年03月31日,,,,,,                206190,,,,                152482,                 53708,                 53708,,,                  7683,,                 31345,                 39028,                 14680,,,                  1942,,                  1478,,                    331,,                  1507,                  4596,                 19276,,                  3896,                 15380,                 15380,,,                  7043,                  8451,                  1197,                 14297,                 14297,                 29677,,                 15380,,                 29677,,                              0.11,,                              0.11,,,,,,,,
1446,2013年第3季,,,,                170823,                170823,                170823,,,                146681,                146681,                 24142,                 24142,,,                  8401,,                 28067,                 36468,                -12326,,,                  1668,,                   -673,,                              0,,                    297,                  1292,                -11034,,                   -529,                -10505,                -10505,,,,,,,                 -3990,                -14495,,                -10505,,                -14495,,                             -0.07,,                             -0.07,                 -4806,                              0,,                   -816,,,,
1446,2013年第2季,,,,,                205930,                205930,,,,                163450,                 42480,                 42480,,,                  8616,,                 35262,                 43878,                 -1398,,,                    736,,                  1179,,                     12,,                  1045,                  2948,                  1550,,                 -1536,                  3086,                  3086,,,,,,,                  1606,                  4692,,                  3086,,                  4692,,                              0.02,,                              0.02,                  1935,                              0,,                    329,,,,
1446,2013年度,,,,,,                770879,,,,                632396,                138483,                138483,,,                 30928,,                125449,                156377,                -17894,,,                  5905,,                  2651,,                    261,,                  2879,                 11174,                 -6720,,                  4716,                -11436,                -11436,,,,,,,                  1147,                -10289,,                -11436,,                -10289,,                             -0.08,,                             -0.08,                  8048,                 -5533,                              0,                  1368,,,,
1446,2013年07月01日至2013年09月30日,,,,                170823,                170823,                170823,,,                146681,                146681,                 24142,                 24142,,,                  8401,,                 28067,                 36468,                -12326,,,                  1668,,                   -673,,,,                    297,                  1292,                -11034,,                   -529,                -10505,                -10505,,,,,,,                 -3990,                -14495,,                -10505,,                -14495,,                             -0.07,,                             -0.07,                 -4806,,,                   -816,,,,
1446,2013年04月01日至2013年06月30日,,,,,                205930,                205930,,,,                163450,                 42480,                 42480,,,                  8616,,                 35262,                 43878,                 -1398,,,                    736,,                  1179,,                     12,,                  1045,                  2948,                  1550,,                 -1536,                  3086,                  3086,,,,,,,                  1606,                  4692,,                  3086,,                  4692,,                              0.02,,                              0.02,                  1935,,,                    329,,,,
1446,2013年01月01日至2013年12月31日,,,,,,                770879,,,,                632396,                138483,                138483,,,                 30928,,                125449,                156377,                -17894,,,                  5905,,                  2651,,                    261,,                  2879,                 11174,                 -6720,,                  4716,                -11436,                -11436,,,,,,,                  1147,                -10289,,                -11436,,                -10289,,                             -0.08,,                             -0.08,                  8048,                 -5533,                              0,                  1368,,,,
1446,2013年01月01日至2013年09月30日,,,,                580961,                580961,                580961,,,                463081,                463081,                117880,                117880,,,                 24075,,                 94594,                118669,                   -789,,,                  4063,,                    726,,                              0,,                  2343,                  7132,                  6343,,                  1452,                  4891,                  4891,,,,,,,                  4751,                  9642,,                  4891,,                  9642,,                              0.04,,                              0.04,                  5725,                              0,,                    974,,,,
1446,2013年01月01日至2013年06月30日,,,,,                410138,                410138,,,,                316400,                 93738,                 93738,,,                 15674,,                 66527,                 82201,                 11537,,,                  2395,,                  1420,,                     21,,                  2046,                  5840,                 17377,,                  1981,                 15396,                 15396,,,,,,,                  8741,                 24137,,                 15396,,                 24137,,                              0.11,,                              0.11,                 10531,                              0,,                  1790,,,,
1446,2013年01月01日至2013年03月31日,,,,,,                204208,,,,                152950,                 51258,                 51258,,,                  7058,,                 31265,                 38323,                 12935,,,                  1659,,                    241,,                      9,,                  1001,                  2892,                 15827,,                  3517,                 12310,                 12310,,,,,,,                  7135,                 19445,,                 12310,,                 19445,,                              0.09,,                              0.09,                  8596,                              0,,                  1461,,,,
