證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 其他收入－其他,　　　 利息費用,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
1104,2015年第3季,,              1212503,,              1069431,                143072,                143072,,,                 24497,,                 49732,,                 21025,                 95254,                 47818,,,                 22542,,                    946,,                  3779,,                244005,                263714,                311532,,                 13469,                298063,                298063,,,                    226,               -544547,,                450543,                              0,                -93778,                -93778,                204285,,                300621,                 -2558,,                206843,                 -2558,,                              0.48,                              0.48,,                              0.48,                              0.48,,,,,,,,
1104,2015年第2季,,              1230846,,              1125238,                105608,                105608,,,                 25061,,                 40859,,                 15579,                 81499,                 24109,,,                176063,,                 -2215,,                  3412,,                207227,                377663,                401772,,                 51940,                349832,                349832,,,                    -49,                 27187,,                -96984,                              0,                -69846,                -69846,                279986,,                352683,                 -2851,,                282837,                 -2851,,                              0.56,                              0.56,,                              0.56,                              0.56,,,,,,,,
1104,2015年01月01日至2015年09月30日,,              3770779,,              3411936,                358843,                358843,,,                 69899,,                142395,,                 50042,                262336,                 96507,,,                211462,,                 -4861,,                 10458,,                690388,                886531,                983038,,                 73306,                909732,                909732,,,                    137,               -393650,,                275855,                              0,               -117658,               -117658,                792074,,                916609,                 -6877,,                798951,                 -6877,,                              1.46,                              1.46,,                              1.46,                              1.46,,,,,,,,
1104,2015年01月01日至2015年06月30日,,              2558276,,              2342505,                215771,                215771,,,                 45402,,                 92663,,                 29017,                167082,                 48689,,,                188920,,                 -5807,,                  6679,,                446383,                622817,                671506,,                 59837,                611669,                611669,,,                    -89,                150897,,               -174688,                              0,                -23880,                -23880,                587789,,                615988,                 -4319,,                592108,                 -4319,,                              0.98,                              0.98,,                              0.98,                              0.98,,,,,,,,
1104,2015年01月01日至2015年03月31日,,              1327430,,              1217267,                110163,                110163,,,                 20341,,                 51804,,                 13438,                 85583,                 24580,,,                 12857,,                 -3592,,                  3267,,                239156,                245154,                269734,,                  7897,                261837,                261837,,,                    -40,                123710,,                -77704,                              0,                 45966,                 45966,                307803,,                263305,                 -1468,,                309271,                 -1468,,                              0.43,                              0.43,,                              0.43,                              0.43,,,,,,,,
1104,2014年第3季,,              1406779,,              1270242,                136537,                136537,,,                 20606,,                 65127,,                  8531,                 94264,                 42273,,,                 22050,,                 -2668,,                  2632,,                310534,                327284,                369557,,                 11733,                357824,                357824,,,                    157,                -55585,,                117169,                     38,                 61703,                 61703,                419527,,                358093,                   -269,,                419796,                   -269,,                              0.57,                              0.57,,                              0.57,                              0.57,,,,,,,,
1104,2014年第2季,,              1456386,,              1341083,                115303,                115303,,,                 26057,,                 39978,,                  7871,                 73906,                 41397,,,                137998,,                  2523,,                  2356,,                313150,                451315,                492712,,                 47677,                445035,                445035,,,                   -171,                 70565,,               -120490,                    -60,                -50036,                -50036,                394999,,                447978,                 -2943,,                397942,                 -2943,,                              0.71,                              0.71,,                              0.71,                              0.71,,,,,,,,
1104,2014年度,,              5819904,,              5275558,                544346,                544346,,,                 95565,,                233109,,                 37160,                365834,                178512,,,                189463,,                -10382,,                 10142,,              1120584,              1289523,              1468035,,                 83580,              1384455,              1384455,,,,,,,,,                424424,              1808879,,              1392582,                 -8127,,              1817255,                 -8376,,                              2.26,                              2.26,,                              2.26,                              2.26,                189463,                 10142,                    388,                 50421,                 -7989,,                380732,                   -872
1104,2014年01月01日至2014年09月30日,,              4242326,,              3854884,                387442,                387442,,,                 72140,,                160981,,                 23297,                256418,                131024,,,                172595,,                    965,,                  7308,,                816960,                983212,              1114236,,                 70548,              1043688,              1043688,,,                    174,                 20321,,                122001,                    152,                142344,                142344,              1186032,,              1045732,                 -2044,,              1188076,                 -2044,,                              1.66,                              1.66,,                              1.66,                              1.66,,,,,,,,
1104,2014年01月01日至2014年06月30日,,              2835547,,              2584642,                250905,                250905,,,                 51534,,                 95854,,                 14766,                162154,                 88751,,,                150545,,                  3633,,                  4676,,                506426,                655928,                744679,,                 58815,                685864,                685864,,,                     17,                 75906,,                  4832,                    114,                 80641,                 80641,                766505,,                687639,                 -1775,,                768280,                 -1775,,                              1.09,                              1.09,,                              1.09,                              1.09,,,,,,,,
