證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 本期所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 什項支出,　　　 與可能重分類之項目相關之所得稅,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 銷貨成本,　　　 銷貨成本合計,　　 確定福利計畫精算利益（損失）,　　　 處分投資利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　 備供出售金融資產未實現評價損益,　　 共同控制下前手權益（淨利／損）,　　 共同控制下前手權益（綜合損益）,　　 非控制權益（綜合損益）
3545,2015年第3季,,              2899675,,              2396141,                503534,                503534,,,                125249,,                 98246,,                329197,                552692,                -49158,,,,                 24521,                102458,                126979,,                112172,                112172,,                  4138,,                              0,                235013,                185855,,                -13800,                -13800,                199655,                199655,,,                365005,                365005,                365005,                564660,,                199655,,                564660,,                              0.49,                              0.49,,                              0.21,                              0.21,,,,,,,,,,,,,,
3545,2015年第2季,,              3202491,,              2650842,                551649,                551649,,,                112770,,                 82096,,                328143,                523009,                 28640,,,,                 25409,,                 25409,,                 12652,                  6239,,                  4297,,                              0,                 27351,                 55991,,                 -7035,                 -7035,                 63026,                 63026,,,                -81039,                -93650,                -93650,                -30624,,                 63026,,                -30624,,                              0.15,                              0.15,,                              0.12,                              0.12,                  6413,                 12611,,,,,,,,,,,,
3545,2015年01月01日至2015年09月30日,,              8531311,,              7100087,              1431224,              1431224,,,                339015,,                269643,,                988898,              1597556,               -166332,,,,                 69830,                 79760,                149590,,                221157,                221157,,                 12951,,                              0,                357796,                191464,,                -15662,                -15662,                207126,                207126,,,                209782,                209782,                209782,                416908,,                207126,,                416908,,                              0.51,                              0.51,,                             -0.01,                             -0.01,,,,,,,,,,,,,,
3545,2015年01月01日至2015年06月30日,,              5631636,,              4703946,                927690,                927690,,,                213766,,                171397,,                659701,              1044864,               -117174,,,,                 45309,,                 45309,,                108985,                 86287,,                  8813,,                              0,                122783,                  5609,,                 -1862,                 -1862,                  7471,                  7471,,,               -155223,               -155223,               -155223,               -147752,,                  7471,,               -147752,,                              0.02,                              0.02,,                             -0.22,                             -0.22,                 22698,                              0,,,,,,,,,,,,
3545,2015年01月01日至2015年03月31日,,              2429145,,              2053104,                376041,                376041,,,                100996,,                 89301,,                331558,                521855,               -145814,,,,                 19900,,                 19900,,                 96333,                 80048,,                  4516,,                              0,                 95432,                -50382,,                  5173,                  5173,                -55555,                -55555,,,                -74184,                -61573,                -61573,               -117128,,                -55555,,               -117128,,                             -0.13,                             -0.13,,                             -0.34,                             -0.34,                 16285,                -12611,,,,,,,,,,,,
3545,2014年第3季,,              1142955,,                771131,                371824,                371824,,,                 56688,,                 49750,,                124370,                230808,                141016,,,,                 28559,                 15994,                 44553,,                              0,                              0,,                              0,,                -22040,                 22513,                163529,,                 10151,                 10151,                153378,                153378,,,                120644,                120644,                120644,                274022,,                153378,,                274022,,                              0.57,                              0.57,,                              0.55,                              0.55,,,,,,,,,,,,,,
3545,2014年第2季,,              1292621,,                745542,                547079,                547079,,,                 52058,,                 51911,,                125173,                229142,                317937,,,,                 20469,,                 20469,,                              0,                    528,,                              0,,                -11413,                  9584,                327521,,                 17742,                 17742,                309779,                309779,,,               -138898,               -138898,               -138898,                170881,,                309779,,                170881,,                              1.15,                              1.15,,                              1.10,                              1.10,                   -528,                              0,,,,,,,,,,,,
3545,2014年度,,              9892675,,              8593317,              1299358,              1299358,,,                321233,,                 84561,,                754026,              1159820,                139538,,,,,,                  5742,,,                 61148,,                 27211,,,                 39679,                179217,,,                 34766,                144451,                144451,,,,,                 -2918,                141533,,                144451,,                141533,,                              1.04,                              1.04,,                              0.99,                              0.99,,,,              9892675,,              8593317,                 -2918,,,,,,,
3545,2014年01月01日至2014年09月30日,,              3630670,,              2212804,              1417866,              1417866,,,                158898,,                139345,,                363090,                661333,                756533,,,,                 70101,                 15633,                 85734,,                              0,                              0,,                              0,,                -36013,                 49721,                806254,,                 41830,                 41830,                764424,                764424,,,                121783,                121783,                121783,                886207,,                764424,,                886207,,                              2.85,                              2.85,,                              2.72,                              2.72,,,,,,,,,,,,,,
3545,2014年01月01日至2014年06月30日,,              2487715,,              1441673,              1046042,              1046042,,,                102210,,                 89595,,                238720,                430525,                615517,,,,                 41542,,                 41542,,                              0,                   -361,,                              0,,                -13973,                 27208,                642725,,                 31679,                 31679,                611046,                611046,,,                  1139,                  1139,                  1139,                612185,,                611046,,                612185,,                              2.29,                              2.29,,                              2.17,                              2.17,                    361,                              0,,,,,,,,,,,,
