證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 共同控制下前手權益（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 共同控制下前手權益（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 銷貨成本,　　　 銷貨成本合計,　　 繼續營業單位淨利（淨損）,　　 稀釋繼續營業單位淨利（淨損）,　　　 可能重分類至損益之其他項目,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　　 利息收入,　　　　 銀行存款利息,　　　　 利息收入合計,　　　 租金收入,　　　 其他收入－其他,　　　 處分投資利益,　　　 外幣兌換利益,　　　 處分不動產、廠房及設備損失
3443,2014年01月01日至2014年03月31日,,              1673274,,              1200822,                472452,                472452,,,                 48051,,                 53267,,                210585,                311903,                160549,,,                  4293,,                  2495,,                     18,                  6770,                167319,,                 28867,                138452,                138452,,,,,,,                  3454,                  3454,                141906,,                138452,,,,                141906,,,,                              1.03,,                              1.03,,              1673274,,,                              1.03,                              1.03,                  3454,,,,,,,,,,
3443,2013年第3季,,              1953276,,              1596856,                356420,                356420,,,                 61109,,                 54428,,                200343,                315880,                 40540,,,                  4455,,                   -936,,                    144,                  3375,                 43915,,                  7236,                 36679,                 36679,,,,,,,,                 -1858,                 34821,,                 36679,,,,                 34821,,,,                              0.27,,                              0.27,,,,,,,,                 -1858,,,,,,,,,
3443,2013年第2季,,              1290590,,                975921,                314669,                314669,,,                 55243,,                 52030,,                187358,                294631,                 20038,,,                  6013,,                 -2255,,                     15,                  3743,                 23781,,                  4935,                 18846,                 18846,,,,,,,,                    408,                 19254,,                 18846,                              0,                              0,,                 19254,                              0,                              0,,                              0.14,,                              0.14,,,,,                              0.14,                              0.14,,                    408,,,,,,,,,
3443,2013年度,,              6176741,,              4576406,              1600335,              1600335,,,                234203,,                221634,,                827450,              1283287,                317048,,,                 20118,,                 11497,,                    281,                 31334,                348382,,                 59178,                289204,                289204,,,,,,,,                  1484,                290688,,                289204,,,,                290688,,,,                              2.16,,                              2.15,,,,,                              2.16,                              2.15,,                  1441,                     43,,,,,,,,
3443,2013年07月01日至2013年09月30日,,              1953276,,              1596856,                356420,                356420,,,                 61109,,                 54428,,                200343,                315880,                 40540,,,                  4455,,                   -936,,                    144,                  3375,                 43915,,                  7236,                 36679,                 36679,,,,,,,,                 -1858,                 34821,,                 36679,,,,                 34821,,,,                              0.27,,                              0.27,,,,,,,,                 -1858,,,,,,,,,
3443,2013年04月01日至2013年06月30日,,              1290590,,                975921,                314669,                314669,,,                 55243,,                 52030,,                187358,                294631,                 20038,,,                  6013,,                 -2255,,                     15,                  3743,                 23781,,                  4935,                 18846,                 18846,,,,,,,,                    408,                 19254,,                 18846,,,,                 19254,,,,                              0.14,,                              0.14,,,,,,,,                    408,,,,,,,,,
3443,2013年01月01日至2013年12月31日,,              6176741,,              4576406,              1600335,              1600335,,,                234203,,                221634,,                827450,              1283287,                317048,,,                 20118,,                 11497,,                    281,                 31334,                348382,,                 59178,                289204,                289204,,,,,,,,                  1484,                290688,,                289204,                              0,                              0,,                290688,                              0,                              0,,                              2.16,,                              2.15,,,,,,,,                  1441,                     43,,,,,,,,
3443,2013年01月01日至2013年09月30日,,              4450775,,              3371967,              1078808,              1078808,,,                169934,,                162567,,                590447,                922948,                155860,,,                 15521,,                  5013,,                    159,                 20375,                176235,,                 29961,                146274,                146274,,,,,,,,                    919,                147193,,                146274,,,,                147193,,,,                              1.09,,                              1.09,,,,,,,,                    919,,,,,,,,,
3443,2013年01月01日至2013年06月30日,,              2497499,,              1775111,                722388,                722388,,,                108825,,                108139,,                390104,                607068,                115320,,,                 11066,,                  5949,,                     15,                 17000,                132320,,                 22725,                109595,                109595,,,,,,,,                  2777,                112372,,                109595,                              0,                              0,,                112372,                              0,                              0,,                              0.82,,                              0.81,,,,,                              0.82,                              0.81,,                  2777,,,,,,,,,
3443,2013年01月01日至2013年03月31日,,              1206909,,                799190,                407719,                407719,,,                 53582,,                 56109,,                202746,                312437,                 95282,,,                  5053,,                  8204,,                              0,                 13257,                108539,,                 17790,                 90749,                 90749,,,,,,,,                  2369,                 93118,,                 90749,,,,                 93118,,,,                              0.68,,                              0.67,,,,,                              0.68,                              0.67,,                  2369,,,,,,,,,
3443,2012年07月01日至2012年09月30日,,              2918212,,              2322383,                595829,                595829,,,                 81651,,                 58390,,                227741,                367782,                228047,,,                  3552,,                 -2907,,                    129,                    516,                228563,,                 29788,                198775,                198775,,,,,,,,                 -2987,                195788,,                198775,,,,                195788,,,,                              1.48,,                              1.48,,,,,,,,                 -2987,,,,,,,,,
3443,2012年04月01日至2012年06月30日,,              2151065,,              1595941,                555124,                555124,,,                 63722,,                 60923,,                224100,                348745,                206379,,,                  3475,,                   -283,,                    105,                  3087,                209466,,                 27858,                181608,                181608,,,,,,,,                  1561,                183169,,                181608,,,,                183169,,,,                              1.36,,                              1.35,,,,,,,,                  1561,,,,,,,,,
3443,2012年01月01日至2012年12月31日,,              9013760,,              6942459,              2071301,              2071301,,,                265832,,                225349,,                870368,              1361549,                709752,,,                 13994,,                -17351,,                    234,                 -3591,                706161,,                 92776,                613385,                613385,,,,,,,,                -13128,                600257,,                613385,                              0,                              0,,                600257,                              0,                              0,,                              4.58,,                              4.55,,,,,,,,                 -7411,                 -5717,,,,,,,,
3443,2012年01月01日至2012年09月30日,,              6782484,,              5191906,              1590578,              1590578,,,                204552,,                168677,,                663158,              1036387,                554191,,,                 10613,,                -11900,,                    234,                 -1521,                552670,,                 72496,                480174,                480174,,,,,,,,                 -4780,                475394,,                480174,,,,                475394,,,,                              3.58,,                              3.56,,,,,,,,                 -4780,,,,,,,,,
3443,2012年01月01日至2012年06月30日,,              3864272,,              2869523,                994749,                994749,,,                122901,,                110287,,                435417,                668605,                326144,,,                  7061,,                 -8993,,                    105,                 -2037,                324107,,                 42708,                281399,                281399,,,,,,,,                 -1793,                279606,,                281399,,,,                279606,,,,                              2.10,,                              2.09,,,,,,,,                 -1793,,,,,,,,,
3443,2012年01月01日至2012年03月31日,,              1713207,,              1273582,                439625,                439625,,,                 59179,,                 49364,,                211317,                319860,                119765,,,                  3586,,                 -8710,,,                 -5124,                114641,,                 14850,                 99791,                 99791,,,,,,,,                 -3354,                 96437,,                 99791,,                              0,,                 96437,,                              0,,                              0.74,,                              0.74,,,,,,,,                 -3354,,,                  3140,                  3140,                    165,                    281,                    808,                 -9518,                              0
