證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 勞務收入,　　　 勞務收入,　　　　 佣金收入,　　　　 勞務收入淨額,　　　 勞務收入合計,　　 其他營業收入,　　　 其他營業收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 其他營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 不重分類至損益之項目總額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 其他綜合損益
3010,2015年第3季,,,             10629345,,,                 14559,                 14559,                 14559,,                 26648,             10670552,,,              9705788,                 10328,              9716116,                954436,                954436,,,                526279,,                 83623,                609902,                344534,,,                 73720,,                -30213,,                 27181,,                 57468,                 73794,                418328,,                 97360,                320968,                320968,,,                283779,                -28284,,                 18008,                 38787,                234716,                234716,                555684,,                286354,                 34614,,                480877,                 74807,,                              1.24,                              1.24,,                              1.16,                              1.16,,,,,,,,,,
3010,2015年第2季,,,              9372423,,,                 13581,                 13581,                 13581,,                 23804,              9409808,,,              8546421,                 10516,              8556937,                852871,                852871,,,                477283,,                 94679,                571962,                280909,,,                 23562,,                -96227,,                 22406,,                213513,                118442,                399351,,                119852,                279499,                279499,,,,                -31123,,                -17596,                -11939,                -36780,               -128167,                151332,,                257704,                 21795,,                143131,                  8201,,                              1.11,                              1.11,,                              1.04,                              1.04,,                -91387,                -91387,,,,,,,
3010,2015年第1季,,,              8963713,,,                 37078,                 37078,                 37078,,                 26582,              9027373,,,              8169562,                 10955,              8180517,                846856,                846856,,,                436391,,                102062,                538453,                308403,,,                 32653,,                 -1251,,                 28210,,                 67338,                 70530,                378933,,                 88684,                290249,                290249,,,                -58287,                 -6265,,                -17516,                 -7875,                -74193,                -74193,                216056,,                268274,                 21975,,                202271,                 13785,,                              1.16,                              1.16,,                              1.13,                              1.13,,,,,,,,,,
3010,2015年01月01日至2015年09月30日,,,             28965481,,,                 65218,                 65218,                 65218,,                 77034,             29107733,,,             26421771,                 31799,             26453570,              2654163,              2654163,,,              1439953,,                280364,              1720317,                933846,,,                129935,,               -127691,,                 77797,,                338319,                262766,              1196612,,                305896,                890716,                890716,,,                134105,                -65672,,                -17104,                 18973,                 32356,                 32356,                923072,,                812332,                 78384,,                826279,                 96793,,                              3.51,                              3.51,,                              3.24,                              3.24,,,,,,,,,,
3010,2015年01月01日至2015年06月30日,,,             18336136,,,                 50659,                 50659,                 50659,,                 50386,             18437181,,,             16715983,                 21471,             16737454,              1699727,              1699727,,,                913674,,                196741,              1110415,                589312,,,                 56215,,                -97478,,                 50616,,                280851,                188972,                778284,,                208536,                569748,                569748,,,,                -37388,,                -35112,                -19814,                -52686,               -202360,                367388,,                525978,                 43770,,                345402,                 21986,,                              2.27,                              2.27,,                              2.11,                              2.11,,               -149674,               -149674,,,,,,,
3010,2014年第3季,,,             10736853,,,                 11799,                 11799,                 11799,,                 28540,             10777192,,,              9791961,                 10342,              9802303,                974889,                974889,,,                531593,,                123215,                654808,                320081,,,                 48162,,                 64499,,                 26728,,                 82714,                168647,                488728,,                115995,                372733,                372733,,,                115145,                -19094,,                 25804,                 14717,                107138,                107138,                479871,,                348064,                 24669,,                438743,                 41128,,                              1.50,                              1.50,,                              1.47,                              1.47,,,,,,,,,,
3010,2014年第2季,,,             10078580,,,                 19314,                 19314,                 19314,,                 32221,             10130115,,,              9244090,                  8338,              9252428,                877687,                877687,,,                471555,,                 93582,                565137,                312550,,,                 38283,,                 42140,,                 27619,,                 72983,                125787,                438337,,                123313,                315024,                315024,,,,                -38511,,                -45031,                -17682,                -65860,               -151812,                163212,,                292076,                 22948,,                152334,                 10878,,                              1.26,                              1.26,,                              1.24,                              1.24,,                -85952,                -85952,,,,,,,
3010,2014年第1季,,,              8843556,,,                 17392,                 17392,                 17392,,                  9972,              8870920,,,              8071471,                  6937,              8078408,                792512,                792512,,,                415725,,                 89462,                505187,                287325,,,                 37712,,                -17456,,                 22910,,                 81652,                 78998,                366323,,                 62766,                303557,                303557,,,                 -9698,                -38801,,                 21374,                 -1143,                -25982,                -25982,                277575,,                290489,                 13068,,                265209,                 12366,,                              1.25,                              1.25,,                              1.23,                              1.23,,,,,,,,,,
3010,2014年度,,,             39738150,,,                 66745,                 66745,                 66745,,                 95855,             39900750,,,             36291532,                 35312,             36326844,              3573906,              3573906,,,              1898156,,                411712,              2309868,              1264038,,,                189078,,                 85226,,                107271,,                332253,                499286,              1763324,,                399277,              1364047,              1364047,,,,,,,,,                120675,              1484722,,              1273607,                 90440,,              1371993,                112729,,                              5.50,                              5.50,,                              5.27,                              5.27,,,,                172082,               -100191,                 -3924,,                 72830,                 20122,
3010,2014年01月01日至2014年09月30日,,,             29658989,,,                 48505,                 48505,                 48505,,                 70733,             29778227,,,             27107522,                 25617,             27133139,              2645088,              2645088,,,              1418873,,                306259,              1725132,                919956,,,                124157,,                 89183,,                 77257,,                237349,                373432,              1293388,,                302074,                991314,                991314,,,                 19495,                -96406,,                  2147,                 -4108,                -70656,                -70656,                920658,,                930629,                 60685,,                856286,                 64372,,                              4.02,                              4.02,,                              3.91,                              3.91,,,,,,,,,,
