證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 租金收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 處分投資利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 處分投資損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 外幣兌換損失,　　　 股利收入,　　　 壞帳轉回利益,　　　 處分不動產、廠房及設備損失,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
4414,2015年第3季,,,,                578379,                578379,                  2496,                 10484,                565399,                565399,,                539516,                 25883,                 25883,,,                 18875,,                 62465,                 81340,                -55457,,,,                  3622,                     59,                    117,                  3798,,                              0,                              0,                 37450,                    681,                     18,                    810,                              0,                 37303,,                 14239,,                 -2015,                 24847,                -30610,,                  1161,                -31771,                -31771,,,                 35264,,                  4138,                  6591,                 32811,                 32811,                  1040,,                -21017,                -10754,,                 11165,                -10125,,                             -0.16,,                             -0.16,,,,,,,
4414,2015年第2季,,,,                626607,                626607,                    461,                  4326,                621820,                621820,,                568357,                 53463,                 53463,,,                 20990,,                 63732,                 84722,                -31259,,,,                    670,                     58,                     17,                    745,,                    441,                              0,,                              0,                   -116,                              0,                    879,                -10798,,                 12009,,                 -2136,                -24198,                -55457,,                  1062,                -56519,                -56519,,,                 -8318,,                 -1443,                 -1622,                 -8139,                 -8139,                -64658,,                -55809,                   -710,,                -63728,                   -930,,                             -0.42,,                             -0.42,                 10476,,,,,,
4414,2015年01月01日至2015年09月30日,,,,              1820334,              1820334,                  3174,                 20385,              1796775,              1796775,,              1651311,                145464,                145464,,,                 56358,,                211638,                267996,               -122532,,,,                  4361,                    174,                  1044,                  5579,,                    461,                              0,                 19752,                              0,                    255,                    807,                    495,                 18656,,                 37521,,                 -5387,                -18673,               -141205,,                    745,               -141950,               -141950,,,                 20071,,                  1839,                  3664,                 18246,                 18246,               -123704,,               -131163,                -10787,,               -113276,                -10428,,                             -0.97,,                             -0.97,,,,,,,
4414,2015年01月01日至2015年06月30日,,,,              1241955,              1241955,                    678,                  9901,              1231376,              1231376,,              1111795,                119581,                119581,,,                 37483,,                149173,                186656,                -67075,,,,                    739,                    115,                    927,                  1781,,                    461,                      3,,                              0,                    237,                              0,                  1176,                -18647,,                 23282,,                 -3372,                -43520,               -110595,,                   -416,               -110179,               -110179,,,                -15193,,                 -2299,                 -2927,                -14565,                -14565,               -124744,,               -110146,                    -33,,               -124441,                   -303,,                             -0.84,,                             -0.84,                 17698,,,,,,
4414,2015年01月01日至2015年03月31日,,,,                615348,                615348,                    217,                  5575,                609556,                609556,,                543438,                 66118,                 66118,,,                 16493,,                 85441,                101934,                -35816,,,,,,,                  1036,,,,,,,,,                 -7849,,                 11273,,                 -1236,                -19322,                -55138,,                 -1478,                -53660,                -53660,,,                 -6875,,                   -856,                 -1305,                 -6426,                 -6426,                -60086,,                -54337,                    677,,                -60713,                    627,,                             -0.41,,                             -0.41,,,,,,,
4414,2014年第3季,,,,                646655,                646655,                              0,                  2365,                644290,                644290,,                564899,                 79391,                 79391,,,                 14872,,                 63187,                 78059,                  1332,,,,                     56,                     57,                    188,                    301,,                     39,                    173,                 12554,                              0,                    100,                              0,                     24,                 12642,,                 10186,,                              0,                  2757,                  4089,,                  6681,                 -2592,                 -2592,,,                 10675,,                              0,                  1814,                  8861,                  8861,                  6269,,                   -780,                 -1812,,                  8081,                 -1812,,                             -0.01,,                             -0.01,,,,,,,
4414,2014年第2季,,,,                617052,                617052,                              0,                  3896,                613156,                613156,,                516353,                 96803,                 96803,,,                 31048,,                 48786,                 79834,                 16969,,,,                    332,                     57,                     34,                    423,,                              0,                              0,,                     24,                     28,                              0,                              0,                -10995,,                  9130,,                              0,                -19702,                 -2733,,                  7928,                -10661,                -10661,,,                -10787,,                              0,                 -1833,                 -8954,                 -8954,                -19615,,                -10661,                              0,,                -19615,                              0,,                             -0.09,,                             -0.09,                 10991,,,,,,
4414,2014年度,,,,              2603831,              2603831,                              0,                 19619,              2584212,              2584212,,              2217866,                366346,                366346,,,                 82776,,                226844,                309620,                 56726,,,,                    920,                    229,                    699,                  3818,,                    220,                    173,                 40214,                              0,                   -471,                              0,,                 41078,,                 39003,,,                  5893,                 62619,,                 36229,                 26390,                 26390,,,,,,,,                 32293,                 58683,,                 29392,                 -3002,,                 61685,                 -3002,,                              0.27,,                              0.27,                              0,                              0,                  1970,                              0,                 39723,                   -816,                  6614
4414,2014年01月01日至2014年09月30日,,,,              1911164,              1911164,                              0,                 17442,              1893722,              1893722,,              1591157,                302565,                302565,,,                 64484,,                160035,                224519,                 78046,,,,                    525,                    171,                    470,                  1166,,                    220,                    173,                 12525,                              0,                  1107,                              0,                              0,                 11811,,                 28549,,                              0,                -15572,                 62474,,                 26309,                 36165,                 36165,,,                 12047,,                              0,                  2048,                  9999,                  9999,                 46164,,                 37977,                 -1812,,                 47976,                 -1812,,                              0.37,,                              0.36,,,,,,,
4414,2014年01月01日至2014年06月30日,,,,              1264509,              1264509,                              0,                 15077,              1249432,              1249432,,              1026258,                223174,                223174,,,                 49612,,                 96848,                146460,                 76714,,,,                    469,                    114,                    282,                    865,,                    181,                              0,,                     24,                  1007,                              0,                              0,                   -831,,                 18363,,                              0,                -18329,                 58385,,                 19628,                 38757,                 38757,,,                  1372,,                              0,                    234,                  1138,                  1138,                 39895,,                 38757,                              0,,                 39895,                              0,,                              0.29,,                              0.29,                     29,,,,,,
