證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
8210,2015年第3季,,              1093490,,                806037,                287453,                287453,,,                 64124,,                 67011,,                 41500,                172635,                114818,,,                  7941,,                 47847,,                  3146,                 52642,                167460,,                 33395,                134065,                134065,,,                 93522,                 13409,                 80113,                 80113,                214178,,                134065,,                214178,,                              1.12,                              1.12,,                              1.12,                              1.12,,,
8210,2015年第2季,,              1058692,,                744124,                314568,                314568,,,                 63008,,                 66798,,                 41927,                171733,                142835,,,                  9710,,                 -7405,,                  1741,                    564,                143399,,                 30034,                113365,                113365,,,                -24812,                 -4068,                -20744,                -20744,                 92621,,                113365,,                 92621,,                              0.95,                              0.95,,                              0.94,                              0.94,,,
8210,2015年01月01日至2015年09月30日,,              3167174,,              2272567,                894607,                894607,,,                189637,,                197630,,                121561,                508828,                385779,,,                 30128,,                 31559,,                  6663,                 55024,                440803,,                105793,                335010,                335010,,,                 42664,                  6549,                 36115,                 36115,                371125,,                335010,,                371125,,                              2.80,                              2.80,,                              2.76,                              2.76,,,
8210,2015年01月01日至2015年06月30日,,              2073684,,              1466530,                607154,                607154,,,                125513,,                130619,,                 80061,                336193,                270961,,,                 22187,,                -16288,,                  3517,                  2382,                273343,,                 72398,                200945,                200945,,,                -50858,                 -6860,                -43998,                -43998,                156947,,                200945,,                156947,,                              1.68,                              1.68,,                              1.65,                              1.65,,,
8210,2015年01月01日至2015年03月31日,,              1014992,,                722406,                292586,                292586,,,                 62505,,                 63821,,                 38134,                164460,                128126,,,                 12477,,                 -8883,,                  1776,                  1818,                129944,,                 42364,                 87580,                 87580,,,                -26046,                 -2792,                -23254,                -23254,                 64326,,                 87580,,                 64326,,                              0.73,                              0.73,,                              0.72,                              0.72,,,
8210,2014年第3季,,              1093453,,                818326,                275127,                275127,,,                 61113,,                 64599,,                 39128,                164840,                110287,,,                 13782,,                  3142,,                  2845,                 14079,                124366,,                 28896,                 95470,                 95470,,,                 42886,                  7387,                 35499,                 35499,                130969,,                 95470,,                130969,,                              0.80,                              0.80,,                              0.80,                              0.80,,,
8210,2014年第2季,,              1167203,,                747923,                419280,                419280,,,                 77419,,                 72479,,                 34625,                184523,                234757,,,                  9707,,                -10127,,                  2193,                 -2613,                232144,,                 37562,                194582,                194582,,,                -36791,                 -5386,                -31405,                -31405,                163177,,                194582,,                163177,,                              1.62,                              1.62,,                              1.62,                              1.62,,,
8210,2014年度,,              4472988,,              3109808,              1363180,              1363180,,,                276960,,                282677,,                151167,                710804,                652376,,,                 43338,,                 24310,,                 10130,                 57518,                709894,,                168622,                541272,                541272,,,,,,                 49621,                590893,,                541272,,                590893,,                              4.52,                              4.52,,                              4.47,                              4.47,                 58631,                     80,                  9090
8210,2014年01月01日至2014年09月30日,,              3228640,,              2215957,              1012683,              1012683,,,                204158,,                199816,,                106930,                510904,                501779,,,                 36091,,                 -3387,,                  7057,                 25647,                527426,,                101004,                426422,                426422,,,                    557,                    193,                    364,                    364,                426786,,                426422,,                426786,,                              3.56,                              3.56,,                              3.52,                              3.52,,,
8210,2014年01月01日至2014年06月30日,,              2135187,,              1397631,                737556,                737556,,,                143045,,                135217,,                 67802,                346064,                391492,,,                 22309,,                 -6529,,                  4212,                 11568,                403060,,                 72108,                330952,                330952,,,                -42329,                 -7194,                -35135,                -35135,                295817,,                330952,,                295817,,                              2.76,                              2.76,,                              2.74,                              2.74,,,
