證券代號,年季,　 淨收益,　　 利息淨收益,　　　 利息收入,　　　　 利息收入合計,　　　 利息費用,　　　　 利息費用合計,　　　 利息淨收益,　　 利息以外淨損益,　　　 手續費淨收益,　　　　 手續費淨收益,　　　 透過損益按公允價值衡量之金融資產及負債損益,　　　　 透過損益按公允價值衡量之金融資產及負債損益,　　　 備供出售金融資產之已實現損益,　　　　 備供出售金融資產之已實現損益,　　　 兌換損益,　　　　 兌換損益,　　　 採用權益法認列之關聯企業及合資損益之份額,　　　　 採用權益法認列之關聯企業及合資利益之份額,　　　　　 採用權益法認列之關聯企業及合資利益之份額,　　　　　 採用權益法認列之關聯企業及合資利益之份額合計,　　　　 採用權益法認列之關聯企業及合資損失之份額,　　　　　 採用權益法之投資處分損失,　　　　　 採用權益法認列之關聯企業及合資損失之份額合計,　　　　 採用權益法認列之關聯企業及合資損益之份額,　　　 其他利息以外淨損益,　　　　 出售不良債權淨損益,　　　　　 出售不良債權淨損益,　　　　 其他什項損益,　　　　　 其他什項損益,　　　　 其他利息以外淨損益,　　　 利息以外淨損益,　　 淨收益,　 呆帳費用及保證責任準備提存（各項提存）,　　 呆帳費用及保證責任準備提存（各項提存）合計,　 營業費用,　　 員工福利費用,　　　 員工福利費用合計,　　 折舊及攤銷費用,　　　 折舊及攤銷費用合計,　　 其他業務及管理費用,　　　 其他業務及管理費用合計,　　 營業費用合計,　 繼續營業單位本期稅後淨利（淨損）損益,　　 繼續營業單位稅前淨利（淨損）,　　 所得稅（費用）利益,　　 繼續營業單位本期稅後淨利（淨損）,　 本期稅後淨利（淨損）,　　 本期稅前淨利（淨損）,　　 與本期損益組成部分相關之所得稅(費用)利益 ,　　 本期稅後淨利（淨損）,　 其他綜合損益（稅後）,　　 後續可能重分類至損益之項目(稅後),　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列之關聯企業及合資其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額(稅後),　　 本期其他綜合損益,　 本期綜合損益總額（稅後）,　　 本期綜合損益總額（稅前）,　　 與本期綜合損益組成部分相關之所得稅,　　 本期綜合損益總額（稅後）,　 本期稅後淨利（淨損）歸屬,　　 本期稅後淨利（損）歸屬於母公司業主,　 本期稅後綜合損益歸屬,　　 本期稅後綜合損益總額歸屬於母公司業主,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 採用權益法認列之關聯企業及合資其他綜合損益之份額,　　 其他綜合損益（稅後）淨額,　　 綜合損益總額,　　　　　 採用權益法認列之關聯企業及合資損失之份額,　　　 資產減損（損失）迴轉利益淨額,　　　　 資產減損（損失）迴轉利益淨額,　　　　 顧問服務收入,　　　　　 顧問服務收入合計
2845,2015年第3季,,,,              2993105,,              1519914,              1473191,,,                625318,,                194799,,                 42708,,                531419,,,                 20432,                 20432,,                              0,                              0,                 20432,,,                 42817,,                 32255,                 75072,              1489748,              2962939,,                 84675,,,                977673,,                 56130,,                607897,              1641700,,              1236564,               -179061,              1057503,,              1236564,               -179061,              1057503,,,                 77522,                -91743,                 30014,                 15793,                 15793,,              1252357,               -179061,              1073296,,              1057503,,              1073296,,                              0.35,,                              0.31,,,,,,,,,,
2845,2015年第2季,,,,              3036465,,              1607838,              1428627,,,                909749,,                314632,,                 18178,,                -56371,,,                 19233,                 19233,,                              0,                              0,                 19233,,,                 43958,,                 66697,                110655,              1316076,              2744703,,                -99729,,,              1006367,,                 55141,,                638685,              1700193,,              1144239,               -172346,                971893,,                971893,,                971893,,,                 -4420,                -37332,                  2462,                -39290,                -39290,,                932603,,                932603,,                971893,,                932603,,                              0.34,,                              0.31,,,,,,,,,,
2845,2015年01月01日至2015年09月30日,,,,              9084156,,              4767513,              4316643,,,              2220950,,                948650,,                 98222,,                444310,,,                 56589,                 56589,,                              0,                              0,                 56589,,,                135457,,                192099,                327556,              4096277,              8412920,,               -135550,,,              2880595,,                164805,,              1876423,              4921823,,              3626647,               -519853,              3106794,,              3626647,               -519853,              3106794,,,                 70766,               -105709,                 41317,                  6374,                  6374,,              3633021,               -519853,              3113168,,              3106794,,              3113168,,                              1.03,,                              0.92,,,,,,,,,,
2845,2015年01月01日至2015年06月30日,,,,              6091051,,              3247599,              2843452,,,              1595632,,                753851,,                 55514,,                -87109,,,                 36157,                 36157,,                              0,                              0,                 36157,,,                 92640,,                159844,                252484,              2606529,              5449981,,               -220225,,,              1902842,,                108675,,              1268606,              3280123,,              2390083,               -340792,              2049291,,              2049291,,              2049291,,,                 -6756,                -13966,                 11303,                 -9419,                 -9419,,              2039872,,              2039872,,              2049291,,              2039872,,                              0.72,,                              0.65,,,,,,,,,,
2845,2015年01月01日至2015年03月31日,,,,              3054586,,              1639761,              1414825,,,                685883,,                439219,,                 37336,,                -30738,,,,                 16924,,                              0,                              0,                 16924,,,                 48682,,                 93147,                141829,              1290453,              2705278,,               -120496,,,                896475,,                 53534,,                629921,              1579930,,              1245844,               -168446,              1077398,,              1245844,               -168446,              1077398,,,                 -2336,                 23366,                  8841,                 29871,                 29871,,              1275715,               -168446,              1107269,,              1077398,,              1107269,,                              0.38,,                              0.33,,,,,,,,,,
2845,2014年第3季,,,,              3090695,,              1694867,              1395828,,,                759349,,                214477,,                 61886,,                260953,,,                  9891,                  9891,,                              0,                              0,                  9891,,,                 47631,,                 25423,                 73054,              1379610,              2775438,,                -16450,,,                943790,,                 51474,,                647739,              1643003,,              1148885,               -152585,                996300,,              1148885,               -152585,                996300,,,                 13132,               -134133,                -10548,               -131549,               -131549,,              1017336,               -152585,                864751,,                996300,,                864751,,                              0.33,,                              0.29,,,,,,,,,,
2845,2014年第2季,,,,              3073187,,              1768973,              1304214,,,                761077,,                461133,,                 16883,,                -73167,,,                 15658,                 15658,,                              0,                              0,                 15658,,,                 46891,,                 10427,                 57318,              1238902,              2543116,,               -157977,,,                966005,,                 53223,,                557454,              1576682,,              1124411,               -154621,                969790,,                969790,,                969790,,,                 -6343,                 18438,                -12060,                     35,                     35,,                969825,,                969825,,                969790,,                969825,,                              0.34,,                              0.30,,,,,,,,,,
2845,2014年度,,,,             12253408,,              6873872,              5379536,,,              2914137,,              1591928,,                 99085,,                566581,,,,                 64618,,                 78587,                 78587,                -13969,,,                195326,,                144324,                339650,              5497412,             10876948,,                 70318,,,              3817680,,                213380,,              2479436,              6510496,,              4296134,               -601611,              3694523,,              4296134,               -601611,              3694523,,,,,,,,,              4392956,               -601611,,,              3694523,,              3791345,,                              1.31,,                              1.13,                 51000,                 34939,                 10883,                 96822,              3791345,,,,,
2845,2014年01月01日至2014年09月30日,,,,              9124053,,              5174531,              3949522,,,              2239095,,              1370607,,                 88443,,                176292,,,                 47462,                 47462,,                 78587,                 78587,                -31125,,,                147620,,                128093,                275713,              4119025,              8068547,,               -102254,,,              2853603,,                160476,,              1727711,              4741790,,              3429011,               -457117,              2971894,,              3429011,               -457117,              2971894,,,                  7816,                -52182,                -15370,                -59736,                -59736,,              3369275,               -457117,              2912158,,              2971894,,              2912158,,                              1.00,,                              0.85,,,,,,,,,,
2845,2014年01月01日至2014年06月30日,,,,              6033358,,              3479664,              2553694,,,              1479746,,              1156130,,                 26557,,                -84661,,,                 37571,                 37571,,                 78587,                 78587,                -41016,,,                 99989,,                102670,                202659,              2739415,              5293109,,                -85804,,,              1909755,,                109002,,              1080030,              3098787,,              2280126,               -304532,              1975594,,              1975594,,              1975594,,,                 -5316,                 81951,                 -4822,                 71813,                 71813,,              2047407,,              2047407,,              1975594,,              2047407,,                              0.71,,                              0.59,,,,,,,,,,
