證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 當期所得稅費用（利益）
3645,2015年第3季,,                430898,,                300173,                130725,                130725,,,                 14426,,                 21071,,                 25750,                 61247,                 69478,,,                    768,,                  9856,,                  5191,,                              0,                  5433,                 74911,,                 16326,                 58585,                 58585,,,                    569,                    569,                    569,                 59154,,                 59532,                   -947,,                 60101,                   -947,,                              0.51,,                              0.50,,,,,,,,,
3645,2015年第2季,,                346161,,                250438,                 95723,                 95723,,,                 10276,,                 15902,,                 23355,                 49533,                 46190,,,                    969,,                     54,,                  4635,,                 -1652,                 -5264,                 40926,,                 15446,                 25480,                 25480,,,                   -189,                   -189,                   -189,                 25291,,                 32755,                 -7275,,                 32566,                 -7275,,                              0.28,,                              0.28,,,                347203,                    121,                    921,                346161,,,
3645,2015年01月01日至2015年09月30日,,              1133002,,                785941,                347061,                347061,,,                 36351,,                 58447,,                 67265,                162063,                184998,,,                  2503,,                 10087,,                 14155,,                 -1743,                 -3308,                181690,,                 45421,                136269,                136269,,,                    255,                    255,                    255,                136524,,                149255,                -12986,,                149510,                -12986,,                              1.27,,                              1.26,,,,,,,,,
3645,2015年01月01日至2015年06月30日,,                702104,,                485768,                216336,                216336,,,                 21925,,                 37376,,                 41515,                100816,                115520,,,                  1735,,                    231,,                  8964,,                 -1743,                 -8741,                106779,,                 29095,                 77684,                 77684,,,                   -314,                   -314,                   -314,                 77370,,                 89723,                -12039,,                 89409,                -12039,,                              0.76,,                              0.76,,,                703525,                    375,                  1046,                702104,,,
3645,2015年01月01日至2015年03月31日,,                355943,,                235330,                120613,                120613,,,                 11649,,                 21474,,                 18160,                 51283,                 69330,,,                    766,,                    177,,                  4329,,                    -91,                 -3477,                 65853,,                 13649,                 52204,                 52204,,,                   -125,                   -125,                   -125,                 52079,,                 56968,                 -4764,,                 56843,                 -4764,,                              0.49,,                              0.48,,,                356322,                    255,                    124,                355943,,,
3645,2014年第3季,,                411230,,                272189,                139041,                139041,,,                 10409,,                 21809,,                 12153,                 44371,                 94670,,,                    860,,                 16634,,                  2905,,                    -49,                 14540,                109210,,                 19923,                 89287,                 89287,,,                    239,                    239,                    239,                 89526,,                 92371,                 -3084,,                 92610,                 -3084,,                              0.79,,                              0.78,,,,,,,,,
3645,2014年第2季,,                358310,,                265265,                 93045,                 93045,,,                  9169,,                 17150,,                 13842,                 40161,                 52884,,,                  1624,,                 -2499,,                  3322,,                     74,                 -4123,                 48761,,                  9868,                 38893,                 38893,,,                   -162,                   -162,                   -162,                 38731,,                 41575,                 -2682,,                 41413,                 -2682,,                              0.35,,                              0.35,,,                361919,                  2672,                    937,                358310,,,
3645,2014年度,,              1458905,,              1038149,                420756,                420756,,,                 41592,,                 68887,,                 55476,                165955,                254801,,,                  4711,,                 30932,,                 13313,,                   -122,                 22208,                277009,,                 53665,                223344,                223344,,,,,                   -486,                222858,,                238341,                -14997,,                237855,                -14997,,                              2.03,,                              2.02,,,              1467787,                  5853,                  3029,              1458905,                    448,                   -934,
3645,2014年01月01日至2014年09月30日,,              1050395,,                769765,                280630,                280630,,,                 27391,,                 52339,,                 42153,                121883,                158747,,,                  3574,,                 12770,,                  9212,,                    -19,                  7113,                165860,,                 32234,                133626,                133626,,,                     56,                     56,                     56,                133682,,                141966,                 -8340,,                142022,                 -8340,,                              1.21,,                              1.21,,,,,,,,,
3645,2014年01月01日至2014年06月30日,,                639165,,                497576,                141589,                141589,,,                 16982,,                 30530,,                 30000,                 77512,                 64077,,,                  2714,,                 -3864,,                  6307,,                     30,                 -7427,                 56650,,                 12311,                 44339,                 44339,,,                   -183,                   -183,                   -183,                 44156,,                 49595,                 -5256,,                 49412,                 -5256,,                              0.42,,                              0.42,,,                646247,                  4604,                  2478,                639165,,,
