證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 本期所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　　　 採用權益法認列之關聯企業及合資利益之份額,　　　 採用權益法認列之關聯企業及合資損失之份額,　　　 與可能重分類之項目相關之所得稅,　　 當期所得稅費用（利益）,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
3454,2015年第3季,,,              1064145,              1064145,,,                597698,                597698,                597698,                466447,                466447,,,                135582,,                 58360,,                155148,                349090,                117357,,,                  3215,                  3215,,                 47367,,                    863,,                              0,                 49719,                167076,,                 19730,                 19730,                147346,                147346,,,                 18735,                    -91,                 18644,                 18644,                165990,,                156951,                 -9605,,                174867,                 -8877,,                              2.05,                              2.05,,                              2.03,                              2.03,,,,,,,,,,
3454,2015年01月01日至2015年09月30日,,,              3106351,              3106351,,,              1752860,              1752860,              1752860,              1353491,              1353491,,,                387127,,                153921,,                421441,                962489,                391002,,,                 10911,                 10911,,                 30598,,                  2583,,                              0,                 38926,                429928,,                 54837,                 54837,                375091,                375091,,,                 11015,                     11,                 11026,                 11026,                386117,,                394474,                -19383,,                404740,                -18623,,                              5.15,                              5.15,,                              5.06,                              5.06,,,,,,,,,,
3454,2015年01月01日至2015年03月31日,,,                901270,                901270,,,                502106,                502106,                502106,                399164,                399164,,,                127429,,                 55747,,                118032,                301208,                 97956,,,                  4039,                  4039,,                -14554,,                    860,,                              0,                -11375,                 86581,,                 14279,                 14279,                 72302,                 72302,,,                 -4031,                    495,                 -3536,                 -3536,                 68766,,                 78624,                 -6322,,                 75088,                 -6322,,                              1.06,                              1.06,,                              1.05,                              1.05,                              0,                              0,                              0,                              0,                              0,,,,,
3454,2014年第3季,,,                980136,                980136,,,                551979,                551979,                551979,                428157,                428157,,,                129840,,                 37255,,                119853,                286948,                141209,,,                  9055,                  9055,,                  7985,,                    872,,                   -343,                 15825,                157034,,                 21999,                 21999,                135035,                135035,,,                  4460,                   -238,                  4222,                  4222,                139257,,                142428,                 -7393,,                146650,                 -7393,,                              1.86,                              1.86,,                              1.85,                              1.85,,,,,,,,,,
3454,2014年第2季,,,              1063280,              1063280,,,                642619,                642619,                642619,                420661,                420661,,,                135922,,                 66733,,                160896,                363551,                 57110,,,                  3500,                  3500,,                -11163,,                    936,,                   -597,                 -9196,                 47914,,,                  5579,                 42335,                 42335,,,,,,                 -5315,                 37020,,                 44183,                 -1848,,                 38868,                 -1848,,                              0.60,                              0.60,,                              0.60,                              0.60,                              0,                              0,,,,                  5579,                 -5407,                     92,,
3454,2014年度,,,              3682127,              3682127,,,              2108286,              2108286,              2108286,              1573841,              1573841,,,                529542,,                192031,,                482320,              1203893,                369948,,,,                 24477,,                 25906,,                  3705,,                 -3794,                 42884,                412832,,,                 69823,                343009,                343009,,,,,,                 16141,                359150,,                367873,                -24864,,                384014,                -24864,,                              5.01,                              5.01,,                              4.95,                              4.95,                              0,                              0,,,,                 69823,                 15768,                    -60,                    522,                     89
3454,2014年01月01日至2014年09月30日,,,              2906003,              2906003,,,              1654552,              1654552,              1654552,              1251451,              1251451,,,                398470,,                152035,,                380839,                931344,                320107,,,                 16419,                 16419,,                 11319,,                  2891,,                 -1528,                 23319,                343426,,                 44897,                 44897,                298529,                298529,,,                  4860,                    294,                  5154,                  5154,                303683,,                310069,                -11540,,                315223,                -11540,,                              4.08,                              4.08,,                              4.03,                              4.03,,,,,,,,,,
3454,2014年01月01日至2014年06月30日,,,              1925867,              1925867,,,              1102573,              1102573,              1102573,                823294,                823294,,,                268630,,                114780,,                260986,                644396,                178898,,,                  7364,                  7364,,                  3334,,                  2019,,                 -1185,                  7494,                186392,,,                 22898,                163494,                163494,,,,,,                    932,                164426,,                167641,                 -4147,,                168573,                 -4147,,                              2.30,                              2.30,,                              2.27,                              2.27,                              0,                              0,,,,                 22898,                    400,                    532,,
3454,2014年01月01日至2014年03月31日,,,                862587,                862587,,,                459954,                459954,                459954,                402633,                402633,,,                132708,,                 48047,,                100090,                280845,                121788,,,                  3864,                  3864,,                 14497,,                  1083,,                   -588,                 16690,                138478,,                 17319,                 17319,                121159,                121159,,,                  5807,                    440,                  6247,                  6247,                127406,,                123458,                 -2299,,                129705,                 -2299,,                              1.69,                              1.69,,                              1.68,                              1.68,                              0,                              0,                              0,                    588,                              0,,,,,
3454,2013年第3季,,,              1063467,              1063467,,,                563749,                563749,                563749,                499718,                499718,,,                131351,,                 40363,,                104499,                276213,                223505,,,                  3888,                  3888,,                 -3374,,                    214,,                   -572,                   -272,                223233,,,                 43881,                179352,                179352,,,,,,                 -3142,                176210,,                182882,                 -3530,,                179740,                 -3530,,                              2.51,                              2.51,,                              2.48,                              2.48,,,,,,                 43881,                 -3148,                      6,,
