證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 銷貨成本,　　　 銷貨成本合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　　 除列按攤銷後成本衡量金融資產淨損益,　　　 除列按攤銷後成本衡量金融資產淨損益,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　　 處分投資性不動產利益,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 其他綜合損益,　 未實現銷貨（損）益,　 已實現銷貨（損）益
8940,2015年第3季,,                239086,,                168950,                 70136,                 70136,,,                143917,,                 27315,                171232,               -101096,,,,                  1381,                 17238,                 18619,,                  6175,                     93,                 -6268,,                  2934,                  2934,                  9417,                -91679,,                 -8567,                -83112,                -83112,,,,,,,                 11261,                              0,                 11261,                 11261,                -71851,,                -80616,                 -2496,,                -69907,                 -1944,,                             -1.19,,                             -1.19,,,,,,,,,,,,,,,,,,,
8940,2015年第2季,,                374792,,                206609,                168183,                168183,,,                152884,,                 31439,                184323,                -16140,,,,                  2174,                  5350,                  7524,,                  1080,                     49,                 -1129,,                  3851,                  3851,                  2544,                -13596,,                  3332,                -16928,                -16928,,,,,,,                 -4710,                              0,                 -4710,                 -4710,                -21638,,                -14094,                 -2834,,                -18532,                 -3106,,                             -0.21,,,,                374792,,                206609,,                              0,,                              0,,                              0,,                              0,,,,,,,
8940,2015年第1季,,                525611,,                273561,                252050,                252050,,,                166587,,                 33953,                200540,                 51510,,,,                  1808,                  1340,                  3148,,                    652,                     83,                   -735,,                  2476,                  2476,                    -63,                 51447,,                 11608,                 39839,                 39839,,,,,,,                 -4170,                              0,                 -4170,                 -4170,                 35669,,                 44989,                 -5150,,                 41081,                 -5412,,                              0.67,,,,                525611,,                273561,,                              0,,                              0,,                              0,,                              0,,,,,,,
8940,2015年度,,              1652296,,                892241,                760055,                760055,,,                625265,,                130548,                755813,                  4242,,,,                  4215,                 25426,                 29641,,                 17898,                    531,                -18429,,                  9393,                  9393,                  1819,                  6061,,                 17193,                -11132,                -11132,,,                 -5084,                   -864,                 -4220,,                 -6660,                              0,                 -6660,                -10880,                -22012,,                  7078,                -18210,,                 -3446,                -18566,,                              0.10,,                              0.10,,,,,,,,,,,,,,,,,,,
8940,2015年01月01日至2015年09月30日,,              1139489,,                649120,                490369,                490369,,,                463388,,                 92707,                556095,                -65726,,,,                  5363,                 23928,                 29291,,                  7907,                    225,                 -8132,,                  9261,                  9261,                 11898,                -53828,,                  6373,                -60201,                -60201,,,,,,,                  2381,                              0,                  2381,                  2381,                -57820,,                -49721,                -10480,,                -47358,                -10462,,                             -0.74,,                             -0.74,,,,,,,,,,,,,,,,,,,
8940,2015年01月01日至2015年06月30日,,                900403,,                480170,                420233,                420233,,,                319471,,                 65392,                384863,                 35370,,,,                  3982,                  6690,                 10672,,                  1732,                    132,                 -1864,,                  6327,                  6327,                  2481,                 37851,,                 14940,                 22911,                 22911,,,,,,,                 -8880,                              0,                 -8880,                 -8880,                 14031,,                 30895,                 -7984,,                 22549,                 -8518,,                              0.46,,,,                900403,,                480170,,                              0,,                              0,,                              0,,                              0,,,,,,,
8940,2014年第3季,,                263547,,                196523,                 67024,                 67024,,,                129100,,                 23380,                152480,                -85456,,,,                  4282,                  1277,                  5559,,                  4124,                  4206,                 -8330,,                  5078,                  5078,                 -7849,                -93305,,                 -4860,                -88445,                -88445,,,,,,,                  8315,                 -1611,                  6704,                  6704,                -81741,,                -85591,                 -2854,,                -79513,                 -2228,,                             -1.27,,                             -1.27,,,,,,,,,,,,,,,,,,,
8940,2014年第2季,,                368202,,                221552,                146650,                146650,,,                143871,,                 38137,                182008,                -35358,,,,                    743,                  6451,                  7194,,                    898,                 16017,                -16915,,                  1740,                  1740,                -11461,                -46819,,                    187,                -47006,                -47006,,,,,,,                 -6627,                  2225,                 -4402,                 -4402,                -51408,,                -33466,                -13540,,                -37358,                -14050,,                             -0.50,,,,                368202,,                221552,,                              0,,                              0,,                              0,,                              0,,,,,,,
8940,2014年第1季,,                495682,,                267541,                228141,                228141,,,                155451,,                 52697,                208148,                 19993,,,,                  1906,                  1961,                  3867,,                    972,                     36,                 -1008,,                  1948,                  1948,                    911,                 20904,,                  7830,                 13074,                 13074,,,,,,,                 -1509,                  1092,                   -417,                   -417,                 12657,,                 15888,                 -2814,,                 15616,                 -2959,,                              0.24,,,,                495682,,                267541,,                              0,,                              0,,                              0,,                              0,,,,,,,
8940,2014年度,,              1573905,,                919484,                654421,                654421,,,                569252,,                154910,                724162,                -69741,,,,                  4951,                 11564,                 16515,,                 15965,                 20736,                -36701,,                  8296,                  8296,                -28482,                -98223,,                  4927,               -103150,               -103150,,,                 -7010,                 -2315,                 -4695,,                 12278,                  1706,                 13984,                  9289,                -93861,,                -78365,                -24785,,                -69860,                -24001,,                             -1.16,,                             -1.16,,,,,,,,,,,,,,,,,,,
