證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 停業單位損益,　　 停業單位損益合計,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 非控制權益（淨利／損）,　　 非控制權益（綜合損益）
5285,2015年第3季,,                614883,,                504020,                110863,                110863,,,                 15269,,                 32004,,                  4893,                 52166,                 58697,,,                  4174,,                 29314,,                  4993,                 28495,                 87192,,                 16990,                 70202,,                              0,                 70202,,,                 42467,                  7220,                 35247,                 35247,                105449,,                 70202,,                105449,,                              0.94,,                              0.80,,,,,
5285,2015年第2季,,                587976,,                482107,                105869,                105869,,,                 13765,,                 30389,,                  6415,                 50569,                 55300,,,                  4621,,                 -7775,,                  5119,                 -8273,                 47027,,                 12842,                 34185,,                              0,                 34185,,,                -10853,                 -1845,                 -9008,                 -9008,                 25177,,                 34185,,                 25177,,                              0.50,,                              0.38,,,,,
5285,2015年01月01日至2015年09月30日,,              1762118,,              1444433,                317685,                317685,,,                 41806,,                 92485,,                 15847,                150138,                167547,,,                 12999,,                 19205,,                 15363,                 16841,                184388,,                 40824,                143564,,                              0,                143564,,,                 21063,                  3581,                 17482,                 17482,                161046,,                143564,,                161046,,                              1.92,,                              1.67,,,,,
5285,2015年01月01日至2015年06月30日,,              1147235,,                940413,                206822,                206822,,,                 26537,,                 60481,,                 10954,                 97972,                108850,,,                  8825,,                -10109,,                 10370,                -11654,                 97196,,                 23834,                 73362,,                              0,                 73362,,,                -21404,                 -3639,                -17765,                -17765,                 55597,,                 73362,,                 55597,,                              1.08,,                              0.89,,,,,
5285,2015年01月01日至2015年03月31日,,                559259,,                458306,                100953,                100953,,,                 12772,,                 30092,,                  4539,                 47403,                 53550,,,                  4204,,                 -2334,,                  5251,                 -3381,                 50169,,                 10992,                 39177,,,                 39177,,,                -10551,                 -1794,                 -8757,                 -8757,                 30420,,                 39177,,                 30420,,                              0.58,,                              0.51,,,,,
5285,2014年第3季,,                603550,,                487998,                115552,                115552,,,                 16997,,                 29262,,                  5220,                 51479,                 64073,,,                  2041,,                  7021,,                  3877,                  5185,                 69258,,                 16961,                 52297,,                              0,                 52297,,,                 25799,                  4386,                 21413,                 21413,                 73710,,                 52297,,                 73710,,                              0.77,,                              0.76,,,,,
5285,2014年第2季,,                693481,,                566835,                126646,                126646,,,                 13508,,                 30262,,                  5115,                 48885,                 77761,,,                  1202,,                    941,,                  2669,                   -526,                 77235,,                 20058,                 57177,,                              0,                 57177,,,                -18527,                 -3150,                -15377,                -15377,                 41800,,                 57177,,                 41800,,                              0.85,,                              0.85,,,,,
5285,2014年度,,              2541507,,              2078824,                462683,                462683,,,                 58974,,                127621,,                 20350,                206945,                255738,,,                 10096,,                 27215,,                 15277,                 22034,                277772,,                 68737,                209035,,                              0,                209035,,,,,,                 31238,                240273,,                209035,,                240273,,                              3.12,,                              3.11,                 37346,                    241,                  6349,,
5285,2014年01月01日至2014年09月30日,,              1911762,,              1559861,                351901,                351901,,,                 45373,,                 96160,,                 15699,                157232,                194669,,,                  5505,,                 12025,,                  9894,                  7636,                202305,,                 50433,                151872,,                              0,                151872,,,                  3278,                    557,                  2721,                  2721,                154593,,                151872,,                154593,,                              2.28,,                              2.27,,,,,
5285,2014年01月01日至2014年06月30日,,              1308212,,              1071863,                236349,                236349,,,                 28376,,                 66898,,                 10479,                105753,                130596,,,                  3464,,                  5004,,                  6017,                  2451,                133047,,                 33472,                 99575,,                              0,                 99575,,,                -22521,                 -3829,                -18692,                -18692,                 80883,,                 99575,,                 80883,,                              1.51,,                              1.51,,,,,
