證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 繼續營業單位淨利（淨損）
4737,2015年第3季,,                428177,,                234169,                194008,                194008,,,                 51114,,                 57665,,                 32633,                141412,                 52596,,,                  2429,,                  2616,,                 20180,                -15135,                 37461,,                  7325,                 30136,                 30136,,,                  9744,                  1656,                  8088,                  8088,                 38224,,                 30136,,                 38224,,                              0.59,,                              0.58,,,,,,,,,,
4737,2015年第2季,,                366729,,                222191,                144538,                144538,,,                 47315,,                 44590,,                 27710,                119615,                 24923,,,                  1686,,                 -1301,,                 12250,                -11865,                 13058,,                    656,                 12402,                 12402,,,                 -2000,                   -340,                 -1660,                 -1660,                 10742,,                 12402,,                 10742,,                              0.24,,                              0.24,,,,,,,,,,
4737,2015年01月01日至2015年09月30日,,              1169035,,                680139,                488896,                488896,,,                140506,,                146181,,                 84523,                371210,                117686,,,                  5812,,                 -1260,,                 45939,                -41387,                 76299,,                 13530,                 62769,                 62769,,,                  6484,                  1102,                  5382,                  5382,                 68151,,                 62769,,                 68151,,                              1.22,,                              1.22,,,,,,,,,,
4737,2015年01月01日至2015年06月30日,,                740858,,                445970,                294888,                294888,,,                 89393,,                 88516,,                 51890,                229799,                 65089,,,                  3383,,                 -3876,,                 25759,                -26252,                 38837,,                  6205,                 32632,                 32632,,,                 -3260,                   -554,                 -2706,                 -2706,                 29926,,                 32632,,                 29926,,                              0.63,,                              0.63,,,,,,,,,,
4737,2015年01月01日至2015年03月31日,,                374129,,                223779,                150350,                150350,,,                 42078,,                 43926,,                 24180,                110184,                 40166,,,                  1697,,                 -2575,,                 13509,                -14387,                 25779,,                  5549,                 20230,                 20230,,,                 -1260,                   -214,                 -1046,                 -1046,                 19184,,                 20230,,                 19184,,                              0.39,,                              0.39,,,                376024,                    874,                  1021,                374129,,,,
4737,2014年第3季,,                385438,,                248127,                137311,                137311,,,                 29679,,                 46632,,                 21563,                 97874,                 39437,,,                  5436,,                   -419,,                 16707,                -11690,                 27747,,                 17022,                 10725,                 10725,,,                  3191,                    542,                  2649,                  2649,                 13374,,                 10725,,                 13374,,                              0.24,,                              0.24,,,,,,,,,,
4737,2014年第2季,,                346059,,                203046,                143013,                143013,,,                 49126,,                 40326,,                 23061,                112513,                 30500,,,                  1596,,                 -7925,,                 16806,                -23135,                  7365,,                  5141,                  2224,                  2224,,,                 -3185,                   -541,                 -2644,                 -2644,                   -420,,                  2224,,                   -420,,                              0.05,,                              0.05,,,,,,,,,,
4737,2014年度,,              1524669,,                930048,                594621,                594621,,,                168521,,                184790,,                 92004,                445315,                149306,,,                  2779,,                   -566,,                 65633,                -63420,                 85886,,                 31577,                 54309,                 54309,,,,,,                  4844,                 59153,,                 54309,,                 59153,,                              1.22,,                              1.22,,,              1539041,                  3498,                 10874,              1524669,                  6355,                   -431,                  1080,
4737,2014年01月01日至2014年09月30日,,              1059753,,                655085,                404668,                404668,,,                120503,,                133884,,                 67984,                322371,                 82297,,,                 12217,,                 -5164,,                 49097,                -42044,                 40253,,                 24633,                 15620,                 15620,,,                   -540,                    -92,                   -448,                   -448,                 15172,,                 15620,,                 15172,,                              0.36,,                              0.35,,,,,,,,,,
4737,2014年01月01日至2014年06月30日,,                674315,,                406958,                267357,                267357,,,                 90824,,                 87252,,                 46421,                224497,                 42860,,,                  6781,,                 -4745,,                 32390,                -30354,                 12506,,                  7611,                  4895,                  4895,,,                 -3731,                   -634,                 -3097,                 -3097,                  1798,,                  4895,,                  1798,,                              0.11,,                              0.11,,,,,,,,,,
