證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
3315,2015年第3季,,              2545059,,              2373621,                171438,                              0,                              0,                171438,,,                103421,,                 36071,,                 10373,                149865,                 21573,,,                  5468,,                 38731,,                  6590,                 37609,                 59182,,                  4514,                 54668,                 54668,,,                 42951,                -23984,                 -2878,                 21845,                 21845,                 76513,,                 54668,,                 76513,,                              0.77,,                              0.77,,,,
3315,2015年第2季,,              1925063,,              1830174,                 94889,,,                 94889,,,                 84155,,                 23782,,                 10843,                118780,                -23891,,,                  1319,,                 -9905,,                  5385,                -13971,                -37862,,                    965,                -38827,                -38827,,,                -10025,                 -6756,                   -950,                -15831,                -15831,                -54658,,                -38827,,                -54658,,                             -0.55,,                              0.00,,,,
3315,2015年01月01日至2015年09月30日,,              6499849,,              6088154,                411695,                              0,                              0,                411695,,,                272207,,                 90834,,                 33083,                396124,                 15571,,,                 11405,,                 25246,,                 18222,                 18429,                 34000,,                  9053,                 24947,                 24947,,,                 25613,                -34372,                 -4125,                 -4634,                 -4634,                 20313,,                 24947,,                 20313,,                              0.35,,                              0.35,,,,
3315,2015年01月01日至2015年06月30日,,              3954790,,              3714533,                240257,,,                240257,,,                168786,,                 54763,,                 22710,                246259,                 -6002,,,                  5937,,                -13485,,                 11632,                -19180,                -25182,,                  4539,                -29721,                -29721,,,                -17338,                -10388,                 -1247,                -26479,                -26479,                -56200,,                -29721,,                -56200,,                             -0.42,,                              0.00,,,,
3315,2015年01月01日至2015年03月31日,,              2029727,,              1884359,                145368,,,                145368,,,                 84631,,                 30981,,                 11867,                127479,                 17889,,,                  4618,,                 -3580,,                  6247,                 -5209,                 12680,,                  3574,                  9106,                  9106,,,                 -7313,                 -3632,                   -297,                -10648,                -10648,                 -1542,,                  9106,,                 -1542,,                              0.13,,                              0.13,,,,
3315,2014年第3季,,              2274828,,              2135376,                139452,                              0,                              0,                139452,,,                 84512,,                 30228,,                 11379,                126119,                 13333,,,                  7067,,                 16182,,                  6602,                 16647,                 29980,,                  5136,                 24844,                 24844,,,                 11966,                -17092,                 -2052,                 -3074,                 -3074,                 21770,,                 24844,,                 21770,,                              0.35,,                              0.35,,,,
3315,2014年第2季,,              2241843,,              2091694,                150149,,,                150149,,,                 86551,,                 25994,,                 10715,                123260,                 26889,,,                  9683,,                 -9971,,                  7021,                 -7309,                 19580,,                  8427,                 11153,                 11153,,,                -12732,                 21618,                  2594,                  6292,                  6292,                 17445,,                 11153,,                 17445,,                              0.16,,                              0.16,,,,
3315,2014年度,,              9184564,,              8578022,                606542,,,                606542,,,                349986,,                115215,,                 44977,                510178,                 96364,,,                 39693,,                 65749,,                 26804,                 78638,                175002,,                 31332,                143670,                143670,,,,,,,                 81198,                224868,,                143670,,                224868,,                              2.04,,                              2.03,                 41237,                 54957,                 -1391,                 13605
3315,2014年01月01日至2014年09月30日,,              6704438,,              6274109,                430329,                              0,                              0,                430329,,,                257869,,                 82884,,                 33733,                374486,                 55843,,,                 27833,,                 27514,,                 20612,                 34735,                 90578,,                 20606,                 69972,                 69972,,,                 13976,                 40705,                  4884,                 49797,                 49797,                119769,,                 69972,,                119769,,                              1.00,,                              0.99,,,,
3315,2014年01月01日至2014年06月30日,,              4429610,,              4138733,                290877,,,                290877,,,                173357,,                 52656,,                 22354,                248367,                 42510,,,                 20766,,                 11332,,                 14010,                 18088,                 60598,,                 15470,                 45128,                 45128,,,                  2010,                 57797,                  6936,                 52871,                 52871,                 97999,,                 45128,,                 97999,,                              0.64,,                              0.64,,,,
3315,2014年01月01日至2014年03月31日,,              2187767,,              2047039,                140728,,,                140728,,,                 86806,,                 26662,,                 11639,                125107,                 15621,,,                 11083,,                 21303,,                  6989,                 25397,                 41018,,                  7043,                 33975,                 33975,,,                 14742,                 36179,                  4342,                 46579,                 46579,                 80554,,                 33975,,                 80554,,                              0.48,,                              0.48,,,,
3315,2013年第3季,,              2292391,,              2139006,                153385,,,                153385,,,                 99605,,                 29873,,                  9937,                139415,                 13970,,,                  2088,,                 -1342,,                  5909,                 -5163,                  8807,,                  8531,                    276,                    276,,,,,,,                -23196,                -22920,,                    276,,                -22920,,                              0.00,,                              0.00,                 -9604,                -13689,,                    -97
3315,2013年第2季,,              2234335,,              2090929,                143406,,,                143406,,,                103381,,                 27976,,                 10581,                141938,                  1468,,,                  5927,,                  5583,,                  5031,                  6479,                  7947,,                  1491,                  6456,                  6456,,,,,,,                 47455,                 53911,,                  6456,,                 53911,,                              0.09,,                              0.09,                  4193,                 48070,,                  4808
