證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營建工程成本,　　　 營建工程成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 處分投資利益,　　　 外幣兌換損失,　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　　　 採用權益法認列關聯企業及合資之權益工具投資利益(損失),　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),　　　 與待出售非流動資產直接相關之權益-後續可能,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 可能重分類至損益之其他項目,　　　 與可能重分類之項目相關之所得稅,　　　 處分投資損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　　 減損損失,　　　　 減損損失合計,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　　 共同控制下前手權益（綜合損益）
3056,2015年第3季,,              2638123,,,              1890050,              1890050,                748073,                748073,,,                145944,,                 35643,                181587,                566486,,,,                    808,                  3601,                  4409,,                  4394,                              0,                              0,                  4394,,                  1003,                  1003,,                              0,                  7800,                574286,,                 15565,                558721,                558721,,,                  6890,                 -6116,                    774,                    774,                559495,,                558721,                              0,,                559495,                              0,,                              2.80,,                              2.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3056,2015年第2季,,                              0,,,,                 -3261,                  3261,                  3261,,,                  4811,,                 14937,                 19748,                -16487,,,,                  1669,                  7643,                  9312,,,                  1801,,                    814,,,                  1823,,,                  8303,                 -8184,,                  1589,                 -9773,                 -9773,,,                 -1508,                   -166,                 -1674,                 -1674,                -11447,,                 -9773,                              0,,                -11447,                              0,,                             -0.06,,                             -0.06,                    227,                  1214,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,,
3056,2015年01月01日至2015年09月30日,,              3217999,,,              2341936,              2341936,                876063,                876063,,,                191035,,                 72415,                263450,                612613,,,,                  3220,                 13288,                 16508,,                  2070,                  6328,                              0,                  8398,,                  4639,                  4639,,                              0,                 20267,                632880,,                 26411,                606469,                606469,,,                  4182,                 -5954,                 -1772,                 -1772,                604697,,                606469,                              0,,                604697,                              0,,                              3.05,,                              2.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3056,2015年01月01日至2015年06月30日,,                579876,,,,                451886,                127990,                127990,,,                 45091,,                 36772,                 81863,                 46127,,,,                  2412,                  9460,                 11872,,,                  6328,,                  4231,,,                  3636,,,                 12467,                 58594,,                 10846,                 47748,                 47748,,,                 -2708,                    162,                 -2546,                 -2546,                 45202,,                 47748,                              0,,                 45202,                              0,,                              0.28,,                              0.28,                    227,                  2324,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,,
3056,2015年01月01日至2015年03月31日,,                579876,,,,                455147,                124729,                124729,,,                 40280,,                 21835,                 62115,                 62614,,,,                    743,                  1817,                  2560,,                 -1110,                  4527,,                  3417,,                  1813,                  1813,,,                  4164,                 66778,,                  9257,                 57521,                 57521,,,                 -1200,                    328,                   -872,                   -872,                 56649,,                 57521,,,                 56649,,,                              0.33,,                              0.31,,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,,,,,,,,,,,
3056,2014年第3季,,                 88981,,,                 45578,                 45578,                 43403,                 43403,,,                 30000,,                 21175,                 51175,                 -7772,,,,                  1160,                    887,                  2047,,                  1559,                 -5173,                    243,                 -3857,,                              0,                              0,,                              0,                 -1810,                 -9582,,                  2105,                -11687,                -11687,,,                  1901,                    132,                  2033,                  2033,                 -9654,,                -11687,                              0,,                 -9654,                              0,,                             -0.06,,                             -0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3056,2014年第2季,,                 46400,,,,                 21062,                 25338,                 25338,,,                  4218,,                 19177,                 23395,                  1943,,,,                    856,                  3380,                  4236,,,                 -1570,,                 -2530,,,                      1,,,                  1705,                  3648,,                  3155,                    493,                    493,,,                 -2070,                     26,                 -2044,                 -2044,                 -1551,,                    493,                              0,,                 -1551,                              0,,                              0.00,,                              0.00,                     41,                  1001,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,,
3056,2014年度,,              1826723,,,,              1180673,                646050,                646050,,,                124574,,                 88455,                213029,                433021,,,,                  3825,                  5902,                  9727,,                  3681,                              0,                  2058,                 -4431,,,,,,                  5296,                438317,,                 47415,                390902,                390902,,,,,,                  6704,                397606,,                390902,,,                397606,,,                              2.43,,                              2.22,,,,,,,,,,,,,,,,,,,,,,                    -41,                  6095,                  6326,                    364,                     17,                      3,,,,,
3056,2014年01月01日至2014年09月30日,,                293761,,,                157425,                157425,                136336,                136336,,,                 62106,,                 58609,                120715,                 15621,,,,                  2150,                  4813,                  6963,,                    573,                 -7711,                    243,                 -7381,,                      1,                      1,,                              0,                   -419,                 15202,,                 10839,                  4363,                  4363,,,                  2105,                     96,                  2201,                  2201,                  6564,,                  4363,                              0,,                  6564,                              0,,                              0.02,,                              0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3056,2014年01月01日至2014年06月30日,,                204780,,,,                111847,                 92933,                 92933,,,                 32106,,                 37434,                 69540,                 23393,,,,                    990,                  3885,                  4875,,,                 -2538,,                 -3483,,,                      1,,,                  1391,                 24784,,                  8734,                 16050,                 16050,,,                    204,                    -36,                    168,                    168,                 16218,,                 16050,                              0,,                 16218,                              0,,                              0.11,,                              0.11,                     41,                    986,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,,
