證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 租金收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分投資利益,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 外幣兌換損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　　　 外幣兌換利益,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 銷貨成本,　　　 銷貨成本合計,　　　 處分不動產、廠房及設備利益
8404,2015年第3季,,                862996,,                542163,                320833,                320833,,,                 72745,,                 46673,,                 43307,                162725,                158108,,,,                 15867,                  1418,                  8535,                 25820,,                              0,                  1885,                    359,                    779,                 -3023,,                  5178,                  5178,                 17619,                175727,,                 52709,                123018,                123018,,,                287132,                287132,,               -120370,               -120370,                166762,                289780,,                114079,                  8939,,                267692,                 22088,,                              0.51,                              0.51,,,,,,,,
8404,2015年第2季,,                909236,,                552243,                356993,                356993,,,                 71909,,                 45712,,                 42644,                160265,                196728,,,,                 16969,                              0,                  2544,                 19513,,                              0,                  1848,                  3341,                  3199,                 -8388,,                  4530,                  4530,                  6595,                203323,,                 50810,                152513,                152513,,,                -60214,                -60214,,                   -193,                   -193,                -60407,                 92106,,                141120,                 11393,,                 85094,                  7012,,                              0.63,                              0.63,                              0,,,,,,,
8404,2015年01月01日至2015年09月30日,,              2575906,,              1617659,                958247,                958247,,,                213894,,                136613,,                112401,                462908,                495339,,,,                 49383,                  4181,                 14326,                 67890,,                 15398,                  6563,                  3846,                  3398,                  1591,,                 15280,                 15280,                 54201,                549540,,                139832,                409708,                409708,,,                175804,                175804,,               -110970,               -110970,                 64834,                474542,,                380859,                 28849,,                439766,                 34776,,                              1.71,                              1.71,,,,,,,,
8404,2015年01月01日至2015年06月30日,,              1712910,,              1075496,                637414,                637414,,,                141149,,                 89940,,                 69094,                300183,                337231,,,,                 33516,                  2763,                  5791,                 42070,,                 15398,                  4678,                  3487,                  2619,                  4614,,                 10102,                 10102,                 36582,                373813,,                 87123,                286690,                286690,,,               -111328,               -111328,,                  9400,                  9400,               -101928,                184762,,                266780,                 19910,,                172074,                 12688,,                              1.19,                              1.19,                              0,,,,,,,
8404,2015年01月01日至2015年03月31日,,                803674,,                523253,                280421,                280421,,,                 69240,,                 44228,,                 26450,                139918,                140503,,,,                 16547,                  2823,                  3247,                 22617,,                 15398,                  3036,,,                 12942,,                  5572,                  5572,                 29987,                170490,,                 36313,                134177,                134177,,,,,,                -41521,                -41521,                -41521,                 92656,,                125660,                  8517,,                 86980,                  5676,,                              0.56,                              0.56,                    580,,,,,,,
8404,2014年第3季,,                854754,,                569463,                285291,                285291,,,                 78902,,                 49829,,                 39878,                168609,                116682,,,,                 12655,                  2780,                  1307,                 16742,,                              0,                 15582,                    349,                  2723,                -18654,,                  4638,                  4638,                 -6550,                110132,,                 30966,                 79166,                 79166,,,                 77681,                 77681,,                 32057,                 32057,                109738,                188904,,                 75447,                  3719,,                177995,                 10909,,                              0.34,                              0.34,,,,,,,,
8404,2014年第2季,,                895302,,                586915,                308387,                308387,,,                 77960,,                 41763,,                 39058,                158781,                149606,,,,                  9944,                  2659,                  2502,                 15105,,                              0,                  3246,                    595,                              0,                 -1695,,                  4302,                  4302,                  9108,                158714,,                 42684,                116030,                116030,,,                -83559,                -83559,,                  8039,                  8039,                -75520,                 40510,,                109516,                  6514,,                 39105,                  1405,,                              0.49,                              0.49,                  2146,,,,,,,
8404,2014年度,,              3673255,,              2441276,              1231979,              1231979,,,                314582,,                212624,,                165966,                693172,                538807,,,,                 45019,                 10938,                 14208,                 70165,,,                 22184,                  3555,                  1425,                -27164,,                 16943,                 16943,                 26058,                564865,,                166001,                398864,                398864,,,,,,,,                129393,                528257,,                376372,                 22492,,                495379,                 32878,,,                              1.69,,                145666,                -16273,,,,,
8404,2014年01月01日至2014年09月30日,,              2656579,,              1776974,                879605,                879605,,,                234242,,                139985,,                113143,                487370,                392235,,,,                 30534,                  8195,                 11196,                 49925,,                              0,                 21668,                  1157,                  5604,                -28429,,                 11976,                 11976,                  9520,                401755,,                113706,                288049,                288049,,,                 88228,                 88228,,                -77978,                -77978,                 10250,                298299,,                272099,                 15950,,                281281,                 17018,,                              1.22,                              1.22,,,,,,,,
8404,2014年01月01日至2014年06月30日,,              1801825,,              1207511,                594314,                594314,,,                155340,,                 90156,,                 73265,                318761,                275553,,,,                 17879,                  5415,                  9889,                 33183,,                              0,                  6086,                    808,                  2881,                 -9775,,                  7338,                  7338,                 16070,                291623,,                 82740,                208883,                208883,,,                 10547,                 10547,,               -110035,               -110035,                -99488,                109395,,                196652,                 12231,,                103286,                  6109,,                              0.88,                              0.88,                              0,,,,,,,
