證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 採用權益法認列之關聯企業及合資損失之份額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 其他綜合損益
4532,2015年第3季,,              3306495,,              2740818,                565677,                565677,,,                 47865,,                147726,,                118788,                314379,                251298,,,                 53687,,                 21600,,                 25215,,                 -9903,                 40169,                291467,,                 55760,                235707,                235707,,,                192040,                 -6748,                 25672,                159620,                159620,                395327,,                235992,                   -285,,                355636,                 39691,,                              0.50,                              0.50,,                              0.48,                              0.48,,,,,,
4532,2015年第2季,,              4654024,,              3860046,                793978,                793978,,,                144986,,                153146,,                117424,                415556,                378422,,,                 53652,,                -11268,,                 28344,,                  2081,                 16121,                394543,,                 92066,                302477,                302477,,,               -109475,                 -1645,                -15785,                -95335,                -95335,                207142,,                288105,                 14372,,                210070,                 -2928,,                              0.62,                              0.62,,                              0.61,                              0.61,,,,,,
4532,2015年01月01日至2015年09月30日,,             12197910,,             10084257,              2113653,              2113653,,,                309566,,                459510,,                340366,              1109442,              1004211,,,                159041,,                 18246,,                 75868,,                 -6503,                 94916,              1099127,,                285254,                813873,                813873,,,                -89296,                 -8758,                -15323,                -82731,                -82731,                731142,,                762618,                 51255,,                683321,                 47821,,                              1.63,                              1.63,,                              1.59,                              1.59,,,,,,
4532,2015年01月01日至2015年06月30日,,              8891415,,              7343439,              1547976,              1547976,,,                261701,,                311784,,                221578,                795063,                752913,,,                105354,,                 -3354,,                 50653,,                  3400,                 54747,                807660,,                229494,                578166,                578166,,,               -281336,                 -2010,                -40995,               -242351,               -242351,                335815,,                526626,                 51540,,                327685,                  8130,,                              1.12,                              1.12,,                              1.12,                              1.12,,,,,,
4532,2014年第3季,,              4285220,,              3501033,                784187,                784187,,,                 90492,,                170525,,                 95879,                356896,                427291,,,                 60805,,                    311,,                 28102,,                    240,                 33254,                460545,,                122555,                337990,                337990,,,                172748,                  1696,                 24323,                150121,                150121,                488111,,                320269,                 17721,,                440719,                 47392,,                              0.68,                              0.68,,                              0.68,                              0.68,,,,,,
4532,2014年第2季,,              4945164,,              4029444,                915720,                915720,,,                160128,,                175231,,                119880,                455239,                460481,,,                 66382,,                -20334,,                 29703,,                    334,                 16679,                477160,,                137101,                340059,                340059,,,               -179115,                   -657,                -25374,               -154398,               -154398,                185661,,                301970,                 38089,,                177429,                  8232,,                              0.64,                              0.64,,                              0.64,                              0.64,,,,,,
4532,2014年度,,             18126566,,             14972321,              3154245,              3154245,,,                472932,,                662074,,                420020,              1555026,              1599219,,,                254369,,                 -5631,,                107543,,                  1502,                142697,              1741916,,                529239,              1212677,              1212677,,,,,,,                456146,              1668823,,              1079045,                133632,,              1443700,                225123,,                              2.30,                              2.30,,                              2.29,                              2.29,                 -1502,                544051,                   -208,                -10595,                 77102,
4532,2014年01月01日至2014年09月30日,,             14335845,,             11818012,              2517833,              2517833,,,                383700,,                507483,,                308097,              1199280,              1318553,,,                190025,,                -21294,,                 84483,,                  1428,                 85676,              1404229,,                408996,                995233,                995233,,,                 88035,                   -573,                 12009,                 75453,                 75453,              1070686,,                888326,                106907,,                946386,                124300,,                              1.90,                              1.90,,                              1.88,                              1.88,,,,,,
4532,2014年01月01日至2014年06月30日,,             10050625,,              8316979,              1733646,              1733646,,,                293208,,                336958,,                212218,                842384,                891262,,,                129220,,                -21605,,                 56381,,                  1188,                 52422,                943684,,                286441,                657243,                657243,,,                -84713,                 -2269,                -12314,                -74668,                -74668,                582575,,                568057,                 89186,,                505667,                 76908,,                              1.21,                              1.21,,                              1.21,                              1.21,,,,,,
4532,2014年01月01日至2014年03月31日,,              5105461,,              4287535,                817926,                817926,,,                133080,,                161727,,                 92338,                387145,                430781,,,                 65395,,                 -1518,,                 28988,,                    854,                 35743,                466524,,                149340,                317184,                317184,,,,,,,                 79730,                396914,,                266087,                 51097,,                328238,                 68676,,                              0.59,                              0.59,,                              0.58,                              0.58,,                 94402,                 -1612,,                 13060,
