證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　　 銷貨收入,　　　 銷貨成本,　　 當期所得稅費用（利益）,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 其他綜合損益,　　 與其他綜合損益組成部分相關之所得稅
6504,2015年第3季,,,,              1450382,                  8084,                  7325,              1434973,              1434973,,,              1143162,              1143162,                291811,                291811,,,                 57320,,                 46452,,                  5862,                109634,                182177,,,                  5753,,                  6543,                   -790,                181387,,                 49155,                132232,                132232,,,                107638,                107638,                107638,                239870,,                132232,                              0,,                239870,,                              1.82,,                              1.82,,,,,,,
6504,2015年第2季,,,,              1528839,                 11499,                  4239,              1513101,              1513101,,,              1181511,              1181511,                331590,                331590,,,                 43565,,                 59678,,                  6878,                110121,                221469,,,                  6752,,                  6354,                    398,                221867,,                 62596,                159271,                159271,,,                -38128,                -38128,                -38128,                121143,,                159271,                              0,,                121143,,                              2.19,,                              2.19,,,,,,,
6504,2015年01月01日至2015年09月30日,,,,              4477637,                 23406,                 16216,              4438015,              4438015,,,              3531157,              3531157,                906858,                906858,,,                163434,,                154428,,                 20437,                338299,                568559,,,                 47100,,                 18933,                 28167,                596726,,                154431,                442295,                442295,,,                 45081,                 45081,                 45081,                487376,,                442295,                              0,,                487376,,                              6.09,,                              6.09,,,,,,,
6504,2015年01月01日至2015年06月30日,,,,              3027255,                 15322,                  8891,              3003042,              3003042,,,              2387995,              2387995,                615047,                615047,,,                106114,,                107976,,                 14575,                228665,                386382,,,                 41347,,                 12390,                 28957,                415339,,                105276,                310063,                310063,,,                -62557,                -62557,                -62557,                247506,,                310063,                              0,,                247506,,                              4.27,,                              4.27,,,,,,,
6504,2015年01月01日至2015年03月31日,,,,              1498416,                  3823,                  4652,              1489941,              1489941,,,              1206484,              1206484,                283457,                283457,,,                 62549,,                 48298,,                  7697,                118544,                164913,,,                 34595,,                  6036,                 28559,                193472,,                 42680,                150792,                150792,,,                -24429,                -24429,                -24429,                126363,,                150792,                              0,,                126363,,                              2.08,,                              2.08,,,,,,,
6504,2014年第3季,,,,              1275130,                  3204,                  6418,              1265508,              1265508,,,              1028858,              1028858,                236650,                236650,,,                 55162,,                 41489,,                 10439,                107090,                129560,,,                  2450,,                  6634,                 -4184,                125376,,                 28029,                 97347,                 97347,,,                 54517,                 54517,                 54517,                151864,,                 97347,                              0,,                151864,,                              1.34,,                              1.34,,,,,,,
6504,2014年第2季,,,,              1342980,                  3483,                  6627,              1332870,              1332870,,,              1064996,              1064996,                267874,                267874,,,                 56505,,                 43481,,                  8627,                108613,                159261,,,                  8064,,                  7552,                    512,                159773,,                 51378,                108395,                108395,,,                -39530,                -39530,                -39530,                 68865,,                108395,                              0,,                 68865,,                              1.49,,                              1.49,,,,,,,
6504,2014年度,,,,              5376982,                 10877,                 22114,              5343991,              5343991,,,              4304554,              4304554,              1039437,              1039437,,,                222049,,                184927,,                 33673,                440649,                598788,,,                 20951,,                 23782,                 -2831,                595957,,                175805,                420152,                420152,,,,,                 88275,                508427,,                420152,,,                508427,,                              5.79,,                              5.78,              5376982,              4304554,                175805,                 86715,                  1880,                   -320,                              0
6504,2014年01月01日至2014年09月30日,,,,              3883033,                  8114,                 16507,              3858412,              3858412,,,              3097571,              3097571,                760841,                760841,,,                161805,,                129746,,                 22376,                313927,                446914,,,                 16331,,                 22140,                 -5809,                441105,,                138278,                302827,                302827,,,                 13649,                 13649,                 13649,                316476,,                302827,                              0,,                316476,,                              4.17,,                              4.17,,,,,,,
6504,2014年01月01日至2014年06月30日,,,,              2607903,                  4910,                 10089,              2592904,              2592904,,,              2068713,              2068713,                524191,                524191,,,                106643,,                 88257,,                 11937,                206837,                317354,,,                 13881,,                 15506,                 -1625,                315729,,                110249,                205480,                205480,,,                -40868,                -40868,                -40868,                164612,,                205480,                              0,,                164612,,                              2.83,,                              2.83,,,,,,,
