證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
2321,2015年第3季,,              1293920,,              1180310,                113610,                113610,,,                 62309,,                 31775,,                 32476,                126560,                -12950,,,                  1931,,                    908,,                  8354,,                  2624,                 -2891,                -15841,,                 -1083,                -14758,                -14758,,,                -43867,                -43867,                -43867,                -58625,,                -16586,                  1828,,                -60453,                  1828,,                             -0.06,                             -0.06,,,
2321,2015年第2季,,                806228,,                743807,                 62421,                 62421,,,                 58438,,                 22331,,                 35636,                116405,                -53984,,,                  4938,,                 -8382,,                  8655,,                 20431,                  8332,                -45652,,                  1894,                -47546,                -47546,,,                 -6205,                 -6205,                 -6205,                -53751,,                -42762,                 -4784,,                -48967,                 -4784,,                             -0.15,                             -0.15,,,
2321,2015年01月01日至2015年09月30日,,              3069856,,              2787363,                282493,                282493,,,                177949,,                 72741,,                103882,                354572,                -72079,,,                  8815,,                 -8806,,                 24861,,                 37875,                 13023,                -59056,,                    811,                -59867,                -59867,,,                -17139,                -17139,                -17139,                -77006,,                -58607,                 -1260,,                -75746,                 -1260,,                             -0.20,                             -0.20,,,
2321,2015年01月01日至2015年06月30日,,              1775936,,              1607053,                168883,                168883,,,                115640,,                 40966,,                 71406,                228012,                -59129,,,                  6884,,                 -9714,,                 16507,,                 35251,                 15914,                -43215,,                  1894,                -45109,                -45109,,,                 26728,                 26728,                 26728,                -18381,,                -42021,                 -3088,,                -15293,                 -3088,,                             -0.14,                             -0.14,,,
2321,2015年01月01日至2015年03月31日,,                969708,,                863246,                106462,                106462,,,                 57202,,                 24292,,                 35770,                117264,                -10802,,,                  7603,,                 -1332,,                  7852,,                 14820,                 13239,                  2437,,                              0,                  2437,                  2437,,,                 32933,                 32933,                 32933,                 35370,,                    741,                  1696,,                 33674,                  1696,,                              0.00,                              0.00,,,
2321,2014年第3季,,              1470818,,              1345715,                125103,                125103,,,                 70769,,                 27858,,                 40238,                138865,                -13762,,,                  7778,,                -17152,,                 13224,,                    586,                -22012,                -35774,,                  2417,                -38191,                -38191,,,                -16722,                -16722,                -16722,                -54913,,                -50188,                 11997,,                -66910,                 11997,,                             -0.17,                             -0.17,,,
2321,2014年第2季,,              1956246,,              1767846,                188400,                188400,,,                 72540,,                 28545,,                 38468,                139553,                 48847,,,                  3981,,                 -4645,,                 12669,,                 -1756,                -15089,                 33758,,                      2,                 33756,                 33756,,,                  1300,                  1300,                  1300,                 35056,,                 11864,                 21892,,                 13164,                 21892,,                              0.04,                              0.04,,,
2321,2014年度,,              6164727,,              5611345,                553382,                553382,,,                282110,,                119561,,                164655,                566326,                -12944,,,                 19071,,                -26704,,                 50091,,                 36792,                -20932,                -33876,,                  2203,                -36079,                -36079,,,,,                -50118,                -86197,,                -85976,                 49897,,               -136094,                 49897,,                             -0.29,                             -0.29,                -50118,                              0,                              0
2321,2014年01月01日至2014年09月30日,,              4941381,,              4514399,                426982,                426982,,,                214082,,                 85042,,                121116,                420240,                  6742,,,                 14764,,                -13387,,                 38699,,                 36669,                   -653,                  6089,,                  2419,                  3670,                  3670,,,                -40678,                -40678,                -40678,                -37008,,                -40251,                 43921,,                -80929,                 43921,,                             -0.14,                             -0.14,,,
2321,2014年01月01日至2014年06月30日,,              3470563,,              3168684,                301879,                301879,,,                143313,,                 57184,,                 80878,                281375,                 20504,,,                  6986,,                  3765,,                 25475,,                 36083,                 21359,                 41863,,                      2,                 41861,                 41861,,,                -23956,                -23956,                -23956,                 17905,,                  9937,                 31924,,                -14019,                 31924,,                              0.03,                              0.03,,,
2321,2014年01月01日至2014年03月31日,,              1514317,,              1400838,                113479,                113479,,,                 70773,,                 28639,,                 42410,                141822,                -28343,,,                  3005,,                  8410,,                 12806,,                 37839,                 36448,                  8105,,                              0,                  8105,                  8105,,,                -25256,                -25256,                -25256,                -17151,,                 -1927,                 10032,,                -27183,                 10032,,                             -0.01,                             -0.01,,,
2321,2013年第3季,,              1853107,,              1676380,                176727,                176727,,,                 78084,,                 28745,,                 48929,                155758,                 20969,,,                  4332,,                    484,,                 14567,,                    151,                 -9600,                 11369,,                              0,                 11369,                 11369,,,,,                 18590,                 29959,,                 -2239,                 13608,,                 16351,                 13608,,                             -0.01,                             -0.01,                 18590,,
2321,2013年第2季,,              1891488,,              1719708,                171780,                171780,,,                 79903,,                 27363,,                 50169,                157435,                 14345,,,                  2127,,                 50841,,                 15604,,                 18675,                 56039,                 70384,,                              0,                 70384,                 70384,,,,,                -94974,                -24590,,                 64247,                  6137,,                -30727,                  6137,,                              0.22,                              0.22,                -94974,,
2321,2013年度,,              7075900,,              6397432,                678468,                678468,,,                312142,,                113754,,                191788,                617684,                 60784,,,                 12761,,                 10562,,                 61750,,                 18453,                -19974,                 40810,,                    596,                 40214,                 40214,,,,,                 13203,                 53417,,                  6204,                 34010,,                 19407,                 34010,,                              0.02,                              0.02,                  8907,                  5176,                    880
2321,2013年07月01日至2013年09月30日,,              1853107,,              1676380,                176727,                176727,,,                 78084,,                 28745,,                 48929,                155758,                 20969,,,                  4332,,                    484,,                 14567,,                    151,                 -9600,                 11369,,,                 11369,                 11369,,,,,                 18590,                 29959,,                 -2239,                 13608,,                 16351,                 13608,,                             -0.01,                             -0.01,                 18590,,
2321,2013年04月01日至2013年06月30日,,              1891488,,              1719708,                171780,                171780,,,                 79903,,                 27363,,                 50169,                157435,                 14345,,,                  2127,,                 50841,,                 15604,,                 18675,                 56039,                 70384,,,                 70384,                 70384,,,,,                -94974,                -24590,,                 64247,                  6137,,                -30727,                  6137,,                              0.22,                              0.22,                -94974,,
2321,2013年01月01日至2013年12月31日,,              7075900,,              6397432,                678468,                678468,,,                312142,,                113754,,                191788,                617684,                 60784,,,                 12761,,                 10562,,                 61750,,                 18453,                -19974,                 40810,,                    596,                 40214,                 40214,,,,,                 13203,                 53417,,                  6204,                 34010,,                 19407,                 34010,,                              0.02,                              0.02,                  8907,                  5176,                    880
2321,2013年01月01日至2013年09月30日,,              5498857,,              5003149,                495708,                495708,,,                238926,,                 83240,,                143259,                465425,                 30283,,,                  9426,,                 24573,,                 47491,,                 18585,                  5093,                 35376,,                              0,                 35376,                 35376,,,,,                 18854,                 54230,,                 14721,                 20655,,                 33575,                 20655,,                              0.05,                              0.05,                 18854,,
2321,2013年01月01日至2013年06月30日,,              3645750,,              3326769,                318981,                318981,,,                160842,,                 54495,,                 94330,                309667,                  9314,,,                  5094,,                 24089,,                 32924,,                 18434,                 14693,                 24007,,                              0,                 24007,                 24007,,,,,                    264,                 24271,,                 16960,                  7047,,                 17224,                  7047,,                              0.06,                              0.06,                    264,,
2321,2013年01月01日至2013年03月31日,,              1754262,,              1607061,                147201,                147201,,,                 80939,,                 27132,,                 44161,                152232,                 -5031,,,                  2967,,                -26752,,                 17320,,                   -241,                -41346,                -46377,,                              0,                -46377,                -46377,,,,,                 95238,                 48861,,                -47287,                    910,,                 47951,                    910,,                             -0.16,                             -0.16,                 95238,,
2321,2012年07月01日至2012年09月30日,,              1649085,,              1624090,                 24995,                 24995,,,                 83594,,                 32720,,                 59646,                175960,               -150965,,,                  5200,,                -70207,,                 16118,,                 -1771,                -82896,               -233861,,,               -233861,               -233861,,,,,                  6747,               -227114,,               -240795,                  6934,,               -234048,                  6934,,                             -0.82,                             -0.82,                  6747,,
2321,2012年04月01日至2012年06月30日,,              1913696,,              1882007,                 31689,                 31689,,,                 89083,,                 41345,,                 59866,                190294,               -158605,,,                  4750,,                   -974,,                 15823,,                    848,                -11199,               -169804,,,               -169804,               -169804,,,,,                -34061,               -203865,,               -177490,                  7686,,               -211551,                  7686,,                             -0.60,                             -0.60,                -34061,,
2321,2012年01月01日至2012年12月31日,,              7254177,,              7035219,                218958,                218958,,,                359622,,                185345,,                201483,                746450,               -527492,,,                 18303,,                -75927,,                 62686,,                 -3484,               -123794,               -651286,,                              0,               -651286,               -651286,,,,,                  1057,               -650229,,               -671806,                 20520,,               -669662,                 19433,,                             -2.28,                             -2.28,                 10264,                 -9207,                              0
2321,2012年01月01日至2012年09月30日,,              5331823,,              5191165,                140658,                140658,,,                259474,,                116785,,                156535,                532794,               -392136,,,                 11259,,                -71316,,                 47649,,                   -627,               -108333,               -500469,,,               -500469,               -500469,,,,,                  6712,               -493757,,               -516289,                 15820,,               -509577,                 15820,,                             -1.75,                             -1.75,                  6712,,
2321,2012年01月01日至2012年06月30日,,              3682738,,              3567075,                115663,                115663,,,                175880,,                 84065,,                 96889,                356834,               -241171,,,                  6059,,                 -1109,,                 31531,,                  1144,                -25437,               -266608,,,               -266608,               -266608,,,,,                    -35,               -266643,,               -275494,                  8886,,               -275529,                  8886,,                             -0.94,                             -0.94,                    -35,,
2321,2012年01月01日至2012年03月31日,,              1769042,,              1685068,                 83974,                 83974,,,                 86797,,                 42720,,                 37023,                166540,                -82566,,,                  1309,,                   -135,,                 15708,,                    296,                -14238,                -96804,,,                -96804,                -96804,,,,,                 34026,                -62778,,                -98004,                  1200,,                -63978,                  1200,,                             -0.33,                             -0.33,                 34026,,
