證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
2399,2015年第3季,,                890287,,                846061,                 44226,                 44226,,,                 43796,,                 19864,,                 28958,                 92618,                -48392,,,                 12985,,                 50400,,                      3,                 63382,                 14990,,                   -722,                 15712,                 15712,,,                 18828,                -12081,                  3201,                  3546,                  3546,                 19258,,                 15712,,                 19258,,                              0.08,                              0.08,,                              0.08,                              0.08,,,,
2399,2015年第2季,,                704424,,                662696,                 41728,                 41728,,,                 41074,,                 19511,,                 26973,                 87558,                -45830,,,                 11535,,                -22942,,                      3,                -11410,                -57240,,                 -6998,                -50242,                -50242,,,                 -2481,                 -4804,                   -422,                 -6863,                 -6863,                -57105,,                -50242,,                -57105,,                             -0.28,                             -0.28,,                             -0.28,                             -0.28,,,,
2399,2015年01月01日至2015年09月30日,,              2300751,,              2138553,                162198,                162198,,,                125865,,                 59140,,                 82917,                267922,               -105724,,,                 39455,,                 13692,,                     24,                 53123,                -52601,,                 -6945,                -45656,                -45656,,,                 14922,                -11488,                  2537,                    897,                    897,                -44759,,                -45656,,                -44759,,                             -0.26,                             -0.26,,                             -0.26,                             -0.26,,,,
2399,2015年01月01日至2015年06月30日,,              1410464,,              1292492,                117972,                117972,,,                 82069,,                 39276,,                 53959,                175304,                -57332,,,                 26470,,                -36708,,                     21,                -10259,                -67591,,                 -6223,                -61368,                -61368,,,                 -3906,                    593,                   -664,                 -2649,                 -2649,                -64017,,                -61368,,                -64017,,                             -0.34,                             -0.34,,                             -0.34,                             -0.34,,,,
2399,2015年01月01日至2015年03月31日,,                706040,,                629796,                 76244,                 76244,,,                 40995,,                 19765,,                 26986,                 87746,                -11502,,,                 14935,,                -13766,,                     18,                  1151,                -10351,,                    775,                -11126,                -11126,,,                 -1425,                  5397,                   -242,                  4214,                  4214,                 -6912,,                -11126,,                 -6912,,                             -0.06,                             -0.06,,                             -0.06,                             -0.06,,,,
2399,2014年第3季,,              1139000,,              1054839,                 84161,                 84161,,,                 50884,,                 21610,,                 27753,                100247,                -16086,,,                 22106,,                 14443,,                      3,                 36546,                 20460,,                  3525,                 16935,                 16935,,,                  8133,                 -5113,                  1383,                  1637,                  1637,                 18572,,                 16935,,                 18572,,                              0.10,                              0.10,,                              0.09,                              0.09,,,,
2399,2014年第2季,,              1120332,,              1006459,                113873,                113873,,,                 54420,,                 20181,,                 28215,                102816,                 11057,,,                 17843,,                -17628,,                      3,                    212,                 11269,,                 -2000,                 13269,                 13269,,,                 -8597,                  1623,                 -1462,                 -5512,                 -5512,                  7757,,                 13269,,                  7757,,                              0.07,                              0.07,,                              0.07,                              0.07,,,,
2399,2014年度,,              4150648,,              3790313,                360335,                360335,,,                188166,,                 89443,,                107030,                384639,                -24304,,,                 74924,,                -89862,,                     15,                -14953,                -39257,,                 26859,                -66116,                -66116,,,,,,,                 14436,                -51680,,                -66116,,                -51680,,                             -0.37,                             -0.37,,                             -0.37,                             -0.37,                 21241,                   -742,                 -2954,                  3109
2399,2014年01月01日至2014年09月30日,,              3512453,,              3184244,                328209,                328209,,,                152647,,                 65364,,                 85077,                303088,                 25121,,,                 62434,,                 12152,,                     11,                 74575,                 99696,,                 12549,                 87147,                 87147,,,                  8994,                    711,                  1529,                  8176,                  8176,                 95323,,                 87147,,                 95323,,                              0.49,                              0.49,,                              0.48,                              0.48,,,,
2399,2014年01月01日至2014年06月30日,,              2373453,,              2129405,                244048,                244048,,,                101763,,                 43754,,                 57324,                202841,                 41207,,,                 40328,,                 -2291,,                      8,                 38029,                 79236,,                  9024,                 70212,                 70212,,,                    861,                  5824,                    146,                  6539,                  6539,                 76751,,                 70212,,                 76751,,                              0.39,                              0.39,,                              0.39,                              0.39,,,,
2399,2014年01月01日至2014年03月31日,,              1253121,,              1122946,                130175,                130175,,,                 47343,,                 23573,,                 29109,                100025,                 30150,,,                 22485,,                 15337,,                      5,                 37817,                 67967,,                 11024,                 56943,                 56943,,,                  9458,                  4201,                  1608,                 12051,                 12051,                 68994,,                 56943,,                 68994,,                              0.32,                              0.32,,                              0.32,                              0.32,,,,
2399,2013年第3季,,              1110716,,              1001209,                109507,                109507,,,                 45675,,                 22681,,                 29277,                 97633,                 11874,,,                 19533,,                -23958,,                      6,                 -4431,                  7443,,                  2762,                  4681,                  4681,,,,,,,                 -1614,                  3067,,                  4681,,                  3067,,                              0.03,                              0.03,,                              0.03,                              0.03,                 -5723,                  3136,,                   -973
2399,2013年第2季,,              1151908,,              1040600,                111308,                111308,,,                 43441,,                 17993,,                 28172,                 89606,                 21702,,,                 14366,,                 11347,,                     11,                 25702,                 47404,,                 19024,                 28380,                 28380,,,,,,,                -11723,                 16657,,                 28380,,                 16657,,                              0.16,                              0.16,,                              0.16,                              0.16,                  2310,                -13640,,                    393
2399,2013年度,,              4608578,,              4173559,                435019,                435019,,,                178948,,                 83711,,                117769,                380428,                 54591,,,                 68370,,                 34989,,                     30,                103329,                157920,,                 35300,                122620,                122620,,,,,,,                  3307,                125927,,                122620,,                125927,,                              0.69,                              0.69,,                              0.68,                              0.68,                 10263,                 -7317,                  2536,                  2175
