證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　　 利息費用,　　 當期所得稅費用（利益）,　　 遞延所得稅費用（利益）
2382,2015年第3季,,            275897237,,            264128799,             11768438,                  1755,                  2625,             11769308,,,              2066348,,              2273337,,              2908059,              7247744,              4521564,,,                868667,,              2212870,,                486440,,                 -6658,              2588439,              7110003,,              1368695,              5741308,              5741308,,,              2516269,             -1889826,,                 -7363,                              0,                619080,                619080,              6360388,,              5830723,                -89415,,              6259955,                100433,,                              1.51,,,,,,,,,,,
2382,2015年第2季,,            251009059,,            240037893,             10971166,                  2625,                  1141,             10969682,,,              1594597,,              2256532,,              2660844,              6511973,              4457709,,,                845029,,                 31921,,                367654,,                 -4358,                504938,              4962647,,              1528224,              3434423,              3434423,,,               -416145,               -933723,,                 -6504,                              0,             -1356372,             -1356372,              2078051,,              3373486,                 60937,,              2042384,                 35667,,                              0.88,,                              0.87,,,,,,,,,
2382,2015年01月01日至2015年09月30日,,            732099688,,            698936306,             33163382,                  1755,                  1087,             33162714,,,              5733835,,              6691946,,              8028445,             20454226,             12708488,,,              3451757,,              2111836,,              1705311,,                -15777,              3842505,             16550993,,              3797131,             12753862,             12753862,,,              1792955,             -2999605,,                -14385,                              0,             -1221035,             -1221035,             11532827,,             12876510,               -122648,,             11511421,                 21406,,                              3.34,,,,,,,,,,,
2382,2015年01月01日至2015年06月30日,,            456202451,,            434807507,             21394944,                  2625,                  1087,             21393406,,,              3667487,,              4418609,,              5120386,             13206482,              8186924,,,              2583090,,               -101034,,              1218871,,                 -9119,              1254066,              9440990,,              2428436,              7012554,              7012554,,,               -723314,             -1109779,,                 -7022,                              0,             -1840115,             -1840115,              5172439,,              7045787,                -33233,,              5251466,                -79027,,                              1.83,,                              1.81,,,,,,,,,
2382,2015年01月01日至2015年03月31日,,            205193392,,            194769614,             10423778,                  1141,                  1087,             10423724,,,              2072890,,              2162077,,              2459542,              6694509,              3729215,,,              1738061,,               -132955,,                851217,,                 -4761,                749128,              4478343,,                900212,              3578131,              3578131,,,               -307169,               -176056,,                   -518,                              0,               -483743,               -483743,              3094388,,              3672301,                -94170,,              3209082,               -114694,,                              0.95,,                              0.95,,,,,,,,,
2382,2014年第3季,,            244332767,,            233336827,             10995940,                    713,                  1011,             10996238,,,              2723695,,              1976911,,              2651903,              7352509,              3643729,,,              2188928,,              1023435,,                735874,,                  7978,              2484467,              6128196,,              1365617,              4762579,              4762579,,,                742196,                -37164,,                 -8899,                              0,                696133,                696133,              5458712,,              4732465,                 30114,,              5388960,                 69752,,                              1.23,,,,,,,,,,,
2382,2014年第2季,,            214468525,,            203892557,             10575968,                  1011,                    672,             10575629,,,              1805672,,              2058442,,              2405480,              6269594,              4306035,,,              2441025,,               -617726,,                434827,,                 -1929,              1386543,              5692578,,              1460375,              4232203,              4232203,,,             -1303052,                996112,,                 10176,                              0,               -296764,               -296764,              3935439,,              4067083,                165120,,              4441657,               -506218,,                              1.06,,                              1.05,,,,,,,,,
2382,2014年度,,            926321307,,            884509540,             41811767,                  1087,                    525,             41811205,,,              8987444,,              8467181,,             10353125,             27807750,             14003455,,,              8718331,,              4582618,,              2953837,,                 10498,             10357610,             24361065,,              5125045,             19236020,             19236020,,,,,,,,,              4423905,             23659925,,             18884396,                351624,,             23727125,                -67200,,                              4.90,,                              4.86,              1280186,              3148145,                 -5068,,                  7094,                  6452,,,
2382,2014年01月01日至2014年09月30日,,            674671011,,            644356527,             30314484,                    713,                    525,             30314296,,,              5935157,,              5985531,,              7555245,             19475933,             10838363,,,              7004724,,              1997951,,              1884163,,                 13715,              7132227,             17970590,,              4124007,             13846583,             13846583,,,               -108853,              1637138,,                  9196,                              0,              1537481,              1537481,             15384064,,             13474704,                371879,,             15602161,               -218097,,                              3.50,,,,,,,,,,,
2382,2014年01月01日至2014年06月30日,,            430338244,,            411019700,             19318544,                  1011,                    525,             19318058,,,              3211462,,              4008620,,              4903342,             12123424,              7194634,,,              4815796,,                974516,,              1148289,,                  5737,              4647760,             11842394,,              2758390,              9084004,              9084004,,,               -851049,              1674302,,                 18095,                              0,                841348,                841348,              9925352,,              8742239,                341765,,             10213201,               -287849,,                              2.27,,                              2.25,,,,,,,,,
2382,2014年01月01日至2014年03月31日,,            215869719,,            207127143,              8742576,                    672,                    525,              8742429,,,              1405790,,              1950178,,              2497862,              5853830,              2888599,,,              2374771,,              1592242,,                713462,,                  7666,              3261217,              6149816,,              1298015,              4851801,              4851801,,,                452003,                678190,,                  7919,                              0,              1138112,              1138112,              5989913,,              4675156,                176645,,              5771544,                218369,,                              1.21,,                              1.20,,,,,,,,,
2382,2013年第3季,,            220317939,,            210451979,              9865960,                    502,                    394,              9865852,,,              1215269,,              1791637,,              2483068,              5489974,              4375878,,,              1260787,,                655627,,                133676,,                 -6227,              1776511,              6152389,,              1350561,              4801828,              4801828,,,,,,,,,               -292239,              4509589,,              4653310,                148518,,              4401371,                108218,,                              1.21,,                              1.20,               -447818,                156307,,,                   -728,                              0,,,
