證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 停業單位損益,　　 停業單位損益合計,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 其他綜合損益,　　 繼續營業單位淨利（淨損）,　　 稀釋繼續營業單位淨利（淨損）,　　 銷貨收入淨額,　　　 銷貨收入淨額
3047,2015年第3季,,              1290995,,                931417,                359578,                359578,,,                161482,,                 71533,,                 96711,                329726,                 29852,,,                 19857,,                 95778,,                  3390,                112245,                142097,,                 38473,                103624,,                     24,                103648,,,                 33709,                  3466,                 37175,                 37175,                140823,,                 90236,                 13412,,                121364,                 19459,,                              0.46,,                              0.41,,,,,,,,
3047,2015年第2季,,              1493871,,              1105307,                388564,                388564,,,                159905,,                 60700,,                 97405,                318010,                 70554,,,                  7865,,                -37138,,                  4060,                -33333,                 37221,,                  5282,                 31939,,                      4,                 31943,,,                 -8406,                 -3299,                -11705,                -11705,                 20238,,                 21741,                 10202,,                 12456,                  7782,,                              0.11,,                              0.10,,,,,,,,
3047,2015年01月01日至2015年09月30日,,              4257271,,              3122939,              1134332,              1134332,,,                494269,,                199595,,                293127,                986991,                147341,,,                 36788,,                  5510,,                 10765,                 31533,                178874,,                 59173,                119701,,                  2243,                121944,,,                 19988,                 -1359,                 18629,                 18629,                140573,,                122553,                   -609,,                133661,                  6912,,                              0.62,,                              0.56,,,,,,,,
3047,2015年01月01日至2015年06月30日,,              2966276,,              2191522,                774754,                774754,,,                332787,,                128062,,                196416,                657265,                117489,,,                 16931,,                -90268,,                  7375,                -80712,                 36777,,                 20700,                 16077,,                  2219,                 18296,,,                -13721,                 -4825,                -18546,                -18546,                   -250,,                 32317,                -14021,,                 12297,                -12547,,                              0.16,,                              0.15,,,,,,,,
3047,2015年01月01日至2015年03月31日,,              1472405,,              1086215,                386190,                386190,,,                172882,,                 67362,,                 99011,                339255,                 46935,,,                  9066,,                -53130,,                  3315,                -47379,                   -444,,                 15418,                -15862,,                  2215,                -13647,,,                 -5315,                 -1526,                 -6841,                 -6841,                -20488,,                 10576,                -24223,,                   -159,                -20329,,                              0.05,,                              0.05,,,,,,,,
3047,2014年第3季,,              1564423,,              1126093,                438330,                438330,,,                174537,,                 78695,,                105054,                358286,                 80044,,,                  8872,,                -25912,,                  2827,                -19867,                 60177,,                 20843,                 39334,,                     -7,                 39327,,,                 11304,                              0,                 11304,                 11304,                 50631,,                 37652,                  1675,,                 45524,                  5107,,                              0.19,,                              0.19,,,,,,,,
3047,2014年第2季,,              1605284,,              1175849,                429435,                429435,,,                177103,,                 84739,,                106740,                368582,                 60853,,,                 15210,,                -43625,,                  3156,                -31571,                 29282,,                    105,                 29177,,                 -2195,                 26982,,,                -14434,                              0,                -14434,                -14434,                 12548,,                 11715,                 15267,,                   -337,                 12885,,                              0.06,,                              0.06,,,,,,,,
3047,2014年度,,              6135741,,              4505880,              1629861,              1629861,,,                737398,,                334579,,                417026,              1489003,                140858,,,                 53124,,                 53725,,                 19567,                 87282,                228140,,                 71739,                156401,,                 -8759,                147642,,,,,,                 20297,                167939,,                128147,                 19495,,                141452,                 26487,,                              0.66,,                              0.60,                 27127,                    113,                 -7724,                    781,,,,
3047,2014年01月01日至2014年09月30日,,              4708652,,              3439298,              1269354,              1269354,,,                544877,,                249646,,                317514,              1112037,                157317,,,                 40380,,                -19374,,                  9111,                 11895,                169212,,                 39780,                129432,,                 -2240,                127192,,,                  6529,                              0,                  6529,                  6529,                133721,,                102024,                 25168,,                103643,                 30078,,                              0.53,,                              0.48,,,,,,,,
3047,2014年01月01日至2014年06月30日,,              3144229,,              2313205,                831024,                831024,,,                370340,,                170951,,                212460,                753751,                 77273,,,                 31508,,                  6538,,                  6284,                 31762,                109035,,                 18937,                 90098,,                 -2233,                 87865,,,                 -4775,                              0,                 -4775,                 -4775,                 83090,,                 64372,                 23493,,                 58119,                 24971,,                              0.34,,                              0.30,,,,,,,,
