證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
2451,2015年第3季,,              6087629,,              5025598,              1062031,              1062031,,,                297389,,                 93996,,                 35753,                427138,                634893,,,                 29712,,                595723,,                    463,,                     -2,                624970,              1259863,,                173693,              1086170,              1086170,,,                173339,                -24869,                 29467,                119003,                119003,              1205173,,              1086170,,              1205173,,                              2.52,                              2.52,,                              2.52,                              2.52,,,,
2451,2015年第2季,,              6024924,,              4925142,              1099782,              1099782,,,                305525,,                 89327,,                 30915,                425767,                674015,,,                 43234,,               -140572,,                    582,,                 -9137,               -107057,                566958,,                 75964,                490994,                490994,,,                -48371,                -30943,                 -8223,                -71091,                -71091,                419903,,                490994,,                419903,,                              1.14,                              1.14,,                              1.14,                              1.14,,,,
2451,2015年01月01日至2015年09月30日,,             18244298,,             14777751,              3466547,              3466547,,,                883799,,                244886,,                100615,              1229300,              2237247,,,                124318,,                416887,,                  2861,,                 -7366,                530978,              2768225,,                355210,              2413015,              2413015,,,                 57389,                -64827,                  9756,                -17194,                -17194,              2395821,,              2413015,,              2395821,,                              5.60,                              5.60,,                              5.60,                              5.60,,,,
2451,2015年01月01日至2015年06月30日,,             12156669,,              9752153,              2404516,              2404516,,,                586410,,                150890,,                 64862,                802162,              1602354,,,                 94606,,               -178836,,                  2398,,                 -7364,                -93992,              1508362,,                181517,              1326845,              1326845,,,               -115950,                -39958,                -19711,               -136197,               -136197,              1190648,,              1326845,,              1190648,,                              3.08,                              3.08,,                              3.08,                              3.08,,,,
2451,2015年01月01日至2015年03月31日,,              6131745,,              4827011,              1304734,              1304734,,,                280885,,                 61563,,                 33947,                376395,                928339,,,                 51372,,                -38264,,                  1816,,                  1773,                 13065,                941404,,                105553,                835851,                835851,,,                -67579,                 -9015,                -11488,                -65106,                -65106,                770745,,                835851,,                770745,,                              1.94,                              1.94,,                              1.94,                              1.94,,,,
2451,2014年第3季,,              6791191,,              5339698,              1451493,              1451493,,,                334735,,                106930,,                 45069,                486734,                964759,,,                 44038,,                116952,,                    876,,                 -1359,                158755,              1123514,,                157252,                966262,                966262,,,                 58315,                -66668,                  9914,                -18267,                -18267,                947995,,                966262,,                947995,,                              2.24,                              2.24,,                              2.24,                              2.24,,,,
2451,2014年第2季,,              6656660,,              5209111,              1447549,              1447549,,,                294961,,                103124,,                 42384,                440469,              1007080,,,                 57918,,                -73164,,                  4080,,                    625,                -18701,                988379,,                148404,                839975,                839975,,,                -75508,                  2197,                -12837,                -60474,                -60474,                779501,,                839975,,                779501,,                              1.95,                              1.95,,                              1.95,                              1.95,,,,
2451,2014年度,,             27219495,,             21678630,              5540865,              5540865,,,              1180034,,                439532,,                174011,              1793577,              3747288,,,                193524,,                460021,,                  8209,,                  8330,                653666,              4400954,,                665749,              3735205,              3735205,,,,,,,                 45294,              3780499,,              3735205,,              3780499,,                              8.67,                              8.67,,                              8.66,                              8.66,                 92968,                -31783,                    -86,                 15805
2451,2014年01月01日至2014年09月30日,,             20242462,,             16016661,              4225801,              4225801,,,                911551,,                301166,,                133391,              1346108,              2879693,,,                144621,,                118327,,                  7622,,                   -897,                254429,              3134122,,                427074,              2707048,              2707048,,,                 -1259,                -29269,                   -214,                -30314,                -30314,              2676734,,              2707048,,              2676734,,                              6.28,                              6.28,,                              6.28,                              6.28,,,,
2451,2014年01月01日至2014年06月30日,,             13451271,,             10676963,              2774308,              2774308,,,                576816,,                194236,,                 88322,                859374,              1914934,,,                100583,,                  1375,,                  6746,,                    462,                 95674,              2010608,,                269822,              1740786,              1740786,,,                -59574,                 37399,                -10128,                -12047,                -12047,              1728739,,              1740786,,              1728739,,                              4.04,                              4.04,,                              4.04,                              4.04,,,,
