證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 租金收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 減損損失,　　　　 減損損失合計,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 外幣兌換損失,　　　 處分投資利益,　　　　 金融資產減損損失,　　 國外營運機構財務報表換算之兌換差額,　　 與其他綜合損益組成部分相關之所得稅,　　　 壞帳轉回利益,　　 備供出售金融資產未實現評價損益,　　 研究發展費用,　　　 研究發展費用合計,　　　　 銀行存款利息
8213,2015年第3季,,,,              6110292,                  5750,                113053,              5991489,              5991489,,,              5006869,              5006869,              5006869,                984620,                984620,,,                285466,,                262336,                547802,                436818,,,,                 30586,                  7141,                 29611,                 67338,,                    502,                 37335,                              0,                  7034,                 11217,                 20748,,                  1540,                 -2702,,                 44028,                 44028,                 20608,                457426,,                119771,                337655,                337655,,,                510287,                              0,                              0,                510287,                510287,                847942,,                298229,                 39426,,                711030,                136912,,                              1.10,,                              1.08,,,,,,,,,,
8213,2015年第2季,,,,              5297684,                  1719,                 85495,              5210470,              5210470,,,              4402486,              4402486,              4402486,                807984,                807984,,,                213875,,                232007,                445882,                362102,,,,                 33120,                 10508,                 12833,                 56461,,,                 36943,                  7066,                 -5339,                  6609,,,                  4704,                 38035,,                 44734,                 44734,                 49762,                411864,,                145841,                266023,                266023,,,               -172487,                              0,                              0,               -172487,               -172487,                 93536,,                233441,                 32582,,                 95184,                 -1648,,                              0.86,,                              0.84,,,,,,,,,,
8213,2015年01月01日至2015年09月30日,,,,             17153211,                 15764,                281777,             16855670,             16855670,,,             14224287,             14224287,             14224287,              2631383,              2631383,,,                751280,,                694798,              1446078,              1185305,,,,                 89718,                 28494,                 66951,                185163,,                  1531,                110959,                  1563,                  9142,                 18382,                  6009,,                  6790,                 73730,,                135818,                135818,                123075,              1308380,,                349610,                958770,                958770,,,                222893,                              0,                              0,                222893,                222893,              1181663,,                858400,                100370,,              1039928,                141735,,                              3.16,,                              3.06,,,,,,,,,,
8213,2015年01月01日至2015年06月30日,,,,             11042919,                 10014,                168724,             10864181,             10864181,,,              9217418,              9217418,              9217418,              1646763,              1646763,,,                465814,,                432462,                898276,                748487,,,,                 59132,                 21353,                 37340,                117825,,,                 73624,                 16302,                  2108,                  6136,,,                  5250,                 76432,,                 91790,                 91790,                102467,                850954,,                229839,                621115,                621115,,,               -287394,                              0,                              0,               -287394,               -287394,                333721,,                560171,                 60944,,                328898,                  4823,,                              2.07,,                              2.01,,,,,,,,,,
8213,2015年01月01日至2015年03月31日,,,,              5745235,                  8295,                 83229,              5653711,              5653711,,,              4814932,              4814932,              4814932,                838779,                838779,,,                251939,,                200455,                452394,                386385,,,,                 26012,                 10845,                 24507,                 61364,,                    473,                 36681,                  9236,                  7447,,,,                    546,                 38397,,                 47056,                 47056,                 52705,                439090,,                 83998,                355092,                355092,,,               -114907,,,               -114907,               -114907,                240185,,                326730,                 28362,,                233714,                  6471,,                              1.20,,                              1.18,                              0,,,,,,,,,
8213,2014年第3季,,,,              6513511,                    528,                125354,              6387629,              6387629,,,              5111301,              5111301,              5111301,              1276328,              1276328,,,                310583,,                235495,                546078,                730250,,,,                 26345,                  9098,                 19868,                 55311,,                    750,                 13015,                    518,                 11916,                 13625,                    811,,                              0,                -12069,,                 49378,                 49378,                 -6136,                724114,,                136161,                587953,                587953,,,                277821,                  1918,                              0,                279739,                279739,                867692,,                513615,                 74338,,                737183,                130509,,                              1.89,,                              1.87,,,,,,,,,,
8213,2014年第2季,,,,              6100894,                  3238,                136176,              5961480,              5961480,,,              4838549,              4838549,              4838549,              1122931,              1122931,,,                289796,,                258885,                548681,                574250,,,,                 34852,                 10456,                 10317,                 55625,,,                  9224,                  1836,                 -5723,                  5061,,,                              0,                 11722,,                 54434,                 54434,                 12913,                587163,,                131424,                455739,                455739,,,               -202543,                    588,                              0,               -201955,               -201955,                253784,,                388846,                 66893,,                226681,                 27103,,                              1.43,,                              1.41,,,,,,,,,,
8213,2014年度,,,,             24419240,                 29576,                521080,             23868584,             23868584,,,,             19492805,             19492805,              4375779,              4375779,,,              1124286,,                909041,              2033327,              2342452,,,,                118023,                 40080,                 44863,                202966,,                              0,                 42813,                              0,                 23900,                 23087,                 48623,,                  2142,                -54939,,                207879,                207879,                -59852,              2282600,,                449005,              1833595,              1833595,,,,,,,                422439,              2256034,,              1579156,                254439,,              1920311,                335723,,                              5.82,,                              5.70,,                              0,                  2142,                422439,                              0,,,,,
8213,2014年01月01日至2014年09月30日,,,,             18231533,                 12840,                410761,             17807932,             17807932,,,             14502474,             14502474,             14502474,              3305458,              3305458,,,                851720,,                690274,              1541994,              1763464,,,,                 92975,                 29715,                 39450,                162140,,                  3187,                 14455,                              0,                 12331,                 21179,                 23628,,                  1596,                -41092,,                160498,                160498,                -39450,              1724014,,                321895,              1402119,              1402119,,,                 44008,                  2506,                              0,                 46514,                 46514,              1448633,,              1207676,                194443,,              1244791,                203842,,                              4.45,,                              4.36,,,,,,,,,,
8213,2014年01月01日至2014年06月30日,,,,             11718022,                 12312,                285407,             11420303,             11420303,,,              9391173,              9391173,              9391173,              2029130,              2029130,,,                541137,,                454779,                995916,              1033214,,,,                 66630,                 20617,                 19582,                106829,,,                  1440,                -23335,                    415,                  5117,,,                  1596,                -29023,,                111120,                111120,                -33314,                999900,,                185734,                814166,                814166,,,               -233813,                    588,                              0,               -233225,               -233225,                580941,,                694061,                120105,,                507608,                 73333,,                              2.56,,                              2.51,,,,,,,,,,
