證券代號,年季,　 淨收益,　　 利息淨收益 ,　　　 利息收入,　　　 利息費用,　　　 利息淨收益,　　 利息以外淨收益,　　　 手續費及佣金淨收益,　　　　 手續費及佣金收入,　　　　　 手續費及佣金收入合計,　　　　 手續費及佣金淨收益,　　　 保險業務淨收益,　　　　 保險業務收益,　　　　　 保險業務收益合計,　　　　 保險業務費用,　　　　　 保險業務費用合計,　　　　 保險業務淨收益,　　　 透過損益按公允價值衡量之金融資產及負債損益,　　　　 透過損益按公允價值衡量之金融資產及負債利益,　　　　 透過損益按公允價值衡量之金融資產及負債損失,　　　　 透過損益按公允價值衡量之金融資產及負債損益,　　　 投資性不動產損益,　　　　 投資性不動產損益,　　　 備供出售金融資產之已實現損益,　　　　 備供出售金融資產之已實現利益,　　　　 備供出售金融資產之已實現損益,　　　 兌換損益,　　　　 兌換利益,　　　　 兌換損失,　　　　 兌換損益,　　　 資產減損（損失）迴轉利益,　　　　 資產減損迴轉利益,　　　　 資產減損損失,　　　　 資產減損（損失）迴轉利益,　　　 採用權益法認列關聯企業及合資損益之份額,　　　　 採用權益法認列關聯企業及合資利益之份額,　　　　 採用權益法認列關聯企業及合資損失之份額,　　　　 採用權益法認列關聯企業及合資損益之份額合計,　　　 其他利息以外淨損益,　　　　 其他利息以外淨收益,　　　　 其他利息以外淨損益,　　　 利息以外淨收益,　　 收益 ,　　 費用 ,　　 淨收益,　 呆帳費用及保證責任準備提存,　　 呆帳費用及保證責任準備提存合計,　 保險負債準備淨變動,　　 保險負債準備淨變動合計,　 營業費用,　　 員工福利費用,　　 折舊及攤銷費用,　　 其他業務及管理費用,　　 營業費用合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅（費用）利益 ,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益,　　 不重分類至損益之項目（稅後）,　　　 確定福利計畫之再衡量數,　　　 不動產重估增值,　　　 指定為透過損益按公允價值衡量之金融負債其變動金額來自信用風險,　　　 採用權益法認列之關聯企業及合資其他綜合損益之份額－不重分類至損益之項目,　　　 採用權益法認列之子公司、關聯企業及合資之其他綜合損益之份額－不重分類至損益之項目,　　　 其他不重分類至損益之項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額（稅後）,　　 後續可能重分類至損益之項目（稅後）,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列之關聯企業及合資其他綜合損益之份額－可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額（稅後）,　　 本期其他綜合損益,　 本期綜合損益總額,　 淨利（淨損）歸屬,　　 母公司業主,　　 非控制權益,　 綜合損益總額歸屬於,　　 母公司業主-綜合損益,　　 非控制股權,　 基本每股盈餘,　　 繼續營業單位稅後淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 繼續營業單位稅後淨利（淨損）-稀釋,　　 稀釋每股盈餘合計,　　　　 備供出售金融資產之已實現損失,　　　 持有至到期日金融資產之已實現損益,　　　　 持有至到期日金融資產之已實現利益,　　　　 持有至到期日金融資產之已實現損失,　　　　 持有至到期日金融資產之已實現損益,　 繼續營業單位稅前損益,　 停業單位損益,　　 停業單位損益合計,　　 國外營運機構財務報表換算之兌換差額 ,　　 備供出售金融資產未實現評價利益（損失） ,　　 確定福利計畫精算利益（損失） ,　　 採用權益法認列之關聯企業及合資其他綜合損益之份額 ,　　 與其他綜合損益組成部分相關之所得稅 ,　　 本期其他綜合損益（稅後淨額）
2892,2015年第3季,,,             10715163,              3557535,              7157628,,,,              2156455,              2156455,,,                236576,,                              0,                236576,,                              0,                110275,               -110275,,                 40256,,                307050,                307050,,                985820,                              0,                985820,,                  1261,                              0,                  1261,,                              0,                187104,               -187104,,                234279,                234279,              3664318,             14608283,              9749535,             10821946,,                447436,,                 68577,,              3640717,                271634,              1645109,              5557460,              4748473,               -838231,              3910242,              3910242,,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,              3354121,               -628701,                -50709,                  4670,              2679381,              2679381,              6589623,,              3920915,                -10673,,              6602634,                -13011,,                              0.39,                              0.39,,                              0.39,                              0.39,,,,,,,,,,,,,,
2892,2015年第2季,,,             10584618,              3567307,              7017311,,,,              2183458,              2183458,,,                374592,,                              0,                374592,,                225745,,                225745,,                 67435,,                 63341,                 63341,,                184815,                              0,                184815,,                  3291,,                  3291,,                              0,                469277,               -469277,,                401860,                401860,              3035260,             13900191,              9200900,             10052571,,               -187356,,                188964,,              3514883,                261158,              1575631,              5351672,              4699291,               -700621,              3998670,              3998670,,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,               -616982,               -450955,                 11550,                  6181,             -1050206,             -1050206,              2948464,,              4002961,                 -4291,,              2989043,                -40579,,                              0.41,                              0.41,,                              0.41,                              0.41,,,,,,,,,,,,,,
2892,2015年01月01日至2015年09月30日,,,             31847273,             10679070,             21168203,,,,              6277091,              6277091,,,                              0,,                 98237,                -98237,,                668540,                              0,                668540,,                142529,,                507285,                507285,,              1331657,                              0,              1331657,,                  4552,                              0,                  4552,,                              0,                661009,               -661009,,                805838,                805838,              8978246,             42218561,             27829082,             30146449,,                201702,,               -633796,,             10508552,                796346,              4884166,             16189064,             14389479,             -2371364,             12018115,             12018115,,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,              1896007,               -719189,                -50287,                 10558,              1137089,              1137089,             13155204,,             12032851,                -14736,,             13216632,                -61428,,                              1.21,                              1.21,,                              1.21,                              1.21,,,,,,,,,,,,,,
2892,2015年01月01日至2015年06月30日,,,             21132110,              7121535,             14010575,,,,              4120636,              4120636,,,                              0,,                334813,               -334813,,                778815,,                778815,,                102273,,                200235,                200235,,                345837,                              0,                345837,,                  3291,,                  3291,,                              0,                473905,               -473905,,                571559,                571559,              5313928,             27957129,             18316123,             19324503,,               -245734,,               -702373,,              6867835,                524712,              3239057,             10631604,              9641006,             -1533133,              8107873,              8107873,,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,             -1458114,                -90488,                    422,                  5888,             -1542292,             -1542292,              6565581,,              8111936,                 -4063,,              6613998,                -48417,,                              0.82,                              0.82,,                              0.82,                              0.82,,,,,,,,,,,,,,
2892,2015年01月01日至2015年03月31日,,,             10547492,              3554228,              6993264,,,,              1937178,              1937178,,,                              0,,                709405,               -709405,,                553070,,                553070,,                 34838,,                136894,                136894,,                161022,,                161022,,,                              0,                              0,,                              0,                  4628,                 -4628,,                169699,                169699,              2278668,             14431530,              9489815,              9271932,,                -58378,,               -891337,,              3352952,                263554,              1663426,              5279932,              4941715,               -832512,              4109203,              4109203,,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,               -841132,                360475,                -11128,                   -301,               -492086,               -492086,              3617117,,              4108975,                    228,,              3624955,                 -7838,,                              0.44,                              0.44,,                              0.44,                              0.44,,,,,,,,,,,,,,
2892,2014年第3季,,,             10878626,              3683498,              7195128,,,,              2019098,              2019098,,,                168059,,                              0,                168059,,                126842,                              0,                126842,,                 28608,,                478553,                478553,,                584001,                              0,                584001,,                              0,                     42,                    -42,,                 26070,                              0,                 26070,,                219043,                219043,              3650232,             14556808,             10463300,             10845360,,              1530498,,                -27908,,              3351458,                244258,              1653546,              5249262,              4093508,               -593377,              3500131,              3500131,,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                737380,               -562209,                 68734,                  1557,                245462,                245462,              3745593,,              3484993,                 15138,,              3761020,                -15427,,                              0.35,                              0.35,,                              0.35,                              0.35,,,,,,,,,,,,,,
2892,2014年第2季,,,             10811807,              3771132,              7040675,,,,              1871323,              1871323,,,                252346,,                              0,                252346,,                831859,,                831859,,                116257,,                115217,                115217,,                              0,                  3267,                 -3267,,                 63984,,                 63984,,                              0,                 10711,                -10711,,                401975,                401975,              3638983,             14370371,              9242072,             10679658,,                473874,,                 94397,,              3410908,                241226,              1334221,              4986355,              5125032,               -574598,              4550434,              4550434,,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,               -733622,                636555,                -53838,                 -1449,               -152354,               -152354,              4398080,,              4547811,                  2623,,              4400121,                 -2041,,                              0.46,                              0.46,,                              0.46,                              0.46,,,,,,,,,,,,,,
2892,2014年度,,,             42879260,             14601666,             28277594,,,,              7427518,              7427518,,,                              0,,              6532668,             -6532668,,              1372734,,              1372734,,                171830,,                416584,                416584,,              2171638,,              2171638,,                              0,                  5510,                 -5510,,                              0,                 25805,                -25805,,                912540,                912540,              5908861,             62452823,             45969778,             34186455,,              4015000,,             -7100719,,             13776282,                971182,              6041665,             20789129,,             -2405399,             14077646,             14077646,,,,,,,,,,,,,,,,,,             17497155,,             14084936,                 -7290,,             17542255,                -45100,,                              1.52,                              1.52,,                              1.52,                              1.52,                              0,,                              0,                              0,                              0,             16483045,,                              0,              2579511,                688633,                 12263,                146337,                 -7235,              3419509
2892,2014年01月01日至2014年09月30日,,,             32141196,             11030804,             21110392,,,,              5630216,              5630216,,,                822413,,                              0,                822413,,              1423165,                              0,              1423165,,                171968,,                627625,                627625,,              1183728,                              0,              1183728,,                 58884,                              0,                 58884,,                 53441,                              0,                 53441,,                712405,                712405,             10683845,             42448469,             28952933,             31794237,,              2840306,,                376572,,             10058391,                722733,              4300699,             15081823,             13495536,             -1790398,             11705138,             11705138,,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                802131,                311545,                 32605,                 -6799,              1139482,              1139482,             12844620,,             11692188,                 12950,,             12863621,                -19001,,                              1.19,                              1.19,,                              1.19,                              1.19,,,,,,,,,,,,,,
2892,2014年01月01日至2014年06月30日,,,             21262570,              7347306,             13915264,,,,              3611118,              3611118,,,                654354,,                              0,                654354,,              1296323,,              1296323,,                143360,,                149072,                149072,,                599727,                              0,                599727,,                 58926,,                 58926,,                 27371,                              0,                 27371,,                493362,                493362,              7033613,             27891703,             18489675,             20948877,,              1309808,,                404480,,              6706933,                478475,              2647153,              9832561,              9402028,             -1197021,              8205007,              8205007,,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                 64751,                873754,                -36129,                 -8356,                894020,                894020,              9099027,,              8207195,                 -2188,,              9102601,                 -3574,,                              0.83,                              0.83,,                              0.83,                              0.83,,,,,,,,,,,,,,
