證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 處分投資利益,　　　 外幣兌換利益,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 處分投資損失,　　　 外幣兌換損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 本期所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 處分不動產、廠房及設備利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 利息收入,　　　　 銀行存款利息,　　　　 利息收入合計,　　　 其他收入－其他,　　　 減損損失,　　　　 金融資產減損損失,　　　　 減損損失合計,　　 當期所得稅費用（利益）,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
2478,2015年第3季,,,,              1020806,              1020806,              1020806,              1020806,,,                832756,                832756,                832756,                188050,                188050,,,                 38510,,                 76981,,                  7153,                122644,                 65406,,,                  8907,,                              0,                 57844,                    938,                  2453,                    861,                              0,                  1447,                 52145,,                    850,                 60202,                125608,,                 19125,                 19125,                106483,                106483,,,                106800,                 19250,                 87550,                 87550,                194033,,                102375,                  4108,,                196360,                 -2327,,                              0.40,,                              0.38,,,,,,,,,,,,,
2478,2015年第2季,,,,              1012313,              1012313,              1012313,              1012313,,,                847833,                847833,                847833,                164480,                164480,,,                 33172,,                 59535,,                  5689,                 98396,                 66084,,,                  7009,,                    727,                              0,                    264,                 -5110,,                  7121,                  3471,                 -5019,,                    916,                  1074,                 67158,,                 17914,                 17914,                 49244,                 49244,,,                -36381,                 -5823,                -30558,                -30558,                 18686,,                 46835,                  2409,,                 18403,                    283,,                              0.18,,                              0.17,                              0,                              0,,,,,,,,,,,
2478,2015年01月01日至2015年09月30日,,,,              2949601,              2949601,              2949601,              2949601,,,              2443912,              2443912,              2443912,                505689,                505689,,,                110895,,                198135,,                 20251,                329281,                176408,,,                 45249,,                              0,                 42534,                  6317,                  1066,                    134,                              0,                  3482,                 31535,,                  3157,                 73627,                250035,,                 48391,                 48391,                201644,                201644,,,                 33652,                  8016,                 25636,                 25636,                227280,,                192357,                  9287,,                231493,                 -4213,,                              0.74,,                              0.71,,,,,,,,,,,,,
2478,2015年01月01日至2015年06月30日,,,,              1928795,              1928795,              1928795,              1928795,,,              1611156,              1611156,              1611156,                317639,                317639,,,                 72385,,                121154,,                 13098,                206637,                111002,,,                 36342,,                    727,                              0,                  5379,                 -1387,,                 15310,                  2035,                -20610,,                  2307,                 13425,                124427,,                 29266,                 29266,                 95161,                 95161,,,                -73148,                -11234,                -61914,                -61914,                 33247,,                 89982,                  5179,,                 35133,                 -1886,,                              0.35,,                              0.33,                              0,                              0,,,,,,,,,,,
2478,2015年01月01日至2015年03月31日,,,,                916482,                916482,                916482,                916482,,,                763323,                763323,                763323,                153159,                153159,,,                 39213,,                 61619,,                  7409,                108241,                 44918,,,                 29333,,,                              0,                  5115,                  3723,,                  8189,,                -15591,,                  1391,                 12351,                 57269,,                 11352,                 11352,                 45917,                 45917,,,                -36767,                 -5411,                -31356,                -31356,                 14561,,                 43147,                  2770,,                 16730,                 -2169,,                              0.17,,                              0.16,                              0,                  1436,,                  2937,                  2937,                 26396,,,,,,,
2478,2014年第3季,,,,              1072589,              1072589,              1072589,              1072589,,,                892108,                892108,                892108,                180481,                180481,,,                 51217,,                 62026,,                  8963,                122206,                 58275,,,                  6254,,                              0,                  9265,                    118,                   -118,                              0,                              0,                    -78,                  9343,,                  1922,                 13675,                 71950,,                 12898,                 12898,                 59052,                 59052,,,                 75572,                 12851,                 62721,                 62721,                121773,,                 55996,                  3056,,                118738,                  3035,,                              0.21,,                              0.21,,,,,,,,,,,,,
2478,2014年第2季,,,,              1062337,              1062337,              1062337,              1062337,,,                903505,                903505,                903505,                158832,                158832,,,                 39540,,                 74329,,                  6931,                120800,                 38032,,,                  9705,,                              0,                              0,                     50,                  1195,,                 15652,                 -3570,                -13327,,                  2798,                 -6420,                 31612,,                  4761,                  4761,                 26851,                 26851,,,                -46674,                 -7912,                -38762,                -38762,                -11911,,                 24272,                  2579,,                -14359,                  2448,,                              0.10,,                              0.09,                              0,                              0,,,,,,,,,,,
2478,2014年度,,,,              4038193,              4038193,              4038193,              4038193,,,              3433448,              3433448,              3433448,                604745,                604745,,,                175603,,                264535,,                 30783,                470921,                133824,,,                 33918,,                     51,                 55524,                    629,                    845,,,                 -9978,                 64079,,                  9735,                 88262,                222086,,,                 41688,                180398,                180398,,,,,,                 87053,                267451,,                171259,                  9139,,                258921,                  8530,,                              0.67,,                              0.60,                              0,,,,,,,                              0,                              0,                 41688,                109557,                 -4549,                 17955
2478,2014年01月01日至2014年09月30日,,,,              3041604,              3041604,              3041604,              3041604,,,              2587793,              2587793,              2587793,                453811,                453811,,,                123282,,                197820,,                 22290,                343392,                110419,,,                 23959,,                              0,                 23159,                    180,                    902,                              0,                              0,                -10547,                 32624,,                  7881,                 48702,                159121,,                 29674,                 29674,                129447,                129447,,,                 26804,                  4327,                 22477,                 22477,                151924,,                122492,                  6955,,                143616,                  8308,,                              0.48,,                              0.42,,,,,,,,,,,,,
2478,2014年01月01日至2014年06月30日,,,,              1969015,              1969015,              1969015,              1969015,,,              1695685,              1695685,              1695685,                273330,                273330,,,                 72065,,                135794,,                 13327,                221186,                 52144,,,                 17705,,                              0,                 13894,                     62,                  1020,,                              0,                -10469,                 23281,,                  5959,                 35027,                 87171,,                 16776,                 16776,                 70395,                 70395,,,                -48768,                 -8524,                -40244,                -40244,                 30151,,                 66496,                  3899,,                 24878,                  5273,,                              0.27,,                              0.22,                              0,                              0,,,,,,,,,,,
