證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　　 共同控制下前手權益（綜合損益）,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 繼續營業單位淨利（淨損）,　　 稀釋繼續營業單位淨利（淨損）
1312,2015年第3季,,              4731722,,              4076386,                655336,                655336,,,                 63254,,                216070,,                  9263,                288587,                366749,,,                107097,,                 27900,,                  2688,,               -251591,               -119282,                247467,,                 37512,                209955,                209955,,,                210175,               -546301,,                 12250,                -12192,               -311684,               -311684,               -101729,,                143586,                 66369,,                 -3587,                -98142,,                              0.16,,,,,,,,,,,,,
1312,2015年第2季,,              6010623,,              4744308,              1266315,              1266315,,,                 73805,,                255567,,                 10540,                339912,                926403,,,                 26625,,                -11954,,                  4795,,                176498,                186374,              1112777,,                194475,                918302,                918302,,,                 48644,                386339,,               -134232,                     -6,                300757,                300757,              1219059,,                869804,                 48498,,              1042886,,,                              0.96,                              0,                              0,                176173,,                              0.96,,,,,,,,
1312,2015年第1季,,              5008775,,              4403208,                605567,                605567,,,                 73156,,                206438,,                  9483,                289077,                316490,,,                 13166,,                -21746,,                  9961,,                 89251,                 70710,                387200,,                 60394,                326806,                326806,,,                -68737,                134552,,                  8468,                    847,                 73436,                 73436,                400242,,                292522,                 34284,,                332275,                 67967,,                              0.32,,,,,                              0.32,,,,,,,,
1312,2015年01月01日至2015年09月30日,,             15751120,,             13223902,              2527218,              2527218,,,                210215,,                678075,,                 29286,                917576,              1609642,,,                146888,,                 -5800,,                 17444,,                 14158,                137802,              1747444,,                292381,              1455063,              1455063,,,                190082,                -25410,,               -113514,                -11351,                 62509,                 62509,              1517572,,              1305912,                149151,,              1371574,                145998,,                              1.44,,,,,,,,,,,,,
1312,2015年01月01日至2015年06月30日,,             11019398,,              9147516,              1871882,              1871882,,,                146961,,                462005,,                 20023,                628989,              1242893,,,                 39791,,                -33700,,                 14756,,                265749,                257084,              1499977,,                254869,              1245108,              1245108,,,                -20093,                520891,,               -125764,                    841,                374193,                374193,              1619301,,              1162326,                 82782,,              1375161,,,                              1.28,                              0,                              0,                244140,,                              1.28,,,,,,,,
1312,2014年第3季,,              6417824,,              6051003,                366821,                366821,,,                 71012,,                205771,,                 23606,                300389,                 66432,,,                126801,,                 14022,,                  9018,,                 85062,                216867,                283299,,                 34360,                248939,                248939,,,                103430,                -38780,,                 49456,                  8408,                105698,                105698,                354637,,                189933,                 59006,,                297632,                 57005,,                              0.21,,,,,,,,,,,,,
1312,2014年第2季,,              6120493,,              5594895,                525598,                525598,,,                 71579,,                191411,,                 14733,                277723,                247875,,,                 22750,,                -33280,,                  7805,,                 91677,                 73342,                321217,,                204854,                116363,                116363,,,               -110601,                 72712,,                  1876,                    319,                -36332,                -36332,                 80031,,                 45244,                 71119,,                  2984,,,                              0.05,                              0,                              0,                 77047,,                              0.05,,,,,,,,
1312,2014年第1季,,              6201713,,              5730792,                470921,                470921,,,                 71805,,                199391,,                 14195,                285391,                185530,,,                 13446,,                  7551,,                  6790,,                 -6113,                  8094,                193624,,                 37415,                156209,                156209,,,                112656,               -171911,,               -136216,                -23157,               -172314,               -172314,                -16105,,                131043,                 25166,,                 18195,                -34300,,                              0.14,,,,,                              0.14,,,,,,,,
1312,2014年度,,             24340264,,             22747713,              1592551,              1592551,,,                287418,,                791345,,                 69927,              1148690,                443861,,,                180512,,                  6195,,                 32753,,                156113,                310067,                753928,,                263247,                490681,                490681,,,,,,,,,                148384,                639065,,                292518,                198163,,                439236,                199829,,                              0.31,,,,,                              0.31,                328215,                 15321,                -70750,,               -145974,                -21572,,
1312,2014年01月01日至2014年09月30日,,             18740030,,             17376690,              1363340,              1363340,,,                214396,,                596573,,                 52534,                863503,                499837,,,                162997,,                -11707,,                 23613,,                170626,                298303,                798140,,                276629,                521511,                521511,,,                105485,               -137979,,                -84884,                -14430,               -102948,               -102948,                418563,,                366220,                155291,,                318811,                 99752,,                              0.40,,,,,,,,,,,,,
1312,2014年01月01日至2014年06月30日,,             12322206,,             11325687,                996519,                996519,,,                143384,,                390802,,                 28928,                563114,                433405,,,                 36196,,                -25729,,                 14595,,                 85564,                 81436,                514841,,                242269,                272572,                272572,,,                  2055,                -99199,,               -134340,                -22838,               -208646,               -208646,                 63926,,                176287,                 96285,,                 21179,,,                              0.19,                              0,                              0,                 42747,,                              0.19,,,,,,,,
1312,2014年01月01日至2014年03月31日,,              6201713,,              5730792,                470921,                470921,,,                 71805,,                199391,,                 14195,                285391,                185530,,,                 13446,,                  7551,,                  6790,,                 -6113,                  8094,                193624,,                 37415,                156209,                156209,,,,,,,,,               -172314,                -16105,,                131043,                 25166,,                 18195,                -34300,,                              0.14,,,,,                              0.14,                112656,               -171911,,,               -136216,                -23157,,
1312,2013年第3季,,              6591330,,              5522942,              1068388,              1068388,,,                 68754,,                224566,,                 18590,                311910,                756478,,,                 63425,,                -16610,,                  9058,,                 38484,                 76241,                832719,,                110614,                722105,                722105,,,,,,,,,                -27296,                694809,,                660412,                 61693,,                626638,                 68171,,                              0.73,,,,,                              0.73,                -78069,                 38034,,,                 12739,                              0,                              0.73,                              0.73
1312,2013年第2季,,              7093569,,              6089619,              1003950,              1003950,,,                 69896,,                218523,,                 18027,                306446,                697504,,,                  6122,,                 37715,,                  7148,,                 42531,                 79220,                776724,,                166121,                610603,                610603,,,,,,,,,                151118,                761721,,                553454,                 57149,,                679224,                 82497,,                              0.61,,,,,                              0.61,                 36321,                 58702,,,                 56095,                              0,                              0.61,                              0.61
1312,2013年度,,             26288575,,             23038625,              3249950,              3249950,,,                277567,,                880666,,                 66444,              1224677,              2025273,,,                366168,,                 34713,,                 36525,,                218658,                583014,              2608287,,                447017,              2161270,              2161270,,,,,,,,,                955701,              3116971,,              1950675,                210595,,              2647093,                469878,,                              2.15,,,,,                              2.15,                144307,                695891,                  2278,,                136363,                 23138,,
1312,2013年07月01日至2013年09月30日,,              6591330,,              5522942,              1068388,              1068388,,,                 68754,,                224566,,                 18590,                311910,                756478,,,                 63425,,                -16610,,                  9058,,                 38484,                 76241,                832719,,                110614,                722105,                722105,,,,,,,,,                -27296,                694809,,                660412,                 61693,,                626638,                 68171,,                              0.73,,,,,                              0.73,                -78069,                 38034,,,                 12739,,                              0.73,                              0.73
1312,2013年04月01日至2013年06月30日,,              7093569,,              6089619,              1003950,              1003950,,,                 69896,,                218523,,                 18027,                306446,                697504,,,                  6122,,                 37715,,                  7148,,                 42531,                 79220,                776724,,                166121,                610603,                610603,,,,,,,,,                151118,                761721,,                553454,                 57149,,                679224,                 82497,,                              0.61,,,,,                              0.61,                 36321,                 58702,,,                 56095,,                              0.61,                              0.61
1312,2013年01月01日至2013年12月31日,,             26288575,,             23038625,              3249950,              3249950,,,                277567,,                880666,,                 66444,              1224677,              2025273,,,                366168,,                 34713,,                 36525,,                218658,                583014,              2608287,,                447017,              2161270,              2161270,,,,,,,,,                955701,              3116971,,              1950675,                210595,,              2647093,                469878,,                              2.15,,,,,                              2.15,                144307,                695891,                  2278,,                136363,                 23138,,
1312,2013年01月01日至2013年09月30日,,             19666294,,             17092498,              2573796,              2573796,,,                211394,,                642481,,                 50157,                904032,              1669764,,,                 87520,,                 36108,,                 27678,,                105101,                201051,              1870815,,                320301,              1550514,              1550514,,,,,,,,,                598199,              2148713,,              1379618,                170896,,              1823658,                325055,,                              1.52,,,,,                              1.52,                 95831,                420880,,,                 81488,                              0,                              1.52,                              1.52
1312,2013年01月01日至2013年06月30日,,             13074964,,             11569556,              1505408,              1505408,,,                142640,,                417915,,                 31567,                592122,                913286,,,                 24095,,                 52718,,                 18620,,                 66617,                124810,              1038096,,                209687,                828409,                828409,,,,,,,,,                625495,              1453904,,                719206,                109203,,              1197020,                256884,,                              0.79,,,,,                              0.79,                173900,                382846,,,                 68749,                              0,                              0.79,                              0.79
1312,2013年01月01日至2013年03月31日,,              5981395,,              5479937,                501458,                501458,,,                 72744,,                199392,,                 13540,                285676,                215782,,,                 17973,,                 15003,,                 11472,,                 24086,                 45590,                261372,,                 43566,                217806,                217806,,,,,,,,,                474377,                692183,,                165752,                 52054,,                517796,                174387,,                              0.18,,,,,                              0.18,                137579,                324144,,,                 12654,                              0,,
1312,2012年07月01日至2012年09月30日,,              6181781,,              5679079,                502702,                502702,,,                 68223,,                203330,,                 16615,                288168,                214534,,,                 27447,,                 -4934,,                  6882,,                132116,                147747,                362281,,                 38981,                323300,                323300,,,,,,,,,                -11291,                312009,,                289887,                 33413,,                277032,                 34977,,                              0.32,,,,,                              0.32,                -89450,                 29981,,,                 48178,,                              0.32,                              0.32
1312,2012年04月01日至2012年06月30日,,              5664479,,              5418714,                245765,                245765,,,                 59981,,                205043,,                 17879,                282903,                -37138,,,              1763657,,                 -9974,,                  6876,,               -215107,              1531700,              1494562,,                264636,              1229926,              1229926,,,,,,,,,               -209786,              1020140,,              1184962,                 44964,,              1030106,                 -9966,,                              1.31,,,,,                              1.31,                 51503,               -216884,,,                -44405,,                              1.31,                              1.31
1312,2012年01月01日至2012年12月31日,,             22762651,,             21235215,              1527436,              1527436,,,                284059,,                777485,,                 68007,              1129551,                397885,,,              1815715,,                -53891,,                 30690,,                147510,              1878644,              2276529,,                335544,              1940985,              1940985,,,,,,,,,               -125589,              1815396,,              1786793,                154192,,              1641685,                173711,,                              1.97,,,,,                              1.97,               -189043,                 73462,                -54230,,                 44222,                              0,,
1312,2012年01月01日至2012年09月30日,,             17387617,,             16277321,              1110296,              1110296,,,                191634,,                595015,,                 49617,                836266,                274030,,,              1803719,,                -16693,,                 22207,,                 32310,              1797129,              2071159,,                319819,              1751340,              1751340,,,,,,,,,                -47176,              1704164,,              1642473,                108867,,              1557441,                146723,,                              1.81,,,,,                              1.81,               -151462,                 98757,,,                  5529,,                              1.81,                              1.81
1312,2012年01月01日至2012年06月30日,,             11205836,,             10598242,                607594,                607594,,,                123411,,                391685,,                 33002,                548098,                 59496,,,              1776272,,                -11759,,                 15325,,                -99806,              1649382,              1708878,,                280838,              1428040,              1428040,,,,,,,,,                -35885,              1392155,,              1352586,                 75454,,              1280409,                111746,,                              1.50,,,,,                              1.49,                -62012,                 68776,,,                -42649,,                              1.50,                              1.49
1312,2012年01月01日至2012年03月31日,,              5541357,,              5179528,                361829,                361829,,,                 63430,,                186642,,                 15123,                265195,                 96634,,,                 12615,,                 -1785,,                  8449,,                115301,                117682,                214316,,                 16202,                198114,                198114,,,,,,,,,                173901,                372015,,                167624,                 30490,,                250303,                121712,,                              0.18,,,,,                              0.18,               -113515,                285660,,,                  1756,,,
