證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
2462,2015年第3季,,              1051333,,                926645,                124688,                124688,,,                 39394,,                 53629,,                  4321,                 97344,                 27344,,,                  7419,,                 70998,,                  2675,,                  2346,                 78088,                105432,,                 19178,                 86254,                 86254,,,                 60068,                   -396,                 10212,                 49460,                 49460,                135714,,                 86254,,                135714,,                              0.82,                              0.82,,                              0.81,                              0.81,,,,
2462,2015年第2季,,              1034833,,                917645,                117188,                117188,,,                 43100,,                 40453,,                  2309,                 85862,                 31326,,,                  3826,,                -16017,,                  1497,,                    909,                -12779,                 18547,,                 16001,                  2546,                  2546,,,                -18767,                   -667,                 -3191,                -16243,                -16243,                -13697,,                  2546,,                -13697,,                              0.02,                              0.02,,                              0.02,                              0.02,,,,
2462,2015年01月01日至2015年09月30日,,              3092339,,              2734800,                357539,                357539,,,                124014,,                131685,,                 12846,                268545,                 88994,,,                 24026,,                 56651,,                  5798,,                  2819,                 77698,                166692,,                 43399,                123293,                123293,,,                 21806,                 -1692,                  3707,                 16407,                 16407,                139700,,                123293,,                139700,,                              1.17,                              1.17,,                              1.15,                              1.15,,,,
2462,2015年01月01日至2015年06月30日,,              2041006,,              1808155,                232851,                232851,,,                 84620,,                 78056,,                  8525,                171201,                 61650,,,                 16607,,                -14347,,                  3123,,                    473,                   -390,                 61260,,                 24221,                 37039,                 37039,,,                -38262,                 -1296,                 -6505,                -33053,                -33053,                  3986,,                 37039,,                  3986,,                              0.35,                              0.35,,                              0.35,                              0.35,,,,
2462,2015年01月01日至2015年03月31日,,              1006173,,                890510,                115663,                115663,,,                 41520,,                 37603,,                  6216,                 85339,                 30324,,,                 12781,,                  1670,,                  1626,,                   -436,                 12389,                 42713,,                  8220,                 34493,                 34493,,,                -19495,                   -629,                 -3314,                -16810,                -16810,                 17683,,                 34493,,                 17683,,                              0.33,                              0.33,,                              0.32,                              0.32,,,,
2462,2014年第3季,,              1223260,,              1062957,                160303,                160303,,,                 43728,,                 50307,,                  5807,                 99842,                 60461,,,                  7192,,                  9409,,                  1238,,                   -270,                 15093,                 75554,,                 19517,                 56037,                 56037,,,                 30511,                   -333,                  5187,                 24991,                 24991,                 81028,,                 56037,,                 81028,,                              0.56,                              0.56,,                              0.55,                              0.55,,,,
2462,2014年第2季,,              1142929,,              1022215,                120714,                120714,,,                 43931,,                 45860,,                  4074,                 93865,                 26849,,,                  4995,,                -13615,,                  1772,,                   -695,                -11087,                 15762,,                  7702,                  8060,                  8060,,,                -30066,                   -158,                 -5111,                -25113,                -25113,                -17053,,                  8060,,                -17053,,                              0.08,                              0.08,,                              0.08,                              0.08,,,,
2462,2014年度,,              4496149,,              3982284,                513865,                513865,,,                168956,,                209534,,                 20316,                398806,                115059,,,                 31944,,                 60839,,                  7053,,                 -2763,                 82967,                198026,,                 46997,                151029,                151029,,,,,,,                 69070,                220099,,                151029,,                220099,,                              1.48,                              1.48,,                              1.34,                              1.34,                 81423,                    812,                    816,                 13981
2462,2014年01月01日至2014年09月30日,,              3319384,,              2910750,                408634,                408634,,,                128427,,                148241,,                 16769,                293437,                115197,,,                 26314,,                 36804,,                  5787,,                 -1474,                 55857,                171054,,                 39860,                131194,                131194,,,                 17951,                 -1195,                  3052,                 13704,                 13704,                144898,,                131194,,                144898,,                              1.36,                              1.36,,                              1.23,                              1.23,,,,
2462,2014年01月01日至2014年06月30日,,              2096124,,              1847793,                248331,                248331,,,                 84699,,                 97934,,                 10962,                193595,                 54736,,,                 19122,,                 27395,,                  4549,,                 -1204,                 40764,                 95500,,                 20343,                 75157,                 75157,,,                -12560,                   -862,                 -2135,                -11287,                -11287,                 63870,,                 75157,,                 63870,,                              0.80,                              0.80,,                              0.72,                              0.72,,,,
