證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營建工程收入,　　　 工程收入,　　　　 工程收入,　　　　 工程收入淨額,　　　 營建工程收入合計,　　 其他營業收入,　　　 其他營業收入,　　　 其他營業收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 薪資支出-推銷費用,　　　 租金支出-推銷費用,　　　 文具用品-推銷費用,　　　 旅費-推銷費用,　　　 運費-推銷費用,　　　 郵電費-推銷費用,　　　 修繕費-推銷費用,　　　 廣告費-推銷費用,　　　 水電瓦斯費-推銷費用,　　　 保險費-推銷費用,　　　 交際費-推銷費用,　　　 捐贈-推銷費用,　　　 稅捐-推銷費用,　　　 折舊-推銷費用,　　　 各項攤提-推銷費用,　　　 伙食費-推銷費用,　　　 職工福利-推銷費用,　　　 佣金支出,　　　 訓練費-推銷費用,　　　 進出口費用,　　　 漁業作業費用,　　　 漁貨銷售費用,　　　 其他費用-推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 薪資支出-管理費用,　　　 租金支出-管理費用,　　　 文具用品-管理費用,　　　 旅費-管理費用,　　　 運費-管理費用,　　　 郵電費-管理費用,　　　 修繕費-管理費用,　　　 廣告費-管理費用,　　　 水電瓦斯費-管理費用,　　　 保險費-管理費用,　　　 交際費-管理費用,　　　 捐贈-管理費用,　　　 稅捐-管理費用,　　　 呆帳損失,　　　 折舊-管理費用,　　　 各項攤提-管理費用,　　　 伙食費-管理費用,　　　 職工福利-管理費用,　　　 研究發展費用,　　　 訓練費-管理費用,　　　 網路服務費,　　　 保全費,　　　 其他費用-管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 薪資支出-研發費用,　　　 租金支出-研發費用,　　　 文具用品-研發費用,　　　 旅費-研發費用,　　　 運費-研發費用,　　　 郵電費-研發費用,　　　 修繕費-研發費用,　　　 水電瓦斯費-研發費用,　　　 保險費-研發費用,　　　 交際費-研發費用,　　　 捐贈-研發費用,　　　 稅捐-研發費用,　　　 折舊及折耗,　　　 各項攤提-研發費用,　　　 伙食費-研發費用,　　　 職工福利-研發費用,　　　 委託研究費,　　　 訓練費-研發費用,　　　 其他費用-研發費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 銀行存款利息,　　　　 利息收入合計,　　　 租金收入,　　　 股利收入,　　　 壞帳轉回利益,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 外幣兌換利益,　　　 減損迴轉利益,　　　　 不動產、廠房及設備減損迴轉利益,　　　　 減損迴轉利益合計,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 處分投資損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 減損損失,　　　　 金融資產減損損失,　　　　 減損損失合計,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資利益之份額,　　　 採用權益法認列之關聯企業及合資損失之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　　 勞務收入,　　　 勞務收入合計,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　 本期所得稅費用（利益）,　　　 運費,　　　 租金支出,　　　 廣告費,　　　 水電瓦斯費,　　　 折舊,　　　 各項攤提,　　　 職工福利,　　　 訓練費,　　　　 其他減損迴轉利益,　　 投資收入（投資公司適用）,　　　 金融資產（負債）出售淨利益,　　　 投資收入,　　　　 投資收入合計,　　　 投資收入（投資公司適用）合計,　　 投資支出（投資公司適用）,　　　 金融資產（負債）出售淨損失,　　　 投資支出（投資公司適用）合計,　　　　 按攤銷後成本衡量之金融資產利息收入,　　　　 無活絡市場債券投資利息收入,　　　　 持有至到期日金融資產利息收入,　　　　 其他利息收入,　　　 權利金收入,　　　 處分投資利益,　　　　 金融資產減損迴轉利益,　　　 外幣兌換損失,　　　　 不動產、廠房及設備減損損失,　　　　 其他減損損失,　　 當期所得稅費用（利益）,　　　　 工程收入退回及折讓,　　　 勞務收入,　　　　 勞務收入,　　　　 勞務收入淨額,　　　 不動產、廠房及設備重估價利益,　　　 手續費支出,　　　　 手續費支出合計,　　　 文具用品,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 停業單位損益,　　 停業單位損益合計,　　　 運輸收入,　　　　 運輸收入淨額,　　　 修繕費
1529,2015年第3季,,,,                  9654,                  9654,                     20,                  9634,,,                              0,                              0,                              0,,                              0,                              0,                  9634,,,                 10322,                 10322,                 10322,                   -688,                   -688,,,                    239,                              0,                              0,                     34,                     55,                      2,                              0,                              0,                              0,                     30,                      3,                              0,                              0,                              0,                              0,                      9,                              0,                              0,                              0,                              0,                              0,                              0,                    673,                  1045,,                  1644,                    281,                              0,                     38,                      2,                     35,                      1,                              0,                      1,                    279,                      7,                              0,                      3,                   -780,                     30,                     17,                     53,                     33,                              0,                              0,                              0,                              0,                  1176,                  2820,,                              0,                              0,                              0,                              0,                              0,                              0,                      6,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                    758,                    764,                  4629,                 -5317,,,,                     18,                     18,                    407,                     10,                    747,                    407,                  1589,,                              0,                    298,,                              0,                              0,                              0,                              0,                     11,                  7294,,                  3500,                  3500,                -10507,,                    533,                    533,,                              0,                    371,                   -371,                 -9822,                -15139,,                              0,                -15139,                -15139,                -15139,,                -15122,                    -17,,                -15122,                    -17,,                             -0.05,                             -0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1529,2015年第2季,,,,                 18374,                 18374,                     12,                 18362,,,                              0,                              0,                              0,,                  6076,                  6076,                 24438,,,                 21656,                 21656,                 21656,                  2782,                  2782,,,                  1313,                              0,                              0,                     41,                     79,                      2,                              0,                              0,                              0,                     40,                      4,                              0,                              0,                              0,                              0,                     23,                              0,                              0,                              0,                              0,                              0,                              0,                    545,                  2047,,                  2135,                    407,                      5,                     35,                      1,                     45,                     14,                      2,                     15,                    307,                      2,                              0,                    380,                    104,                    667,                     60,                     62,                     35,                              0,                      1,                              0,                              0,                  2168,                  6445,,                              0,                              0,                              0,                              0,                      6,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                    173,                    179,                  8671,                 -5889,,,,                     35,                     35,                    407,,                              0,                    161,                    603,,                              0,,,                              0,                              0,                      1,                      6,,                  6377,,                 16000,                 16000,                -22384,,                    546,                    546,,,                   -845,                    845,                -21482,                -27371,,                              0,                -27371,                -27371,                -27371,,                -27371,,,                -27371,,,                             -0.09,                             -0.09,,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1529,2015年01月01日至2015年09月30日,,,,                 54266,                 54266,                     32,                 54234,,,                              0,                              0,                              0,,                  6852,                  6852,                 61086,,,                 54719,                 54719,                 54719,                  6367,                  6367,,,                  2493,                              0,                      1,                    112,                    256,                      6,                      1,                              0,                              0,                    110,                     10,                              0,                              0,                              0,                              0,                     53,                              0,                              0,                              0,                              0,                              0,                              0,                  1952,                  4994,,                  6135,                  1081,                     11,                     85,                      3,                    108,                     39,                     10,                     26,                    909,                      9,                              0,                    383,                              0,                  1363,                    138,                    194,                     82,                              0,                      1,                              0,                              0,                  5082,                 15659,,                              0,                              0,                      1,                              0,                      6,                              0,                      6,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                    934,                    947,                 21600,                -15233,,,,                     86,                     86,                  1221,                     10,                    747,                    589,                  2653,,                              0,                    298,,                              0,                              0,                      1,                      6,                     11,                 15868,,                 19500,                 19500,                -35088,,                  1640,                  1640,,                              0,                    248,                   -248,                -34323,                -49556,,                              0,                -49556,                -49556,                -49556,,                -49539,                    -17,,                -49539,                    -17,,                             -0.17,                             -0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1529,2015年01月01日至2015年06月30日,,,,                 44612,                 44612,                     12,                 44600,,,                              0,                              0,                              0,,                  6852,                  6852,                 51452,,,                 44397,                 44397,                 44397,                  7055,                  7055,,,                  2254,                              0,                      1,                     78,                    201,                      4,                      1,                              0,                              0,                     80,                      7,                              0,                              0,                              0,                              0,                     44,                              0,                              0,                              0,                              0,                              0,                              0,                  1279,                  3949,,                  4491,                    800,                     11,                     47,                      1,                     73,                     38,                     10,                     25,                    630,                      2,                              0,                    380,                    780,                  1333,                    121,                    141,                     49,                              0,                      1,                              0,                              0,                  3906,                 12839,,                              0,                              0,                      1,                              0,                      6,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                    176,                    183,                 16971,                 -9916,,,,                     68,                     68,                    814,,                              0,                    182,                  1064,,                              0,,,                              0,                              0,                      1,                      6,,                  8574,,                 16000,                 16000,                -24581,,                  1107,                  1107,,,                   -123,                    123,                -24501,                -34417,,                              0,                -34417,                -34417,                -34417,,                -34417,,,                -34417,,,                             -0.11,                             -0.11,,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1529,2015年01月01日至2015年03月31日,,,,                 26238,                 26238,,                 26238,,,,,,,                    776,                    776,                 27014,,,                 22741,                 22741,                 22741,                  4273,                  4273,,,                    941,,                      1,                     37,,                      2,                      1,,,                     40,                      3,,,,,                     21,,,,,,,                    734,                  1902,,                  2356,,                      6,                     12,,                     28,                     24,,,                    323,                              0,,,                    676,,,                     79,,,,,,                  1738,                  6394,,,,                      1,,,,                              0,,,,,,                              0,,,,,,                      3,                      4,                  8300,                 -4027,,,,                     33,                     33,                    407,,                              0,                     21,                    461,,,,,,                              0,,                              0,,                  2197,,,,                 -2197,,                    561,                    561,,,                    722,                   -722,                 -3019,                 -7046,,                              0,                 -7046,                 -7046,                 -7046,,                 -7046,,,                 -7046,,,                             -0.02,                             -0.02,,,                              0,                              0,                    122,                    393,                      8,                     10,                    666,                     61,                     14,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1529,2014年第3季,,,,                 20962,                 20962,                    200,                 20762,,,                  2451,                  2451,                  2451,,                              0,                              0,                 23213,,,                 23566,                 23566,                 23566,                   -353,                   -353,,,                  1141,                     53,                              0,                    422,                    131,                      3,                              0,                      3,                              0,                     96,                     36,                              0,                              0,                              0,                              0,                     20,                              0,                              0,                              0,                              0,                              0,                              0,                     13,                  1918,,                  4142,                    258,                      1,                    342,                     41,                     34,                     34,                              0,                     19,                    379,                     24,                              0,                     14,                  7484,                    703,                     61,                     60,                     23,                              0,                     19,                              0,                              0,                  1784,                 15422,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                 17340,                -17693,,,,                     42,                     42,                    637,                    108,                              0,                     44,                    831,,                 23408,                              0,,                    269,                    269,                    112,                              0,                              0,                  3583,,                              0,                              0,                 19982,,                    850,                    850,,                    122,                              0,                    122,                 20085,                  2392,,                    619,                  1773,                  1773,                  1773,,                  1773,                              0,,                  1773,                              0,,                              0.01,                              0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1529,2014年第2季,,,,                 45619,                 45619,                      1,                 45618,,,                    614,                    614,                    614,,                              0,                              0,                 46232,,,                 57136,                 57136,                 57136,                -10904,                -10904,,,                  1529,                              0,                              0,                     21,                     47,                      1,                              0,                              0,                              0,                    128,                     62,                              0,                              0,                              0,                              0,                     30,                              0,                              0,                      4,                              0,                              0,                              0,                    527,                  2349,,                  3101,                    386,                      1,                      1,                              0,                     52,                              0,                              0,                              0,                    345,                     63,                              0,                    115,                  3500,                    172,                              0,                     57,                     38,                              0,                     19,                              0,                              0,                  1385,                  9235,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                    -11,                              0,                              0,                              0,                              0,                              0,                     -1,                    -12,                 11572,                -22476,,,,                     85,                     85,                    787,,                              0,                     25,                    897,,                     22,,,                    -21,                    -21,                  3986,                              0,,                  1615,,                              0,                              0,                 -5600,,                  1039,                  1039,,,                    300,                   -300,                 -6042,                -28518,,                  9607,                -38125,                -38125,                -38125,,                -38125,,,                -38125,,,                             -0.15,                             -0.15,,                              0,                              0,                  9607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1529,2014年度,,,,                 92690,                 92690,                    212,                 92478,,,,,,,,,                105626,,,                102317,                102317,                112193,                 -6567,                 -6567,,,                  5384,                    106,                              0,                    167,                    372,                      9,                              0,                      3,                              0,                    454,                    142,                              0,                              0,                              0,                              0,                     96,                              0,                              0,                      4,                              0,                              0,                              0,                  1357,                  8094,,                 13843,                  1132,                      7,                      6,                     45,                    179,                    204,                      6,                     35,                  1426,                    254,                              0,                    694,                  3990,                  1699,                    121,                    229,                    105,                              0,                     49,                              0,                              0,                  6882,                 30906,,                              0,                              0,                              0,                              0,                              0,                              0,                     46,                              0,                              0,                              0,                              0,                              0,                      5,                              0,                              0,                              0,                              0,                              0,                     67,                    118,                 39118,                -45685,,,,                    449,                    449,                  2617,                     22,                              0,                    153,                  3241,,                 23420,,,,                              0,                  6220,,,,,                              0,                              0,                 18127,,                  3546,                  3546,,,                    265,                   -265,                 17557,                -28128,,                 37872,                -66000,                -66000,                -66000,,                -66000,                              0,,                -66000,                              0,,                             -0.25,                             -0.25,,,                    323,,,,,,,,,,,,                 13148,,                              0,                 13148,,                  9876,                  9876,                              0,                              0,                              0,                              0,                              0,                    604,                              0,                              0,                              0,                              0,                 37872,,,,,,,,,,,,,,,
1529,2014年01月01日至2014年09月30日,,,,                 81381,                 81381,                    201,                 81180,,,                  3836,                  3836,                  3836,,                              0,                              0,                 85016,,,                 94921,                 94921,                 94921,                 -9905,                 -9905,,,                  4261,                     53,                              0,                    480,                    251,                      6,                              0,                      3,                              0,                    354,                    136,                              0,                              0,                              0,                              0,                     78,                              0,                              0,                      4,                              0,                              0,                              0,                    849,                  6475,,                 10894,                  1103,                      2,                    345,                     41,                    102,                     81,                              0,                     19,                  1101,                    183,                              0,                    129,                 10553,                  1047,                     61,                    176,                     79,                              0,                     40,                              0,                              0,                  4549,                 30505,,                              0,                              0,                              0,                              0,                              0,                              0,                     45,                              0,                              0,                              0,                              0,                              0,                      6,                              0,                              0,                              0,                              0,                              0,                     66,                    117,                 37097,                -47002,,,,                    164,                    164,                  2208,                    108,                              0,                    123,                  2603,,                 23416,                              0,,                    661,                    661,                  4098,                              0,                              0,                  3500,,                              0,                              0,                 16479,,                  2968,                  2968,,                              0,                  1129,                 -1129,                 14985,                -32017,,                 10287,                -42304,                -42304,                -42304,,                -42304,                              0,,                -42304,                              0,,                             -0.17,                             -0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1529,2014年01月01日至2014年06月30日,,,,                 60419,                 60419,                      1,                 60418,,,                  1385,                  1385,                  1385,,                              0,                              0,                 61803,,,                 71355,                 71355,                 71355,                 -9552,                 -9552,,,                  3120,                              0,                              0,                     58,                    120,                      3,                              0,                              0,                              0,                    258,                    100,                              0,                              0,                              0,                              0,                     58,                              0,                              0,                      4,                              0,                              0,                              0,                    836,                  4557,,                  6752,                    845,                      1,                      3,                              0,                     68,                     47,                              0,                              0,                    722,                    159,                              0,                    115,                  3069,                    344,                              0,                    116,                     56,                              0,                     21,                              0,                              0,                  2765,                 15083,,                              0,                              0,                              0,                              0,                              0,                              0,                     45,                              0,                              0,                              0,                              0,                              0,                      6,                              0,                              0,                              0,                              0,                              0,                     66,                    117,                 19757,                -29309,,,,                    122,                    122,                  1571,,                              0,                     79,                  1772,,                      8,,,                    392,                    392,                  3986,                              0,,                              0,,                              0,                              0,                 -3503,,                  2118,                  2118,,,                  1251,                 -1251,                 -5100,                -34409,,                  9668,                -44077,                -44077,                -44077,,                -44077,,,                -44077,,,                             -0.18,                             -0.18,,                              0,                     83,                  9668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
