證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　　 繼續營業單位淨利（淨損）,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　　 處分無形資產利益,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　　 其他收入－其他,　　 稀釋繼續營業單位淨利（淨損）,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 當期所得稅費用（利益）
1734,2015年第3季,,                502361,,                331777,                170584,                170584,,,                 77598,,                 67666,,                 96512,                241776,                -71192,,,                 12604,,                  7209,,                  5303,                 14510,                -56682,,                  4389,                -61071,                -61071,,,                 41770,                -53027,                  5323,                -16580,                -16580,                -77651,,                -16764,                -44307,,                -14244,                -63407,,                             -0.10,,,,,,,,,,,,,,,,,,,,
1734,2015年第2季,,                554403,,                356091,                198312,                198312,,,                 75615,,                 72471,,                 79252,                227338,                -29026,,,                  7142,,                 -1792,,                  5193,                    157,                -28869,,                  1339,                -30208,                -30208,,,                -14227,                -94428,                 -1801,               -106854,               -106854,               -137062,,                 -9704,                -20504,,                -60285,                -76777,,                             -0.06,                             -0.06,,,,,,,,,,,,,,,,,,,
1734,2015年01月01日至2015年09月30日,,              1537699,,              1015215,                522484,                522484,,,                224124,,                205842,,                259040,                689006,               -166522,,,                 33833,,                  4791,,                 15613,                 23011,               -143511,,                  8809,               -152320,               -152320,,,                  6976,                 63038,                    661,                 69353,                 69353,                -82967,,                -52809,                -99511,,                -21684,                -61283,,                             -0.33,,,,,,,,,,,,,,,,,,,,
1734,2015年01月01日至2015年06月30日,,              1035338,,                683438,                351900,                351900,,,                146526,,                138176,,                162528,                447230,                -95330,,,                 21229,,                 -2418,,                 10310,                  8501,                -86829,,                  4420,                -91249,                -91249,,,                -34794,                116065,                 -4662,                 85933,                 85933,                 -5316,,                -36045,                -55204,,                 -7440,                  2124,,                             -0.22,                             -0.22,,,,,,,,,,,,,,,,,,,
1734,2015年01月01日至2015年03月31日,,                480935,,                327347,                153588,                153588,,,                 70911,,                 65705,,                 83276,                219892,                -66304,,,                 14087,,                   -626,,                  5117,                  8344,                -57960,,                  3081,                -61041,                -61041,,,                -20567,                210493,                 -2861,                192787,                192787,                131746,,                -26341,                -34700,,                 52845,                 78901,,                             -0.16,,,                480935,                   -626,,,,,,,,,,,,,,,,
1734,2014年第3季,,                499592,,                326424,                173168,                173168,,,                 81532,,                 75896,,                 79863,                237291,                -64123,,,                 15037,,                  1512,,                  5256,                 11293,                -52830,,                  6134,                -58964,                -58964,,,                 22360,                -35669,                  2808,                -16117,                -16117,                -75081,,                -21904,                -37060,,                -26089,                -48992,,                             -0.14,,,,,,,,,,,,,,,,,,,,
1734,2014年第2季,,                761802,,                430863,                330939,                330939,,,                 79854,,                 66815,,                 81598,                228267,                102672,,,                 10010,,                 -4078,,                  4911,                  1021,                103693,,                 42540,                 61153,                 61153,,,                -15547,                -15249,                 -1957,                -28839,                -28839,                 32314,,                 70073,                 -8920,,                 52874,                -20560,,                              0.43,                              0.43,,,,,,,,,,,,,,,,,,,
1734,2014年度,,              2642145,,              1558519,              1083626,              1083626,,,                312357,,                276699,,                350272,                939328,                144298,,,                 84272,,                   -937,,                 20268,                 63067,                207365,,                108406,                 98959,                 98959,,,,,,,                 17442,                116401,,                163393,                -64434,,                177294,                -60893,,                              1.01,,,,,                 30749,                 -8995,                 -4312,,,,,,,,,,,,,
1734,2014年01月01日至2014年09月30日,,              1940971,,              1168013,                772958,                772958,,,                238366,,                204357,,                228124,                670847,                102111,,,                 42497,,                  1058,,                 15072,                 28483,                130594,,                 74599,                 55995,                 55995,,,                  1353,                   -775,                    116,                    462,                    462,                 56457,,                109081,                -53086,,                109259,                -52802,,                              0.68,,,,,,,,,,,,,,,,,,,,
1734,2014年01月01日至2014年06月30日,,              1441379,,                841589,                599790,                599790,,,                156834,,                128461,,                148261,                433556,                166234,,,                 27460,,                   -454,,                  9816,                 17190,                183424,,                 68465,                114959,                114959,,,                -21007,                 34894,                 -2692,                 16579,                 16579,                131538,,                130985,                -16026,,                135348,                 -3810,,                              0.81,                              0.81,,,,,,,,,,,,,,,,,,,
