證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
1608,2015年第3季,,,              1920066,              1920066,,              2018204,                -98138,                -98138,,                 44313,               -142451,,,                 76194,,               -216082,,                  7714,,                   -314,               -147916,               -290367,,                -23394,               -266973,               -266973,,,               -565520,                 20494,               -586014,               -586014,               -852987,,               -182096,                -84877,,               -763676,                -89311,,                             -0.43,,                             -0.43,,,
1608,2015年第2季,,,              2270348,              2270348,,              2205807,                 64541,                 64541,,                 43575,                 20966,,,                 25039,,                -71061,,                  7434,,                   -282,                -53738,                -32772,,                  4567,                -37339,                -37339,,,               -197680,,               -197680,               -197680,               -235019,,                 -9404,                -27935,,               -205577,                -29442,,                             -0.02,,                             -0.02,,,
1608,2015年01月01日至2015年09月30日,,,              6396762,              6396762,,              6534839,               -138077,               -138077,,                133578,               -271655,,,                105095,,               -256471,,                 23121,,                   -898,               -175395,               -447050,,                -44189,               -402861,               -402861,,,             -1101662,                 20494,             -1122156,             -1122156,             -1525017,,               -209974,               -192887,,             -1326496,               -198521,,                             -0.49,,                             -0.49,,,
1608,2015年01月01日至2015年06月30日,,,              4476696,              4476696,,              4516635,                -39939,                -39939,,                 89265,               -129204,,,                 28901,,                -40389,,                 15407,,                   -584,                -27479,               -156683,,                -20795,               -135888,               -135888,,,               -536142,,               -536142,               -536142,               -672030,,                -27878,               -108010,,               -562820,               -109210,,                             -0.07,,                             -0.07,,,
1608,2015年01月01日至2015年03月31日,,,              2206348,              2206348,,              2310828,               -104480,               -104480,,                 45690,               -150170,,,                  3862,,                 30672,,                  7973,,                   -302,                 26259,               -123911,,                -25362,                -98549,                -98549,,,               -338462,                              0,               -338462,               -338462,               -437011,,                -18474,                -80075,,               -357243,                -79768,,                             -0.04,,                             -0.04,,,
1608,2014年第3季,,,              2534910,              2534910,,              2492213,                 42697,                 42697,,                 49522,                 -6825,,,                129939,,                -94270,,                  7256,,                   -200,                 28213,                 21388,,                   -366,                 21754,                 21754,,,               -132802,                              0,               -132802,               -132802,               -111048,,                 17744,                  4010,,               -113115,                  2067,,                              0.04,,                              0.04,,,
1608,2014年第2季,,,              2498813,              2498813,,              2480623,                 18190,                 18190,,                 51685,                -33495,,,                141268,,                 79416,,                  6083,,                   -227,                214374,                180879,,                 14835,                166044,                166044,,,                477729,,                477729,                477729,                643773,,                 56159,                109885,,                526579,                117194,,                              0.13,,                              0.13,,,
1608,2014年度,,,              9917436,              9917436,,              9857448,                 59988,                 59988,,                198191,               -138203,,,                282644,,                -18085,,                 28326,,                   -583,                235650,                 97447,,                 17305,                 80142,                 80142,,,,,,                221686,                301828,,                 -6792,                 86934,,                213214,                 88614,,                             -0.02,,                             -0.02,                229696,                 -8010,                              0
1608,2014年01月01日至2014年09月30日,,,              7528605,              7528605,,              7454069,                 74536,                 74536,,                150937,                -76401,,,                277881,,                -12731,,                 20391,,                   -456,                244303,                167902,,                  9239,                158663,                158663,,,                447521,                              0,                447521,                447521,                606184,,                 69474,                 89189,,                508124,                 98060,,                              0.16,,                              0.16,,,
1608,2014年01月01日至2014年06月30日,,,              4993695,              4993695,,              4961856,                 31839,                 31839,,                101415,                -69576,,,                147942,,                 81539,,                 13135,,                   -256,                216090,                146514,,                  9605,                136909,                136909,,,                580323,,                580323,                580323,                717232,,                 51730,                 85179,,                621239,                 95993,,                              0.12,,                              0.12,,,
1608,2014年01月01日至2014年03月31日,,,              2494882,              2494882,,              2481233,                 13649,                 13649,,                 49730,                -36081,,,                  6674,,                  2123,,                  7052,,                    -29,                  1716,                -34365,,                 -5230,                -29135,                -29135,,,                102594,                              0,                102594,                102594,                 73459,,                 -4429,                -24706,,                 94660,                -21201,,                             -0.01,,                             -0.01,,,
1608,2013年第3季,,,              2689254,              2689254,,              2679044,                 10210,                 10210,,                 54452,                -44242,,,                277840,,                 13535,,                  5976,,                              0,                285399,                241157,,                  6130,                235027,                235027,,,,,,                511520,                746547,,                116015,                119012,,                627717,                118830,,                              0.27,,                              0.27,                511520,,                              0
1608,2013年第2季,,,              2931592,              2931592,,              3006140,                -74548,                -74548,,                 45891,               -120439,,,                 23102,,               -272744,,                  6276,,                              0,               -255918,               -376357,,                -18491,               -357866,               -357866,,,,,,                153731,               -204135,,               -309944,                -47922,,               -153560,                -50575,,                             -0.71,,                             -0.71,                153731,,
1608,2013年度,,,             11043925,             11043925,,             11062840,                -18915,                -18915,,                227364,               -246279,,,                322398,,                385761,,                 23606,,                 16964,                701517,                455238,,                 10226,                445012,                445012,,,,,,                519090,                964102,,                415513,                 29499,,                929139,                 34963,,                              0.95,,                              0.95,                475470,                 43620,                              0
1608,2013年07月01日至2013年09月30日,,,              2689254,              2689254,,              2679044,                 10210,                 10210,,                 54452,                -44242,,,                277840,,                 13535,,                  5976,,,                285399,                241157,,                  6130,                235027,                235027,,,,,,                511520,                746547,,                116015,                119012,,                627717,                118830,,                              0.27,,                              0.27,                511520,,                              0
